TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
133,133,100.0000,132,99.2481,1,49066,30260,61.6720

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VIVA,VAMOS,VALOR UNIONISTA,WINAQ,URNG-MAIZ SEMILLA,TODOS,UR,PPN,PR,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16690,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,23,73,44,75,5,15,10,5,2,3,1,4,260,14,5,279,0,279,--,400,121,260,279,279,Algún campo sin dato,1,c9a067646f677f0b049b9d39bc71f85f4c7667ac66017cd92eef510a26b96761,26/06/2023 01:26:12,ESCANER
16691,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,30,59,55,70,2,6,15,6,2,2,1,0,248,11,1,260,137,397,--,397,137,248,260,397,Algún campo sin dato,1,b65a31fb5f5ad1306e7c8f30849e692473b44055c1fd4c3960c0485ea9d59df6,26/06/2023 00:49:12,ESCANER
16692,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,31,84,55,69,5,11,8,5,1,0,2,5,276,16,0,292,0,292,--,397,105,276,292,292,Algún campo sin dato,1,41a83fcb9f8726ec4ae5a436b33b53c5ab8643015b52e9780293dfdd71494a79,26/06/2023 01:27:33,ESCANER
16693,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,23,71,42,61,1,12,12,2,0,0,2,6,232,14,3,249,0,249,0,400,151,232,249,249,,1,5a14f5b908b3a784561d5e268aec58a7f8821e9db018a56152b60f55c7db0747,25/06/2023 22:45:56,ESCANER
16694,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,22,52,49,88,4,10,12,6,0,1,1,6,251,9,0,260,0,260,0,400,140,251,260,260,,1,9b897f5055cacc5913cf150861963da2850d077dfd4a4722e9ee5a97d91ff6c0,25/06/2023 23:49:06,ESCANER
16695,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,38,46,36,82,2,11,5,5,0,1,3,4,233,5,0,238,6,244,--,400,156,233,238,244,Algún campo sin dato,1,fc9adf965026567fe797cadf2b69937e0741573248a442738b08d8ab39b8ae46,26/06/2023 02:09:57,ESCANER
16696,"Quiché",14,"Santa Cruz Del Quiché",1,2499,400,23,62,45,51,2,5,10,6,0,2,0,4,210,7,3,220,0,220,0,396,177,210,220,220,,1,37654536c1f936919a1fbaddd615444423f1ec9f02b3c3a20517fc602dd29f53,25/06/2023 23:46:40,ESCANER
16697,"Quiché",14,"Santa Cruz Del Quiché",1,2499,242,14,32,27,45,1,5,12,0,0,0,1,3,140,3,0,143,0,143,--,242,99,140,143,143,Algún campo sin dato,1,b6305adfa5f15e0b31b8b1ff677930ffa548748ad5ea58fa71e8ce53fc85f6af,25/06/2023 21:50:01,ESCANER
16698,"Quiché",14,"Santa Cruz Del Quiché",1,2499,242,11,23,14,33,1,2,12,1,1,1,0,3,102,0,1,103,0,103,0,242,139,102,103,103,,1,350f13913fbb009c0169a4c74d69b278161ad1fe488f1ed7aef178dd5efe3ecc,25/06/2023 22:07:44,ESCANER
16699,"Quiché",14,"Santa Cruz Del Quiché",1,2500,400,17,49,25,120,0,5,4,2,0,2,0,2,226,19,2,247,0,247,--,411,164,226,247,247,Algún campo sin dato,1,c0629dbbdb1207c3297fd6d9b4d20910424beffc0b0e157f0c44c975e91e05f2,25/06/2023 22:25:45,ESCANER
