TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
42,42,100.0000,42,100.0000,0,15227,9455,62.0936

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,PPN,UNE,U R N G - MAIZ,CABAL,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16823,"Quiché",14,"Chiché",2,2522,400,84,82,25,31,5,4,7,16,254,5,8,267,0,267,--,400,132,254,267,267,Algún campo sin dato,1,a30eae4cd81bd6e30433e292798a9500b5779de540c75ec1e3d984a1860d0d2c,25/06/2023 23:32:18,ESCANER
16824,"Quiché",14,"Chiché",2,2522,400,60,90,27,43,7,6,6,11,250,10,10,270,0,270,--,400,130,250,270,270,Algún campo sin dato,1,12f6e7e99caa0b9f8959ce33d601e56367fb9a4dad5a99a14bd964e0e9853bd5,26/06/2023 01:30:26,ESCANER
16825,"Quiché",14,"Chiché",2,2522,400,97,93,26,34,5,6,6,12,279,8,12,299,0,299,--,400,101,279,299,299,Algún campo sin dato,1,e129a2f59377a0755b073b3501c31b7189bb552582de0805a3b31fea73b04e30,26/06/2023 00:25:28,ESCANER
16826,"Quiché",14,"Chiché",2,2522,400,77,110,21,42,9,2,4,10,275,13,3,291,0,291,--,404,110,275,291,291,Algún campo sin dato,1,f44df9dbd243f24063da97c624259d0600d10941f242b25d9a4cc08a40f4a0f6,26/06/2023 01:38:03,ESCANER
16827,"Quiché",14,"Chiché",2,2522,400,84,100,28,26,7,9,3,10,267,17,0,284,0,284,--,400,116,267,284,284,Algún campo sin dato,1,14dad56b4567dc80ad2890b775b8c4d146c25f5a038e3e384fdfa15f10f89f49,25/06/2023 23:30:08,ESCANER
16828,"Quiché",14,"Chiché",2,2522,400,80,94,33,25,9,8,1,11,261,9,9,279,--,279,--,400,121,261,279,279,Algún campo sin dato,1,0a1d3b3b026d00c1b04fdd2fe54488992bd81b198f30fda94a9259b04ec1ee87,26/06/2023 00:02:06,ESCANER
16829,"Quiché",14,"Chiché",2,2522,400,82,74,36,31,11,6,6,14,260,9,9,278,0,278,--,400,122,260,278,278,Algún campo sin dato,1,76bbb7c8ec52f5156965e098a21d288f05357a813e4726a1dd1963de5b3b39e1,26/06/2023 01:07:15,ESCANER
16830,"Quiché",14,"Chiché",2,2522,400,63,68,83,37,8,2,1,10,272,20,3,295,0,295,--,400,105,272,295,295,Algún campo sin dato,1,0586ad6aa7373a91b226692d592d0eecb69d40f633ce62607fcebdeb0aa0a231,25/06/2023 23:53:27,ESCANER
16831,"Quiché",14,"Chiché",2,2523,400,62,94,17,22,3,3,5,15,221,6,0,227,0,227,--,400,173,221,227,227,Algún campo sin dato,1,9f73474d6f9c60331a3cd9ac27aa67d9c1e58e16aa1342fbb350e37625cabb9e,25/06/2023 23:01:24,ESCANER
16832,"Quiché",14,"Chiché",2,2523,400,77,92,24,40,8,8,5,14,268,11,8,287,0,287,--,400,113,268,287,287,Algún campo sin dato,1,820e555888638e12d70e186c686a376e095526bef4e76344bb98d83f2068aab8,25/06/2023 23:10:45,ESCANER
16833,"Quiché",14,"Chiché",2,2523,400,93,78,28,15,8,2,8,15,247,9,5,261,0,261,--,399,138,247,261,261,Algún campo sin dato,1,319d90e078971b2bdf10750162d4f584abe541e39443d29880032119df4dcca9,25/06/2023 23:39:16,ESCANER
16834,"Quiché",14,"Chiché",2,2523,400,59,70,27,30,13,6,12,9,226,7,6,239,0,239,--,400,161,226,239,239,Algún campo sin dato,1,19091f0491bc9801121303e28c2343a7ef227b2f42166415243cb071692a5476,26/06/2023 00:19:15,ESCANER
16835,"Quiché",14,"Chiché",2,2524,400,60,81,27,26,6,6,1,15,222,13,9,244,0,244,--,393,149,222,244,244,Algún campo sin dato,1,8559063606312fb0e99c09eb3b4d47f9130a9016b58431fc05de456b44cbf580,25/06/2023 23:59:13,ESCANER
16836,"Quiché",14,"Chiché",2,2524,400,66,86,26,38,11,10,3,9,249,10,4,263,0,263,--,400,137,249,263,263,Algún campo sin dato,1,e2a4ab12e99e5c81d1343a71bc37e0aef03edf158b6b3d20735ff9dc8546c4b2,25/06/2023 23:05:44,ESCANER
16837,"Quiché",14,"Chiché",2,2524,400,61,74,20,30,9,5,5,16,220,9,1,230,0,230,--,400,170,220,230,230,Algún campo sin dato,1,48526ed83b34058f591fc60f5f5ceea03b156061cccc532fc93a9aaba1a2e5c6,25/06/2023 23:11:08,ESCANER
16838,"Quiché",14,"Chiché",2,2524,400,59,80,20,26,5,7,1,12,210,9,2,221,0,221,--,400,179,210,221,221,Algún campo sin dato,1,963dfc7e9edf95b72304e1c173eab06dca4db334b5664863b78d27184d940f28,25/06/2023 22:18:31,ESCANER
16839,"Quiché",14,"Chiché",2,2525,400,80,85,28,16,6,7,3,13,238,2,1,241,0,241,--,400,159,238,241,241,Algún campo sin dato,1,4e452be20c0e8987c000161a50fd39604278acbab54275fd7a1f9d056c54781e,25/06/2023 23:25:23,ESCANER
16840,"Quiché",14,"Chiché",2,2525,400,55,80,28,20,2,1,7,16,209,6,0,215,0,215,--,400,182,209,215,215,Algún campo sin dato,1,acd4be79a766e8dd22df0065d4be8b9c9929ad41cfd40c1584f68b2c1066bf67,25/06/2023 22:53:06,ESCANER
16841,"Quiché",14,"Chiché",2,2525,343,66,65,19,14,9,4,1,5,183,0,2,185,0,185,--,339,154,183,185,185,Algún campo sin dato,1,d43035cd80337192f184b4a5bbf33d2a031b9db673d45bf80448e06d3571f586,25/06/2023 22:39:28,ESCANER
16842,"Quiché",14,"Chiché",2,2525,343,45,69,20,19,4,3,1,10,171,7,4,182,0,182,0,339,157,171,182,182,,1,3ec5258f0f48bd017733f686c2b807fec80dff7fc3990df78a3dd6c0df9f842a,25/06/2023 22:53:58,ESCANER
16843,"Quiché",14,"Chiché",2,2526,380,78,91,22,35,11,9,5,2,253,20,6,279,0,279,--,380,101,253,279,279,Algún campo sin dato,1,c172141e18d19d5964ff376e5e4d7909914d3a732389e2ada2155235e7081983,25/06/2023 21:35:36,ESCANER
16844,"Quiché",14,"Chiché",2,2526,380,92,74,22,30,4,7,5,10,244,12,6,262,0,262,--,380,118,244,262,262,Algún campo sin dato,1,4f221bef68ddee53a176ff4931b9dacc47489676f9a70498f48b6d3b2d9b8abd,25/06/2023 22:29:04,ESCANER
16845,"Quiché",14,"Chiché",2,2526,380,73,59,14,38,3,1,3,3,194,12,4,210,0,210,--,380,170,194,210,210,Algún campo sin dato,1,421079b91a644f56efaad13b77d0391d7f723e7ecf1ce8daaf4e808507878eb2,25/06/2023 21:47:53,ESCANER
16846,"Quiché",14,"Chiché",2,2526,380,112,46,23,51,4,3,8,6,253,18,5,276,0,276,--,380,104,253,276,276,Algún campo sin dato,1,562b52e0796d4f041fb4d2dfa94ab032d22c3fc84cdfb42662c29dd08e181f70,25/06/2023 22:55:11,ESCANER
16847,"Quiché",14,"Chiché",2,2526,380,72,51,10,33,3,3,4,7,183,10,8,201,0,201,--,380,179,183,201,201,Algún campo sin dato,1,1d9f38b915082e5420de3f8392424ae1ca74f6151b39f2a23d03c3fa5c5f0903,25/06/2023 20:30:06,ESCANER
16848,"Quiché",14,"Chiché",2,2526,209,41,24,15,11,0,1,2,5,99,5,1,105,0,105,--,205,100,99,105,105,Algún campo sin dato,1,db029f85c355ed3cf90593b93b8e69b55726b184e01e8fccfbe19c7644f29e36,25/06/2023 22:00:46,ESCANER
16849,"Quiché",14,"Chiché",2,2526,208,39,27,13,9,0,1,2,4,95,3,1,99,0,99,--,204,105,95,99,99,Algún campo sin dato,1,f2b955d17c727f94ef82743abaa722adca83e40fd71fdca1ee0b2e387446fee7,25/06/2023 21:23:15,ESCANER
16850,"Quiché",14,"Chiché",2,2527,380,107,14,28,63,4,16,3,3,238,16,7,261,0,261,--,380,119,238,261,261,Algún campo sin dato,1,17c7a8fed4a6ff02f0d46ebb2e161ef04c9f67f6ce21f2a27bc289bb4738ce6f,25/06/2023 22:58:29,ESCANER
16851,"Quiché",14,"Chiché",2,2527,380,121,9,26,61,7,10,2,6,242,22,15,279,0,279,--,380,101,242,279,279,Algún campo sin dato,1,5b65789c20c8b2ddd33e30273ab94a1b973524225266cd776698dc8e4272351d,25/06/2023 22:32:30,ESCANER
16852,"Quiché",14,"Chiché",2,2527,380,115,21,18,39,6,8,2,3,212,5,7,224,0,224,--,379,155,212,224,224,Algún campo sin dato,1,184f6deb97bae7555b1fe1c73307aa8bcde74716eb452a4b695cf05b42c83c2b,25/06/2023 22:21:27,ESCANER
