TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
22,22,100.0000,22,100.0000,0,8106,5142,63.4344

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,TODOS,UNE,PODEMOS,PPN,CAMBIO,PHG,AZUL,VOS,VIVA,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16865,"Quiché",14,"Chinique",3,2530,400,91,52,42,5,9,20,2,8,2,4,2,2,3,242,10,6,258,0,258,--,400,142,242,258,258,Algún campo sin dato,1,7f92afe53a48a95486efbac455caef4afa565836ff8a63f7f48bce80b9f44a61,26/06/2023 00:03:09,ESCANER
16866,"Quiché",14,"Chinique",3,2530,400,97,53,58,3,10,16,2,2,1,3,5,6,5,261,17,8,286,0,286,0,400,114,261,286,286,,1,21766c51783a711306b2ac0164a76bfb1ecc4800b74decb2c56c007aea0dd05a,25/06/2023 23:19:28,ESCANER
16867,"Quiché",14,"Chinique",3,2530,400,110,53,47,12,7,31,1,4,4,2,4,3,4,282,25,9,316,0,316,--,400,84,282,316,316,Algún campo sin dato,1,33dd87dc1c0d75581d777338d19d0c5769cbb8084d3f5abedcb17d5284ea953b,25/06/2023 23:10:04,ESCANER
16868,"Quiché",14,"Chinique",3,2530,400,108,43,50,9,8,29,0,4,0,3,2,1,6,263,19,11,293,0,293,--,400,107,263,293,293,Algún campo sin dato,1,400d43181b2fba57cddb0f7acf6016f690a8c9c758442f2424514a05a5bc83ed,26/06/2023 00:53:34,ESCANER
16869,"Quiché",14,"Chinique",3,2530,400,87,30,84,6,8,21,3,10,4,1,2,2,1,259,20,7,286,0,286,--,401,115,259,286,286,Algún campo sin dato,1,f6b286625b1294cfea0420d15bce3bd0aaf4d4d8fd9a762177fd325d0d05887b,26/06/2023 01:06:11,ESCANER
16870,"Quiché",14,"Chinique",3,2531,400,105,45,30,11,17,25,1,3,2,4,6,3,6,258,14,12,284,0,284,--,400,116,258,284,284,Algún campo sin dato,1,f802e339c546a2d7dbe6d11b6f949335eca55e538622f10cdb306fc79cc80913,26/06/2023 00:29:33,MOVIL
16871,"Quiché",14,"Chinique",3,2531,400,74,44,49,3,11,26,4,12,3,8,2,2,1,239,7,1,247,0,247,--,395,148,239,247,247,Algún campo sin dato,1,b80f7c867b993bea5b5e35555f9b709132ba871edc1ff4cc8f9c0a8bbe787160,25/06/2023 23:02:31,ESCANER
16872,"Quiché",14,"Chinique",3,2531,400,86,37,45,5,8,26,1,9,2,7,3,7,4,240,9,2,251,0,251,--,400,149,240,251,251,Algún campo sin dato,1,6a227e8258f597039b489acb489ecd5fe773ea3ec8ae47693e0ca75707950c0a,25/06/2023 22:39:18,ESCANER
16873,"Quiché",14,"Chinique",3,2531,400,89,40,57,6,7,19,0,7,3,2,0,3,5,238,16,5,259,0,259,--,400,141,238,259,259,Algún campo sin dato,1,6d2c85c6e49f647ee6f9ea4278c63b6312f46f89c4329206f0b83de41f09989d,25/06/2023 22:47:06,ESCANER
16874,"Quiché",14,"Chinique",3,2531,400,83,51,34,5,3,30,2,5,2,2,1,2,4,224,4,3,231,0,231,--,400,169,224,231,231,Algún campo sin dato,1,5567b3f465a857566f182cd5f7f4f9c0601e47d16d787c237ee3327ed2a8ae5b,25/06/2023 22:47:50,ESCANER
