TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,21679,15988,73.7487

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,TODOS,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16887,"Quiché",14,"Zacualpa",4,2537,400,51,178,50,2,1,282,10,1,293,0,293,--,400,107,282,293,293,Algún campo sin dato,1,6d68c2c5c661d47b41bb96bd3823fb8e45886172809a8e83490563ce8dc6b200,26/06/2023 01:05:15,ESCANER
16888,"Quiché",14,"Zacualpa",4,2537,400,64,188,48,0,1,301,0,2,303,0,303,0,400,97,301,303,303,,1,7f5648af079ef41ea6a125528c192a6b2e7081cbd26a13fd32eb77644b9a0cbe,26/06/2023 02:35:23,ESCANER
16889,"Quiché",14,"Zacualpa",4,2537,400,85,173,41,1,1,301,3,5,309,0,309,--,400,91,301,309,309,Algún campo sin dato,1,bff6c036d411ff769a031a22b943fcbfb07ac0ffea3a929d119c61c89defac19,26/06/2023 02:34:14,ESCANER
16890,"Quiché",14,"Zacualpa",4,2538,400,76,181,43,1,2,303,8,2,313,0,--,--,400,87,303,313,313,Algún campo sin dato,1,7989f01eb5a14c9c08944e410b6f994fa1b2eaaae01d3559177ae02965738ae2,26/06/2023 04:58:53,ESCANER
16891,"Quiché",14,"Zacualpa",4,2538,400,95,157,51,3,0,306,4,4,314,0,314,--,400,86,306,314,314,Algún campo sin dato,1,82e84962fd6d7f3bf223fdfbd1b7e39d9e76a3041561c9b85ae2767ac604b575,26/06/2023 01:03:53,ESCANER
16892,"Quiché",14,"Zacualpa",4,2538,400,138,137,38,1,0,314,9,3,326,0,326,--,400,74,314,326,326,Algún campo sin dato,1,845e2dc7adba17a6707cbbab9326d7f027e0d346944607bcad8c3750f7170855,25/06/2023 23:23:17,ESCANER
16893,"Quiché",14,"Zacualpa",4,2538,400,171,106,34,3,1,315,6,2,323,0,323,--,400,77,315,323,323,Algún campo sin dato,1,6894f47115c74fbaf8b0d952982721777c055f55d86c3418f2076bef79c2ce93,26/06/2023 00:34:15,ESCANER
16894,"Quiché",14,"Zacualpa",4,2538,400,183,105,18,2,0,306,6,1,315,2,317,2,400,83,308,315,317,Sumas Asentadas sin cuadrar,1,99cc18c8679b4f4ba35a9f301be8278a630cc2fb63ea912aa47adeeea0d55872,26/06/2023 04:00:49,ESCANER
16895,"Quiché",14,"Zacualpa",4,2539,400,160,114,26,6,1,307,7,6,320,0,320,--,400,80,307,320,320,Algún campo sin dato,1,520b752defb721f816b2dc821cb8b055b1fe4a63b3f8431dc94e5f7c807c0b10,25/06/2023 23:09:04,ESCANER
16896,"Quiché",14,"Zacualpa",4,2539,400,93,134,38,2,0,267,5,4,276,0,276,--,400,124,267,276,276,Algún campo sin dato,1,bc26403fa41ad0a1f5d40990be3b57424c0beeec8f3b594984b3b3a8bbdec6e5,26/06/2023 00:38:59,ESCANER
16897,"Quiché",14,"Zacualpa",4,2539,400,75,128,30,0,0,233,7,1,241,0,241,--,400,159,233,241,241,Algún campo sin dato,1,cbef4008446ed3a3b83d99f4fc8e5d3ee109a9c03541dc46964dae2841da4c7b,26/06/2023 00:03:08,ESCANER
16898,"Quiché",14,"Zacualpa",4,2539,400,62,160,35,3,0,260,7,1,268,0,268,--,400,132,260,268,268,Algún campo sin dato,1,8f47d37c9c4a59836d92e54bd68bd98e9aa3b4b8812fa623b84dc16df94a394e,26/06/2023 01:06:04,ESCANER
16899,"Quiché",14,"Zacualpa",4,2539,400,57,168,45,2,0,272,4,3,279,0,279,--,399,120,272,279,279,Algún campo sin dato,1,ca92e798f98e319ef63b540fc516fdb716e6143d2a5a2e2968317a267d1f6453,26/06/2023 01:08:13,ESCANER
16900,"Quiché",14,"Zacualpa",4,2539,400,50,177,56,0,4,287,5,0,292,0,292,--,400,108,287,292,292,Algún campo sin dato,1,88c1b2f2a4acc1c3e40d5d8d49320ea6fd9bbc999c6088026914787e5dae878c,25/06/2023 23:52:09,ESCANER
16901,"Quiché",14,"Zacualpa",4,2540,400,48,157,41,5,1,252,8,2,262,1,263,--,400,237,252,262,263,Algún campo sin dato,1,1d11c66baf7b458ff1fba505533d0df3103ae6b9971abd65923224646634a6f7,26/06/2023 00:35:31,ESCANER
16902,"Quiché",14,"Zacualpa",4,2540,400,108,124,25,2,0,259,3,0,262,0,262,--,400,138,259,262,262,Algún campo sin dato,1,98092eef97d17f44d9152bfcd6968956afee78b599c6daad484b0c273007770b,26/06/2023 02:08:50,ESCANER
16903,"Quiché",14,"Zacualpa",4,2540,400,86,157,26,0,0,269,3,0,272,0,272,--,400,128,269,272,272,Algún campo sin dato,1,368d31b0b848e2a3a5e895e52ddf9a9f9af916691d9627f9d73ba7815eaa88f9,26/06/2023 00:02:13,ESCANER
16904,"Quiché",14,"Zacualpa",4,2541,400,101,158,24,3,0,286,8,1,295,0,295,--,380,85,286,295,295,Algún campo sin dato,1,26fce5d6c78b60b553d2d83de488325bac8c2f48fee305d689db09d7c47fe181,26/06/2023 00:03:25,ESCANER
