TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
71,71,100.0000,71,100.0000,0,25460,19807,77.7965

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,PPN,UNE,VIVA,VAMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16945,"Quiché",14,"Chajul",5,2549,400,52,0,19,160,2,84,27,344,2,5,351,0,351,--,400,49,344,351,351,Algún campo sin dato,1,b6996c84f8b96c5e428a4c1317fc95b03267a86bae161724feaa9b230e6dd897,26/06/2023 02:05:39,ESCANER
16946,"Quiché",14,"Chajul",5,2549,400,43,0,21,158,2,86,26,336,1,6,343,0,343,--,400,57,336,343,343,Algún campo sin dato,1,2287c02a2c6e1cac23d37a3d292ef6f413885a61d8a0b307d4010b739e2897ab,26/06/2023 00:08:06,ESCANER
16947,"Quiché",14,"Chajul",5,2549,400,63,0,12,150,5,77,29,336,1,6,343,57,400,--,400,57,336,343,400,Algún campo sin dato,1,fb593733bce5bff58b39f977b2c5c76bbc90f6c7d07c8ff0d25766895f7d089b,26/06/2023 00:31:37,ESCANER
16948,"Quiché",14,"Chajul",5,2549,400,39,2,26,152,1,81,37,338,3,7,348,0,348,--,400,52,338,348,348,Algún campo sin dato,1,91f0bddfffb073dd189f350607ca347008ccde5e210f7cc24291a0df117c5523,26/06/2023 00:42:22,ESCANER
16949,"Quiché",14,"Chajul",5,2549,400,63,1,22,44,2,90,26,348,1,2,351,0,351,--,400,49,248,251,251,Sumas Asentadas sin cuadrar,1,fef5668d44647d72b1c5e507534a9f27a8081252c366ce0dbb7cf88dced399cd,26/06/2023 03:07:04,ESCANER
16950,"Quiché",14,"Chajul",5,2549,400,52,1,19,152,1,85,30,340,1,10,351,0,351,--,400,49,340,351,351,Algún campo sin dato,1,2badb21f76570ecb880ba2e3333a0d790e308ce9e9ab875f9ace3218987e5ae9,26/06/2023 03:31:50,ESCANER
16951,"Quiché",14,"Chajul",5,2549,400,38,1,21,148,5,107,29,349,9,5,363,0,363,--,400,37,349,363,363,Algún campo sin dato,1,eff3cebf4b9930186834d119e9a5382c0907d08ca875ff26315600f542cd7820,26/06/2023 01:47:26,ESCANER
16952,"Quiché",14,"Chajul",5,2550,400,59,1,26,179,3,64,19,351,3,10,364,0,364,--,400,36,351,364,364,Algún campo sin dato,1,361cd2fc33770a13d4474350dc5cb0ac677b9f39966ae87d1851bb776276e1c6,26/06/2023 00:30:47,ESCANER
16953,"Quiché",14,"Chajul",5,2550,400,54,0,13,174,5,65,33,344,0,4,346,0,346,--,400,49,344,348,348,Sumas Asentadas sin cuadrar,1,694c9e55c9a02cd232590751856029b0bf6ee6a820bcc7c419189284e2d0a3cb,26/06/2023 02:08:40,ESCANER
16954,"Quiché",14,"Chajul",5,2550,400,43,1,17,157,6,66,27,314,3,7,400,--,--,--,400,73,317,327,327,Sumas Asentadas sin cuadrar,1,c907a2dd5b1ecc14e45acaf7fa8d691d26fb4ac46048929fc64d2d3c71ebfb7e,26/06/2023 00:59:53,ESCANER
16955,"Quiché",14,"Chajul",5,2550,400,42,0,16,144,1,56,31,290,0,1,291,0,291,--,397,106,290,291,291,Algún campo sin dato,1,343d45fec07cb7ff739dce3798198c3a3e73568943839dce57f1d9d63e4a40bf,26/06/2023 00:32:25,ESCANER
16956,"Quiché",14,"Chajul",5,2551,400,55,0,17,148,2,71,26,319,2,6,327,0,327,--,400,70,319,327,327,Algún campo sin dato,1,62d36e3ce0e7076c7c42fe9d7fb7391aa72a599be1a32c50a91e840fcd2ff9b7,26/06/2023 00:11:57,ESCANER
16957,"Quiché",14,"Chajul",5,2551,400,40,2,19,176,5,59,17,318,0,3,321,0,321,--,400,79,318,321,321,Algún campo sin dato,1,ec46abcd52551439e8f8b4ace9441bfd232c9458a67668408b40d94d5c5b2c86,25/06/2023 20:25:40,ESCANER
16958,"Quiché",14,"Chajul",5,2551,400,54,2,16,149,6,69,26,322,1,1,324,0,324,--,400,76,322,324,324,Algún campo sin dato,1,e134b86dd1ba0730dba4fa8dba7ad6d317e9b0b351ffd78b7fd05dabbaac725a,25/06/2023 23:55:41,ESCANER
16959,"Quiché",14,"Chajul",5,2551,400,39,4,13,150,2,79,32,319,1,3,323,0,323,--,400,77,319,323,323,Algún campo sin dato,1,97348a95e1b735fc0aefab94b031d5b47edacd4c21d9efcd6cc3c18a4c56e2f8,25/06/2023 23:18:14,ESCANER
16960,"Quiché",14,"Chajul",5,2551,400,45,0,15,147,4,70,50,331,2,5,338,62,400,0,400,62,331,338,400,,1,4414349babdf17433bb679852b68a8e897369999acac6e012097690bacc91f59,26/06/2023 00:27:23,ESCANER
16961,"Quiché",14,"Chajul",5,2552,400,36,2,19,146,2,51,35,291,1,3,295,0,0,--,397,102,291,295,295,Algún campo sin dato,1,b40971504706b64bed1747722c09a7d6ae058e2c04489683378f25c89a45569e,25/06/2023 22:05:07,ESCANER
16962,"Quiché",14,"Chajul",5,2552,400,33,0,15,151,5,61,28,293,0,2,295,0,--,--,400,102,293,295,295,Algún campo sin dato,1,d890ee409838bb05f1552253e0deed11e7996c7a2d2ae51c3923797a1dc6c158,26/06/2023 01:26:26,ESCANER
16963,"Quiché",14,"Chajul",5,2552,400,29,0,20,40,2,75,38,305,0,0,306,0,306,--,400,94,204,204,204,Sumas Asentadas sin cuadrar,1,1dedf5ff3a90c8dab7581b4aae9fb107187dfbdceaa622947523fe5b0e6fd63f,25/06/2023 22:19:13,ESCANER
16964,"Quiché",14,"Chajul",5,2552,400,44,0,18,157,1,66,22,308,0,0,308,0,308,0,400,89,308,308,308,,1,0cab27ef84ec1555a666848c261eed8a01532eab7caf9f8979c6e5ceea7b671c,25/06/2023 23:23:19,ESCANER
16965,"Quiché",14,"Chajul",5,2553,400,33,1,14,175,2,64,26,315,0,0,315,0,315,--,400,82,315,315,315,Algún campo sin dato,1,037839dd9b722341ac5e7a21c6d3528d154690144b436e59a212e02a40af907f,26/06/2023 00:12:30,ESCANER
16966,"Quiché",14,"Chajul",5,2553,400,49,0,20,168,6,57,22,322,1,0,323,0,0,--,400,77,322,323,323,Algún campo sin dato,1,99e71bc011c1b00b06b3495cebb4eb7edbe5886ad735d8b090bb44e932627c82,26/06/2023 04:10:26,ESCANER
16967,"Quiché",14,"Chajul",5,2554,236,20,0,8,91,1,37,15,172,0,1,173,0,173,--,236,63,172,173,173,Algún campo sin dato,1,bd67b48f6f76efe100b0bf261bc60244054d321afdf852be26324a98015e6197,25/06/2023 22:43:53,ESCANER
16968,"Quiché",14,"Chajul",5,2555,236,14,1,6,86,2,40,16,165,3,3,171,0,0,--,233,62,165,171,171,Algún campo sin dato,1,6f9fdc75833f7ba6c611a71b1c49facf718e9caba3ee4a4d91b18c0da177185f,25/06/2023 20:03:38,MOVIL
16969,"Quiché",14,"Chajul",5,2556,400,65,0,2,119,7,25,91,309,11,12,332,0,--,--,400,68,309,332,332,Algún campo sin dato,1,fdab3eecf30d6bd6e3a6a0931450a06149cccc8437d5845deb7998637011e710,25/06/2023 19:40:15,ESCANER
16970,"Quiché",14,"Chajul",5,2556,400,67,3,5,155,3,28,51,312,4,13,329,--,--,--,398,69,312,329,329,Algún campo sin dato,1,9151bc181b68ca00f5fe16289ec965f5daf28ad20f608f227c9035e3f509dec8,25/06/2023 23:16:08,ESCANER
16971,"Quiché",14,"Chajul",5,2556,400,50,1,7,123,1,24,73,279,8,7,294,15,294,--,294,103,279,294,309,Sumas Asentadas sin cuadrar,1,4f46420f6e9b66ec9bdd1238517fd970f813aae5a33d81a1d3e1941e13346798,25/06/2023 20:25:11,ESCANER
16972,"Quiché",14,"Chajul",5,2556,400,57,1,4,106,4,27,70,269,3,11,283,115,398,--,398,115,269,283,398,Algún campo sin dato,1,3cf011ec40a88074ee83d910ea35a2347448ec53d3bb0e7c4a3e0155a066cf93,25/06/2023 23:22:32,ESCANER
16973,"Quiché",14,"Chajul",5,2556,311,48,1,7,101,1,24,50,232,0,1,233,0,233,--,308,75,232,233,233,Algún campo sin dato,1,2f72bed66f00dc3973b5fb46b585136fc15e2c9a92c24f56f12b4c2a3b60b89c,25/06/2023 19:42:07,ESCANER
16974,"Quiché",14,"Chajul",5,2556,310,38,1,7,109,3,14,51,223,1,2,226,0,226,--,310,84,223,226,226,Algún campo sin dato,1,b4eefe8c31d605998e72a39e0931c6ad95ecb6e909b432fcc37fa96494e14a62,25/06/2023 19:28:54,ESCANER
16975,"Quiché",14,"Chajul",5,2557,380,16,0,20,48,5,17,173,279,10,8,297,0,297,--,380,83,279,297,297,Algún campo sin dato,1,8d4e9cbdd08584ca4eff104f0262caf4019a9107406c7a60a56f37019501d4dd,25/06/2023 20:06:45,MOVIL
16976,"Quiché",14,"Chajul",5,2557,380,26,1,4,23,19,21,198,292,8,10,310,0,310,--,404,94,292,310,310,Algún campo sin dato,1,a401a58bb4547126fed0dfe56cdf68f7ff5c9d5def9e5546f82382cb768dce37,26/06/2023 04:00:18,ESCANER
16977,"Quiché",14,"Chajul",5,2558,380,20,2,8,28,8,35,200,301,6,12,319,0,319,--,350,61,301,319,319,Algún campo sin dato,1,237f7ed3c4bfd09788ee80b38174bd4535dbd2076bf4500466e8a73513e8dc13,26/06/2023 03:54:36,ESCANER
16978,"Quiché",14,"Chajul",5,2558,380,34,0,14,37,4,32,197,318,3,12,333,0,333,--,380,47,318,333,333,Algún campo sin dato,1,bfe57caa94f9c834ec5b4efaa037484310d53f4edaa0246115e4f3f31e51a506,25/06/2023 20:53:48,MOVIL
16979,"Quiché",14,"Chajul",5,2558,380,25,0,12,28,7,18,175,265,6,7,278,0,278,0,380,102,265,278,278,,1,060ece2180e85056959d2b5f71c29133a67ed63a69333030dd501464cc3d74bb,25/06/2023 20:08:52,MOVIL
16980,"Quiché",14,"Chajul",5,2559,380,14,--,8,38,4,14,181,259,7,5,273,2,--,--,368,95,259,271,273,Sumas Asentadas sin cuadrar,1,d619eda604149ab939866afd1149339db33b273194cc6cc2694c42c5dee0833c,26/06/2023 00:05:48,ESCANER
16981,"Quiché",14,"Chajul",5,2559,380,25,1,0,23,9,24,194,276,5,5,286,0,286,--,--,--,276,286,286,Algún campo sin dato,1,69ce052141dc2292d2d48a7713a1520f587c0a1bcd5a3fb2bdc8acd77f5ffaa8,25/06/2023 23:21:24,ESCANER
16982,"Quiché",14,"Chajul",5,2559,380,15,0,4,41,1,17,193,271,5,5,281,0,281,--,378,97,271,281,281,Algún campo sin dato,1,5b04da0178130d52146f778954add08aeede85c1f9055a0032d2aac9972ab846,26/06/2023 00:47:53,ESCANER
16983,"Quiché",14,"Chajul",5,2560,380,23,1,5,24,6,25,203,287,4,2,293,0,293,--,380,87,287,293,293,Algún campo sin dato,1,56b92269360ba875cdbf4c46867315e9a6999c23a1917e5b9a1d8476ae1f5277,25/06/2023 20:03:49,MOVIL
16984,"Quiché",14,"Chajul",5,2560,380,23,0,3,15,3,16,213,273,7,2,282,0,282,--,380,98,273,282,282,Algún campo sin dato,1,8edf969554dea2b5bc65154104a32dde099af2fb2682048a830e6a633a65fcd6,25/06/2023 21:25:24,MOVIL
16985,"Quiché",14,"Chajul",5,2560,211,11,0,2,24,1,9,113,160,1,0,161,0,161,--,211,50,160,161,161,Algún campo sin dato,1,36e16ee44584e76ee55313ea98311fbb8bc46a036020331f0bf1b0546b47be83,25/06/2023 22:42:52,MOVIL
16986,"Quiché",14,"Chajul",5,2560,210,20,0,3,16,6,9,101,155,0,2,157,0,157,--,210,53,155,157,157,Algún campo sin dato,1,80fba5713292ccf324a1ad64765e5c84a10abf6bae4636b177301acc3a68b28e,25/06/2023 20:09:39,MOVIL
16987,"Quiché",14,"Chajul",5,2561,380,35,0,24,85,2,49,122,317,7,6,330,0,330,--,380,47,317,330,330,Algún campo sin dato,1,09ff050a7755a17e36ea1b0555e0efd60185f9e5b2458eb0b6b6504c95657fec,26/06/2023 00:26:08,MOVIL
16988,"Quiché",14,"Chajul",5,2561,380,35,3,23,48,6,48,129,292,10,5,307,0,307,--,380,70,292,307,307,Algún campo sin dato,1,f870034954785ed0104a6e70f1ae4b2aa7aae346b0a15d238d657e50e4707273,26/06/2023 02:32:15,MOVIL
