TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
206,206,100.0000,204,99.0291,2,76935,49192,63.9396

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,MLP,TODOS,VICTORIA,VAMOS,PPN,PODEMOS,UR,AZUL,VIVA,U R N G - MAIZ,CREO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17016,"Quiché",14,"Chichicastenango",6,2571,400,34,55,7,5,16,107,4,1,3,2,10,2,6,10,262,10,9,281,0,281,0,400,119,262,281,281,,1,c7d3e6a1cdb639be7fecb825434d92b958401d4565065ac2a68f708d035c241e,26/06/2023 02:54:17,ESCANER
17017,"Quiché",14,"Chichicastenango",6,2571,400,29,71,3,5,11,111,2,3,1,3,12,3,2,19,275,15,4,294,0,294,0,400,106,275,294,294,,1,afa81653f7db3f7e6157a95e10bc1184f0ff1df9a4429d8ba8fc53441dd6205b,26/06/2023 01:09:50,ESCANER
17018,"Quiché",14,"Chichicastenango",6,2571,400,33,77,5,1,21,116,2,3,2,1,12,5,2,12,292,13,3,308,0,308,0,400,92,292,308,308,,1,92995f8ad59360ed47917b20b99b14c75f2e24a7b1f670eb919785c209eb1033,26/06/2023 01:18:44,ESCANER
17019,"Quiché",14,"Chichicastenango",6,2571,400,31,72,1,7,16,118,3,0,5,3,11,6,1,14,288,15,3,306,0,306,0,400,94,288,306,306,,1,ca49f67715645d3de5e550e5aa71844f7ff4f3b415c535c8462d3763919f0b6e,26/06/2023 00:33:05,ESCANER
17020,"Quiché",14,"Chichicastenango",6,2571,400,31,71,1,7,16,105,3,--,2,1,7,2,2,14,262,8,2,272,0,272,0,400,128,262,272,272,Algún campo sin dato,1,7947dae3866dfd10e0b14fc6ad53960704055edc848582aeb5670184dc223ddd,26/06/2023 01:23:29,ESCANER
17021,"Quiché",14,"Chichicastenango",6,2571,400,34,50,3,9,11,91,2,1,4,4,4,2,3,8,226,15,4,245,0,245,0,400,155,226,245,245,,1,f410c323b0fb131a08784c4a042c6a5fa3272c87b0dbacee5cbf48448d45a9ca,26/06/2023 01:59:29,ESCANER
17022,"Quiché",14,"Chichicastenango",6,2571,400,26,63,3,3,17,103,6,0,2,0,8,2,5,9,247,15,0,262,0,400,0,400,138,247,262,262,Sumas Asentadas sin cuadrar,1,78f34416c2e460b1cc0969c6f63bbcbd2cdc0318a4550fec610ba1807bbf17a0,26/06/2023 00:51:47,ESCANER
17023,"Quiché",14,"Chichicastenango",6,2571,400,22,63,4,8,15,102,3,1,3,4,13,4,6,15,263,16,0,279,0,279,0,400,121,263,279,279,,1,4efe58f3a4d110ea3aff5ee4c12067f77dd82f971cf0e2b2a1d2ba1f7dda5274,26/06/2023 01:50:51,ESCANER
17024,"Quiché",14,"Chichicastenango",6,2571,400,24,68,2,6,13,107,2,2,0,2,8,7,3,7,251,10,10,271,0,271,--,400,129,251,271,271,Algún campo sin dato,1,15f8672037ed41f85ccee6ec7b0537c55b36c2c470c2aaf88309b25bf4c18a32,26/06/2023 01:57:15,ESCANER
17025,"Quiché",14,"Chichicastenango",6,2571,400,34,52,3,4,13,90,3,0,3,2,3,2,3,12,224,15,8,247,0,247,0,400,153,224,247,247,,1,f932d03338cde2ba0e194847d85f0d8d5b937e2fcbc0eef3b65751779b35e359,26/06/2023 02:30:05,ESCANER
17026,"Quiché",14,"Chichicastenango",6,2571,400,23,58,7,4,13,90,2,2,3,3,6,4,2,16,233,7,2,242,0,242,0,400,158,233,242,242,,1,66a9fb9c0938688a869d4e5071f74c14ce8804d500b1cf5f5d39f33414aeaae1,26/06/2023 01:57:19,ESCANER
17027,"Quiché",14,"Chichicastenango",6,2571,400,33,50,4,5,11,98,6,0,2,1,6,4,4,14,238,7,0,245,0,245,0,400,155,238,245,245,,1,4fb26d73e263737911a6f9b8ba2457231bc17e5b0485e9bc7a919b27c2d1a1aa,26/06/2023 01:04:31,ESCANER
17028,"Quiché",14,"Chichicastenango",6,2571,265,7,34,0,1,7,59,0,2,5,5,5,2,2,13,142,6,2,150,0,150,0,265,115,142,150,150,,1,95f5abc655c8c20d8b195a09c7b5efb60994fa887fbc1387800d04d3098f9185,26/06/2023 00:01:50,ESCANER
17029,"Quiché",14,"Chichicastenango",6,2571,264,19,32,1,2,8,56,2,0,1,1,4,1,0,5,132,1,3,136,128,264,--,264,128,132,136,264,Algún campo sin dato,1,473eb834001a79519d614fb71d1ada83b232510be6cd8ccae09c16fc01a7820a,26/06/2023 01:22:18,ESCANER
17030,"Quiché",14,"Chichicastenango",6,2572,400,56,48,1,6,11,138,2,3,4,4,6,4,7,23,313,9,6,328,0,328,0,400,72,313,328,328,,1,95ce782e796660b41e3637af9c87476a2f4089d0716bbf8ee1ef56585496039f,26/06/2023 00:40:02,ESCANER
17031,"Quiché",14,"Chichicastenango",6,2573,400,53,53,3,7,12,149,1,4,2,6,9,4,2,8,313,21,10,344,0,344,0,400,56,313,344,344,,1,e395fd41a59c2d2c68eb9727975635f35ca85779f469d8ecd9cb0064355b14c6,26/06/2023 02:19:27,ESCANER
17032,"Quiché",14,"Chichicastenango",6,2573,400,39,69,1,7,17,109,4,1,2,2,4,3,2,16,276,22,7,305,0,305,0,400,95,276,305,305,,1,6a354a009e66e0631da27495e3921b2b676e2017a60d5050166a5a2aea37b8dc,26/06/2023 03:03:47,ESCANER
17033,"Quiché",14,"Chichicastenango",6,2573,400,36,84,1,5,11,79,1,5,3,3,9,4,3,24,268,13,6,287,0,287,0,400,113,268,287,287,,1,ee92fbaef46494c0798e0ae97941b174150423358c3374fa61c1c5192952a769,26/06/2023 02:34:06,ESCANER
17034,"Quiché",14,"Chichicastenango",6,2573,400,54,47,1,8,8,111,4,4,1,4,4,1,1,18,266,14,5,285,0,285,0,400,115,266,285,285,,1,bfa04787434c1598e42aaa559165112d208c18d101911063a534e5142a0c274e,26/06/2023 01:12:53,ESCANER
17035,"Quiché",14,"Chichicastenango",6,2573,400,35,63,5,3,15,138,1,2,0,0,6,1,3,20,292,11,4,307,0,307,0,400,93,292,307,307,,1,ef23775e57551cc190aed27c2fb61e7d373cfc64150cfc879307bc51722beab3,26/06/2023 03:07:49,ESCANER
17036,"Quiché",14,"Chichicastenango",6,2573,400,57,56,3,3,11,119,0,0,2,0,4,3,2,13,294,11,7,293,1,294,--,400,106,273,291,292,Sumas Asentadas sin cuadrar,1,f09f634b1ab1888620726063ab9005b125cdb6b3410f375d2ccb5ed5e50280d4,26/06/2023 01:58:50,ESCANER
17037,"Quiché",14,"Chichicastenango",6,2573,400,42,51,3,6,11,95,2,8,2,1,2,2,3,17,245,19,5,269,0,269,0,400,131,245,269,269,,1,4dbccd4cf8e7bca03dee5478f7038094c40438a50c65d052ee2c1363bedbdf2a,26/06/2023 04:14:40,ESCANER
17038,"Quiché",14,"Chichicastenango",6,2574,400,45,51,0,5,7,102,2,6,4,2,7,0,1,11,243,5,2,250,0,250,0,400,150,243,250,250,,1,60325612a1997cdcd0efc91f53a8e349b6596677f4981d2f02e0ad4461e2538f,26/06/2023 01:06:55,ESCANER
17039,"Quiché",14,"Chichicastenango",6,2574,363,49,54,1,7,4,99,2,4,1,0,3,2,1,4,231,6,1,238,0,238,--,--,--,231,238,238,Algún campo sin dato,1,843690a3a1c255d2b83a18bf4034ea0d246910bb3ea2b0f33da09946d0df63fb,26/06/2023 04:08:22,ESCANER
17040,"Quiché",14,"Chichicastenango",6,2574,362,35,43,2,5,4,93,3,8,3,1,2,2,1,7,209,6,2,217,0,217,0,362,145,209,217,217,,1,f7d041f479162e7ac467b0634265db68216ceb746dc20d2b13e615db1754aaaf,25/06/2023 23:12:55,ESCANER
17041,"Quiché",14,"Chichicastenango",6,2575,400,85,93,2,7,5,72,0,0,1,1,6,0,2,6,280,13,17,310,0,310,0,397,87,280,310,310,,1,fe90890b23c2b22e1953c6ddd404519b0eb111eaa0cfbf108b805a73247f7b3f,25/06/2023 23:35:46,ESCANER
17042,"Quiché",14,"Chichicastenango",6,2575,400,86,83,2,9,2,81,1,0,1,1,5,1,3,7,282,10,8,300,0,300,--,400,100,282,300,300,Algún campo sin dato,1,6bd0b38097b02f0844209220bbfbb5da718e96d66cacb62bf1b26c68ed9817cd,26/06/2023 00:25:48,ESCANER
17043,"Quiché",14,"Chichicastenango",6,2575,255,65,49,1,4,0,41,0,1,0,1,5,1,0,9,177,2,2,181,0,181,0,252,71,177,181,181,,1,0856bb2d063bdb386e9cb15694117571c6de5f0a5ae7f90695890926d8ce8d34,26/06/2023 00:43:00,ESCANER
17044,"Quiché",14,"Chichicastenango",6,2575,254,56,44,1,3,2,32,1,0,0,0,2,0,1,7,149,2,1,152,0,152,0,254,102,149,152,152,,1,7b4a887762d94a8094d38987c1d598b62c34e87c9a34dcac0a18391c41353132,25/06/2023 23:09:15,ESCANER
17045,"Quiché",14,"Chichicastenango",6,2576,400,54,41,3,10,2,134,1,6,1,8,3,5,2,10,280,20,9,309,0,309,0,400,91,280,309,309,,1,9d2a1a6a92ffcb4cb1612153f2a44781f12910be8d8c729445226959e94aa78e,26/06/2023 01:54:59,ESCANER
17046,"Quiché",14,"Chichicastenango",6,2577,400,38,40,3,17,19,131,4,3,2,1,5,5,0,5,273,10,7,290,0,290,0,400,110,273,290,290,,1,fe80cd7eba4894bf6d9cdc13be20d680daa1b7543fe372be9762b4fe6e8f321d,26/06/2023 04:03:05,ESCANER
17047,"Quiché",14,"Chichicastenango",6,2577,400,80,34,1,2,3,110,1,5,6,3,3,6,1,10,265,6,6,277,0,277,0,400,123,265,277,277,,1,408d3c99e7221c7cffc4fd40ec9caf0b7d1cf0d5f728e9c94cb63d53fa517c74,26/06/2023 04:10:19,ESCANER
17048,"Quiché",14,"Chichicastenango",6,2577,400,63,55,5,3,6,89,2,9,3,1,4,5,1,15,261,12,12,285,0,285,0,400,115,261,285,285,,1,a2152fc98f2eb66270fdde7aa757e43200b2a0996fbcb61df82b067afd0d9005,26/06/2023 03:50:51,ESCANER
17049,"Quiché",14,"Chichicastenango",6,2577,400,76,106,2,5,4,59,0,4,1,3,1,1,0,28,290,8,8,306,0,306,0,400,94,290,306,306,,1,9bcb2c565d39da334a0e8fcd8772a47fa02b807dd99dc4338baf7cebb789227e,26/06/2023 03:55:37,ESCANER
17050,"Quiché",14,"Chichicastenango",6,2577,400,56,48,3,4,5,100,1,7,0,1,2,2,1,18,248,12,1,261,0,261,0,400,139,248,261,261,,1,0c1404ddeb4cf80ad4d5740a994576850d93e79b0318edc9cec6538c34e34c6b,26/06/2023 04:14:34,ESCANER
17051,"Quiché",14,"Chichicastenango",6,2577,400,50,32,1,5,3,117,2,6,3,6,3,3,3,12,246,14,8,268,0,268,0,399,131,246,268,268,,1,a3717894ace219b0e5141cbe12c91d459ff0600f0bc540090b335dbe403f8251,26/06/2023 03:43:42,ESCANER
17052,"Quiché",14,"Chichicastenango",6,2577,400,51,39,2,9,4,124,1,3,1,1,1,5,0,10,251,10,7,268,0,268,0,400,132,251,268,268,,1,deb5c3dfa64f981516d506dd7d9502c9d77d726150ef02f9618076067f277f9c,26/06/2023 03:44:27,ESCANER
17053,"Quiché",14,"Chichicastenango",6,2578,400,43,29,1,5,11,137,1,6,2,3,3,8,1,15,265,10,2,277,0,277,--,400,123,265,277,277,Algún campo sin dato,1,a01305156920b7744714630f162fbcdb79390e7f122b946a7515c155c7044247,26/06/2023 01:27:25,ESCANER
17054,"Quiché",14,"Chichicastenango",6,2578,400,50,53,2,6,7,100,1,6,2,1,4,3,0,9,244,8,4,256,0,256,--,400,144,244,256,256,Algún campo sin dato,1,f6ff7efcdd338ba55d28e86820622bbdcbd3f662f8b31f8bacd938a5b049dd83,26/06/2023 01:18:45,ESCANER
17055,"Quiché",14,"Chichicastenango",6,2578,400,31,42,3,5,9,95,1,7,2,1,7,2,0,7,212,10,1,223,0,223,--,400,--,212,223,223,Algún campo sin dato,1,baa1f2179444d7c4ace03a89883cc9e05292dfee51472e00cba851b4caf8aee9,26/06/2023 04:37:33,ESCANER
17056,"Quiché",14,"Chichicastenango",6,2579,400,50,34,1,3,12,95,0,4,1,1,3,4,0,14,222,5,2,229,0,229,0,400,171,222,229,229,,1,e0198aa1857da42594b3805cb7b138ce247f1cdb142853f4cc4b916b28af05ae,26/06/2023 00:26:24,ESCANER
17057,"Quiché",14,"Chichicastenango",6,2579,400,27,62,0,1,8,105,0,4,0,1,5,1,0,18,232,2,0,234,0,234,0,397,163,232,234,234,,1,6c58f9296d7a3128af4acd3be63a9ef4ee6439139477bbe5a222bfb9f5bf25ec,25/06/2023 23:53:54,ESCANER
17058,"Quiché",14,"Chichicastenango",6,2579,332,27,28,1,7,5,81,2,2,4,0,1,3,0,12,173,3,0,176,0,176,0,332,156,173,176,176,,1,aa4cad3d8326764461a0934492b917980ae4a69dd7048b44fd999383d0d1698b,26/06/2023 00:15:14,ESCANER
17059,"Quiché",14,"Chichicastenango",6,2579,332,37,42,2,6,7,79,0,5,0,1,1,0,0,10,190,4,1,195,0,195,0,329,134,190,195,195,,1,e83429caa055b4141ef7ce5fc05cdc192725c7fe4ec9c985a7dce8910e0131e0,25/06/2023 23:39:57,ESCANER
17060,"Quiché",14,"Chichicastenango",6,2580,380,45,35,2,4,27,102,0,17,4,4,4,0,3,15,262,10,8,280,0,280,0,380,100,262,280,280,,1,c49ea40b540ed4ae3e76b1ad57e1a47321c63f1223f06cf92e9b3d6068bc7dcd,26/06/2023 00:40:42,ESCANER
17061,"Quiché",14,"Chichicastenango",6,2580,380,37,44,3,7,17,104,1,15,3,2,7,2,1,23,266,5,7,278,0,278,0,377,99,266,278,278,,1,c9a3a5321085618816f800378df40bc98a42cebea0069030a0e50208cf19d24b,26/06/2023 00:26:30,ESCANER
17062,"Quiché",14,"Chichicastenango",6,2580,380,15,47,1,4,7,128,1,10,--,3,2,3,1,29,251,11,10,272,0,272,--,377,105,251,272,272,Algún campo sin dato,1,5867b929b865faf0f4ae864da4a8b1b98b78fac1846e77776e1ff85d80ca2812,26/06/2023 04:43:11,ESCANER
17063,"Quiché",14,"Chichicastenango",6,2580,380,38,38,1,16,15,138,3,10,1,3,4,2,1,36,306,10,14,330,0,330,0,375,45,306,330,330,,1,d1f22b57b3f18d6f42457e4faef0d34f3ff01d56dc0b5854d5d565d25309559e,26/06/2023 01:10:05,ESCANER
17064,"Quiché",14,"Chichicastenango",6,2580,380,23,49,3,12,9,102,0,11,0,4,1,2,2,19,237,4,8,249,0,249,0,377,128,237,249,249,,1,aeacef969bdfc52041998f7e5fd3ecbc4ed6b80e6eb97bc67a078ffc107a2e55,25/06/2023 23:26:30,ESCANER
17065,"Quiché",14,"Chichicastenango",6,2580,380,24,69,2,21,13,84,0,4,5,9,6,2,0,28,267,5,6,278,0,278,0,380,102,267,278,278,,1,fba22ebe00704ee2b9cc40ab5e7cfd152a0401adb9cf90713df7db1bceecc279,26/06/2023 00:00:10,ESCANER
17066,"Quiché",14,"Chichicastenango",6,2580,380,24,35,3,5,15,92,2,5,0,7,6,1,2,26,223,8,5,236,0,236,0,380,144,223,236,236,,1,9c54f046d8ea9a9ac512f35ae251dce0575e66729f607e3bb59f88d3a64bd942,26/06/2023 01:04:51,ESCANER
17067,"Quiché",14,"Chichicastenango",6,2581,380,16,43,4,11,7,85,2,7,2,2,4,0,2,31,216,7,8,231,1,232,0,380,148,216,231,232,,1,a566b84d153cc50003044111acd750924066729428fc6182da8b13e9957c0373,25/06/2023 23:55:33,ESCANER
17068,"Quiché",14,"Chichicastenango",6,2581,380,44,40,1,11,9,89,1,5,0,1,3,2,0,29,235,2,1,238,0,238,0,380,142,235,238,238,,1,a31c1ff4a99bc24a36721eb7573bc1e7adc0c58152e8436fd74c0cfd408b04a9,25/06/2023 22:45:28,ESCANER
17069,"Quiché",14,"Chichicastenango",6,2581,298,19,25,1,11,5,63,1,4,0,4,0,0,2,25,160,2,1,163,0,163,0,298,135,160,163,163,,1,8efdee0872b002e301e93a669ec0d0355bda254d2bf4bf2689f1cd6a04466efb,25/06/2023 22:56:43,ESCANER
17070,"Quiché",14,"Chichicastenango",6,2581,297,17,26,1,5,9,57,0,6,0,2,2,0,0,23,148,2,1,151,0,151,0,293,142,148,151,151,,1,ebb09ccc519a68bb2704bf7cb3a1c8d1f3004bb89e8399795790801f36d59970,25/06/2023 23:20:44,ESCANER
