TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
12,12,100.0000,12,100.0000,0,4418,3435,77.7501

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,CABAL,VAMOS,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17222,"Quiché",14,"Patzité",7,2597,400,19,108,149,3,279,16,2,279,0,297,--,400,103,279,297,297,Sumas Asentadas sin cuadrar,1,f052c0676667564f6f36c2af9bd0501f1ae5b2e8833655a10c802368877cae90,25/06/2023 23:55:25,ESCANER
17223,"Quiché",14,"Patzité",7,2597,400,17,103,180,3,303,15,4,322,0,322,--,400,78,303,322,322,Algún campo sin dato,1,c2eb64bbdae9b1a8ef65e3f52d2b2d2e281752286cf4cf8c606918b609236105,25/06/2023 23:27:29,ESCANER
17224,"Quiché",14,"Patzité",7,2597,400,12,120,197,3,332,13,7,352,0,352,--,400,352,332,352,352,Algún campo sin dato,1,d01560a243c202996a39f64a233e20b821d9ee0eb4c5afaac6b0aac52a877773,26/06/2023 01:08:41,ESCANER
17225,"Quiché",14,"Patzité",7,2597,400,12,116,176,4,308,18,10,336,0,336,--,397,61,308,336,336,Algún campo sin dato,1,3b41969e2fcb303e35a136cadf3b82bd524db97ab972f606cdb105c7c7025f47,26/06/2023 01:25:26,ESCANER
17226,"Quiché",14,"Patzité",7,2597,400,21,115,182,2,320,10,7,337,63,400,--,400,63,320,337,400,Algún campo sin dato,1,afb28bac78836c2214a238c16eaf4cb2a1ca019fdadeca6e568263f2c9a89052,26/06/2023 00:30:28,ESCANER
17227,"Quiché",14,"Patzité",7,2597,400,17,108,145,1,271,7,1,279,0,279,--,400,121,271,279,279,Algún campo sin dato,1,afdade52ea0b0e2b6bf687683956906e123b6b9261788c12f052e1f6ab1eb131,26/06/2023 00:08:06,ESCANER
17228,"Quiché",14,"Patzité",7,2597,400,13,119,136,1,269,6,4,279,118,397,--,397,118,269,279,397,Algún campo sin dato,1,499c6797df095875fcd85694e65dd820c8079cc7fd8bf5b9ae88ed3526e89086,26/06/2023 03:27:55,ESCANER
17229,"Quiché",14,"Patzité",7,2597,400,13,118,129,3,263,8,2,273,0,273,--,400,127,263,273,273,Algún campo sin dato,1,2b87c318bb3b7c5c18a69420c77757114470a0263d7157bef4945b3728f33c82,26/06/2023 00:33:17,ESCANER
17230,"Quiché",14,"Patzité",7,2597,400,9,120,143,0,272,4,122,398,1,399,--,397,122,272,398,399,Algún campo sin dato,1,5aaa0c57ae1f40ee5e5d9b91f83a4a3cbef759487df667232b98ae75fa44f807,26/06/2023 00:51:48,ESCANER
17231,"Quiché",14,"Patzité",7,2597,400,18,108,147,0,273,7,1,281,116,397,--,397,116,273,281,397,Algún campo sin dato,1,33ea5a2b0686fe1ee3403c58fa3472804d62520c22757c2f24f135bb8262eb88,26/06/2023 00:22:56,ESCANER
17232,"Quiché",14,"Patzité",7,2597,209,7,63,75,0,145,3,0,148,0,148,--,209,61,145,148,148,Algún campo sin dato,1,aa119d081b71c8b9a1fe7120c4223277a18b4d4a1672f016da7ebf8b3f6afd6d,25/06/2023 22:58:03,ESCANER
17233,"Quiché",14,"Patzité",7,2597,209,4,59,68,0,131,1,1,133,0,133,--,209,76,131,133,133,Algún campo sin dato,1,93b2316d5a73fc2512f37963ad12a60d999afe0570538dd5d90752e142314081,25/06/2023 22:08:29,ESCANER
