TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
42,42,100.0000,42,100.0000,0,15728,12975,82.4961

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17234,"Quiché",14,"San Antonio Ilotenango",8,2598,400,119,199,1,319,10,5,334,0,334,--,399,65,319,334,334,Algún campo sin dato,1,23f13eb3db513118957ff01d73e75a22fe2d3e8d66baece030b6e869bbb8a6cc,25/06/2023 22:34:50,ESCANER
17235,"Quiché",14,"San Antonio Ilotenango",8,2598,400,146,187,3,336,3,5,344,0,344,--,400,56,336,344,344,Algún campo sin dato,1,9e4a5b03417ad8f803d05442c0c2a6ecb3309326e2036bc52aee45d51ff8cef4,25/06/2023 22:14:42,ESCANER
17236,"Quiché",14,"San Antonio Ilotenango",8,2598,400,153,184,1,338,3,51,392,8,400,--,400,51,338,392,400,Algún campo sin dato,1,3ca450c8fd3d5af32b6d06f0843a625c2241dc4c71f8f02644167d358217f1c2,26/06/2023 00:07:53,ESCANER
17237,"Quiché",14,"San Antonio Ilotenango",8,2598,400,129,194,0,323,5,8,336,0,336,--,400,64,323,336,336,Algún campo sin dato,1,7af42818799a81b1f22f7ab36cc0bd00fed5d4cf3c118e01219bec51a5c04774,25/06/2023 23:42:14,ESCANER
17238,"Quiché",14,"San Antonio Ilotenango",8,2598,400,151,171,0,322,5,2,329,0,329,--,400,71,322,329,329,Algún campo sin dato,1,6e4c9fb80fe4a7358c332da1d79b4364d1213a585ff53ab3ff43bba6561e02b4,26/06/2023 00:03:38,ESCANER
17239,"Quiché",14,"San Antonio Ilotenango",8,2599,400,122,176,0,298,6,1,305,0,305,--,397,92,298,305,305,Algún campo sin dato,1,1f379c01f8ad57922b48eb1c3acb5604e534f669f5e9957e69e731e69a1e9e83,25/06/2023 22:59:22,ESCANER
17240,"Quiché",14,"San Antonio Ilotenango",8,2600,400,90,206,1,297,3,2,302,0,302,--,400,98,297,302,302,Algún campo sin dato,1,3b03a304385a6219e520b42fe1ce8af170ce1c46292a0ff96f121a373e18405c,25/06/2023 23:04:46,ESCANER
17241,"Quiché",14,"San Antonio Ilotenango",8,2600,400,81,207,3,291,2,2,295,0,295,--,400,105,291,295,295,Algún campo sin dato,1,0a0104d2c7d029192eec193e78c02eb44012524b660fc14f0e035f102e137397,25/06/2023 22:27:11,ESCANER
17242,"Quiché",14,"San Antonio Ilotenango",8,2601,400,89,175,1,265,4,1,270,0,270,--,400,130,265,270,270,Algún campo sin dato,1,8ca563d94342a7cf095eb231fb6a2f921d331692f05ae9d4367310502407d7da,25/06/2023 22:42:24,MOVIL
17243,"Quiché",14,"San Antonio Ilotenango",8,2601,400,141,193,1,335,--,1,336,--,336,--,397,61,335,336,336,Algún campo sin dato,1,d68acc7fd3e636c1c19697f77c2bd34c89cef2a5b493460a593c214cf5c5127d,25/06/2023 23:25:37,ESCANER
17244,"Quiché",14,"San Antonio Ilotenango",8,2601,400,134,198,1,333,2,1,336,0,336,--,397,61,333,336,336,Algún campo sin dato,1,7a20596575dff79086ad8dc3241b4c642d6a766f206d9169aa5e3f79d82af669,26/06/2023 01:23:42,ESCANER
