TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
51,51,100.0000,51,100.0000,0,19594,12986,66.2753

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,PODEMOS,UNE,VIVA,MLP,PPN,VAMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17276,"Quiché",14,"San Pedro Jocopilas",9,2607,400,58,7,2,69,3,57,30,36,262,12,8,282,0,0,--,400,118,262,282,282,Algún campo sin dato,1,826fc4d462c90a798fafa55561653780592db56173b364c4873dcd3f4d7251d6,26/06/2023 04:14:03,ESCANER
17277,"Quiché",14,"San Pedro Jocopilas",9,2607,400,62,8,10,57,2,56,28,18,241,0,9,250,8,258,--,400,143,241,250,258,Algún campo sin dato,1,bac5a49e0760cf9d330df3f9c0cc61320184f40ec7efb3395a3106b4573b120d,26/06/2023 00:56:23,ESCANER
17278,"Quiché",14,"San Pedro Jocopilas",9,2607,400,57,9,11,59,1,58,27,24,246,15,13,274,0,274,--,397,124,246,274,274,Algún campo sin dato,1,0b094fdecb9cf5c0bbe1c2cffa3312eb7d57000d64f366993e1223b32afad836,26/06/2023 01:30:06,ESCANER
17279,"Quiché",14,"San Pedro Jocopilas",9,2608,400,72,10,7,66,0,66,32,13,266,19,10,295,0,295,0,400,105,266,295,295,,1,0f93723406ca5a2b95393c62724d5aa69ebbbdabe6ee99ef439c138a2144b645,26/06/2023 03:49:54,ESCANER
17280,"Quiché",14,"San Pedro Jocopilas",9,2608,400,104,7,4,33,1,55,59,17,309,20,9,309,0,309,--,400,91,280,309,309,Sumas Asentadas sin cuadrar,1,ff5d42bff7680f416540b693d0c3ae56bbcbbd14a805e28ce688464c0c26bf00,26/06/2023 01:39:16,ESCANER
17281,"Quiché",14,"San Pedro Jocopilas",9,2608,400,88,6,13,62,1,56,23,36,285,19,14,318,0,318,--,400,82,285,318,318,Algún campo sin dato,1,e7766f74ce9dc8d2d0ce3cef44466f849a18609b9fbb8e6b5cdcc97cdf722447,26/06/2023 03:39:36,ESCANER
17282,"Quiché",14,"San Pedro Jocopilas",9,2608,400,132,3,6,65,3,41,19,16,285,14,12,311,0,311,--,--,--,285,311,311,Algún campo sin dato,1,a25fb0a4e8877ee03fe59d5e4852f78e4ac37a2e840436a6459b6efa12f2a9ab,25/06/2023 22:48:03,ESCANER
17283,"Quiché",14,"San Pedro Jocopilas",9,2608,400,86,11,9,63,1,50,39,29,288,23,10,321,0,321,--,400,79,288,321,321,Algún campo sin dato,1,7ecbe37eb6f37ba540bee9f04e4715a1115f46aea477a2f5544b967c6177d730,26/06/2023 01:40:24,ESCANER
17284,"Quiché",14,"San Pedro Jocopilas",9,2609,400,135,21,9,72,5,28,15,15,300,13,9,322,--,322,--,397,75,300,322,322,Algún campo sin dato,1,4c56d1ab3e922c63927fcc542e913acd722339538d99ca5358a9dd5977c15815,26/06/2023 04:49:43,ESCANER
17285,"Quiché",14,"San Pedro Jocopilas",9,2609,400,91,19,10,95,3,46,12,22,298,12,13,323,0,323,--,400,77,298,323,323,Algún campo sin dato,1,c29da7f4454989382714e63004b0e478664f10351e4e101e569c5e9c904f9300,26/06/2023 03:58:47,ESCANER
17286,"Quiché",14,"San Pedro Jocopilas",9,2609,400,19,12,6,92,4,69,52,27,281,21,12,314,0,314,0,400,86,281,314,314,,1,9fc3efdd11f1d7b6f2af82c40f368010a2310b0dd37bd575f91f11a965a97f91,26/06/2023 00:33:50,ESCANER
17287,"Quiché",14,"San Pedro Jocopilas",9,2609,400,53,7,4,108,1,78,29,15,295,9,9,397,0,397,0,0,0,295,313,313,Sumas Asentadas sin cuadrar,1,16f487f6ca49e613a42980e4ca0adf06a770dfbc1a33c84f0dfce9c5264b95c9,26/06/2023 01:54:05,ESCANER
17288,"Quiché",14,"San Pedro Jocopilas",9,2609,400,60,11,4,75,0,53,21,16,240,6,2,248,0,248,0,400,152,240,248,248,,1,d33162526d410e4893f9aa89fc49b7e5fa40aa9bba166c6580e4704bf30484d4,26/06/2023 01:59:58,ESCANER
17289,"Quiché",14,"San Pedro Jocopilas",9,2609,400,67,10,5,66,2,58,22,19,249,14,2,265,0,265,--,400,135,249,265,265,Algún campo sin dato,1,f3367b264b60a82267aa6a62fa357edec29f57cd597c1024968c94e1deb48ce2,26/06/2023 01:21:54,ESCANER
17290,"Quiché",14,"San Pedro Jocopilas",9,2609,400,65,9,5,66,--,41,16,23,225,5,5,235,0,235,--,400,165,225,235,235,Algún campo sin dato,1,6e48884b6172a895310021eae60ac2d48a57a730d3b2a19149603174bd97403d,26/06/2023 02:18:12,ESCANER
17291,"Quiché",14,"San Pedro Jocopilas",9,2609,400,65,11,5,54,1,44,33,35,248,12,7,267,133,400,0,400,133,248,267,400,,1,52dc91495b61fcdadd689a823e1b68336707f11bcd4721fae29f4305bfe10bca,26/06/2023 02:18:59,ESCANER
17292,"Quiché",14,"San Pedro Jocopilas",9,2610,400,65,9,5,53,1,52,25,19,229,14,9,252,0,252,--,397,145,229,252,252,Algún campo sin dato,1,d25f70ea4a147300d26cb4b174fd73f0540be5aff480a7e1e6b2056bd1154412,26/06/2023 00:59:21,ESCANER
17293,"Quiché",14,"San Pedro Jocopilas",9,2610,400,55,12,5,84,0,49,20,19,244,5,3,252,0,252,--,400,148,244,252,252,Algún campo sin dato,1,178df3311b701d824161133d7b9fcd1f1df84ff14653f821ea012d6b31bb08e1,25/06/2023 23:25:53,ESCANER
17294,"Quiché",14,"San Pedro Jocopilas",9,2610,400,65,15,1,64,0,42,16,19,222,7,3,232,0,232,--,400,168,222,232,232,Algún campo sin dato,1,b40a514525fb152b3a62d1002546459457ceb2ac5c9f41fde72300517b853de1,26/06/2023 00:00:20,ESCANER
17295,"Quiché",14,"San Pedro Jocopilas",9,2610,400,57,12,3,65,0,32,31,17,217,0,1,218,0,218,--,400,178,217,218,218,Algún campo sin dato,1,e467dde7b799a1cd6e4788505f788bd54c0740ddac41cecaa5d7640f9f32ad84,26/06/2023 00:31:17,ESCANER
17296,"Quiché",14,"San Pedro Jocopilas",9,2610,400,57,6,1,61,1,40,24,20,210,0,0,210,0,0,--,398,190,210,210,210,Algún campo sin dato,1,9615b80da9efdcdbf5a83f1a3a7daa17e7920714e4848294395887ce241716f1,26/06/2023 03:24:39,ESCANER
17297,"Quiché",14,"San Pedro Jocopilas",9,2610,393,77,7,0,8,1,24,21,21,219,2,4,225,1,226,--,390,164,159,165,166,Sumas Asentadas sin cuadrar,1,11d9b45afdb82a5046920bf27bd937f4d76a30a166eadc1e74e8392eda12bc84,26/06/2023 03:55:12,ESCANER
17298,"Quiché",14,"San Pedro Jocopilas",9,2610,392,39,8,5,75,2,54,20,20,223,6,2,231,0,231,--,--,--,223,231,231,Algún campo sin dato,1,c9959e7dba509641fcf9204f9c92b4d33ee46c36b35de7a9427d8afd2ae70e20,26/06/2023 01:05:21,ESCANER
17299,"Quiché",14,"San Pedro Jocopilas",9,2611,380,26,22,11,86,0,49,19,27,240,13,9,262,0,262,--,380,118,240,262,262,Algún campo sin dato,1,970c4dca3e42934774f4be7ee2bfda7fdef5ad6c72dc2c9959ed50f55bbe5da8,26/06/2023 00:42:45,ESCANER
17300,"Quiché",14,"San Pedro Jocopilas",9,2611,380,26,40,30,60,0,39,31,36,262,21,12,295,0,295,0,380,85,262,295,295,,1,808a14e516e3929fedc6b17bcda9bf0a6be587e7596ac8b3f5608f8e50242aeb,25/06/2023 23:53:43,ESCANER
17301,"Quiché",14,"San Pedro Jocopilas",9,2611,380,23,22,21,96,1,21,29,29,242,16,18,276,0,276,--,380,104,242,276,276,Algún campo sin dato,1,2874e78ccc6e32b37d4026da6448c44614a4d38793488519e6ec3661b6968dc2,26/06/2023 00:02:34,ESCANER
17302,"Quiché",14,"San Pedro Jocopilas",9,2611,380,13,19,13,123,0,47,36,13,264,24,11,299,0,299,0,380,81,264,299,299,,1,add62c96ac0f9d4aaa82f017d765c19156b574bf3e24fd99417f24e35948e7dd,25/06/2023 23:45:48,ESCANER
17303,"Quiché",14,"San Pedro Jocopilas",9,2612,380,22,25,11,129,0,30,29,16,262,14,15,291,0,291,--,377,86,262,291,291,Algún campo sin dato,1,5304dddab42a30f93b59df3dd13abff63ed5c61d5a76a93670387a1591d92b04,26/06/2023 00:19:10,ESCANER
17304,"Quiché",14,"San Pedro Jocopilas",9,2612,380,20,18,12,100,1,30,21,13,215,5,5,225,--,--,--,--,--,215,225,225,Algún campo sin dato,1,46e75a0adaf5f4a0825ea52fde8937b2f21e58aed670f1dce001e1f6416c1db9,25/06/2023 23:20:55,ESCANER
17305,"Quiché",14,"San Pedro Jocopilas",9,2613,380,20,29,6,65,0,42,18,16,196,8,5,209,0,209,--,380,168,196,209,209,Algún campo sin dato,1,fffa89a38b49534c961136e00146f280cfc82bf2711b4aba3a030387275e1dbb,25/06/2023 23:47:18,ESCANER
17306,"Quiché",14,"San Pedro Jocopilas",9,2613,380,21,23,14,79,0,35,26,12,210,23,11,244,0,244,--,380,136,210,244,244,Algún campo sin dato,1,d40c9672615faa38a2c5b7462378c36fc25d0d1e7a9d2993c80a48a14ab16e79,26/06/2023 00:11:06,ESCANER
17307,"Quiché",14,"San Pedro Jocopilas",9,2614,380,15,23,10,107,1,30,16,17,219,6,3,228,0,228,--,380,152,219,228,228,Algún campo sin dato,1,a5e746846e48ac8c07468eb96c58ffaa0fb5af149e6c6440069ec76680e96c24,25/06/2023 22:51:23,ESCANER
17308,"Quiché",14,"San Pedro Jocopilas",9,2614,339,13,17,11,90,0,27,11,8,177,0,2,179,0,179,--,339,160,177,179,179,Algún campo sin dato,1,9737d6f0530f646d8b2a49e7b52eae6d524a02517ffc327dfcc5d58ee65b1276,25/06/2023 22:29:28,ESCANER
17309,"Quiché",14,"San Pedro Jocopilas",9,2614,338,18,19,7,83,1,34,9,12,183,9,4,196,0,196,--,--,--,183,196,196,Algún campo sin dato,1,59d77768948278c6cb9b68c280df6246a17f4f07ddb59ae8922372241a27c7bc,25/06/2023 23:18:55,ESCANER
17310,"Quiché",14,"San Pedro Jocopilas",9,2615,380,33,49,9,103,--,25,48,11,278,16,11,305,--,305,--,380,75,278,305,305,Algún campo sin dato,1,6757fc1cdb7f7c21fb4caf81cca7279dc2495f2f139a1f818a6e05280f61e2ee,26/06/2023 02:50:00,ESCANER
17311,"Quiché",14,"San Pedro Jocopilas",9,2615,380,39,30,6,127,1,16,50,12,281,9,10,300,--,300,--,380,80,281,300,300,Algún campo sin dato,1,5fb1c86b1718e3bdb897982217ec4616bf06801f34cdacd8d0ec8d4a434607fd,26/06/2023 01:36:35,ESCANER
17312,"Quiché",14,"San Pedro Jocopilas",9,2615,380,31,38,5,93,2,39,58,10,276,6,8,290,87,377,--,--,--,276,290,377,Algún campo sin dato,1,d1b5e3a9f7c8f8583b4886005767efb47ebaeced47aa59129bc214086471e4e2,26/06/2023 01:44:06,ESCANER
17313,"Quiché",14,"San Pedro Jocopilas",9,2615,380,36,33,5,65,--,43,75,16,273,11,14,298,--,298,--,379,82,273,298,298,Algún campo sin dato,1,c5e00803a45f4ec56438bad5dd775a1e824570759f7af8c5e4d5bddf1406772b,26/06/2023 01:17:30,ESCANER
17314,"Quiché",14,"San Pedro Jocopilas",9,2615,380,42,35,3,76,4,31,47,4,242,5,45,252,0,252,--,--,--,242,292,292,Sumas Asentadas sin cuadrar,1,86aa5b7d3e689c4fc2b03f44e5b49d862f181b088e7a5de715bc75244be50b71,26/06/2023 04:26:41,ESCANER
