TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,22682,14702,64.8179

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,MLP,TODOS,MI FAMILIA,WINAQ,VIVA,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17327,"Quiché",14,"Cunén",10,2621,400,106,21,78,7,2,2,1,4,2,30,253,12,3,268,0,268,--,400,132,253,268,268,Algún campo sin dato,1,29148d90c950891ab90501d50419e3ee32352d36e95106f9e573f72020acdbf1,25/06/2023 22:33:58,ESCANER
17328,"Quiché",14,"Cunén",10,2621,400,104,19,79,8,1,5,1,4,1,31,253,13,2,268,0,268,--,400,132,253,268,268,Algún campo sin dato,1,5f55c2241e61aaff5782932741867ba2254cab612ab87c4c4d29f732d5cb3329,25/06/2023 23:18:16,ESCANER
17329,"Quiché",14,"Cunén",10,2621,400,108,10,93,7,1,5,0,5,2,20,251,12,6,269,0,269,--,400,131,251,269,269,Algún campo sin dato,1,b531e583dae90960afd89b4cf967884e1b4d3bc224564580a0c340901f3e6d01,26/06/2023 01:11:17,ESCANER
17330,"Quiché",14,"Cunén",10,2621,400,130,21,83,3,1,5,0,3,0,26,272,16,6,294,0,294,--,400,106,272,294,294,Algún campo sin dato,1,cbb38dc68a6e1c5503be56085791d1ca15732804192e694cff8b60dc552d1bc9,26/06/2023 00:35:48,ESCANER
17331,"Quiché",14,"Cunén",10,2621,400,129,12,73,7,1,12,3,4,2,26,269,15,5,289,0,289,--,400,111,269,289,289,Algún campo sin dato,1,2b44a11ac8a3cfed5a0bf1fa795b7b820a41a5c3d8efc96c8f98a59918682817,26/06/2023 00:09:22,ESCANER
17332,"Quiché",14,"Cunén",10,2621,400,113,24,73,4,2,3,2,6,0,38,265,16,6,287,0,287,--,400,113,265,287,287,Algún campo sin dato,1,81901520504d58a0b8936936ed9b7e992026d3f34cf0baecada1808b740ec3e8,26/06/2023 00:47:37,ESCANER
17333,"Quiché",14,"Cunén",10,2621,400,118,25,82,8,3,2,1,5,1,34,279,15,5,299,--,--,--,400,101,279,299,299,Algún campo sin dato,1,f292d7e3b0c6f480b21647cf7718938cfee7c9587d115558d20a659fe6745888,25/06/2023 23:57:52,ESCANER
17334,"Quiché",14,"Cunén",10,2621,400,121,26,85,5,3,2,0,2,0,27,271,19,3,293,0,293,--,400,107,271,293,293,Algún campo sin dato,1,a4a6f935f33837bbe0a73ff3f5cda5769a049c9a4b8d342a3752329eb7d096ee,25/06/2023 23:38:51,ESCANER
17335,"Quiché",14,"Cunén",10,2621,400,121,30,68,9,1,5,1,4,0,28,267,20,6,293,0,293,--,398,105,267,293,293,Algún campo sin dato,1,49b614d832c9cafb1945943ba7e7c7cb3e07bd6c44cb8e9a813f4ce018c55db3,26/06/2023 00:31:31,ESCANER
17336,"Quiché",14,"Cunén",10,2622,400,108,17,79,7,0,3,1,3,0,31,249,8,1,258,0,258,--,400,142,249,258,258,Algún campo sin dato,1,faba60799575a4820887ff95e14acea823cff187a46fab252d6968b101b731a1,26/06/2023 01:07:44,ESCANER
17337,"Quiché",14,"Cunén",10,2622,400,88,13,87,1,1,7,0,5,0,22,224,7,2,233,0,233,--,400,167,224,233,233,Algún campo sin dato,1,d8e85473e02302e8bc2604123c6e78a3c1bfa4be16d40fd48703acd80fb6c0f5,26/06/2023 00:04:29,ESCANER
17338,"Quiché",14,"Cunén",10,2622,400,86,20,73,11,4,4,1,1,0,29,229,12,2,243,1,244,--,397,153,229,243,244,Algún campo sin dato,1,43accf9f682450134d0c3bd28f54825c3769155264b859da52fc0b18a25630cb,26/06/2023 01:01:13,ESCANER
17339,"Quiché",14,"Cunén",10,2622,400,103,19,79,9,4,5,1,6,0,22,248,7,1,256,0,256,--,402,146,248,256,256,Algún campo sin dato,1,c01c37616321f1e080df053ea41091355fb57a001ba8db4b1a4d68075ba91682,26/06/2023 00:26:47,ESCANER
17340,"Quiché",14,"Cunén",10,2623,400,111,7,71,3,0,2,1,5,1,29,230,11,4,245,1,246,--,400,154,230,245,246,Algún campo sin dato,1,964b7142fcace595b54b04266fe3885ecfc90d56b0346926426961c693e6cbfc,26/06/2023 00:20:12,MOVIL
17341,"Quiché",14,"Cunén",10,2623,400,71,17,75,13,1,1,--,4,--,29,211,13,--,224,--,224,--,400,176,211,224,224,Algún campo sin dato,1,0cf272429fb8253cb20b6d1c30b27726fe8f566f8f170263f58bc4cd16ac9246,26/06/2023 01:21:17,ESCANER
17342,"Quiché",14,"Cunén",10,2623,400,81,18,82,5,3,7,1,0,0,22,219,0,0,219,0,219,--,400,181,219,219,219,Algún campo sin dato,1,84e1391f54287286ae4c57d9700b26c82106bebe7f2a456aec580b6d2b4b370a,25/06/2023 22:09:08,MOVIL
17343,"Quiché",14,"Cunén",10,2624,400,82,26,82,5,2,5,0,2,0,21,225,0,0,225,0,225,--,400,175,225,225,225,Algún campo sin dato,1,6c11d63656e745f6c237e3df2d98cb2ef8d1a06db271863f0d955bcd0a0c6875,25/06/2023 22:42:49,ESCANER
17344,"Quiché",14,"Cunén",10,2624,400,101,22,63,4,1,4,0,1,0,18,214,0,1,215,0,215,--,400,185,214,215,215,Algún campo sin dato,1,f749cc208cf2c2239ce121633be6d8ae3c6e3604b321c9e09a669cfd3e2f2019,26/06/2023 01:14:10,ESCANER
17345,"Quiché",14,"Cunén",10,2624,366,72,11,59,1,0,2,1,0,0,20,166,1,1,168,0,168,--,362,194,166,168,168,Algún campo sin dato,1,2eadb4101a60bd4d74190fbf8c814ed7cfa3e5d202f1eb28d4f312cd7ee38944,25/06/2023 23:18:00,ESCANER
17346,"Quiché",14,"Cunén",10,2624,366,70,14,69,3,1,1,1,1,0,18,178,5,1,184,0,184,--,--,--,178,184,184,Algún campo sin dato,1,e256fc148ea75eded4f3a43b293ced76bc501d30d83ca561c78f3b0bb13d09b8,26/06/2023 00:15:23,ESCANER
17347,"Quiché",14,"Cunén",10,2625,380,96,50,58,2,2,0,1,8,0,24,241,18,6,265,0,265,1,380,114,241,265,265,,1,4c57f4ee88e309eeb1824e183f57f75bbfcd193f2ba674472644935b8b95be65,26/06/2023 01:47:46,ESCANER
17348,"Quiché",14,"Cunén",10,2625,380,88,48,70,1,3,1,1,9,1,30,252,14,14,280,0,280,--,380,100,252,280,280,Algún campo sin dato,1,2dcad6abdf9eb3a9239b83579904446eb04b1994201d93c371f81e1bb1ac63d1,25/06/2023 22:28:47,ESCANER
17349,"Quiché",14,"Cunén",10,2625,380,101,58,67,3,3,0,0,10,0,25,267,18,12,297,0,297,--,380,83,267,297,297,Algún campo sin dato,1,f188e3a296b32107f2825d8ad512b0d29714bbe40256fc82eaea40bf0f7d4677,25/06/2023 23:42:43,ESCANER
17350,"Quiché",14,"Cunén",10,2625,380,86,59,45,1,6,2,0,7,1,26,233,37,5,275,0,275,--,380,105,233,275,275,Algún campo sin dato,1,d996e1ed4bcfc94ca83fa1a6bc41cd704bfc333bce468b42edb2a54db2d97836,26/06/2023 00:22:40,ESCANER
