TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
47,47,100.0000,47,100.0000,0,17887,14428,80.6619

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VAMOS,MLP,UNE,SEMILLA,VICTORIA,VIVA,AZUL,PPN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17388,"Quiché",14,"San Juan Cotzal",11,2634,400,131,83,0,2,1,5,20,3,1,82,328,3,4,335,0,335,0,400,65,328,335,335,,1,5a8255bc8959c0ec87cd7caee09d5195fc0929d83b870f4ed9e07e19d35571a4,26/06/2023 01:25:23,ESCANER
17389,"Quiché",14,"San Juan Cotzal",11,2635,400,116,72,1,4,1,5,19,2,1,78,299,7,4,310,0,310,0,400,310,299,310,310,,1,e3672958492cb2f20e185385e314f79f8f62eac4671ba5339dc11026724628e9,25/06/2023 23:47:21,ESCANER
17390,"Quiché",14,"San Juan Cotzal",11,2635,400,122,81,1,5,4,3,20,0,1,80,317,10,4,331,0,331,0,400,69,317,331,331,,1,ee240c82631270765b5b6a5ce1a04f691eaf767f153e14d2e4ea0c8b8cef50d7,26/06/2023 00:21:32,ESCANER
17391,"Quiché",14,"San Juan Cotzal",11,2636,400,124,91,0,2,3,1,20,3,0,95,339,11,2,352,0,352,0,400,48,339,352,352,,1,a7784518fefe07066a399680061cb73bf873f15c5b95b65c3a2751820f002e3a,26/06/2023 00:56:01,ESCANER
17392,"Quiché",14,"San Juan Cotzal",11,2636,400,128,89,0,2,1,2,16,2,1,94,335,5,6,346,54,400,0,400,54,335,346,400,,1,537e3d7657aefc732cae3b73220aa8271a5d521002f9b359694bc4e52d4a5c30,26/06/2023 01:41:02,ESCANER
17393,"Quiché",14,"San Juan Cotzal",11,2636,400,115,85,1,7,5,0,32,2,2,88,337,8,2,347,0,347,0,398,51,337,347,347,,1,89929be95d37bb44c3847effdadcf4fca5483800ee6d9a922931f78847ed48e7,26/06/2023 01:09:14,ESCANER
17394,"Quiché",14,"San Juan Cotzal",11,2637,400,150,78,1,1,1,1,25,1,2,89,353,4,0,353,0,353,0,400,44,349,353,353,Sumas Asentadas sin cuadrar,1,d055d45aed851fbbc016950ff5fbd1d6445b195084c454eb7c45c39f5db986d4,26/06/2023 01:32:59,ESCANER
17395,"Quiché",14,"San Juan Cotzal",11,2637,400,127,76,0,3,2,1,12,2,1,71,295,6,2,303,0,303,--,400,97,295,303,303,Algún campo sin dato,1,94ff8ec8d7257d5842258af14a89d314e9b274fbce3d3fa134a2f05efd50d491,26/06/2023 01:36:47,ESCANER
17396,"Quiché",14,"San Juan Cotzal",11,2637,400,105,83,1,3,1,2,26,1,2,78,302,11,2,315,0,315,0,400,85,302,315,315,,1,cb471e8f451b1286ca7ea2d4be3b418a0b02daaddc0ef98ed8977840a57a4f33,26/06/2023 01:10:43,ESCANER
17397,"Quiché",14,"San Juan Cotzal",11,2638,400,113,70,5,0,4,3,17,2,0,77,292,5,2,7,0,299,--,397,98,291,298,298,Sumas Asentadas sin cuadrar,1,86813bf67700b91024d47b8cb92ce2649a30d1fa1806b5d3de8e426f4ff21bc9,26/06/2023 01:10:22,ESCANER
