TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
123,123,100.0000,123,100.0000,0,45663,25133,55.0401

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,MLP,PPN,AZUL,VAMOS,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17435,"Quiché",14,"Joyabaj",12,2646,400,12,16,2,47,3,68,9,66,223,9,4,236,0,236,--,400,164,223,236,236,Algún campo sin dato,1,4861247e191a52999244dcd5b207b981a402604dc329fa3a22a361fc8cca324f,25/06/2023 23:39:14,ESCANER
17436,"Quiché",14,"Joyabaj",12,2646,400,1,13,2,51,0,60,4,78,209,18,8,235,0,235,--,400,165,209,235,235,Algún campo sin dato,1,2739b62543d00c16b95df0bd75dba0c75c16dc214f63c10b46382e640e938e98,25/06/2023 22:30:48,ESCANER
17437,"Quiché",14,"Joyabaj",12,2646,400,5,15,1,76,0,62,2,51,212,18,3,233,0,233,--,400,167,212,233,233,Algún campo sin dato,1,736b1a516108fca1e597941ed1c1540da42bf10d32dfcd947f2578c2566ac549,25/06/2023 22:30:20,ESCANER
17438,"Quiché",14,"Joyabaj",12,2646,400,3,8,1,67,--,104,9,53,245,14,3,262,--,--,--,400,138,245,262,262,Algún campo sin dato,1,efc72d8bca991fce62734be1b02f9833d18a6314c17ba8c1dd033bb63f385d06,25/06/2023 22:04:27,ESCANER
17439,"Quiché",14,"Joyabaj",12,2646,400,3,20,1,57,1,96,7,68,253,12,4,269,0,269,0,400,131,253,269,269,,1,18c0fecfe4c98d1d3824166eca8e5fe86b1a74ad0d761f62f7c8dea94b48073f,25/06/2023 22:35:14,ESCANER
17440,"Quiché",14,"Joyabaj",12,2646,400,5,23,1,69,3,65,5,69,240,12,7,259,0,259,--,401,142,240,259,259,Algún campo sin dato,1,cd564e06dc300dd105b90c44212e8a00b44d1b69ca44c3627f88092717b39a99,25/06/2023 22:42:54,ESCANER
17441,"Quiché",14,"Joyabaj",12,2646,400,4,9,3,61,3,63,6,71,220,12,7,239,0,239,--,--,--,220,239,239,Algún campo sin dato,1,67ef48300e2295515792293a40a670cfc42d5ac893b443e112cbea2dbb0d537e,25/06/2023 22:22:52,ESCANER
17442,"Quiché",14,"Joyabaj",12,2646,400,12,16,4,76,0,45,11,47,211,15,7,233,0,233,--,400,167,211,233,233,Algún campo sin dato,1,a82d8532f746c84ed1a676d65ed0fffd58715e281480ca6d622dedc0ff090e81,25/06/2023 22:52:59,ESCANER
17443,"Quiché",14,"Joyabaj",12,2647,400,8,17,0,79,1,54,5,60,224,8,8,240,0,240,--,400,160,224,240,240,Algún campo sin dato,1,3faac4a2e9718d49e35be85a3a5192728ded9f5e6574eaf9ff7bbb1f93197be2,25/06/2023 22:04:48,ESCANER
17444,"Quiché",14,"Joyabaj",12,2647,400,5,26,4,48,1,68,9,71,232,14,1,247,0,247,0,400,153,232,247,247,,1,bb88ae5d24a8f2ca38fc7f501e9767983746208bb209234dc13c93fff2b11a5f,25/06/2023 22:33:27,ESCANER
17445,"Quiché",14,"Joyabaj",12,2647,400,7,11,2,102,0,71,2,34,239,10,0,239,0,239,--,400,161,229,239,239,Sumas Asentadas sin cuadrar,1,a0627803ae90d27666554dbccf980664e170e21fa957f0376f5900829863aa6b,26/06/2023 04:51:10,ESCANER
17446,"Quiché",14,"Joyabaj",12,2647,400,3,11,3,67,1,59,4,60,208,12,6,226,0,226,--,400,174,208,226,226,Algún campo sin dato,1,6bedefc7ebdb0bec51af3d5d63bdc4c5923206f29a20ba9e389a3a056f54999a,25/06/2023 23:10:51,ESCANER
17447,"Quiché",14,"Joyabaj",12,2647,400,6,11,1,49,1,52,4,62,186,3,1,190,0,190,--,400,210,186,190,190,Algún campo sin dato,1,5e13681108f63a654548657991311c7842f0fe5c7c2e85bae7a84405a1bd4ee3,26/06/2023 01:38:25,ESCANER
17448,"Quiché",14,"Joyabaj",12,2647,400,3,7,1,64,0,55,8,51,189,3,2,194,0,194,--,400,206,189,194,194,Algún campo sin dato,1,ec7addc7cf980e7c11634f603fa26dbc50aabb01a948e5bf561f159da3b6a87f,25/06/2023 23:50:12,ESCANER
17449,"Quiché",14,"Joyabaj",12,2647,400,5,9,2,60,3,63,7,52,201,11,3,215,0,215,--,396,181,201,215,215,Algún campo sin dato,1,e9d684ce5592444d69194be3b813f68f96136732ceb17a2098cd6adf930d3804,25/06/2023 23:04:04,ESCANER
17450,"Quiché",14,"Joyabaj",12,2647,400,2,6,2,61,2,67,5,66,211,5,6,222,0,222,--,412,190,211,222,222,Algún campo sin dato,1,1a6ecc7e591b41021cada85facc9026b689df8a3d3e623cb7acc3b8eaaff49aa,25/06/2023 23:26:42,ESCANER
17451,"Quiché",14,"Joyabaj",12,2647,400,5,18,3,41,1,76,6,60,210,12,4,226,1,227,--,400,173,210,226,227,Algún campo sin dato,1,468de498cfb04b0ffcef3eb9bdea4b1ec1274e1b34712a376243fa28333545e3,25/06/2023 23:01:46,ESCANER
17452,"Quiché",14,"Joyabaj",12,2647,400,16,12,0,54,1,69,5,76,233,9,4,246,0,--,--,400,154,233,246,246,Algún campo sin dato,1,484bbf6e219e4367676ed6e1d0a0ddf2e44cacd5986d29f749a9ec4d85ba3559,25/06/2023 23:57:27,ESCANER
17453,"Quiché",14,"Joyabaj",12,2648,400,2,12,3,45,0,81,4,59,206,14,8,228,0,228,--,397,169,206,228,228,Algún campo sin dato,1,d92d01ff45b68ac9c729562795ffe1d68b4aaa2ae13d81d78f87f0aa602a6565,26/06/2023 01:01:33,ESCANER
17454,"Quiché",14,"Joyabaj",12,2648,400,3,10,0,46,2,80,4,49,194,10,11,215,0,215,--,400,185,194,215,215,Algún campo sin dato,1,41e5a77efa7c9b759488a377a333d4386bef6101611299d8fa15c0aae886ee27,26/06/2023 03:53:07,ESCANER
17455,"Quiché",14,"Joyabaj",12,2648,400,5,8,1,47,0,80,3,51,195,8,1,204,0,204,--,401,197,195,204,204,Algún campo sin dato,1,210c56287cb60ab7370149458224efaad3bac4f7872c6010988fffd461ac97a6,25/06/2023 23:32:37,ESCANER
17456,"Quiché",14,"Joyabaj",12,2648,400,4,9,1,56,1,65,4,67,207,2,2,211,0,211,--,400,189,207,211,211,Algún campo sin dato,1,5f0dc934a383cc6972dcfc04f0785698dd46789373a40d65118d238ca79c6a1a,25/06/2023 23:21:07,ESCANER
17457,"Quiché",14,"Joyabaj",12,2648,400,8,8,1,59,1,62,3,62,204,7,1,212,0,212,--,400,188,204,212,212,Algún campo sin dato,1,988366bf8f81d67b17ff1e31b81a02b7e49b1421ac03db9e0586aaddc42425a6,26/06/2023 00:54:39,ESCANER
17458,"Quiché",14,"Joyabaj",12,2648,400,4,9,2,60,0,67,5,62,209,2,0,211,0,211,--,400,189,209,211,211,Algún campo sin dato,1,fc14faaa2015efd8ee0f5b1d18e1023f488a88a0d650502a4dc2d59728681db6,26/06/2023 00:07:38,ESCANER
17459,"Quiché",14,"Joyabaj",12,2648,400,3,7,1,64,1,74,3,60,213,4,1,218,0,218,0,400,182,213,218,218,,1,bfab73ec8ed477df628ad8e2dae6036685e16a5165a1229836a83f5569749d2d,25/06/2023 23:12:13,ESCANER
17460,"Quiché",14,"Joyabaj",12,2648,400,0,7,2,60,0,70,5,54,198,7,2,207,0,207,0,400,193,198,207,207,,1,5644bcf268cac4bd3d535d9e3712b7feded53c262bc28e0384a324970be2b2c1,25/06/2023 21:47:41,ESCANER
17461,"Quiché",14,"Joyabaj",12,2648,377,5,9,1,57,0,67,3,46,188,7,0,195,0,195,0,377,182,188,195,195,,1,40568fbe968834b8e4f95544605f81dd52bfcfeece331e51d024fa11bb04ce1c,25/06/2023 22:08:08,ESCANER
17462,"Quiché",14,"Joyabaj",12,2648,376,3,5,0,45,2,53,5,48,161,8,2,171,0,171,--,376,205,161,171,171,Algún campo sin dato,1,094e5ba4d52cbc119222b56d64f4b7b53a9da32a00c6a1f08aeac5a2ac36fbbc,25/06/2023 23:09:23,ESCANER
17463,"Quiché",14,"Joyabaj",12,2649,400,3,4,2,38,1,105,2,53,208,12,8,228,0,228,--,400,172,208,228,228,Algún campo sin dato,1,cc176a52c9c69ac4b86678fc09c3b026a3d6e5ea15e445fdfbc906e30b4628bd,25/06/2023 23:06:49,ESCANER
17464,"Quiché",14,"Joyabaj",12,2649,400,1,7,3,60,1,98,0,80,250,5,10,265,0,265,--,398,133,250,265,265,Algún campo sin dato,1,8f5017e164e215e8054351031faaf4d023182e601eb656e989871ef28a8c14cb,25/06/2023 23:22:00,ESCANER
