TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,113,100.0000,113,100.0000,0,41492,29457,70.9944

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VAMOS,U R N G - MAIZ,MLP,TODOS,VICTORIA,VIVA,CCN,WINAQ,UR,PR,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17558,"Quiché",14,"Nebaj",13,2669,400,50,122,65,3,0,30,7,16,7,2,0,0,2,304,6,3,313,0,313,0,400,87,304,313,313,,1,94f6565d0d7fe493d9e727251097e72050ce540a757d8f132e0ce7cc2245db77,26/06/2023 00:12:14,ESCANER
17559,"Quiché",14,"Nebaj",13,2669,400,58,85,71,3,3,36,1,21,5,2,0,0,1,286,10,9,305,0,305,0,400,95,286,305,305,,1,b9dfcf7d0272e4926e5418affa59e7d72de84e37950317fb53ef46e13e0e530f,26/06/2023 01:37:58,ESCANER
17560,"Quiché",14,"Nebaj",13,2669,400,41,129,69,2,2,34,3,15,4,0,0,0,10,309,6,7,322,0,322,0,400,78,309,322,322,,1,a315bb2be3e2c6991f719da4ab111f1b14264b44d9c28821876c39c796467351,25/06/2023 22:58:22,ESCANER
17561,"Quiché",14,"Nebaj",13,2669,400,54,122,65,2,1,43,1,15,6,0,0,0,4,313,5,6,324,0,324,0,400,76,313,324,324,,1,90517bd251d851e6baa951d1a4d9c284def6d45d1fe8862acda1d784eca72f90,26/06/2023 01:23:40,ESCANER
17562,"Quiché",14,"Nebaj",13,2669,400,58,95,80,0,1,49,3,16,4,1,0,1,3,311,7,3,321,0,321,0,400,79,311,321,321,,1,0ef239ef8140574a8b3b52eca35c1ff200b0ab33993fc3cdcc32a594926f1803,26/06/2023 01:24:34,ESCANER
17563,"Quiché",14,"Nebaj",13,2669,400,55,125,65,1,2,42,1,7,8,1,1,0,6,314,8,5,327,0,327,0,400,73,314,327,327,,1,bbd400c0e6a2ba7bb3e932fc0672aca16b2b0c1eacab636f4f89b8719da5b0ef,26/06/2023 00:10:05,ESCANER
17564,"Quiché",14,"Nebaj",13,2669,400,59,118,70,5,0,48,3,16,4,1,1,0,3,328,7,4,339,0,339,--,400,61,328,339,339,Algún campo sin dato,1,e87a87bcec6b2cb3fbf3be9eef779415da6b60e11eec70d181430cad87250f77,26/06/2023 01:08:44,ESCANER
17565,"Quiché",14,"Nebaj",13,2669,400,61,114,51,0,0,54,4,24,8,1,1,0,4,322,11,6,339,0,339,0,396,57,322,339,339,,1,905b6d232e849ffec298a965c40a0c1c2964502bcdace02eea862f03f3119053,26/06/2023 02:01:04,ESCANER
17566,"Quiché",14,"Nebaj",13,2670,400,59,100,79,1,3,51,2,17,8,1,1,1,4,327,10,5,342,0,342,0,400,58,327,342,342,,1,4734bc3d4d2f492326182533ab4ea3871f2e4af4f66816f06eda5434e2d8001f,26/06/2023 02:16:38,ESCANER
17567,"Quiché",14,"Nebaj",13,2670,400,52,128,91,3,1,38,0,18,4,1,1,1,1,339,9,10,358,0,358,0,400,42,339,358,358,,1,15dbc60a8e4cb136cb45017836df056e31cc88f1ff2dfa316f3ce1db6047e0fb,26/06/2023 00:23:04,ESCANER
17568,"Quiché",14,"Nebaj",13,2670,400,49,116,81,3,0,54,3,7,4,0,0,0,2,319,4,10,333,0,333,0,424,91,319,333,333,,1,cda806d0f5fa327dae6a129e722fee56be7b0d301e206d98a99575bba6527ceb,26/06/2023 00:13:51,ESCANER
