TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,93,98.9361,1,34281,19688,57.4312

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,TODOS,PODEMOS,VAMOS,U R N G - MAIZ,VIVA,SEMILLA,CREO,PPN,PR,CAMBIO,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17715,"Quiché",14,"Uspantán",15,2698,400,101,3,10,32,2,0,1,13,0,2,0,0,25,189,17,6,212,0,212,0,400,188,189,212,212,,1,3b26fd825d89daa339c75bb02a1db8b76b85074e678cba467591bda077af49c6,26/06/2023 05:46:09,ESCANER
17716,"Quiché",14,"Uspantán",15,2698,400,79,6,27,36,4,3,1,15,0,1,0,2,31,205,26,4,235,0,235,--,400,165,205,235,235,Algún campo sin dato,1,0d4cac4bd8b72e5f6bf0b6d719101696ca65bbe060d0480671d9badd09c2f514,26/06/2023 02:09:56,ESCANER
17717,"Quiché",14,"Uspantán",15,2698,400,94,3,14,46,1,0,0,15,0,1,1,2,41,218,25,5,248,0,248,1,400,152,218,248,248,,1,54d4f72128350a2af41842b679b77c738fe0d2ac47b33067ff3e470ce173517f,26/06/2023 03:38:04,ESCANER
17718,"Quiché",14,"Uspantán",15,2698,400,92,4,22,36,1,3,2,10,0,1,1,0,42,214,19,12,245,0,245,--,400,155,214,245,245,Algún campo sin dato,1,29d7e33eb5051eb483d9dc907e6b8dce40a2479c22be78c59eb2d8efabf22d2a,26/06/2023 00:01:07,ESCANER
17719,"Quiché",14,"Uspantán",15,2698,400,92,5,13,43,1,3,2,13,0,2,0,2,34,210,18,9,237,0,237,2,400,163,210,237,237,,1,7a77acfc29e8a6231333e2432009cf3b078749925c372a94a1d6ec37ed4730a0,26/06/2023 02:05:43,ESCANER
17720,"Quiché",14,"Uspantán",15,2698,400,134,2,11,44,4,4,2,14,2,1,0,1,32,251,16,14,281,0,281,--,400,119,251,281,281,Algún campo sin dato,1,4042108167e8b14977cff8aa6aa308b1507ce0487f25324bbd8840b82797eeb8,26/06/2023 00:18:09,ESCANER
17721,"Quiché",14,"Uspantán",15,2698,400,152,2,11,32,5,2,1,9,0,2,0,0,27,243,14,4,261,0,261,--,400,139,243,261,261,Algún campo sin dato,1,25897ecb3eb88b779dd2ccaaae332507d0c26948e3eba37d77c976b3aefea062,26/06/2023 01:33:29,ESCANER
17722,"Quiché",14,"Uspantán",15,2698,400,136,3,6,37,4,5,6,20,1,1,1,2,32,254,19,5,278,0,278,--,400,122,254,278,278,Algún campo sin dato,1,e84ad489f2efd07260fec246774fe1906e82e01bf1dac533c51100ed87df37fd,26/06/2023 02:08:56,ESCANER
17723,"Quiché",14,"Uspantán",15,2698,400,153,5,9,33,6,1,0,22,0,0,0,2,25,256,8,7,271,0,271,--,397,126,256,271,271,Algún campo sin dato,1,b36aa695b0ab1b934ad509cbe0d27f5e4c29d8216cdae9a208cb0e919c8ccce0,26/06/2023 03:59:58,ESCANER
17724,"Quiché",14,"Uspantán",15,2698,400,145,2,11,34,3,1,3,20,1,2,0,0,28,250,9,3,262,0,262,--,400,138,250,262,262,Algún campo sin dato,1,0fc6d7294620b64df616e05d6af4f24a32695a09f643a680b53f9588bca105b7,26/06/2023 03:48:14,ESCANER
17725,"Quiché",14,"Uspantán",15,2699,400,154,3,9,28,3,6,1,17,0,2,0,0,32,255,7,4,266,0,266,0,400,134,255,266,266,,1,31a3a879f44196b678e3d36fc5aff947dd5477d26588f3a269c91e2e908a5af1,26/06/2023 05:53:32,ESCANER
17726,"Quiché",14,"Uspantán",15,2699,400,126,8,5,28,3,4,5,17,2,2,0,3,37,240,14,8,262,0,262,--,397,135,240,262,262,Algún campo sin dato,1,dc10cb3c142bb096066f9ba1344985f2d22a72e9d3acad6d0334bff12492f39a,26/06/2023 00:55:39,ESCANER
17727,"Quiché",14,"Uspantán",15,2699,400,163,3,6,24,2,3,5,22,2,1,1,0,27,259,10,3,272,0,272,--,400,128,259,272,272,Algún campo sin dato,1,3d885f876a1ef43644cb82c5a8d2435295951bb4d7d2c91f97ec1c74a8558168,26/06/2023 00:35:27,ESCANER
17728,"Quiché",14,"Uspantán",15,2699,400,143,2,8,36,5,3,0,6,0,0,0,2,35,240,17,6,263,0,263,--,400,137,240,263,263,Algún campo sin dato,1,80702e47a71d1efd93c0dd3cec41d60fd2874f83b0dd8fedd470232e94409047,26/06/2023 01:47:09,ESCANER
17729,"Quiché",14,"Uspantán",15,2699,400,172,1,25,19,6,1,0,8,1,0,0,0,8,241,22,2,265,0,265,--,400,135,241,265,265,Algún campo sin dato,1,332267d6c50f193f7de11f93e86d925d3bea74551fb46bc674d8ca04ea016802,26/06/2023 00:23:57,ESCANER
17730,"Quiché",14,"Uspantán",15,2699,400,112,2,10,51,2,4,0,10,0,0,0,1,50,242,11,1,254,0,254,--,--,--,242,254,254,Algún campo sin dato,1,18038e12dcef880255fca0ffe249de6132ceffff65a1af92e7f6f27dcc399e38,26/06/2023 04:53:32,ESCANER
17731,"Quiché",14,"Uspantán",15,2699,400,149,5,3,26,9,2,0,10,0,2,0,1,32,239,18,4,261,0,261,--,400,139,239,261,261,Algún campo sin dato,1,68b2255b99cdbe8369e854195f2bb9ddc00ae36254a91cc9a9727f2ea1167813,26/06/2023 03:44:06,ESCANER
17732,"Quiché",14,"Uspantán",15,2699,400,207,3,6,9,2,2,3,10,0,0,0,1,34,277,21,2,300,0,300,--,400,100,277,300,300,Algún campo sin dato,1,625914be302829453770214ad1e513de038565e1526db3fe970ca397063c27a8,26/06/2023 01:30:03,ESCANER
17733,"Quiché",14,"Uspantán",15,2700,400,191,9,5,30,1,4,0,7,0,3,0,0,35,285,6,1,292,0,292,--,400,108,285,292,292,Algún campo sin dato,1,6064843a623b7177134242426891dd832a88eef25b5c5df95aee7ae19945bb80,26/06/2023 00:22:59,ESCANER
17734,"Quiché",14,"Uspantán",15,2700,400,115,0,10,33,0,1,0,6,0,1,0,0,33,199,6,7,212,0,212,--,400,188,199,212,212,Algún campo sin dato,1,4e9995616ea05dd7d45962c280d5a5c2dab212cd7aeff2de2d8992aac95d2daf,26/06/2023 00:16:22,ESCANER
17735,"Quiché",14,"Uspantán",15,2700,400,102,2,17,28,2,2,4,8,0,0,0,0,31,196,5,2,203,0,203,--,400,197,196,203,203,Algún campo sin dato,1,d9b4e5f288eb2a2eab323f6fa50d39eabff3667b3d915a122a365e6445c36339,25/06/2023 23:00:08,ESCANER
17736,"Quiché",14,"Uspantán",15,2700,400,114,2,15,21,2,0,4,9,1,0,0,1,17,186,8,3,197,0,197,--,400,203,186,197,197,Algún campo sin dato,1,ed2e41613d267dbd8fe68e9655f2771894d9dcacde9822f81b18d298373a1c3b,25/06/2023 23:44:04,ESCANER
17737,"Quiché",14,"Uspantán",15,2700,400,120,0,12,27,3,2,5,8,0,1,0,0,20,198,9,2,209,0,209,--,400,191,198,209,209,Algún campo sin dato,1,6ec9590c87a17d3448e76c23fbddcfafb52b517938d2f641a4ebea760a5c800d,25/06/2023 23:56:26,ESCANER
17738,"Quiché",14,"Uspantán",15,2700,400,129,0,7,30,4,1,2,13,1,2,1,0,17,207,10,2,219,0,219,--,400,181,207,219,219,Algún campo sin dato,1,dcfabf8f707448329334b1824bc85f912db086c956136d93debfb3d538092436,26/06/2023 00:06:09,ESCANER
17739,"Quiché",14,"Uspantán",15,2701,400,104,1,13,41,1,4,2,9,0,1,0,0,22,198,8,2,208,0,208,--,400,192,198,208,208,Algún campo sin dato,1,42c0cf8979690e422369dd6748a33aec7ae1f792e16d3d2d766d0da6f2e13703,26/06/2023 00:03:19,ESCANER
17740,"Quiché",14,"Uspantán",15,2701,400,102,4,12,26,2,0,4,11,1,2,0,0,15,179,5,1,185,0,185,--,400,215,179,185,185,Algún campo sin dato,1,4d28a96b28fba69d6ffdbdbe67fd60907cd661b24a74725b8b246b0ae98ce9ee,25/06/2023 23:36:35,ESCANER
17741,"Quiché",14,"Uspantán",15,2701,400,113,2,12,40,2,2,3,15,0,2,0,1,25,217,5,2,224,0,400,--,400,176,217,224,224,Sumas Asentadas sin cuadrar,1,b41cc28fb8b8dc8fa07b0c27a311edeaca6e6ed0edc27a59ec07c533370695bb,25/06/2023 23:43:19,ESCANER
17742,"Quiché",14,"Uspantán",15,2701,400,123,0,7,34,1,3,1,12,0,2,0,0,32,215,3,0,218,0,218,--,400,182,215,218,218,Algún campo sin dato,1,983b74e0f4c84dd6a92f3737adcb03b9c8a4fdeb2cb167fd1bfa883896496d24,26/06/2023 00:18:14,ESCANER
17743,"Quiché",14,"Uspantán",15,2701,400,102,1,14,30,1,0,2,15,0,1,0,0,36,202,8,1,211,0,211,--,400,189,202,211,211,Algún campo sin dato,1,3d3fd3c76b399e51a6b5f3648b6155af7e6686b09f1336ea95c1c413360b7e7c,26/06/2023 00:16:54,ESCANER
17744,"Quiché",14,"Uspantán",15,2701,400,124,7,13,31,1,0,0,17,0,0,1,1,22,217,4,3,224,0,224,--,400,176,217,224,224,Algún campo sin dato,1,0c7dea8c48d10fa3a47cdf5215fafb1332ca6e0cbe467a2338c5e5d6ffe00af5,25/06/2023 23:32:22,ESCANER
17745,"Quiché",14,"Uspantán",15,2701,400,124,0,13,29,2,1,0,7,0,0,0,0,25,201,1,2,204,0,204,--,400,196,201,204,204,Algún campo sin dato,1,26fbd75738697f5532fba0f33bfb29c6ca0a1e9c2509834c4786ed32355000e8,25/06/2023 22:57:50,ESCANER
17746,"Quiché",14,"Uspantán",15,2701,400,154,1,14,28,1,2,3,9,0,0,0,0,30,242,0,1,243,0,243,--,400,157,242,243,243,Algún campo sin dato,1,9f172cd22b4075de4eb66d03264a84353744f53c70711501fcbb52ace32bbde9,26/06/2023 00:21:02,ESCANER
17747,"Quiché",14,"Uspantán",15,2702,400,107,0,10,43,1,0,1,7,0,0,0,0,22,191,8,5,204,0,204,--,400,196,191,204,204,Algún campo sin dato,1,33dbbb916347b523613c7535f54776b9fe79bea509b8d988e0b4f869537092e5,25/06/2023 22:56:46,ESCANER
17748,"Quiché",14,"Uspantán",15,2702,400,105,2,11,33,1,1,1,17,0,0,0,0,29,200,7,2,209,0,209,--,400,191,200,209,209,Algún campo sin dato,1,c566121c46c8b0f81ba4db1e97f3cf83cb9453693858cddf8e8cdfe8699b1166,26/06/2023 00:50:01,ESCANER
17749,"Quiché",14,"Uspantán",15,2702,238,61,0,12,15,0,0,0,12,0,0,0,0,8,108,5,0,113,0,113,--,238,125,108,113,113,Algún campo sin dato,1,f0e0df3cccde53774e4a6131cadb269d8d36e9e20538d00629ec2a483802ccc0,25/06/2023 22:37:07,ESCANER
17750,"Quiché",14,"Uspantán",15,2702,237,70,0,4,12,2,0,0,4,0,0,0,0,19,111,0,2,113,0,113,--,237,124,111,113,113,Algún campo sin dato,1,6b73bba426fd21d2b5bfadd85932a3430a866acaf28813319a5458aff84e2b8d,25/06/2023 23:31:16,ESCANER
