TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
86,86,100.0000,86,100.0000,0,31196,19405,62.2034

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,VIVA,VAMOS,UNE,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17809,"Quiché",14,"Sacapulas",16,2715,400,112,0,5,131,2,1,251,16,4,271,0,271,--,400,129,251,271,271,Algún campo sin dato,1,112b39086eb6b93d538e3d457174e1b9f4caca23a8596f7058275229fbe40f56,25/06/2023 22:22:25,ESCANER
17810,"Quiché",14,"Sacapulas",16,2715,400,94,3,2,129,6,0,234,21,7,262,0,262,--,400,138,234,262,262,Algún campo sin dato,1,7c3096d545aa97fa56e526f7116b4fc79cc5918e966a25e2cf584f67f47bc41d,25/06/2023 21:46:04,ESCANER
17811,"Quiché",14,"Sacapulas",16,2715,400,98,2,10,125,7,2,244,14,4,262,--,--,--,--,--,244,262,262,Algún campo sin dato,1,af8f741f72fb01f5aa9881b67cfebce0e5d22a646f1b5eda67891816398758a4,26/06/2023 00:55:36,ESCANER
17812,"Quiché",14,"Sacapulas",16,2715,400,158,0,3,107,5,0,275,11,5,291,0,291,--,400,109,273,289,289,Sumas Asentadas sin cuadrar,1,3fd40cf1e313b781e0f87bbaae1c46fb8dd56cd2385ddde6cfd91130e5a888a1,25/06/2023 22:29:56,ESCANER
17813,"Quiché",14,"Sacapulas",16,2715,400,138,4,1,130,4,1,279,16,7,301,0,301,0,--,--,278,301,301,Sumas Asentadas sin cuadrar,1,e9f8a43db2c497c8353d431f7c86ae4d3eced40736803ebbe3e7b20e5903535d,25/06/2023 23:17:31,ESCANER
17814,"Quiché",14,"Sacapulas",16,2715,400,97,3,1,140,4,3,260,10,2,261,0,261,1,400,139,248,260,260,Sumas Asentadas sin cuadrar,1,067dd85fd1ad2a6c67454dbda40163499aa70738d97fcbe359ddaf4bbe7844b9,25/06/2023 23:50:58,ESCANER
17815,"Quiché",14,"Sacapulas",16,2716,400,96,4,2,161,2,1,268,16,2,286,0,286,2,400,114,266,284,284,Sumas Asentadas sin cuadrar,1,ebbbd0509ebb08aa7c8acb04636362c541fee713c9ea6383dadc61844382217e,26/06/2023 00:30:17,ESCANER
17816,"Quiché",14,"Sacapulas",16,2716,400,98,7,2,160,2,4,273,3,1,277,0,277,0,400,123,273,277,277,,1,0ee6cb9be98a8103c3df9ef868cf602922e2602e381559c1dadbde6c1125787a,25/06/2023 22:47:53,ESCANER
17817,"Quiché",14,"Sacapulas",16,2716,400,117,2,--,107,2,2,230,5,1,--,--,236,--,400,164,230,236,236,Algún campo sin dato,1,dd27d30a8fc3fb683ac321cd0216de713d5e9d5a65fd04b5344b609878ed7601,25/06/2023 23:15:19,ESCANER
17818,"Quiché",14,"Sacapulas",16,2716,400,109,2,6,121,4,1,243,11,4,258,0,0,0,400,142,243,258,258,,1,a25e02a7aecd3bb6b89f41014d4b72b0543efdaea752d7ed992e5533375fb1a1,25/06/2023 23:43:03,ESCANER
