TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
25,14,56.0000,14,56.0000,0,4799,3184,66.3471

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,TODOS,CABAL,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17895,"Quiché",14,"San Bartolomé Jocotenango",17,2727,400,,,,,,,,,,,,,,,,,,,0,,,
17896,"Quiché",14,"San Bartolomé Jocotenango",17,2727,400,,,,,,,,,,,,,,,,,,,0,,,
17897,"Quiché",14,"San Bartolomé Jocotenango",17,2727,400,,,,,,,,,,,,,,,,,,,0,,,
17898,"Quiché",14,"San Bartolomé Jocotenango",17,2727,400,,,,,,,,,,,,,,,,,,,0,,,
17899,"Quiché",14,"San Bartolomé Jocotenango",17,2727,400,,,,,,,,,,,,,,,,,,,0,,,
17900,"Quiché",14,"San Bartolomé Jocotenango",17,2727,400,53,85,50,93,35,316,3,11,330,0,330,--,398,65,316,330,330,Algún campo sin dato,1,ef966cb5d8d9b8640ae99ca75dd63d5c06ba3ae741b562f917467e75fc4b845f,25/06/2023 23:00:01,ESCANER
17901,"Quiché",14,"San Bartolomé Jocotenango",17,2727,400,,,,,,,,,,,,,,,,,,,0,,,
17902,"Quiché",14,"San Bartolomé Jocotenango",17,2727,400,51,83,39,86,46,305,2,10,317,--,317,--,400,83,305,317,317,Algún campo sin dato,1,5d1a360ddf30dfb91631491c7ab360705f5ebdeb09c56d84e8479fea2c4fbaa7,26/06/2023 00:08:34,ESCANER
17903,"Quiché",14,"San Bartolomé Jocotenango",17,2727,400,,,,,,,,,,,,,,,,,,,0,,,
17904,"Quiché",14,"San Bartolomé Jocotenango",17,2728,400,,,,,,,,,,,,,,,,,,,0,,,
17905,"Quiché",14,"San Bartolomé Jocotenango",17,2728,400,30,73,30,80,24,237,4,5,246,1,247,1,400,153,237,246,247,,1,3611ea2d1998049f407c3680f8a60109274a5d28dfe0dd57d97ef43cf60485b1,26/06/2023 00:09:51,ESCANER
17906,"Quiché",14,"San Bartolomé Jocotenango",17,2728,400,,,,,,,,,,,,,,,,,,,0,,,
17907,"Quiché",14,"San Bartolomé Jocotenango",17,2728,400,,,,,,,,,,,,,,,,,,,0,,,
17908,"Quiché",14,"San Bartolomé Jocotenango",17,2729,400,41,66,38,56,20,221,2,2,225,--,--,6,399,173,221,225,225,Algún campo sin dato,1,1364b1792217b3c581f3891f7c168d6cf44ee8384fbb6ba636b6ac6210b1ccd6,26/06/2023 00:13:50,ESCANER
17909,"Quiché",14,"San Bartolomé Jocotenango",17,2729,400,25,67,34,60,40,226,3,1,230,0,230,--,402,172,226,230,230,Algún campo sin dato,1,fd724c553313ccdc0376cf6f3b46bf1458b186f914a659c0e8c27f5001f08ac1,26/06/2023 00:06:02,ESCANER
17910,"Quiché",14,"San Bartolomé Jocotenango",17,2730,400,53,61,23,58,16,211,1,0,212,0,212,--,398,186,211,212,212,Algún campo sin dato,1,b06df2bf9ab4ec8f46720baa6995e87d237c119f35001793eb7e27086ea41591,26/06/2023 00:18:58,ESCANER
17911,"Quiché",14,"San Bartolomé Jocotenango",17,2730,310,19,57,40,41,22,179,1,0,180,0,180,--,310,130,179,180,180,Algún campo sin dato,1,e448831a79d9ad4f965d2f587e905456451741096e5ae07e5960d22fb5754966,26/06/2023 00:51:51,ESCANER
17912,"Quiché",14,"San Bartolomé Jocotenango",17,2730,309,,,,,,,,,,,,,,,,,,,0,,,
17913,"Quiché",14,"San Bartolomé Jocotenango",17,2731,380,27,120,40,96,15,298,2,2,302,0,302,--,380,78,298,302,302,Algún campo sin dato,1,fc74c80adbc069c516bbd2f674f85810b25edbc60401fe43d552a66a104737dc,25/06/2023 23:08:20,ESCANER
17914,"Quiché",14,"San Bartolomé Jocotenango",17,2731,380,17,106,61,77,16,277,2,2,281,0,281,--,380,99,277,281,281,Algún campo sin dato,1,e6b9fac088ac80a9c7971d81cd5cb066814cda9c973d61651df46fd22c874bb8,26/06/2023 01:42:29,ESCANER
17915,"Quiché",14,"San Bartolomé Jocotenango",17,2731,207,10,62,20,34,9,135,1,0,136,0,136,--,207,71,135,136,136,Algún campo sin dato,1,eaf033f799c8ba3a0653c15cf5c0897b9f60d04e9ed66a85fd9cb16c58168804,25/06/2023 23:02:44,ESCANER
17916,"Quiché",14,"San Bartolomé Jocotenango",17,2731,207,12,46,22,44,4,128,1,0,129,0,129,--,207,78,128,129,129,Algún campo sin dato,1,30be80e0e3b3c04d3333c8e8618bdb97a0b8ad51625f57a25819a15ab75df7a0,25/06/2023 21:35:51,ESCANER
