TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
22,22,100.0000,22,100.0000,0,8372,4967,59.3287

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,UNE,PODEMOS,MLP,VIVA,PPN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17920,"Quiché",14,"Canillá",18,2734,400,123,95,14,12,0,5,1,8,258,8,5,271,0,271,--,400,129,258,271,271,Algún campo sin dato,1,4618473d4b14a6d357ad9e777b45251ffcf348531c769e843287c9dca51d04de,25/06/2023 22:49:59,ESCANER
17921,"Quiché",14,"Canillá",18,2734,400,101,109,29,9,2,11,0,3,264,12,3,279,15,279,--,400,121,264,279,294,Sumas Asentadas sin cuadrar,1,ade014acb0072171ba1a6e01a7172277c0c6f1f5e9ca455b770d8555de920bdc,25/06/2023 23:25:28,ESCANER
17922,"Quiché",14,"Canillá",18,2734,400,104,94,21,13,0,17,1,9,259,15,5,279,0,279,--,400,121,259,279,279,Algún campo sin dato,1,65aa45c5e0425baafdb4c83b3a0d7c217f8c2b5701abe2a2e019e7c47e7dc0c8,25/06/2023 23:15:08,ESCANER
17923,"Quiché",14,"Canillá",18,2734,400,90,116,20,5,2,11,1,5,250,11,5,266,0,266,--,400,134,250,266,266,Algún campo sin dato,1,93551cace26d0605c8b30a92932ac3380ede33bf77af57c375903fde357a4118,26/06/2023 00:17:43,ESCANER
17924,"Quiché",14,"Canillá",18,2734,400,115,94,18,7,4,8,4,6,256,9,6,271,0,271,--,400,129,256,271,271,Algún campo sin dato,1,83db4cbbdbc4ff8e6389d9f3e021ce9f131dedf95e905e99aff0858df0587be4,26/06/2023 01:27:48,ESCANER
17925,"Quiché",14,"Canillá",18,2734,400,90,128,20,0,0,12,0,11,271,18,5,294,0,294,--,400,106,261,284,284,Sumas Asentadas sin cuadrar,1,a2dc0879cb8a401f59fc5481ba294845650fcbbaadfa0d8f975f9bb6ea0bb7e3,25/06/2023 22:53:32,ESCANER
17926,"Quiché",14,"Canillá",18,2734,400,83,125,16,13,2,16,1,5,261,4,1,266,0,266,--,400,134,261,266,266,Algún campo sin dato,1,18e127c4fdf0f81e6337657441580e0213d41058bffae720b8d4ba6d2f494e44,25/06/2023 23:05:03,ESCANER
17927,"Quiché",14,"Canillá",18,2734,400,81,80,12,16,0,7,0,5,201,7,3,211,1,212,--,--,--,201,211,212,Algún campo sin dato,1,b902c900c8ed91dfdb5873e9811efda354739714362d0e0f72465a197300fde3,25/06/2023 23:11:26,ESCANER
17928,"Quiché",14,"Canillá",18,2734,400,75,83,19,9,2,3,2,4,197,8,2,207,1,208,3,400,192,197,207,208,,1,6d2bed5b9667d1115c53525a895c7435c1f5f28ee556803156f99f2659d2294c,26/06/2023 00:52:55,ESCANER
17929,"Quiché",14,"Canillá",18,2734,400,103,74,14,10,0,4,3,6,214,13,3,230,0,230,6,400,164,214,230,230,,1,d0b42736b2de4f45ec548749f0281c1c5e07d5938a0b9819acd7a4075affcdb7,26/06/2023 02:30:52,ESCANER
