TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
120,120,100.0000,120,100.0000,0,44970,22189,49.3417

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,UNE,CABAL,PODEMOS,MLP,VICTORIA,VIVA,CAMBIO,PR,WINAQ,AZUL,VALOR UNIONISTA,URNG-MAIZ SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17995,"Quiché",14,"Ixcán",20,2751,400,23,35,50,24,2,4,13,20,6,1,2,2,2,15,199,28,5,232,0,232,--,400,168,199,232,232,Algún campo sin dato,1,0ef5a7a9119a40d95dce93e7112a3a04812db45fe8e51fc8b3352c0de9d9a685,26/06/2023 02:27:29,ESCANER
17996,"Quiché",14,"Ixcán",20,2751,400,26,65,33,31,0,1,9,13,1,3,3,0,0,26,211,28,6,245,0,245,--,400,155,211,245,245,Algún campo sin dato,1,59a723794a7ec50e9f62897b65aa65a032f56e9ebb5b720aa5d4a9c738fe7c5e,25/06/2023 23:26:45,ESCANER
17997,"Quiché",14,"Ixcán",20,2751,400,28,50,52,16,0,1,10,13,7,0,3,2,1,16,199,23,4,226,0,226,--,400,174,199,226,226,Algún campo sin dato,1,0033f4223c8b462c240ed1bca407cb269d4011809b71649aaf1854d190bd7784,26/06/2023 03:00:52,ESCANER
17998,"Quiché",14,"Ixcán",20,2751,400,30,55,37,19,0,2,3,16,7,2,3,2,2,29,207,30,4,241,0,241,--,400,159,207,241,241,Algún campo sin dato,1,edb8f4479706f5b66a637bce3a55860b5a081c47924bab1ce1725b4f69d7167b,26/06/2023 03:22:33,ESCANER
17999,"Quiché",14,"Ixcán",20,2751,400,19,47,36,18,0,2,2,16,14,10,3,0,2,25,194,20,6,220,0,220,--,400,180,194,220,220,Algún campo sin dato,1,e71467b2c54584d5473ad7acc7cb06dc3e6eeae7f214ac0601e9afa8be54a7e0,25/06/2023 23:44:46,ESCANER
18000,"Quiché",14,"Ixcán",20,2751,400,15,36,38,43,1,2,4,15,8,3,1,2,1,26,195,16,4,215,0,215,--,400,185,195,215,215,Algún campo sin dato,1,e5f5a6cf3a63486519c665d9683ab1ee758666e4ca2d617d59c721b9f59bf8ed,26/06/2023 02:12:50,ESCANER
18001,"Quiché",14,"Ixcán",20,2751,400,27,42,31,34,0,5,11,17,8,4,3,1,2,26,211,11,6,228,0,228,--,400,172,211,228,228,Algún campo sin dato,1,09d99a5dd45f87df0397b33838fbd473a8cf035846fa860933b235e4f3d98d74,26/06/2023 01:47:33,ESCANER
18002,"Quiché",14,"Ixcán",20,2751,400,13,55,38,28,2,1,3,3,14,5,0,0,3,0,212,20,6,212,--,212,--,400,188,165,191,191,Sumas Asentadas sin cuadrar,1,9ab029c7b325a7608d4c1acddf17262390202033118b48b22a3a831b0004a8d2,26/06/2023 02:43:41,ESCANER
18003,"Quiché",14,"Ixcán",20,2751,400,17,49,38,37,0,1,11,14,9,2,0,1,1,26,206,21,3,230,0,230,--,400,170,206,230,230,Algún campo sin dato,1,7e48deef9662249e3597c506eaf515673108808f49fc0cf711fb2ff372450867,26/06/2023 02:46:22,ESCANER
18004,"Quiché",14,"Ixcán",20,2751,400,27,40,42,28,0,5,12,22,8,4,3,3,3,21,218,20,3,241,0,241,--,400,159,218,241,241,Algún campo sin dato,1,5063d9453beac76b44bcece784c328ad47028168d2788e4d7b240a34c1b3e232,26/06/2023 02:05:35,ESCANER
