TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
19,19,100.0000,19,100.0000,0,7213,4584,63.5519

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,TODOS,AZUL,UNE,MLP,VIVA,PODEMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18115,"Quiché",14,"Pachalum",21,2768,400,96,92,8,3,15,3,2,0,26,245,15,7,267,0,267,--,400,133,245,267,267,Algún campo sin dato,1,9572eed174d7e801ecb5b3b176864554609bae8656f72efb90dd3a15d637df92,26/06/2023 01:15:14,ESCANER
18116,"Quiché",14,"Pachalum",21,2768,400,114,85,11,3,10,3,2,2,35,265,11,5,281,0,281,--,400,119,265,281,281,Algún campo sin dato,1,2864206905b09537a040e27f8a7cd796d25e990ea25c25eac2fe1c61921b8160,25/06/2023 22:35:08,ESCANER
18117,"Quiché",14,"Pachalum",21,2768,400,101,101,4,0,17,4,3,0,41,271,12,3,286,0,286,--,396,110,271,286,286,Algún campo sin dato,1,dc6509c5c31a9db6b0d7a7bb9f7caf391bd61630bb6c61bf0c0de346424fdd9c,26/06/2023 00:18:18,ESCANER
18118,"Quiché",14,"Pachalum",21,2768,400,89,108,11,5,20,2,2,1,38,276,13,3,292,0,292,--,400,108,276,292,292,Algún campo sin dato,1,e9b643e0a2948becbf3a9d9791f0d39d7fa131b36399f0ab6a3102375510ceb4,26/06/2023 00:39:58,ESCANER
18119,"Quiché",14,"Pachalum",21,2768,400,104,107,6,1,29,6,1,2,42,298,10,2,310,0,310,--,401,91,298,310,310,Algún campo sin dato,1,3c14f049d6faa521e564d59bfd534e680f3ad7435485c4559edcf384a6cc9acc,25/06/2023 23:22:17,ESCANER
18120,"Quiché",14,"Pachalum",21,2768,400,110,96,10,1,13,5,0,2,30,267,17,4,288,0,288,--,400,112,267,288,288,Algún campo sin dato,1,6563d588e4ee831160d0817fe0765bff65d5c7dcfe699a55432add710097f6aa,26/06/2023 00:34:00,ESCANER
18121,"Quiché",14,"Pachalum",21,2768,400,90,122,8,3,33,6,3,3,28,296,10,8,314,0,314,--,400,86,296,314,314,Algún campo sin dato,1,28fb63bbf0f914c8ba88b4ce071e6d8ab7ac29a25c8fca72700ea6304b97033e,26/06/2023 01:07:18,ESCANER
18122,"Quiché",14,"Pachalum",21,2768,400,111,91,4,2,25,4,0,1,24,262,10,1,273,0,273,--,400,127,262,273,273,Algún campo sin dato,1,5a5ba1fd31889002d96115425673cc7dcd09714578ee0407ea0b1d90758f5c7c,26/06/2023 00:45:13,ESCANER
18123,"Quiché",14,"Pachalum",21,2768,400,69,86,8,1,9,2,0,2,31,208,3,2,213,0,213,--,400,187,208,213,213,Algún campo sin dato,1,1622b2aff313cda81188dabc537a30c50044bfe5eb74f8d00dfbb697b46f2f7f,25/06/2023 23:06:34,ESCANER
18124,"Quiché",14,"Pachalum",21,2769,400,79,90,7,6,16,5,5,3,30,241,9,4,254,0,254,--,400,146,241,254,254,Algún campo sin dato,1,a3407f282658b31982459cdc19a7365537c3daf2976d94956dd8e50c13692e1f,26/06/2023 00:17:52,ESCANER
18125,"Quiché",14,"Pachalum",21,2769,400,81,94,1,4,14,3,1,3,45,246,9,1,256,0,256,--,400,144,246,256,256,Algún campo sin dato,1,a99e0e0da65ccf9e05aeeb022f80c9d69e13ebcad4b69e3e7e68cf56c4f75aed,26/06/2023 00:44:28,ESCANER
18126,"Quiché",14,"Pachalum",21,2769,400,94,93,6,2,11,2,2,0,31,241,6,3,250,0,250,--,400,250,241,250,250,Algún campo sin dato,1,b63b51aa83e0412477fc8b642fdc730cbee57c3a4926b0847a1523591447dc48,26/06/2023 00:06:42,ESCANER
18127,"Quiché",14,"Pachalum",21,2769,400,85,67,3,2,9,4,2,1,37,210,7,7,224,0,224,--,400,176,210,224,224,Algún campo sin dato,1,9e52121edc35b0c12c4213aeff433dc9302f4523aca7fa5d69ea220143051f61,25/06/2023 23:33:36,ESCANER
18128,"Quiché",14,"Pachalum",21,2769,400,81,86,0,1,16,5,2,0,39,230,1,5,236,0,236,--,--,--,230,236,236,Algún campo sin dato,1,ad852976311d2f2708ea0fc7a638562044eee498f14b1570aad7816b309213ed,26/06/2023 00:31:44,ESCANER
18129,"Quiché",14,"Pachalum",21,2769,400,104,90,6,2,9,2,1,0,45,259,4,0,263,0,263,--,400,137,259,263,263,Algún campo sin dato,1,d6a41b90318d520b9d29bc07dd5ad55efda817ac236b578ee11bc01fd45958d6,26/06/2023 01:10:42,ESCANER
