TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
110,110,100.0000,110,100.0000,0,39922,21234,53.1887

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VAMOS,MLP,VALOR UNIONISTA,AZUL,CABAL,VOS,PODEMOS,URNG-MAIZ WINAQ,CAMBIO,CREO,MI FAMILIA,PHG,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18134,"Baja Verapaz",15,"Salamá",1,2772,400,22,24,56,2,8,52,25,25,0,4,3,7,5,1,1,235,18,1,254,0,254,--,400,146,235,254,254,Algún campo sin dato,1,aa9c315412340c002fd525223010e3a6dff77c05efdf48e42f589b843fef3151,25/06/2023 23:14:31,ESCANER
18135,"Baja Verapaz",15,"Salamá",1,2772,400,21,20,50,3,6,42,33,14,2,2,2,6,4,1,4,210,23,2,235,0,235,--,400,165,210,235,235,Algún campo sin dato,1,dc51ca1901a11c0085c333079963794c25de11fcb7b56e61e03b24c90174a1e8,26/06/2023 01:25:50,ESCANER
18136,"Baja Verapaz",15,"Salamá",1,2772,400,23,23,52,2,4,42,28,15,1,3,2,7,4,1,4,211,13,4,228,0,228,1,400,171,211,228,228,,1,d347173ad3babd4dcffa18da01b06e1f55b7ce6678008aae9fa2b6c200fd8af5,26/06/2023 01:42:54,ESCANER
18137,"Baja Verapaz",15,"Salamá",1,2772,400,24,24,62,3,8,44,37,21,0,2,1,4,2,0,1,233,14,1,248,0,248,--,400,152,233,248,248,Algún campo sin dato,1,e1b0abdd0e178160294b066a0ed8417e0411468770e9ed63f6146e9935226cd5,26/06/2023 00:28:13,ESCANER
18138,"Baja Verapaz",15,"Salamá",1,2772,400,20,16,62,2,6,51,29,30,0,3,4,3,6,0,0,232,13,4,249,0,249,--,400,151,232,249,249,Algún campo sin dato,1,6dc74ba37f964c6d377aee85aeae49b9a17534c91d7ff6be655f715a473eaa48,25/06/2023 22:22:25,ESCANER
18139,"Baja Verapaz",15,"Salamá",1,2772,400,24,19,68,3,4,51,21,20,1,5,0,7,2,1,1,227,16,1,244,0,244,--,400,156,227,244,244,Algún campo sin dato,1,5423396895406dc35384fd72c758aa7e30e601c2375ef77f8f7a796898dd931c,25/06/2023 23:33:20,ESCANER
18140,"Baja Verapaz",15,"Salamá",1,2772,400,20,20,67,3,12,46,41,18,3,5,1,3,4,0,2,245,11,5,261,0,261,--,400,139,245,261,261,Algún campo sin dato,1,f9f67b9d8c9d5509ab60769f2ec087c0c924b49152bd6c369e124ab13427b9eb,25/06/2023 23:05:38,ESCANER
18141,"Baja Verapaz",15,"Salamá",1,2772,400,19,18,64,2,11,61,38,24,3,2,1,7,9,0,1,260,18,5,283,0,283,--,400,117,260,283,283,Algún campo sin dato,1,569164526e015344d1f8f9bed205cff6229633baa08d19cc7cff34d25eafc5bf,25/06/2023 23:10:46,ESCANER
18142,"Baja Verapaz",15,"Salamá",1,2772,400,21,29,70,1,12,43,34,16,1,1,3,8,7,1,4,251,13,2,266,0,266,--,400,134,251,266,266,Algún campo sin dato,1,327b3b3eff4f2849c77278b472a7077f7d31ea6097be275aba1374938efffddf,25/06/2023 22:13:08,ESCANER
18143,"Baja Verapaz",15,"Salamá",1,2772,400,23,17,60,2,10,61,29,22,1,3,0,2,8,1,2,241,18,2,261,0,261,--,400,139,241,261,261,Algún campo sin dato,1,c7c6481f8af84304f85df62dcff44da95f462a335731460264c8c9fe0c526da2,25/06/2023 23:31:48,ESCANER
18144,"Baja Verapaz",15,"Salamá",1,2773,400,28,17,71,4,11,55,32,22,0,2,0,3,8,0,1,254,8,2,264,0,264,--,400,136,254,264,264,Algún campo sin dato,1,539027b9c80750b68c8d79079fa716390547fbdf4d8c7745574092412cb6c70e,25/06/2023 23:47:23,ESCANER
18145,"Baja Verapaz",15,"Salamá",1,2773,400,22,12,64,2,5,52,50,23,0,2,0,6,8,2,1,249,17,1,267,0,267,--,--,130,249,267,267,Algún campo sin dato,1,31d48eeda89ec2a4f458288264ad2e4ffd9ca62bc04717397274a52bea38662e,26/06/2023 00:40:41,ESCANER
18146,"Baja Verapaz",15,"Salamá",1,2773,400,27,14,59,2,13,53,46,19,2,5,0,13,6,1,0,260,12,3,275,0,275,--,400,125,260,275,275,Algún campo sin dato,1,a076b706e1dcf2a01025628d1c5e311b2cfdc5cf949fec3178a192f1bb54e806,25/06/2023 23:56:24,ESCANER
