TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,17765,12280,69.1246

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,COCIEP,COCIEGUA,COCIEES,COCIEA,CABAL,VAMOS,MI FAMILIA,COCIEO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18244,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,0,17,8,197,25,4,0,2,1,3,257,12,3,272,0,272,1,400,128,257,272,272,,1,a1b0ff7a0eadf733d8bfc3495ea2944276bdd8a0f8bd2e26557cbcba76d10daa,26/06/2023 00:49:07,ESCANER
18245,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,0,14,10,216,29,1,1,0,1,2,274,17,6,297,0,297,--,400,103,274,297,297,Algún campo sin dato,1,bd3b00fdc03d008fc379d8ffa76818d13e15bf4c8a0d4ee9760147ff9c0acac3,26/06/2023 00:40:50,ESCANER
18246,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,0,15,8,252,29,3,0,1,0,0,308,16,4,328,0,328,--,400,72,308,328,328,Algún campo sin dato,1,c6294c7f930c40af312cf45650fb887f60f24380d0742c4a26893f11a52802af,25/06/2023 23:24:53,ESCANER
18247,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,1,25,5,249,35,3,2,3,0,3,326,14,0,340,0,340,--,400,60,326,340,340,Algún campo sin dato,1,560766992705456bd8314c55b029944f3748d52d412ec8c80e447f5c040c5fcc,25/06/2023 23:40:18,ESCANER
18248,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,0,15,6,250,33,1,1,1,1,2,310,18,4,332,0,332,--,400,68,310,332,332,Algún campo sin dato,1,1f9b5dce7284c1a49246cf255b1febda0ab0dd12ec069d1d52fbdd5bd7494f4e,26/06/2023 02:59:15,ESCANER
18249,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,0,21,15,210,38,2,0,1,3,2,292,20,4,316,0,316,1,400,83,292,316,316,,1,514e4c5b853faae1efca3531d290fbd088738329e4b25a82b2415913368f7207,26/06/2023 01:09:21,ESCANER
18250,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,1,31,15,211,46,3,3,1,2,3,316,8,1,325,0,325,--,400,75,316,325,325,Algún campo sin dato,1,694e92d2922510feec0ed78cb22622db4b7a7f8f555a9db80f6406a1d51a12b2,26/06/2023 00:27:05,ESCANER
18251,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,1,20,11,199,53,5,1,1,3,2,296,12,6,314,0,314,--,400,86,296,314,314,Algún campo sin dato,1,2ffa56c9495a0281c8355d2d7d1015873c7ffcff5c6a79a8e5943aede4c0e4ee,25/06/2023 23:31:05,ESCANER
18252,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,0,29,14,215,35,5,2,3,1,2,306,16,4,326,0,326,1,400,74,306,326,326,,1,61cc3a4ff2466decb8a0ba1c2f43271c2dd7dba305d82cce1804eb36f76e4d80,26/06/2023 02:43:28,ESCANER
18253,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,0,31,13,198,53,1,3,0,1,5,305,7,0,312,0,312,--,400,88,305,312,312,Algún campo sin dato,1,dd5a965a6c5d85c86cf40cdf73369c8a8bd2c18ecf692d51f65d38ff5892d675,26/06/2023 00:56:03,ESCANER
18254,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,0,15,8,188,35,3,1,0,3,3,256,8,1,265,0,265,--,400,135,256,265,265,Algún campo sin dato,1,eee4aef02b7ea8ab26efc89ec48deafd482e81f6ebfa8ec56205d3e74567a458,25/06/2023 22:52:10,ESCANER
18255,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,0,19,12,175,49,3,3,3,0,1,265,6,0,271,0,271,--,400,129,265,271,271,Algún campo sin dato,1,49cb7652865966cbdf5ef503a8338cbc5738b1cdcfdbccb761be6d238212ff9d,26/06/2023 01:58:12,ESCANER
