TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
63,63,100.0000,63,100.0000,0,23399,13836,59.1307

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,COCIECH,UNE,COCIEC,COCERNA,VALOR UNIONISTA,COCIEAR,CABAL,MLP,U R N G - MAIZ,VICTORIA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18292,"Baja Verapaz",15,"Rabinal",3,2800,400,83,88,9,19,6,46,1,8,2,3,3,268,7,5,280,0,280,--,400,120,268,280,280,Algún campo sin dato,1,c6e7e1acd4bfa7c857e46d47da68ec1d021cfb728a4f0340f4fdcfaf6d6b39f7,26/06/2023 02:16:43,ESCANER
18293,"Baja Verapaz",15,"Rabinal",3,2800,400,86,84,11,20,3,33,5,2,3,0,1,248,13,4,265,0,265,--,399,134,248,265,265,Algún campo sin dato,1,23b69613d594c08911411f519bae772fc741868628311dfe3ae98b6ad87b92e8,26/06/2023 00:34:31,ESCANER
18294,"Baja Verapaz",15,"Rabinal",3,2800,400,85,84,12,8,7,38,5,4,1,2,1,247,13,1,261,0,261,--,400,139,247,261,261,Algún campo sin dato,1,8ce3f9f581fa9a258359646e43e0613574e9a56dea9abbaffa84384c7a8b8856,26/06/2023 00:11:27,ESCANER
18295,"Baja Verapaz",15,"Rabinal",3,2800,400,85,98,9,9,8,36,1,0,1,2,1,250,16,3,269,0,269,--,400,131,250,269,269,Algún campo sin dato,1,b962f338797a4aa06336db0a84f1181463f9d625722d56160dad342f364bcc7c,26/06/2023 02:34:25,ESCANER
18296,"Baja Verapaz",15,"Rabinal",3,2800,400,64,112,12,13,5,33,2,2,0,1,3,247,15,4,266,0,266,--,400,134,247,266,266,Algún campo sin dato,1,1ca802337a76dc15fa4712d61e8bb8dcff58aea75991346862b361e66e2558b3,25/06/2023 22:35:25,ESCANER
18297,"Baja Verapaz",15,"Rabinal",3,2800,400,79,92,19,19,2,40,3,0,3,3,1,261,9,2,272,0,272,--,400,128,261,272,272,Algún campo sin dato,1,e54e2f76253b219429254c0d16ff1dd7ed0baf8de67a3bd392d2c224cd422674,26/06/2023 00:06:05,ESCANER
18298,"Baja Verapaz",15,"Rabinal",3,2800,400,78,98,10,6,2,32,4,1,1,0,0,232,3,0,235,0,235,--,400,165,232,235,235,Algún campo sin dato,1,722ac5acf28acd43a7b9bcd22caf533c54187f0d0e3767fd33d1eb88bd3d6861,26/06/2023 01:41:54,ESCANER
18299,"Baja Verapaz",15,"Rabinal",3,2800,400,94,88,10,14,2,28,3,1,1,3,2,246,8,0,254,0,254,--,400,146,246,254,254,Algún campo sin dato,1,7a9d0c2f5740d452678c0b502c26db4ee27afb8b991231439d9ca085135e1e5a,26/06/2023 00:38:57,ESCANER
18300,"Baja Verapaz",15,"Rabinal",3,2800,400,81,77,15,22,3,48,7,1,2,0,1,257,7,1,265,0,265,--,400,132,257,265,265,Algún campo sin dato,1,6b6397dac25e938de1f599f82562adfe11bc320f446f41d5a221c44d6688db74,26/06/2023 01:46:54,ESCANER
18301,"Baja Verapaz",15,"Rabinal",3,2800,400,78,99,11,30,8,44,0,1,1,1,1,274,7,2,283,0,283,--,400,117,274,283,283,Algún campo sin dato,1,fcd6ab2dd4793a52af29d6444d861f502bfd71619dcb5f6a2010f0ee45441320,26/06/2023 01:26:35,ESCANER
18302,"Baja Verapaz",15,"Rabinal",3,2800,400,78,107,19,17,8,38,3,4,5,0,2,281,6,3,290,0,290,--,400,110,281,290,290,Algún campo sin dato,1,7941774ab4b48ffa8153522178ea2dd9ac2d5a686ec09a1861fc83b78e806641,26/06/2023 02:25:51,ESCANER
18303,"Baja Verapaz",15,"Rabinal",3,2800,400,66,109,10,12,6,43,5,4,0,2,1,258,8,0,266,0,266,--,400,134,258,266,266,Algún campo sin dato,1,b32aea147babee904a43367aea00aa3581fe53de309fac96c5b3cb8e8c76dfea,26/06/2023 02:15:21,ESCANER
18304,"Baja Verapaz",15,"Rabinal",3,2800,400,57,96,9,14,5,40,3,3,1,2,1,231,12,2,245,0,245,--,376,131,231,245,245,Algún campo sin dato,1,736d0c2fc4ce43b9cfb1106ab948703fc02139350ebdd6b606c7e57627264d7a,26/06/2023 01:56:32,ESCANER
18305,"Baja Verapaz",15,"Rabinal",3,2800,400,56,82,9,26,10,30,1,1,3,2,1,221,5,2,228,0,228,--,400,172,221,228,228,Algún campo sin dato,1,96ec55928d744c39c453126388460c703b6bf392230cbecf7c51de4e3b0b17f0,26/06/2023 00:42:35,ESCANER
18306,"Baja Verapaz",15,"Rabinal",3,2800,400,81,68,7,11,3,29,1,3,2,3,4,212,6,0,218,0,218,--,400,182,212,218,218,Algún campo sin dato,1,15a7f8deb77038482d3c24281b64ac228d38ed88cb88febd01d85faa8c19eb8e,26/06/2023 00:33:14,ESCANER
18307,"Baja Verapaz",15,"Rabinal",3,2800,400,97,78,13,18,3,37,2,2,1,2,0,253,3,1,257,0,257,--,400,143,253,257,257,Algún campo sin dato,1,5b9b2501d35397b68efcba307457c054d4724814f64af0a471def6e5229673e7,26/06/2023 00:29:55,ESCANER
18308,"Baja Verapaz",15,"Rabinal",3,2800,384,71,78,4,20,10,28,3,2,2,4,1,223,3,0,226,0,226,--,384,158,223,226,226,Algún campo sin dato,1,e1fcd71484d9ca8b6e6c99fa2d9b98da60026b7c13d9a7d3ec81013274b1771a,25/06/2023 23:22:21,ESCANER
18309,"Baja Verapaz",15,"Rabinal",3,2800,384,60,75,8,11,5,16,1,1,1,1,2,181,0,1,182,4,186,--,384,198,181,182,186,Algún campo sin dato,1,2f0a6ce39ec5931642a5dbc5c26f3f04e0aa9c3428e69471fb764fb47f31bb2c,25/06/2023 23:52:18,ESCANER
18310,"Baja Verapaz",15,"Rabinal",3,2801,390,54,70,8,2,4,98,0,4,2,0,1,243,25,1,269,0,269,--,390,121,243,269,269,Algún campo sin dato,1,887caa74f772a16ba4d3eca79ca3567d9102e2c610cf30d98bd5f2c87ec827f4,26/06/2023 00:13:53,ESCANER
18311,"Baja Verapaz",15,"Rabinal",3,2801,389,53,65,5,7,0,60,1,1,1,1,0,194,6,1,201,0,201,--,389,188,194,201,201,Algún campo sin dato,1,95d9406df8a03a8c0dac928d14be601b022ba69e837c5c1be93d45b201d4e6a4,25/06/2023 22:15:44,ESCANER
18312,"Baja Verapaz",15,"Rabinal",3,2802,400,120,52,12,5,1,42,4,0,3,0,0,239,20,6,265,0,265,--,400,135,239,265,265,Algún campo sin dato,1,a2d91c1e4ff3904b58157e590c7fed734219784ffc7591c9c5ce8d927b27880b,26/06/2023 01:08:48,ESCANER
18313,"Baja Verapaz",15,"Rabinal",3,2802,400,150,56,4,5,4,38,5,0,0,1,0,263,15,4,282,0,282,--,400,118,263,282,282,Algún campo sin dato,1,2c1bf0b8c3d23ffbb4a857affe98f4ff468e173648fdf500eddc05784eb9af05,26/06/2023 00:30:22,ESCANER
18314,"Baja Verapaz",15,"Rabinal",3,2802,400,187,51,2,5,2,33,3,2,1,0,1,287,11,5,303,0,303,--,400,97,287,303,303,Algún campo sin dato,1,b25513219585a4af4d841fa016755cc9259ebfc7979d6a1fa867c6bf0d56626e,26/06/2023 00:25:05,ESCANER
18315,"Baja Verapaz",15,"Rabinal",3,2802,400,114,62,10,4,1,68,2,1,3,0,1,266,17,2,285,5,290,--,400,110,266,285,290,Algún campo sin dato,1,38e5e8d4286e4ebc5e321ce55a2d185a8069fae1407165fbd636bc1455456e44,26/06/2023 01:47:30,ESCANER
18316,"Baja Verapaz",15,"Rabinal",3,2802,400,93,50,4,7,3,61,4,0,1,0,4,227,17,6,250,0,250,--,400,150,227,250,250,Algún campo sin dato,1,751cad822969a31b959766efa5660e2134d59e8fba3749e1835edfdb9abff5e3,25/06/2023 23:37:11,ESCANER
18317,"Baja Verapaz",15,"Rabinal",3,2802,400,108,47,6,7,2,32,2,1,1,0,1,207,14,5,226,0,226,--,400,174,207,226,226,Algún campo sin dato,1,658b1adbd14d1dd43fcde82a496467e8539e9080c728952b9bcaada3d614034c,25/06/2023 23:02:31,ESCANER
18318,"Baja Verapaz",15,"Rabinal",3,2802,400,103,48,6,4,1,33,4,0,2,0,2,203,5,1,209,0,209,1,400,191,203,209,209,,1,8f86295f3a3db75bcae348d1ba2188193a6e1c3d35254c7f8bdc79b20092eed8,26/06/2023 00:17:52,ESCANER
18319,"Baja Verapaz",15,"Rabinal",3,2802,233,66,29,2,6,3,12,0,1,0,1,1,121,0,0,121,0,121,--,233,112,121,121,121,Algún campo sin dato,1,1ef1af4ba303d50f2e6f6d103e0b17de8c52806a4eef7532d500a379d151b543,25/06/2023 22:34:40,ESCANER
18320,"Baja Verapaz",15,"Rabinal",3,2802,233,56,29,2,0,0,6,1,0,0,0,0,94,1,1,96,0,96,--,233,137,94,96,96,Algún campo sin dato,1,955b4adb24170fe078657872e6f97b8a3edf05404af55873e38e4837a627deb3,26/06/2023 00:59:30,ESCANER
18321,"Baja Verapaz",15,"Rabinal",3,2803,344,61,65,21,12,4,32,1,5,0,0,0,201,21,3,225,0,225,--,344,119,201,225,225,Algún campo sin dato,1,798cce431abb6e46997aa6038ebaab1973c5a61a4597708d290bba7e131cf006,25/06/2023 23:17:37,ESCANER
18322,"Baja Verapaz",15,"Rabinal",3,2803,344,50,57,16,11,6,25,0,5,0,0,0,170,9,0,179,0,179,--,344,165,170,179,179,Algún campo sin dato,1,1599d0f4aacb5ee4afdd22e9212e37afb80fadd78e9f60ac1549849e43b4f9de,26/06/2023 02:36:15,ESCANER
