TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
93,93,100.0000,93,100.0000,0,33585,18500,55.0841

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,CABAL,MLP,VAMOS,PODEMOS,VIVA,VOS,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18355,"Baja Verapaz",15,"Cubulco",4,2813,400,72,52,7,6,20,3,3,1,10,28,202,20,6,228,0,228,--,--,--,202,228,228,Algún campo sin dato,1,e7c8ac363afa083b769ad5b0d2cc2df72c04095039fe07a3bf2ee753f569c6b6,25/06/2023 23:17:36,ESCANER
18356,"Baja Verapaz",15,"Cubulco",4,2813,400,79,81,3,6,22,7,2,0,7,20,227,27,4,258,0,258,--,400,142,227,258,258,Algún campo sin dato,1,9e103ffd676e4614b306b856d70f3117d123efe3b218e8ed3a3894099bec427a,26/06/2023 02:38:42,ESCANER
18357,"Baja Verapaz",15,"Cubulco",4,2813,400,52,118,17,11,17,3,2,1,6,10,237,17,13,267,0,267,--,400,133,237,267,267,Algún campo sin dato,1,3500fb9bc82feddbc54638cd18269fdeb185b4475199ab78c1465bc2385a6da5,26/06/2023 02:07:52,ESCANER
18358,"Baja Verapaz",15,"Cubulco",4,2813,400,82,95,2,3,22,6,3,2,12,16,243,19,5,267,0,267,--,397,130,243,267,267,Algún campo sin dato,1,6187fd660f4ca9b5c5891092ce3f425c4c651dabbb84ceed05293948b8c63a9b,26/06/2023 01:18:14,ESCANER
18359,"Baja Verapaz",15,"Cubulco",4,2813,400,69,93,5,7,18,1,2,2,10,32,239,23,6,268,0,268,--,400,132,239,268,268,Algún campo sin dato,1,7d0be7f2cf176d6e96a95a9663c253ee4eae24434cab3d489ea6025cbd2e97bb,26/06/2023 02:26:49,ESCANER
18360,"Baja Verapaz",15,"Cubulco",4,2813,400,58,79,5,5,18,6,1,0,8,25,205,15,1,221,0,221,--,400,179,205,221,221,Algún campo sin dato,1,f931ed8d52f48f90f87be7bd6f3408ec4bd34a4468e9c2d07e3f18a7066339ea,25/06/2023 23:38:58,ESCANER
18361,"Baja Verapaz",15,"Cubulco",4,2813,400,74,56,6,4,17,2,2,0,6,26,193,15,6,214,0,214,--,400,186,193,214,214,Algún campo sin dato,1,2912e777cf8a141fdeddf21bbb0180c474da273a195f69643ecc6495a42462e4,26/06/2023 00:18:40,ESCANER
18362,"Baja Verapaz",15,"Cubulco",4,2813,400,69,71,11,7,18,1,2,1,7,20,207,8,4,219,0,219,1,400,180,207,219,219,,1,8853dc58dd61cd5298f42e322ab298c605a901c835ce89b445e56c268f8819c0,26/06/2023 00:30:49,ESCANER
18363,"Baja Verapaz",15,"Cubulco",4,2813,379,76,57,3,3,13,3,0,2,7,19,183,3,1,187,0,187,--,379,192,183,187,187,Algún campo sin dato,1,8e4ddb94254df4499e7a64590ce1634577dc564f690e6d0de670b8d11298432a,26/06/2023 01:03:25,ESCANER
18364,"Baja Verapaz",15,"Cubulco",4,2813,379,43,68,6,9,10,2,0,0,2,21,161,4,4,169,0,169,--,379,210,161,169,169,Algún campo sin dato,1,325c52919c5bec2295c5e7dfe51a258bbb947988601490ece9df52d1c7ac2815,26/06/2023 01:35:37,ESCANER
18365,"Baja Verapaz",15,"Cubulco",4,2814,400,55,38,7,6,38,1,1,0,10,79,235,23,6,264,0,264,--,400,136,235,264,264,Algún campo sin dato,1,18a1178a3e186a831642131cc00f9b4133723501aad40f316e3ace4e6518d573,26/06/2023 02:58:35,ESCANER
18366,"Baja Verapaz",15,"Cubulco",4,2814,400,58,67,6,6,31,8,0,4,9,57,246,27,3,276,0,276,--,400,124,246,276,276,Algún campo sin dato,1,f9a343b3bce3b42b461516fe43ef4af760eb434c4fe18c4797871187fe4fd0cd,26/06/2023 00:39:44,ESCANER
18367,"Baja Verapaz",15,"Cubulco",4,2814,400,53,52,5,5,26,3,1,2,13,44,204,15,2,221,0,221,--,400,179,204,221,221,Algún campo sin dato,1,e2f6dfc65fc1a619bf0a9c972c2177accfb19433d2b2655548183b6f0f8e329a,26/06/2023 01:55:46,ESCANER
18368,"Baja Verapaz",15,"Cubulco",4,2814,318,37,38,6,2,19,2,1,1,5,36,147,6,1,154,0,154,--,318,164,147,154,154,Algún campo sin dato,1,e560c34a88aca96987ce34c1dc95f4a8f090c20caf35cc08ce9014e2c499e8ec,25/06/2023 23:30:39,ESCANER
18369,"Baja Verapaz",15,"Cubulco",4,2814,317,43,41,7,7,15,1,0,1,8,36,159,2,0,161,0,161,--,314,153,159,161,161,Algún campo sin dato,1,f01134480ab572eb4074488b23c7ab1ffe5ce54b06ada99f92ca9a8954fe8bfe,26/06/2023 00:34:05,ESCANER
18370,"Baja Verapaz",15,"Cubulco",4,2815,400,61,65,7,3,21,6,0,2,4,58,227,14,4,245,0,245,--,397,152,227,245,245,Algún campo sin dato,1,81e53a1bc60fc1fb4c520b0c66face606c9e3690864cad5b5281b1188db538fa,26/06/2023 02:33:30,ESCANER
18371,"Baja Verapaz",15,"Cubulco",4,2815,400,56,65,16,8,26,5,0,1,4,41,222,20,7,249,0,249,--,400,151,222,249,249,Algún campo sin dato,1,5c0344286f6e209beb41c764faba2754753d6404d3d4c5a96e4be88fa3306161,25/06/2023 22:47:16,ESCANER
18372,"Baja Verapaz",15,"Cubulco",4,2815,400,69,53,12,3,24,10,1,3,2,45,222,13,5,240,0,240,--,400,160,222,240,240,Algún campo sin dato,1,a215cf7d9fe941839e993f560cb9e1309f4d9291e109613994030cc291ae4b66,26/06/2023 01:27:36,ESCANER
18373,"Baja Verapaz",15,"Cubulco",4,2815,400,63,92,8,9,19,3,0,3,8,34,239,22,7,268,0,268,--,400,132,239,268,268,Algún campo sin dato,1,06b4b012944bce0876212c5fc43b77195d6bb388c1a81d77d3ba3bf3f465d8a0,25/06/2023 22:29:13,ESCANER
18374,"Baja Verapaz",15,"Cubulco",4,2815,400,64,68,4,3,46,6,2,0,1,35,229,17,7,253,0,253,--,400,147,229,253,253,Algún campo sin dato,1,3e27a19740dfd66dc5c446f97582c482195c2e5fbb835ebdd939255962052bea,26/06/2023 01:42:21,ESCANER
18375,"Baja Verapaz",15,"Cubulco",4,2815,400,84,42,4,1,54,9,5,1,4,50,254,20,2,276,0,276,--,400,124,254,276,276,Algún campo sin dato,1,43ed0ae5423fd3227d284d8822e5b640a8bd3f4f3ee7cd10a920a701babb3c25,26/06/2023 00:20:27,ESCANER
18376,"Baja Verapaz",15,"Cubulco",4,2815,400,72,43,9,2,44,8,0,3,5,41,227,12,5,244,0,244,--,400,156,227,244,244,Algún campo sin dato,1,15433ab75d50a5603f7b47ca34f37f38bda3eeac0ba8de838bdf5b24073a5840,25/06/2023 23:30:48,ESCANER
18377,"Baja Verapaz",15,"Cubulco",4,2815,400,87,46,7,2,37,3,1,1,3,47,234,17,6,257,0,257,--,400,143,234,257,257,Algún campo sin dato,1,9c29e4dbf4442297379e09def44c5ab44dc7adb0c956ba7313cc9d8790ed3c7f,26/06/2023 00:37:48,ESCANER
18378,"Baja Verapaz",15,"Cubulco",4,2815,400,53,42,13,0,20,5,0,1,5,40,179,7,1,187,0,187,--,400,213,179,187,187,Algún campo sin dato,1,2a38585de4257a9f66975cb6626d5d39d159ecd1b8e6bdf5505e1f3bfc5ad90e,25/06/2023 22:21:34,ESCANER
18379,"Baja Verapaz",15,"Cubulco",4,2815,400,67,56,8,4,41,4,1,1,4,50,236,8,2,246,0,246,--,400,154,236,246,246,Algún campo sin dato,1,c316d97e0b39d637a9d3dd4f01384af519777cbc474679890f947323a107b0a7,26/06/2023 00:17:11,ESCANER
18380,"Baja Verapaz",15,"Cubulco",4,2815,400,60,43,5,2,35,4,1,3,5,43,201,13,3,217,0,217,--,400,183,201,217,217,Algún campo sin dato,1,20fff7c772fcf1e1bfb321d3eb8db54d1ac8b83fc40e4ae0ea24f205bda29453,25/06/2023 23:00:31,ESCANER
18381,"Baja Verapaz",15,"Cubulco",4,2815,400,55,40,8,2,34,3,2,4,5,29,182,10,0,192,0,192,--,400,208,182,192,192,Algún campo sin dato,1,b04e397863a9bc94fe6f432c74e1d06e802ac38c3c51bcd73709ea79afcea829,25/06/2023 22:25:36,ESCANER
18382,"Baja Verapaz",15,"Cubulco",4,2815,400,54,43,5,5,33,2,1,0,6,28,177,7,0,184,0,184,--,400,216,177,184,184,Algún campo sin dato,1,450b5f24a9b13ae77a845c551bfbbbac938393c46d8c935f54395e797a7cb160,25/06/2023 22:55:21,ESCANER
18383,"Baja Verapaz",15,"Cubulco",4,2815,400,60,41,7,4,28,1,1,1,3,32,178,9,1,188,0,188,--,400,212,178,188,188,Algún campo sin dato,1,b3abd5ba7bc7c19aea47c0079be8f1c81782dbc7420af8e095e7a7bbf1081a34,25/06/2023 23:22:39,ESCANER
18384,"Baja Verapaz",15,"Cubulco",4,2815,323,51,25,1,1,26,4,1,4,6,37,156,1,1,0,0,158,--,323,165,156,158,158,Algún campo sin dato,1,6eb83e5afeaa1b7273a0ade5967f60adede1c40459d29701847af5e7b6a74659,25/06/2023 23:30:04,ESCANER
18385,"Baja Verapaz",15,"Cubulco",4,2815,322,49,36,1,1,20,4,0,2,4,32,149,5,1,155,0,155,--,322,167,149,155,155,Algún campo sin dato,1,b07cc8171a12c23508bd8c3a6246630d5adb28f8a3f7eb16c80fe0473bd48421,26/06/2023 00:36:11,ESCANER
18386,"Baja Verapaz",15,"Cubulco",4,2816,400,62,54,10,1,26,2,0,3,9,33,200,22,10,232,0,232,--,400,168,200,232,232,Algún campo sin dato,1,5825e45551a8de142d749b0ee3e9ae6c2bd461365b2fec78a10acff78c186aa3,25/06/2023 23:35:02,ESCANER
18387,"Baja Verapaz",15,"Cubulco",4,2816,400,56,82,6,3,20,11,5,0,6,23,212,26,8,246,0,246,--,400,154,212,246,246,Algún campo sin dato,1,8c474d7da1c57937b05fd2f7f088e267d653be786729850aee74a4c28431a28e,26/06/2023 00:33:15,ESCANER
18388,"Baja Verapaz",15,"Cubulco",4,2816,400,98,68,2,3,31,1,0,0,4,41,248,16,5,269,0,269,--,400,131,248,269,269,Algún campo sin dato,1,7e3b26bde151ee3904f765856029947e5acd8d556fb3e7ddc78b20e6e132f74b,26/06/2023 01:08:08,ESCANER
18389,"Baja Verapaz",15,"Cubulco",4,2816,400,80,71,6,4,19,1,1,1,2,18,203,14,2,219,0,219,--,400,181,203,219,219,Algún campo sin dato,1,0f5e9747a7e6317eade8197621b4101e2b8771566979ecd0dc3ccd454d9bdac7,26/06/2023 01:12:12,ESCANER
18390,"Baja Verapaz",15,"Cubulco",4,2816,400,59,63,6,3,23,1,1,5,4,28,193,12,1,206,0,206,--,400,194,193,206,206,Algún campo sin dato,1,cf8bbb5e2680aa54823cf294138feb8cb7cd97e55c1b1f83af3be255d74dc592,26/06/2023 00:16:24,ESCANER
18391,"Baja Verapaz",15,"Cubulco",4,2816,301,64,35,6,2,11,1,0,0,1,18,138,3,0,141,0,141,--,301,160,138,141,141,Algún campo sin dato,1,d6e479f27799f64f9cfeddf4fc0096de4211f4e505f9a59014c9417a714f8493,26/06/2023 00:21:46,ESCANER
18392,"Baja Verapaz",15,"Cubulco",4,2816,301,64,37,2,1,8,1,1,0,5,23,142,8,0,150,0,150,--,301,151,142,150,150,Algún campo sin dato,1,367fd5bd2ce3118af987d8bf40b447ebaed1d4c8fbdf1e83226394f24894f771,25/06/2023 23:48:18,ESCANER
18393,"Baja Verapaz",15,"Cubulco",4,2817,380,14,7,19,2,81,1,1,1,1,66,193,12,4,209,0,209,--,380,171,193,209,209,Algún campo sin dato,1,5157e3f3954e6a1808234434a70c40a66d6e8aa1e51b36a6476a24fd34a162e2,26/06/2023 00:46:14,ESCANER
18394,"Baja Verapaz",15,"Cubulco",4,2817,380,15,17,23,1,65,1,0,1,2,64,189,19,5,213,0,213,--,380,167,189,213,213,Algún campo sin dato,1,c286e06d282a798e2b87eacb9f3a821d94af11307e20fb80478fcfd7f5432833,26/06/2023 00:28:26,ESCANER
18395,"Baja Verapaz",15,"Cubulco",4,2817,380,23,7,27,1,107,2,2,2,2,30,203,13,9,225,0,225,--,380,155,203,225,225,Algún campo sin dato,1,60c51580d1ab297230ba28be67bb3e8bd176955d4b3312abc155ed0965f88bfd,26/06/2023 00:24:25,ESCANER
18396,"Baja Verapaz",15,"Cubulco",4,2817,380,13,14,19,1,74,2,1,0,2,50,176,11,3,190,0,190,1,380,189,176,190,190,,1,c6b261f2f91e0095548adc0dc6c026acac7b3fb34b07ab6d3b5fa9248522b427,25/06/2023 23:17:38,ESCANER
18397,"Baja Verapaz",15,"Cubulco",4,2817,222,15,3,14,0,50,0,1,1,1,25,110,3,2,115,0,115,--,222,107,110,115,115,Algún campo sin dato,1,ee552623e9003a09ee3f0496d9942a0cf703cedf1ab351bf9bf245f67470eb39,25/06/2023 22:37:00,ESCANER
18398,"Baja Verapaz",15,"Cubulco",4,2817,221,11,12,6,0,42,0,0,1,1,21,94,2,1,97,0,97,--,221,124,94,97,97,Algún campo sin dato,1,e37fec2a8f6213caf84f6394de78fcbd0cead9ae691137c4365becdacbd89925,25/06/2023 23:54:04,ESCANER
18399,"Baja Verapaz",15,"Cubulco",4,2818,380,71,69,21,0,26,1,1,1,3,21,214,8,4,226,0,226,--,380,154,214,226,226,Algún campo sin dato,1,e0ea80ffc42b91333660b13d54b2e32f2db205393ca08d44b379291c366dd62d,26/06/2023 04:02:52,ESCANER
18400,"Baja Verapaz",15,"Cubulco",4,2818,380,104,80,18,3,21,3,0,0,4,26,259,16,10,285,0,285,--,380,95,259,285,285,Algún campo sin dato,1,f880e2f539cad8789e48e785a0cd3f78684471a69fd42835d6c4b3d0918452a3,26/06/2023 04:10:33,ESCANER
18401,"Baja Verapaz",15,"Cubulco",4,2818,380,68,101,38,2,33,0,2,0,1,22,267,16,4,287,0,287,0,380,93,267,287,287,,1,12ef3be18be745904873b6c59b552459718dc566d725e1ce658bd94685eae0f0,26/06/2023 03:53:02,ESCANER
18402,"Baja Verapaz",15,"Cubulco",4,2818,380,50,84,19,2,25,2,1,1,0,13,197,7,7,211,0,211,--,380,169,197,211,211,Algún campo sin dato,1,362dfb4da51e081394e9628aae4d350aa28fa9a6112bfe3de9f385631654600d,26/06/2023 04:18:46,ESCANER
18403,"Baja Verapaz",15,"Cubulco",4,2818,380,57,49,22,0,11,2,0,0,1,18,160,12,6,178,0,178,--,380,202,160,178,178,Algún campo sin dato,1,42e69fd19d3739df519b90566894777e21e8f0511bce84467137e06fbea940a2,26/06/2023 04:14:15,ESCANER
18404,"Baja Verapaz",15,"Cubulco",4,2818,380,54,58,36,1,21,1,0,1,0,12,184,11,3,198,0,198,--,380,182,184,198,198,Algún campo sin dato,1,56b15b8a74cd2fb182d9174f57558113b51c8dbaeae196e99d18b6a51b771021,26/06/2023 04:24:20,ESCANER
18405,"Baja Verapaz",15,"Cubulco",4,2818,335,68,78,25,0,18,1,0,0,0,18,208,5,4,217,0,217,--,335,118,208,217,217,Algún campo sin dato,1,cf2e495ef8a871c4338f259ddadf5df087d5305800b4a3c359d6e7c2e047dd49,26/06/2023 03:57:33,ESCANER
18406,"Baja Verapaz",15,"Cubulco",4,2818,334,53,42,42,1,21,1,0,1,1,18,180,4,2,186,0,186,--,334,148,180,186,186,Algún campo sin dato,1,629b238253d3e92681b8bd0d3334db663890cc2b1aa28777f6a4ac4d8f85434b,26/06/2023 04:06:44,ESCANER
18407,"Baja Verapaz",15,"Cubulco",4,2819,380,74,83,4,5,21,7,1,0,6,6,207,26,4,237,0,237,--,380,143,207,237,237,Algún campo sin dato,1,ac5566156f7f686921c2d2439e76906e0620e3593b04df2940c9a30c7ce347e2,26/06/2023 00:47:55,ESCANER
18408,"Baja Verapaz",15,"Cubulco",4,2819,380,114,71,3,1,22,7,2,0,6,10,236,28,5,269,0,269,--,380,108,236,269,269,Algún campo sin dato,1,ea031bf74a28284114ff5aba1ff8ce65f596f0e9b28468538151fff2fb34013e,26/06/2023 03:24:37,ESCANER
18409,"Baja Verapaz",15,"Cubulco",4,2819,380,119,52,2,5,11,5,0,0,8,8,210,24,9,243,0,243,--,380,137,210,243,243,Algún campo sin dato,1,05125eeec7693da5af96bda4e17e43d95a19a159a331d99248ecbb6f1a9db2bf,26/06/2023 02:34:31,ESCANER
18410,"Baja Verapaz",15,"Cubulco",4,2819,234,75,37,2,1,3,1,0,0,1,4,124,1,1,126,0,126,--,234,108,124,126,126,Algún campo sin dato,1,a39cb2b10a46bc579e94d0d5e620c38f2dbe02ef05b1f5c95571dda70bca7643,26/06/2023 00:09:58,ESCANER
18411,"Baja Verapaz",15,"Cubulco",4,2819,234,57,27,2,1,14,4,0,0,2,5,112,2,3,117,0,117,--,234,117,112,117,117,Algún campo sin dato,1,bf156f963796c457c64c7d3fb1c5d0a96ed2b1048066375aa71acafbdb286b8b,26/06/2023 00:37:12,ESCANER
18412,"Baja Verapaz",15,"Cubulco",4,2820,380,65,20,16,18,32,5,0,0,4,14,174,11,14,199,0,199,0,380,181,174,199,199,,1,805f78fd3398007947a6e7705ebe91d98f5bfb98ccf9281d6ad91390421f59dd,26/06/2023 00:05:46,ESCANER
18413,"Baja Verapaz",15,"Cubulco",4,2820,380,48,15,29,14,41,4,1,0,4,18,174,17,17,208,0,208,--,380,172,174,208,208,Algún campo sin dato,1,3b809cf8970ff8af246df77e3fa5bed8f88ec1cea288c43c89ec5c8cc57bce0b,25/06/2023 23:45:10,ESCANER
18414,"Baja Verapaz",15,"Cubulco",4,2820,380,55,29,16,18,28,1,2,1,6,25,181,21,5,207,0,207,--,379,172,181,207,207,Algún campo sin dato,1,7727b9e7713f9345cec9eb7a2335a8ceb02ebe8447c2b89702f0841340421b64,25/06/2023 23:06:46,ESCANER
18415,"Baja Verapaz",15,"Cubulco",4,2820,342,36,17,30,20,20,1,1,2,1,10,138,12,4,154,0,154,--,345,191,138,154,154,Algún campo sin dato,1,589fca072e8a26d7399ef4003285cd586e0b3d9ee0f47e42224944877374d458,25/06/2023 22:31:43,ESCANER
18416,"Baja Verapaz",15,"Cubulco",4,2820,342,67,29,7,8,22,0,0,0,2,8,143,6,3,152,0,152,--,342,190,143,152,152,Algún campo sin dato,1,f9ed867364ca317b56b5ae3798fe88501a2ab7a0a3055f0ccea20f019fdb9094,25/06/2023 23:13:49,ESCANER
