TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
29,29,100.0000,29,100.0000,0,10864,7179,66.0806

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,VIVA,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18448,"Baja Verapaz",15,"Granados",5,2829,400,81,171,3,3,258,12,3,273,0,273,--,400,127,258,273,273,Algún campo sin dato,1,a546a299081bdc1113990fa3f68bbc81167e4b2db746d4471064d52cc19e45c8,26/06/2023 00:20:12,ESCANER
18449,"Baja Verapaz",15,"Granados",5,2829,400,84,200,3,2,289,4,3,296,0,296,--,400,104,289,296,296,Algún campo sin dato,1,1e856460c2a4c34d919962682fef98e1fe4cc78109104a89749fc41852104e25,25/06/2023 23:05:32,ESCANER
18450,"Baja Verapaz",15,"Granados",5,2829,400,74,214,8,3,299,5,2,306,0,306,--,400,94,299,306,306,Algún campo sin dato,1,9e02b6625a5cd8ee9eb1a401e01088e58ac8066568610f56a00b0f89a247e3a7,26/06/2023 00:17:54,ESCANER
18451,"Baja Verapaz",15,"Granados",5,2829,400,60,233,6,0,299,6,3,308,0,308,--,400,92,299,308,308,Algún campo sin dato,1,b2b28479859c7ab866a79866e043865111b827469ffe920e72b2367ecb3eea06,25/06/2023 23:52:59,ESCANER
18452,"Baja Verapaz",15,"Granados",5,2829,400,77,226,2,0,305,6,2,313,0,313,--,400,87,305,313,313,Algún campo sin dato,1,d344adccf2cd559485dca6e345df78db497382feb36cb135548dce33c9ff2516,25/06/2023 23:11:12,ESCANER
18453,"Baja Verapaz",15,"Granados",5,2829,400,75,222,8,1,306,6,3,315,0,315,--,400,85,306,315,315,Algún campo sin dato,1,6d8f0376c0c5755e7fd4512b586f21344c59a264ce14a861cd692599dbe145d2,25/06/2023 23:50:04,ESCANER
18454,"Baja Verapaz",15,"Granados",5,2830,400,71,214,9,4,298,12,5,315,0,315,--,400,85,298,315,315,Algún campo sin dato,1,d586b3f453ff1958a21e5a856865356d3f004b6aa114c6bdb072ffac5bd8bd83,25/06/2023 23:42:38,ESCANER
18455,"Baja Verapaz",15,"Granados",5,2830,400,78,167,4,1,250,2,0,252,0,252,--,400,148,250,252,252,Algún campo sin dato,1,0e085a77e9d4423177fd25023848f93ebe0d43f447723043c52f0efb7d24f97b,25/06/2023 22:26:23,ESCANER
18456,"Baja Verapaz",15,"Granados",5,2830,400,69,181,8,0,258,3,3,264,0,264,--,400,136,258,264,264,Algún campo sin dato,1,6702db76fce5aa15eec328da6376b57cd1c90a3271a6dba21037f55302c70480,25/06/2023 22:08:28,ESCANER
18457,"Baja Verapaz",15,"Granados",5,2830,400,52,165,10,3,230,9,3,242,0,242,--,400,158,230,242,242,Algún campo sin dato,1,31de44ba737a16ea2c287c1e3f31a9515a2bda348edba5af201311ed86ba9c0e,25/06/2023 22:34:13,ESCANER
18458,"Baja Verapaz",15,"Granados",5,2831,400,58,166,2,0,226,2,0,228,0,228,--,400,172,226,228,228,Algún campo sin dato,1,c098ded79aff75805027ca08bccb2e681c85b8292e03ac1ea25a732d93318a5f,25/06/2023 23:17:45,ESCANER
18459,"Baja Verapaz",15,"Granados",5,2831,400,72,206,3,4,285,0,1,--,0,286,--,400,114,285,286,286,Algún campo sin dato,1,2c9c71a3cca3706b2ccd040f3dcecf9494f230655e44435827e1c3c92158db9d,25/06/2023 23:45:26,ESCANER
18460,"Baja Verapaz",15,"Granados",5,2831,400,66,198,1,2,267,1,0,268,1,269,--,400,131,267,268,269,Algún campo sin dato,1,63a41bda3386a868f1a971d8b43b8caa8e4a1660d2a21b426e798717e76d20f5,25/06/2023 23:24:05,ESCANER
