TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
20,20,100.0000,20,100.0000,0,7201,4918,68.2960

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,VAMOS,VICTORIA,UR,VIVA,PHG,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18477,"Baja Verapaz",15,"El Chol",6,2836,400,92,92,5,1,4,1,7,6,58,266,5,4,275,0,275,0,402,127,266,275,275,,1,e0f7a9c17cb9657546e881eb9ecd556cc664f16e5a0eabe5920c1ddfa089454c,25/06/2023 23:08:07,ESCANER
18478,"Baja Verapaz",15,"El Chol",6,2836,400,109,77,7,4,0,5,8,3,61,274,11,8,293,0,293,0,400,107,274,293,293,,1,f994ca7bcfc82941085cca816074b2aaad256063644d44055d6814ef2d607911,26/06/2023 00:40:02,ESCANER
18479,"Baja Verapaz",15,"El Chol",6,2836,400,95,86,4,3,0,1,5,3,101,298,2,3,303,0,303,0,400,97,298,303,303,,1,08e33d89d27d58519cf7a14f7c3398411da91714e3c0b65b0739f639eacc58dd,26/06/2023 00:44:47,ESCANER
18480,"Baja Verapaz",15,"El Chol",6,2836,400,96,104,5,1,1,3,6,2,69,287,15,5,307,0,307,0,400,93,287,307,307,,1,7ba55b6a9d94eea14785613e6135f9705b36a061939e3d5615d3480d60f157e3,25/06/2023 23:24:23,ESCANER
18481,"Baja Verapaz",15,"El Chol",6,2836,400,81,131,3,6,0,0,7,2,74,304,10,6,320,0,320,0,398,78,304,320,320,,1,abed29089491383632e2c56309d2ad80e16d1d382551c34c162876b6f46bf463,25/06/2023 23:17:18,ESCANER
18482,"Baja Verapaz",15,"El Chol",6,2836,400,69,101,0,2,0,0,5,2,75,263,8,1,272,0,272,0,400,137,254,263,263,Sumas Asentadas sin cuadrar,1,ad008234a85749fc5f7e0a2dff8948bd8f5ff085d40c671cc84f67ade8c8a67a,25/06/2023 23:06:34,ESCANER
18483,"Baja Verapaz",15,"El Chol",6,2837,400,79,102,3,1,2,0,7,3,68,265,5,2,272,0,272,0,400,128,265,272,272,,1,c8ec62785391b156935d6cd80fffa7e2bfb0827ccc7a944c7419ae2621f55feb,26/06/2023 00:45:39,ESCANER
18484,"Baja Verapaz",15,"El Chol",6,2837,400,85,81,2,2,0,1,8,1,79,259,2,0,261,1,262,1,400,138,259,261,262,,1,4712aac9514d053b34e88dcde0f0f4f450166501a2945a6479ba1191a6b34f0c,26/06/2023 01:00:11,ESCANER
18485,"Baja Verapaz",15,"El Chol",6,2837,400,89,90,2,1,0,0,2,0,83,267,2,0,269,0,269,0,400,131,267,269,269,,1,c593fdb07c79cd8fbbc01252a13db0fda786a7443862a96f5737d12f5ad07f20,26/06/2023 01:09:26,ESCANER
18486,"Baja Verapaz",15,"El Chol",6,2837,306,76,83,0,2,0,0,4,2,52,219,0,0,219,0,219,0,306,87,219,219,219,,1,0e0d526efd37457df35621b72f49a63f56cd3a09bea3294ad377f1a16c40fb02,26/06/2023 01:06:53,ESCANER
