TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
39,39,100.0000,39,100.0000,0,14365,8424,58.6425

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VAMOS,MLP,VICTORIA,U R N G - MAIZ,ELEFANTE,MI FAMILIA,CABAL,PHG,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18497,"Baja Verapaz",15,"San Jerónimo",7,2842,400,56,18,27,0,6,5,15,7,13,0,63,210,12,0,222,0,222,--,400,178,210,222,222,Algún campo sin dato,1,836700ae77d30beef1b6bdc542483a17bdeadd95269c707a62fb325282cc5028,26/06/2023 01:25:09,ESCANER
18498,"Baja Verapaz",15,"San Jerónimo",7,2842,400,65,23,38,0,4,9,32,3,18,3,55,250,8,4,262,0,262,--,400,138,250,262,262,Algún campo sin dato,1,71468f3df18ddc3b49462532b227570743adeb67b215b7b3eb892d66340ea55a,26/06/2023 00:27:23,ESCANER
18499,"Baja Verapaz",15,"San Jerónimo",7,2842,400,64,24,26,3,3,11,24,6,8,5,45,219,21,7,247,0,247,--,400,153,219,247,247,Algún campo sin dato,1,f2aa726055155fe6ad93161f84ab82c06ad41a94cd1898e079599aa3966b9d0b,25/06/2023 22:07:28,ESCANER
18500,"Baja Verapaz",15,"San Jerónimo",7,2842,400,63,37,31,0,3,6,34,6,13,1,51,245,12,3,260,0,260,--,400,140,245,260,260,Algún campo sin dato,1,59c9af02cef29a844c0e6a7d8068ec7e8e9ea47b391f5b35ae56cc874254f697,26/06/2023 00:50:24,ESCANER
18501,"Baja Verapaz",15,"San Jerónimo",7,2842,400,55,37,25,0,8,8,29,1,16,1,68,248,14,4,266,0,266,--,405,139,248,266,266,Algún campo sin dato,1,70ce75390d75fa106ebdc898fa52ec493e577807e427bbe3cfa621d6dcfa7003,26/06/2023 00:07:20,ESCANER
18502,"Baja Verapaz",15,"San Jerónimo",7,2842,400,51,23,16,0,4,10,12,0,12,2,50,180,9,1,190,0,190,--,400,210,180,190,190,Algún campo sin dato,1,6bf3f592ccf80a96d6bcf7cbc0f82cc666280d95f0b6bfc6b2426942da8bd156,25/06/2023 23:10:39,ESCANER
18503,"Baja Verapaz",15,"San Jerónimo",7,2842,400,56,17,25,0,10,10,17,3,15,3,69,225,12,3,240,0,240,--,405,165,225,240,240,Algún campo sin dato,1,7b01de01850212c10837eb84afb2c6a4f6ffb0bbc00c7fe77db802a9d51b0cbb,25/06/2023 23:54:39,ESCANER
18504,"Baja Verapaz",15,"San Jerónimo",7,2842,400,41,24,34,1,9,10,17,5,13,4,62,220,7,1,228,0,228,--,400,172,220,228,228,Algún campo sin dato,1,e2c94a02a464d583b2583f73acf66f6fbb5f79b4f180b7202ab380532a9f741e,26/06/2023 00:03:42,ESCANER
18505,"Baja Verapaz",15,"San Jerónimo",7,2843,400,51,28,37,2,2,5,22,2,11,1,69,230,5,0,235,0,235,--,400,165,230,235,235,Algún campo sin dato,1,950777c4baa8f2c7114f0a978781bcf84319ca13da31177ae46791235a2f7539,26/06/2023 01:05:19,ESCANER
18506,"Baja Verapaz",15,"San Jerónimo",7,2843,263,36,21,25,1,1,2,14,4,8,0,42,154,3,0,157,0,157,--,261,104,154,157,157,Algún campo sin dato,1,e23c14f49d2ee827303a670577085545c7c3d96340f98d4175cf36524ea8e7a5,25/06/2023 23:53:37,ESCANER
