TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
77,77,100.0000,77,100.0000,0,28211,19862,70.4051

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,MLP,TODOS,VICTORIA,PODEMOS,CABAL,ELEFANTE,BIEN,PHG,U R N G - MAIZ,PPN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18536,"Baja Verapaz",15,"Purulhá",8,2849,400,31,47,6,73,53,2,11,11,3,11,2,4,2,256,20,6,282,0,282,--,376,94,256,282,282,Algún campo sin dato,1,30b8cca21d78cbeff7732f2fd8e4b2c9a958856a3ddf36dfef1f9ddfcf9f92d6,26/06/2023 02:03:10,ESCANER
18537,"Baja Verapaz",15,"Purulhá",8,2849,400,41,44,7,98,54,3,10,6,6,7,4,9,2,291,21,6,318,0,318,--,372,54,291,318,318,Algún campo sin dato,1,4b0cde85533999b8eb252515938e9992ba54a1d2a42d0cb99115d65647530690,26/06/2023 01:37:03,ESCANER
18538,"Baja Verapaz",15,"Purulhá",8,2850,400,26,49,2,99,53,11,24,9,3,7,2,5,3,293,20,6,319,0,319,--,376,57,293,319,319,Algún campo sin dato,1,f59f2986cae86913c1d99645af62c386aed812eee87903097d026bdce2e26001,26/06/2023 02:18:21,ESCANER
18539,"Baja Verapaz",15,"Purulhá",8,2850,400,36,51,5,91,68,7,16,9,1,8,1,2,0,295,30,3,328,0,328,--,375,47,295,328,328,Algún campo sin dato,1,075280000d15a89f7eb606424d521771ad376ad24ba58683d3de36ab4c9462e0,26/06/2023 02:05:37,ESCANER
18540,"Baja Verapaz",15,"Purulhá",8,2850,400,51,46,4,77,72,9,8,15,5,7,2,4,1,301,19,7,327,0,327,1,376,48,301,327,327,,1,758816d4ba22b36f7e43cbf1ce4e87f50748306994373378ae9866ebbfcee401,26/06/2023 03:07:55,ESCANER
18541,"Baja Verapaz",15,"Purulhá",8,2850,400,34,39,3,91,47,5,12,11,7,12,2,8,2,273,25,6,304,0,304,--,400,96,273,304,304,Algún campo sin dato,1,0aa9db3450ccb668b1df88ac03ae336bc58c8811ca4d3e9b8cc725499691c253,25/06/2023 23:19:26,ESCANER
18542,"Baja Verapaz",15,"Purulhá",8,2851,400,31,54,4,72,62,2,10,4,7,13,4,3,7,273,23,11,307,0,307,0,376,69,273,307,307,,1,027547a6b62f3104f78197af9675bfe6ba8a0eb92fa3ca694767fe95632bb33f,26/06/2023 02:42:29,ESCANER
18543,"Baja Verapaz",15,"Purulhá",8,2852,400,35,38,4,61,55,2,17,12,6,9,2,2,2,245,14,5,264,0,264,--,376,112,245,264,264,Algún campo sin dato,1,27e846fa367d5e796c6610300a01537d9448b720384b2f84b60eed377a0fa03c,26/06/2023 01:42:52,ESCANER
18544,"Baja Verapaz",15,"Purulhá",8,2853,400,35,43,4,72,46,2,11,8,4,10,1,4,1,241,12,2,255,0,255,--,400,145,241,255,255,Algún campo sin dato,1,5bac8e2663f40c18ae2354497472037b2ec0b4123c464f2f442e6bd05598ccf2,25/06/2023 23:24:22,ESCANER
18545,"Baja Verapaz",15,"Purulhá",8,2854,400,29,43,4,67,48,5,21,3,6,13,2,5,5,251,11,4,266,0,266,--,376,110,251,266,266,Algún campo sin dato,1,3eb04e1dc2bf24e08a2cdd60c0711353a830f3946d67e235fef5ab1584534919,26/06/2023 01:32:55,ESCANER
18546,"Baja Verapaz",15,"Purulhá",8,2854,400,30,52,8,76,43,4,15,14,6,7,3,0,3,261,13,2,276,0,276,--,395,119,261,276,276,Algún campo sin dato,1,021704c5fbf4c7517229205b20f005964fdd667819119ff56dc83c64494e4d78,26/06/2023 02:28:50,ESCANER
18547,"Baja Verapaz",15,"Purulhá",8,2855,400,27,33,3,71,42,4,7,8,6,9,1,6,6,223,20,10,253,0,253,--,412,159,223,253,253,Algún campo sin dato,1,5024af4977d8f36180afb6d21380864a14c85971a3ceb991587116bec3e7c939,26/06/2023 01:52:20,ESCANER
18548,"Baja Verapaz",15,"Purulhá",8,2855,400,28,40,1,81,46,6,4,4,6,8,2,3,3,232,10,3,245,0,245,--,399,154,232,245,245,Algún campo sin dato,1,4e2eb025704a97d8e60009b288b544ec9fd93cb264c92874c189c9847f5d714a,26/06/2023 00:20:38,ESCANER
18549,"Baja Verapaz",15,"Purulhá",8,2855,400,25,33,2,81,67,7,10,8,3,12,1,2,3,254,6,3,263,0,263,--,376,113,254,263,263,Algún campo sin dato,1,204a02cc5d9be04eb6d854afa46d0837d909d128fa2ce23f1a72545a27cbcd0d,25/06/2023 21:59:49,ESCANER
18550,"Baja Verapaz",15,"Purulhá",8,2856,400,35,45,0,81,33,8,22,6,7,10,3,2,0,252,2,0,254,0,254,--,400,146,252,254,254,Algún campo sin dato,1,853e8c566efc86b74f93d665e5a66dadf7d2e80ef07df02b4b9cdada72b396e9,26/06/2023 01:06:47,ESCANER
18551,"Baja Verapaz",15,"Purulhá",8,2856,400,35,23,4,92,75,5,8,8,9,10,3,1,0,273,4,2,279,0,279,--,376,97,273,279,279,Algún campo sin dato,1,55fa4018d834a9519969866223b579d6a41549ca0b247d9c3f22fab2506ce538,26/06/2023 00:37:15,ESCANER
18552,"Baja Verapaz",15,"Purulhá",8,2856,382,25,32,4,72,53,4,8,11,2,3,1,3,5,223,8,3,234,0,234,0,382,148,223,234,234,,1,efc34a934eb6bc90f90b6074decfea86bf1c7834c3c9f2d63b9588f12dc40519,26/06/2023 00:10:50,ESCANER
18553,"Baja Verapaz",15,"Purulhá",8,2856,382,22,40,4,76,50,5,11,11,3,5,1,1,3,232,8,1,241,0,241,1,382,141,232,241,241,,1,eb05ec531ae4e921ad6d6e9156dc841a7d738bcd43bbbdd25e3b366a67f10d5d,26/06/2023 00:02:53,ESCANER
18554,"Baja Verapaz",15,"Purulhá",8,2857,400,38,25,12,94,59,3,7,12,2,8,2,8,1,271,27,11,309,0,309,--,400,91,271,309,309,Algún campo sin dato,1,4a12d4b9111879b624440b88df9fb6395806576f0f0b612fe2d6cf088a1a2470,26/06/2023 01:20:55,ESCANER
18555,"Baja Verapaz",15,"Purulhá",8,2857,400,47,35,11,91,62,5,6,14,8,8,4,2,1,294,21,10,325,0,325,--,400,75,294,325,325,Algún campo sin dato,1,290196e884f6933944022c66b5d27fbd07aa623dded5cfa3bcb5b4b91e6cc38a,26/06/2023 00:12:34,ESCANER
18556,"Baja Verapaz",15,"Purulhá",8,2857,400,42,29,7,89,74,2,3,18,5,9,3,2,2,285,30,12,327,0,327,--,400,73,285,327,327,Algún campo sin dato,1,7dbf2a12b8d4ba633842277568e6e284a1f162b42be36a44869e8276ce6f3586,26/06/2023 00:35:10,ESCANER
18557,"Baja Verapaz",15,"Purulhá",8,2857,400,36,27,10,95,55,2,9,10,8,16,1,5,0,274,12,2,288,0,288,--,400,112,274,288,288,Algún campo sin dato,1,cca2a93b79b9ae47e25bddf277efd4dc12f52de380ea0f01b34beb734c5264b8,26/06/2023 01:29:35,ESCANER
