TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
296,295,99.6621,293,98.9864,2,112300,67765,60.3428

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,FCN-NACION,VAMOS,TODOS,VIVA,AZUL,VALOR,PODEMOS,CABAL,PPN,SEMILLA,WINAQ,MI FAMILIA,CAMBIO,CREO,UNE,ELEFANTE,VOS,PHG,EL CHERIFON,PR,P A N,MLP,COMITE CIVICO JUSTICIA,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18613,"Alta Verapaz",16,"Cobán",1,2872,400,38,2,61,1,12,2,2,7,10,33,8,2,3,3,5,5,0,1,3,2,3,1,5,49,1,259,13,2,274,0,274,--,400,126,259,274,274,Algún campo sin dato,1,6d2e046b91d7f526a693cba3708617ade2226aec356ffdf939ba9bbbe10f878f,26/06/2023 04:18:35,ESCANER
18614,"Alta Verapaz",16,"Cobán",1,2872,400,41,4,53,2,8,3,4,3,15,37,0,1,5,1,4,8,1,1,3,0,1,1,1,48,0,245,21,1,267,3,270,2,400,130,245,267,270,,1,3635ba11fdec6e1c3825e325d0098beb4ae10a7aa442731f17584e9fd3c45ed9,26/06/2023 00:03:00,ESCANER
18615,"Alta Verapaz",16,"Cobán",1,2872,400,33,1,66,3,11,2,3,4,6,32,1,2,2,1,8,10,0,1,5,1,0,2,3,61,0,263,22,4,289,0,289,--,400,111,258,284,284,Sumas Asentadas sin cuadrar,1,a0554a480b4c69a709695a391f4554976a02a9a95b4ada28ee903450a9d9d5b7,26/06/2023 04:05:28,ESCANER
18616,"Alta Verapaz",16,"Cobán",1,2872,400,45,2,79,1,13,5,5,2,11,33,10,0,0,1,7,3,3,1,4,0,5,1,3,51,0,285,17,1,303,0,303,--,400,97,285,303,303,Algún campo sin dato,1,fb213f5dc26fe2b2927fc0d80923dcc6a4335c682fa1486ce40581a9a159a96e,26/06/2023 00:22:52,ESCANER
18617,"Alta Verapaz",16,"Cobán",1,2872,400,38,2,67,3,11,4,4,6,10,24,5,0,3,1,5,7,1,5,2,0,4,1,2,59,1,265,21,0,286,0,286,--,396,114,265,286,286,Algún campo sin dato,1,60e191d0b1d505de42a145a0aa232bccd63dc1cef18725165efae17454245f7e,26/06/2023 03:59:19,ESCANER
18618,"Alta Verapaz",16,"Cobán",1,2872,400,45,6,65,0,8,1,10,2,6,22,7,1,2,1,10,4,1,1,4,0,1,1,1,51,2,252,23,2,277,0,277,--,400,123,252,277,277,Algún campo sin dato,1,12253463297a86087f405fb8296b17271bb18181c97a3855df9556c0d0c2298a,26/06/2023 01:28:16,ESCANER
18619,"Alta Verapaz",16,"Cobán",1,2872,400,36,3,56,1,11,6,7,10,9,24,6,3,2,3,6,8,0,3,2,1,5,0,1,58,1,262,18,4,284,0,284,--,404,120,262,284,284,Algún campo sin dato,1,840a513854ca044a7358b128f960bbb6aa8b62f43576d904e710036cefe553d0,26/06/2023 01:50:54,ESCANER
18620,"Alta Verapaz",16,"Cobán",1,2872,400,20,2,76,0,13,3,12,1,17,24,5,1,3,1,12,7,2,1,6,0,7,0,0,63,0,276,19,1,296,0,296,--,401,105,276,296,296,Algún campo sin dato,1,c44deb75cb845a6b502db520ae9f78dba8e514c0ecc1b5a047cd5b0bfca9db30,26/06/2023 00:51:22,ESCANER
18621,"Alta Verapaz",16,"Cobán",1,2872,400,35,2,58,0,9,4,10,5,9,25,4,0,4,2,10,11,1,3,7,1,3,2,2,57,0,264,9,0,273,0,273,--,400,127,264,273,273,Algún campo sin dato,1,ae2197c32795c2b945ec51b1c71aa0e338c7533bb2fd37201761c07fb88ee371,26/06/2023 01:46:31,ESCANER
18622,"Alta Verapaz",16,"Cobán",1,2872,400,31,1,78,1,16,6,6,5,15,26,7,0,1,2,8,3,0,5,4,0,8,0,5,69,2,299,14,1,314,0,314,--,401,87,299,314,314,Algún campo sin dato,1,ba697d1190aa957fb0c7647c919a20f01566d03c88fb93d90c97897b5298cf66,26/06/2023 05:48:26,ESCANER
18623,"Alta Verapaz",16,"Cobán",1,2872,400,32,3,67,1,10,7,5,12,11,29,4,2,1,0,4,10,1,2,9,0,5,0,0,50,0,265,16,2,283,0,283,--,404,121,265,283,283,Algún campo sin dato,1,8e7d4ad00fa646efcd8057ee56a9c982a19d5be69b70f43940e9f17c87caaee7,26/06/2023 02:07:48,ESCANER
18624,"Alta Verapaz",16,"Cobán",1,2872,400,40,2,56,1,5,4,5,5,11,30,7,0,4,2,4,8,0,2,2,1,7,2,4,57,0,259,22,1,282,0,282,1,400,117,259,282,282,,1,014dca4080d7d0ec5f3a00d02b3184d0a2bc67df4eb5c85dc687b067c12b1cb3,26/06/2023 03:32:40,ESCANER
18625,"Alta Verapaz",16,"Cobán",1,2873,400,34,5,73,2,5,3,10,3,10,25,5,2,3,2,11,7,1,3,7,--,8,2,2,59,1,283,14,2,299,--,--,--,401,102,283,299,299,Algún campo sin dato,1,e6bf2ffb772b9a5ccd4d2d1ae24676718da189f5072c977864d45e34ab6f6ba5,26/06/2023 02:41:50,ESCANER
18626,"Alta Verapaz",16,"Cobán",1,2873,400,34,2,77,0,5,6,11,3,13,28,3,2,3,0,4,8,1,2,11,0,3,2,0,69,1,288,18,3,309,0,309,--,400,91,288,309,309,Algún campo sin dato,1,07e6ce0bd68e6caa26fb7b709a0a3a59a68824aef996175c1eea3ccbc1961c69,26/06/2023 03:15:23,ESCANER
18627,"Alta Verapaz",16,"Cobán",1,2873,400,28,3,68,0,12,4,4,7,20,35,4,0,4,4,4,10,0,1,16,0,4,1,2,68,0,286,17,1,304,0,304,--,400,96,299,317,317,Sumas Asentadas sin cuadrar,1,95c20d48d2d5469bac58f436d53f7bb5bf8535f2572fa523218e8f00d506eed9,26/06/2023 02:01:34,ESCANER
18628,"Alta Verapaz",16,"Cobán",1,2873,400,34,0,64,1,10,2,12,5,9,29,4,0,1,1,4,9,1,0,8,0,2,0,2,52,0,250,14,1,265,0,265,--,400,135,250,265,265,Algún campo sin dato,1,c5c9f0d229dc6fbad71477f0f91752fc0658117af017d8ec43048a133bac2af3,26/06/2023 01:07:33,ESCANER
18629,"Alta Verapaz",16,"Cobán",1,2873,400,36,1,54,1,6,4,6,4,6,24,3,2,2,1,5,4,1,2,9,0,6,0,0,63,0,240,4,0,244,0,244,--,400,156,240,244,244,Algún campo sin dato,1,d9a56a5e6d1131c9130f16554608dffb81bd6f7104ee0ca3cf5c8e76eee48f3f,26/06/2023 01:15:59,ESCANER
18630,"Alta Verapaz",16,"Cobán",1,2873,400,22,2,61,1,6,2,3,6,13,19,4,1,3,1,7,9,2,4,5,2,5,1,0,43,1,223,11,0,234,0,234,--,400,166,223,234,234,Algún campo sin dato,1,3dd6a41441bdc422f99d8910173fae3bed9a8cfe9915afff5b36a6239b022627,26/06/2023 02:56:41,ESCANER
18631,"Alta Verapaz",16,"Cobán",1,2873,400,32,1,60,0,8,2,3,11,8,28,4,0,2,0,4,10,1,0,4,0,3,0,2,50,0,233,21,2,256,1,257,--,400,143,233,256,257,Algún campo sin dato,1,b07fd45ce53255e5289da554eb82f12c04f54fef5813f9697f8356b9576f14f2,26/06/2023 01:24:25,ESCANER
18632,"Alta Verapaz",16,"Cobán",1,2873,400,26,2,68,2,3,4,6,6,10,29,4,0,3,2,6,9,0,2,10,0,4,1,2,52,0,251,11,4,266,0,266,--,400,131,251,266,266,Algún campo sin dato,1,93fa9282acc1308e4ab467844172de7fdeb44d0ece3ecff9b4ef0672c659ede3,26/06/2023 01:01:46,ESCANER
18633,"Alta Verapaz",16,"Cobán",1,2873,400,45,0,62,1,12,4,10,3,11,38,3,1,0,1,7,4,1,2,0,0,3,0,2,48,0,258,13,3,274,--,--,--,397,121,258,274,274,Algún campo sin dato,1,d6f53f2dbda0661045f56961d05b9cdcb79921a9998db959964f32f2e0f02e55,26/06/2023 01:47:13,ESCANER
18634,"Alta Verapaz",16,"Cobán",1,2873,400,37,2,56,0,10,2,4,6,12,20,5,2,2,0,3,3,0,1,3,2,2,1,0,55,0,228,22,5,255,0,255,--,400,145,228,255,255,Algún campo sin dato,1,1457ea34e5341c4a76222ef73f6385cc0d8879043fd806f5d6c7a915d5f4a88a,26/06/2023 01:09:05,ESCANER
18635,"Alta Verapaz",16,"Cobán",1,2873,400,28,3,63,0,13,4,11,5,14,20,6,1,1,1,9,7,1,1,6,0,5,0,2,47,2,250,18,2,270,0,270,--,400,130,250,270,270,Algún campo sin dato,1,c9bbdb680794270bc24e41977f1c20a5a33f5064f4d05e4d774dd3a78d15da0d,26/06/2023 00:45:01,ESCANER
18636,"Alta Verapaz",16,"Cobán",1,2873,400,37,0,69,2,9,6,6,4,10,15,2,0,0,0,9,8,1,0,6,0,5,0,0,47,0,236,12,2,250,0,250,--,400,150,236,250,250,Algún campo sin dato,1,9e3dfd3a9e27b638daaa449e94b5b173b79fada4b2c510b5288b26d490d5e6ef,26/06/2023 00:36:08,ESCANER
18637,"Alta Verapaz",16,"Cobán",1,2873,400,21,3,66,1,6,7,9,5,20,28,5,0,2,4,7,3,4,2,4,0,2,1,4,67,0,271,22,4,297,0,297,--,400,103,271,297,297,Algún campo sin dato,1,e88fb82b3f8843130974ca9b3091b35de4c7482a4409420b9fc21e903a1f530e,26/06/2023 01:29:05,ESCANER
18638,"Alta Verapaz",16,"Cobán",1,2873,400,41,2,61,1,13,2,6,3,11,24,2,2,2,4,12,2,0,3,7,0,3,0,5,40,1,247,13,6,266,0,266,--,397,134,247,266,266,Algún campo sin dato,1,7e781cfc3efc048be8c2a2a4d47b8c5e79fd1f9942507a1b41d43f2489d0ee87,26/06/2023 01:00:43,ESCANER
18639,"Alta Verapaz",16,"Cobán",1,2873,400,42,2,62,0,8,4,7,5,12,17,5,3,1,0,8,7,1,1,7,1,0,1,1,46,0,241,21,3,265,0,265,--,397,132,241,265,265,Algún campo sin dato,1,42661c291728028ff877cf330c29f84dd702164571dd35f300dad7a21d9eef49,26/06/2023 00:28:04,ESCANER
18640,"Alta Verapaz",16,"Cobán",1,2873,400,31,0,47,1,9,3,6,4,7,25,3,1,1,1,6,11,0,0,6,0,2,1,4,36,0,208,26,4,238,0,238,--,404,166,205,235,235,Sumas Asentadas sin cuadrar,1,69c77c0341793987e2cc8a0a31e86b33d2dbbec1e7290f23f340cbadd07c085e,26/06/2023 00:54:45,ESCANER
18641,"Alta Verapaz",16,"Cobán",1,2873,400,39,2,65,0,11,4,8,2,8,16,4,1,1,0,9,9,0,2,9,0,1,2,3,50,0,246,16,4,266,0,266,--,400,134,246,266,266,Algún campo sin dato,1,ea4a9239cf77c2582f3523b55ee39b269772ab07793615966eb37d2558ebcb4f,26/06/2023 01:28:37,ESCANER
18642,"Alta Verapaz",16,"Cobán",1,2873,400,39,1,71,1,4,2,6,3,8,18,1,1,3,0,2,10,0,0,8,1,2,0,2,46,0,229,17,3,249,0,249,--,398,149,229,249,249,Algún campo sin dato,1,9e938d696725c62093aeb68dc562aecb446941b1b2a6e5df4986301c6399c849,26/06/2023 00:33:47,ESCANER
18643,"Alta Verapaz",16,"Cobán",1,2874,400,26,0,71,2,6,8,14,2,10,35,3,1,2,1,9,4,1,1,5,0,4,1,3,46,0,255,9,5,269,0,269,--,400,131,255,269,269,Algún campo sin dato,1,dfe66a43bfd0b1c1eedbb9c196fb44a6f46e2360327f2c1d113796bbb2e4c855,26/06/2023 01:02:12,ESCANER
18644,"Alta Verapaz",16,"Cobán",1,2874,400,24,2,59,0,7,7,14,6,12,20,4,3,5,1,5,4,1,6,4,2,7,0,2,63,0,258,7,1,266,0,266,--,400,134,258,266,266,Algún campo sin dato,1,75492ae8f713aa111088aa312f183a0784933d5747df7e76fc3a4206b2e19948,26/06/2023 01:03:14,ESCANER
18645,"Alta Verapaz",16,"Cobán",1,2874,400,32,1,81,2,11,2,6,2,16,18,2,2,3,1,5,4,0,6,7,1,5,0,0,50,0,257,13,2,272,0,272,--,400,128,257,272,272,Algún campo sin dato,1,3e74184d8b77a667606c6c81e594814b7f46cb9f8ff6414de7bb8f7a1b8d457b,26/06/2023 02:45:22,ESCANER
18646,"Alta Verapaz",16,"Cobán",1,2874,400,30,1,54,2,9,3,11,3,9,22,6,3,7,0,9,1,1,1,5,0,5,2,3,52,0,239,31,3,273,0,273,1,400,127,239,273,273,,1,9b2ccb0aecfe6cd9903021fa832b0dd73c4a9bf80b121f4b65c23d49ded5893e,26/06/2023 04:05:25,ESCANER
18647,"Alta Verapaz",16,"Cobán",1,2874,400,40,2,54,3,9,4,12,7,8,31,2,1,1,2,6,6,1,1,9,0,2,1,2,43,0,247,17,1,265,0,0,--,400,135,247,265,265,Algún campo sin dato,1,6d342dc443903a36126608c40e1b5e346d36c008e26a0fe6bc067899eba50fdc,26/06/2023 04:30:25,ESCANER
18648,"Alta Verapaz",16,"Cobán",1,2874,400,33,1,64,1,10,5,9,0,12,26,8,0,0,1,2,3,0,0,5,0,3,1,1,49,1,235,22,0,257,0,257,--,400,143,235,257,257,Algún campo sin dato,1,39ac32f8799fa741dbd641f060a86d4051e47b5d2e449b68073add95fd181b7e,26/06/2023 04:01:46,ESCANER
18649,"Alta Verapaz",16,"Cobán",1,2874,400,28,3,64,3,7,1,7,2,10,24,5,0,0,3,6,9,3,0,2,0,1,3,1,44,0,226,23,6,255,0,255,--,400,145,226,255,255,Algún campo sin dato,1,fc9e6107d137727cbabc7748ee5799ff0874fa34ca116423c6316899ab651e50,26/06/2023 02:07:09,ESCANER
18650,"Alta Verapaz",16,"Cobán",1,2874,400,22,3,73,2,9,1,3,4,9,26,4,0,2,0,4,6,0,0,2,0,1,0,1,41,0,213,15,1,229,0,229,--,400,171,213,229,229,Algún campo sin dato,1,dbd0e23e280915d1f53e58e6aab2791e6b07d88c128be65662011e047bd8a113,26/06/2023 02:13:54,ESCANER
18651,"Alta Verapaz",16,"Cobán",1,2874,400,35,0,72,6,3,3,2,3,11,26,0,0,2,2,7,9,2,0,10,0,3,0,2,41,0,239,21,5,265,0,265,--,401,136,239,265,265,Algún campo sin dato,1,905bda6d71c97f3baa31ac876e83b3e7be2fa5e7a367b58dd53c137a35645101,26/06/2023 00:02:07,ESCANER
18652,"Alta Verapaz",16,"Cobán",1,2874,400,38,0,59,0,9,0,7,3,13,18,5,4,0,1,5,10,0,1,4,1,4,0,0,47,0,229,21,3,253,0,253,--,400,147,229,253,253,Algún campo sin dato,1,a8e7ecc33336ea12b92d2f4ac63fbb01b89e5bc7d071e3553773e053e3dbce57,26/06/2023 01:07:41,ESCANER
18653,"Alta Verapaz",16,"Cobán",1,2874,400,27,0,59,1,15,5,8,4,11,27,4,2,2,3,11,5,1,1,4,0,3,1,4,52,0,250,13,2,265,0,265,0,401,136,250,265,265,,1,e4f21c4b258eeb8b97aec4942942ae1722ed66680208f55684cc9295c332ed55,26/06/2023 02:25:50,ESCANER
18654,"Alta Verapaz",16,"Cobán",1,2874,400,24,2,59,0,7,4,6,2,11,24,4,0,1,1,6,11,0,1,5,0,0,1,1,50,0,211,8,1,220,0,220,1,400,176,220,229,229,Sumas Asentadas sin cuadrar,1,bc4e2cb627416663d2f25b4918f3a31b3994c63ba8b81ba67ec5bcb5209164d2,26/06/2023 05:46:09,ESCANER
18655,"Alta Verapaz",16,"Cobán",1,2874,400,27,0,66,0,8,0,7,8,14,21,1,1,3,1,6,7,1,3,2,0,2,0,1,40,1,220,13,4,237,0,237,2,400,163,220,237,237,,1,e1149c8fe964583b4e5c802a533dd232bb30a2609a33e78b8412e4abc6754115,26/06/2023 02:16:05,ESCANER
