TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
47,47,100.0000,47,100.0000,0,17357,12474,71.8672

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,MLP,VALOR,UNE,CAMBIO,CABAL,VAMOS,VIVA,TODOS,ELEFANTE,PPN,PODEMOS,AZUL,PHG,MI FAMILIA,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18909,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2899,400,50,4,47,9,5,10,34,15,7,4,11,5,6,43,0,1,251,20,3,274,0,274,0,400,126,251,274,274,,1,a05532ed638a8ac1d3569ae0be5669ed7f259cf337a911039cb988d99a4409de,26/06/2023 04:21:33,ESCANER
18910,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2899,400,66,3,53,9,5,6,20,10,4,3,13,17,0,44,1,9,263,18,7,288,0,288,0,396,108,263,288,288,,1,692d24aee33776816bd179a2773af096a165f5a17876bfde64d3f354ab862b68,26/06/2023 01:43:49,ESCANER
18911,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2899,400,74,12,49,11,3,15,34,11,6,8,16,11,2,38,0,1,291,10,5,306,3,309,0,400,91,291,306,309,,1,8fcb554ad8ae2c87e86d35ed76d7087f9735f4691842b15517eda362e766a69a,26/06/2023 05:24:02,ESCANER
18912,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2899,400,57,9,59,16,3,8,32,6,5,6,6,8,2,56,2,5,280,25,2,307,0,307,0,400,93,280,307,307,,1,e47fce519a94f36c475e0e9974435b7749ec36e2b1d70de7288089b81f7395ae,26/06/2023 02:51:49,ESCANER
18913,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2899,400,47,9,53,24,4,5,30,6,8,5,11,7,2,54,1,0,266,29,7,302,0,302,0,400,98,266,302,302,,1,962a98bb257423fc5676e09bbb98bda21a34dc873350c75cafb8da1ccb19cac0,26/06/2023 02:29:43,ESCANER
18914,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2899,400,91,10,69,14,2,9,30,6,5,4,6,7,1,47,1,1,303,20,2,325,0,325,0,400,75,303,325,325,,1,6196a2d8daabe78ca8eeffc1c87587249ad912cb219bd72ed4f20e9579638e11,26/06/2023 01:44:32,ESCANER
18915,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2900,400,56,16,92,25,0,4,21,11,2,2,4,3,4,39,2,0,281,16,9,306,0,306,0,400,94,281,306,306,,1,3dad3ea25def064e1e6ad1dba7f4dd1ace918b04adcdb618b9364cb5354d6799,26/06/2023 02:16:41,ESCANER
18916,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2900,400,73,5,68,11,1,13,20,3,3,8,9,2,3,43,3,0,265,13,1,279,0,279,0,400,121,265,279,279,,1,5ca74d66b704fc610301d0c5eb7e6d2177793ef1495c8e200a2bfb71d6aa1d4d,26/06/2023 00:20:48,ESCANER
18917,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2900,400,46,5,55,11,3,10,20,18,8,9,12,8,1,35,0,3,244,17,3,264,0,264,0,400,136,244,264,264,,1,46e61240216bb4a768549d976f669f8ed88696d5df1099d1148cac5f2c5cca47,26/06/2023 03:20:31,ESCANER
18918,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2900,400,42,5,52,7,4,4,28,11,5,5,15,13,2,32,0,3,228,16,3,247,0,247,0,396,149,228,247,247,,1,c7c1afdbb5ec99fcafa6a690b00adc4bf6ffaa7109ba17810a890abc7536822b,26/06/2023 02:40:28,ESCANER
