TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,37134,26112,70.3183

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,PPN,FCN-NACION,PHG,VAMOS,VALOR,VIVA,UNE,CABAL,CAMBIO,VICTORIA,MI FAMILIA,PODEMOS,ELEFANTE,AZUL,KAQ KOJ,SEMILLA,VOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18956,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,0,9,0,13,53,38,1,11,12,2,3,3,65,7,2,6,5,1,58,289,13,3,305,0,305,--,400,95,289,305,305,Algún campo sin dato,1,0fc35ca3b85470a867c963c8927d6a204ecf0c6eb570238087cfdafa4c5e2da8,26/06/2023 01:46:07,ESCANER
18957,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,2,5,2,12,55,46,1,6,12,6,2,3,63,10,2,4,3,0,41,275,11,2,288,0,288,--,400,112,275,288,288,Algún campo sin dato,1,c0211e3ab11a184e382ad85ec62171e1039cd33eea312fd07eab8b0ae0dc596d,26/06/2023 00:49:59,ESCANER
18958,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,2,3,0,9,42,43,5,15,4,3,1,3,66,14,5,4,3,2,39,261,24,6,291,0,291,--,400,109,263,293,293,Sumas Asentadas sin cuadrar,1,6e00ec6e3195279e0ab5a12fe26928414fbfd80889d7a4586451d4cc3bd1981f,26/06/2023 04:43:24,ESCANER
18959,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,2,2,0,9,74,37,7,12,9,5,5,2,64,11,3,5,3,0,0,298,19,2,319,--,--,--,400,78,250,271,271,Sumas Asentadas sin cuadrar,1,213928b8efa1bd57a4de4e3a67e0aa1497de3a00b1d39c536cf661e9e383b635,26/06/2023 02:23:42,ESCANER
18960,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,5,3,0,10,57,45,3,8,14,2,0,3,65,6,3,7,2,1,50,284,19,1,304,1,305,0,400,95,284,304,305,,1,f865d6d935389585da1b096bdd4a5060cf844cc1b6a9b604fec9017b9ed1ce6c,25/06/2023 23:57:13,ESCANER
18961,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,5,3,2,6,69,78,2,14,9,0,5,0,51,7,2,8,2,0,49,312,17,1,330,0,330,--,400,700,312,330,330,Algún campo sin dato,1,8d1127a652a1fa09b093f2e4959782853f8f45f6392aa53be8a5055537657595,26/06/2023 04:51:09,ESCANER
18962,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,16,3,0,14,47,42,4,9,10,3,3,0,46,7,2,7,4,0,74,291,23,6,320,80,400,--,400,80,291,320,400,Algún campo sin dato,1,be3c894a0f613a55bf2ca527e1905561ce11a38989aac8e0842490d696cf2c9f,26/06/2023 03:26:35,ESCANER
18963,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,1,4,0,15,61,55,4,7,8,0,3,0,79,10,5,5,7,1,47,312,13,2,327,0,327,0,400,73,312,327,327,,1,4d5ec82d6ab99b6cdbf050364ed56b7d7534d8d90206b754d6b367f55cb252ba,26/06/2023 03:20:57,ESCANER
18964,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,6,7,3,13,51,32,2,13,13,4,3,0,59,11,9,5,3,1,56,291,12,1,304,0,304,--,400,96,291,304,304,Algún campo sin dato,1,39d29591d0571c6d22da3c78e41e5eff8dae3161c2a57598487ce021c3cff66f,26/06/2023 05:03:29,ESCANER
18965,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,10,12,2,25,46,34,7,17,7,0,3,0,59,7,1,6,1,0,37,274,24,1,299,0,299,2,400,101,274,299,299,,1,b8678ae6a15838c49b3628a78fc34b38f0c8a7693f0f1986cee63e872b8c6a21,26/06/2023 05:07:14,ESCANER
18966,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,2,8,2,17,66,44,4,12,21,1,4,1,62,10,8,8,4,0,34,308,3,5,316,10,326,--,400,74,308,316,326,Algún campo sin dato,1,d8ac25e4d9d6fb6fecb45adca3dd791a3f8eb366ba53040bba203d9cadb86e05,26/06/2023 02:08:03,ESCANER
18967,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2907,400,5,4,1,14,69,47,4,15,12,2,6,2,67,12,7,5,1,0,45,318,13,2,333,0,333,--,400,67,318,333,333,Algún campo sin dato,1,cfc99b528052f1a2fd08bc385c7740ac625ced07411c0f1f06e1d700c7fa4f95,26/06/2023 02:48:06,ESCANER
18968,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2908,400,2,3,2,7,67,53,9,13,10,4,2,2,56,5,3,7,3,2,37,287,18,9,314,0,314,--,400,86,287,314,314,Algún campo sin dato,1,3be95e20c4c84912be4b8efe5e26b32df7b292a36d8ec9018c6e3f0310fe251d,26/06/2023 02:24:50,ESCANER
18969,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2908,400,1,5,1,8,47,46,3,6,12,1,3,0,73,5,3,7,1,3,47,272,16,2,290,0,290,--,400,110,272,290,290,Algún campo sin dato,1,0209b3fd500ce260d5fb875b7af19754d63591c9759bc33fdeed681623f08027,26/06/2023 01:51:06,ESCANER
18970,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2908,400,0,8,0,16,51,43,7,8,12,2,3,1,65,4,2,2,3,0,49,276,4,0,280,0,280,--,400,120,276,280,280,Algún campo sin dato,1,c04eaa88d15494ebb91e095cdb5702ba01eeb6a2012bf6497ce5ee6056abca9e,26/06/2023 01:22:16,ESCANER
18971,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2908,400,1,8,0,13,39,42,0,10,13,2,5,0,59,10,0,7,1,1,52,263,17,1,281,0,281,--,400,119,263,281,281,Algún campo sin dato,1,45812726177ca52aa0fff19d1f3caa72cf4bfb606a4bc16eaec5d5605e8c2bc8,26/06/2023 02:07:03,ESCANER
18972,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2908,400,2,2,1,10,49,39,8,7,9,4,4,0,78,7,2,11,2,1,34,270,13,66,289,0,289,--,400,111,270,349,349,Sumas Asentadas sin cuadrar,1,10f068aecc6603a38269cd60cb12db853c5a6f13b6ad27df81767585ef1ddeeb,26/06/2023 00:43:28,ESCANER
18973,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2908,400,2,4,2,10,46,32,3,18,9,4,3,0,70,8,1,6,3,1,40,262,11,3,276,0,276,--,396,120,262,276,276,Algún campo sin dato,1,38a785b7b698f7c61b9958f77f3b057ad162deb78bbc4f1b8bc69fd384b07db7,26/06/2023 00:25:46,ESCANER
18974,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2908,400,4,5,1,11,48,44,5,7,13,0,0,3,55,11,4,5,4,0,40,260,15,0,275,0,275,--,400,125,260,275,275,Algún campo sin dato,1,5dc7bf78c31cd1c4cf956c0fb09f064cdacca1992119497ef7c0b592000e28c2,26/06/2023 01:17:59,ESCANER
18975,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2908,400,4,7,0,8,43,42,3,11,18,3,5,1,69,6,0,9,3,0,36,268,10,0,278,0,278,--,400,122,268,278,278,Algún campo sin dato,1,570921410648642fb06f68316d0187e83b7d413655c47ea50acc70cffc2a7e8b,26/06/2023 01:30:29,ESCANER
18976,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2908,400,1,12,3,14,62,44,3,7,15,3,3,1,78,6,1,6,0,1,38,298,10,0,308,1,309,1,400,91,298,308,309,,1,37ef99bd08ce2c53d5d535caaea458d7576cda4a98771f15496859ab19aa6627,26/06/2023 01:46:56,ESCANER
18977,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2908,400,0,3,0,10,57,39,3,13,13,4,3,2,62,10,2,4,1,2,44,272,6,2,280,0,280,--,400,120,272,280,280,Algún campo sin dato,1,a7145d5e121ab0c36a4e2c85dbf9c777fcc8e8d1b4bdf7861a247d44d0bc7ee9,26/06/2023 01:05:10,ESCANER
18978,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2909,400,4,2,0,8,51,35,1,9,15,3,0,2,65,10,4,3,3,0,43,258,11,2,271,0,271,--,400,129,258,271,271,Algún campo sin dato,1,121c94b4dc752b4019fd531aec2fc6365d73bd7fb34c15c8f21b67fd9742a7d5,26/06/2023 01:56:09,ESCANER
18979,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2909,400,1,2,1,6,51,44,0,3,10,3,2,1,54,8,1,7,0,1,39,234,8,1,243,3,246,0,400,154,234,243,246,,1,b836a585092486b6a1770a37cbff3c33b692c0fc6440b94118a38b04efd9d1ec,26/06/2023 00:47:25,ESCANER
18980,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2909,400,2,2,0,7,46,41,2,7,10,1,4,1,79,11,1,8,11,0,35,268,6,0,274,0,274,--,--,--,268,274,274,Algún campo sin dato,1,b8354e45a199227ccbe6a7d9ffec33a4b7004372d658c1c2953bab3555d9348b,26/06/2023 01:05:56,ESCANER
18981,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2910,400,1,3,1,6,43,44,1,8,15,8,0,0,70,10,1,10,5,0,25,251,5,0,256,0,256,--,400,144,251,256,256,Algún campo sin dato,1,a49524b1219129ecd65db36763f093b9532a389fe9d8d0a6d3f3043963846d21,26/06/2023 00:50:30,ESCANER
18982,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2910,400,1,4,0,7,52,33,1,6,16,3,0,0,65,8,0,5,1,0,37,239,3,0,242,0,242,--,400,158,239,242,242,Algún campo sin dato,1,ffd72d4f0b1b7782c03749dd00118684eec96f3a5949ff11e24c368e39b75f48,26/06/2023 00:43:45,ESCANER
