TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,21354,15123,70.8204

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VALOR,UNE,VAMOS,PPN,CABAL,VIVA,CAMBIO,TODOS,VOS,PHG,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19053,"Alta Verapaz",16,"Tactic",4,2922,400,2,19,34,77,106,3,6,18,1,5,0,3,274,13,4,291,2,293,--,397,104,274,291,293,Algún campo sin dato,1,6b4e7edf7e853dbd31270fb87cb802852c324fa1358406f152266f70aa437b6d,26/06/2023 02:11:41,ESCANER
19054,"Alta Verapaz",16,"Tactic",4,2922,400,9,16,25,73,125,6,5,13,1,2,2,1,278,22,3,303,0,303,--,403,100,278,303,303,Algún campo sin dato,1,0b09ad51db2e19742f50dddb4fa32515293c7382a5e05c7106973ed2d5de2f86,26/06/2023 01:33:18,ESCANER
19055,"Alta Verapaz",16,"Tactic",4,2922,400,5,26,44,85,105,3,8,13,2,4,3,2,300,14,2,316,0,316,--,407,91,300,316,316,Algún campo sin dato,1,046db420f267afb17fdaa2f98617f5446eff8f6ff9a9e4de742ae10f738de1ff,26/06/2023 02:22:50,ESCANER
19056,"Alta Verapaz",16,"Tactic",4,2922,400,4,16,49,100,101,2,7,10,0,2,2,2,314,19,0,314,0,314,--,400,86,295,314,314,Sumas Asentadas sin cuadrar,1,296ffee31ca3b0d127ccfe808958b8cb40389f1955119dd6a14b1492a40d5c8a,26/06/2023 02:34:18,ESCANER
19057,"Alta Verapaz",16,"Tactic",4,2922,400,4,29,41,102,112,3,5,9,2,5,2,3,317,8,5,330,0,330,--,407,77,317,330,330,Algún campo sin dato,1,4ade80385e23693dee4adbd1fb1f10353c3567e9e4838bccaa691b87de766d3f,26/06/2023 01:50:36,ESCANER
19058,"Alta Verapaz",16,"Tactic",4,2922,400,3,25,47,86,97,5,3,6,1,3,4,4,284,22,2,308,0,308,--,404,95,284,308,308,Algún campo sin dato,1,f466e77a7cb6e5b79f8fbfb93efc5ccea4da282bea951b80d7b54e2841e4982b,26/06/2023 03:45:05,ESCANER
19059,"Alta Verapaz",16,"Tactic",4,2922,400,2,30,44,78,121,2,6,9,3,3,2,1,301,20,2,323,0,323,--,405,82,301,323,323,Algún campo sin dato,1,6b3a85444e4a67330b22543cf8d730ff452358e69e1089eddcd1e3e08c3c50ff,25/06/2023 23:44:50,ESCANER
19060,"Alta Verapaz",16,"Tactic",4,2922,400,1,32,67,76,113,3,1,8,1,3,1,1,307,24,5,336,0,336,--,400,64,307,336,336,Algún campo sin dato,1,8dfc422a3453b15050b45368595cc91667f4b8e5f3f517dbaa8f63073a8c4cc2,26/06/2023 02:07:47,ESCANER
19061,"Alta Verapaz",16,"Tactic",4,2922,400,1,27,66,100,87,4,9,8,2,2,0,3,309,6,6,321,9,330,--,407,77,309,321,330,Algún campo sin dato,1,0d4fd7b8d47b268c6c3d07efe9a54dedd391a405101e209e3f0608a0d45fcc6b,26/06/2023 01:14:22,ESCANER
19062,"Alta Verapaz",16,"Tactic",4,2923,400,1,40,48,88,89,7,5,6,2,1,0,0,287,29,6,322,0,322,--,411,89,287,322,322,Algún campo sin dato,1,1fcc3527d1aea63a6a046f03094b92874c4aa2ec25ec602e66fc46ef118ec658,26/06/2023 01:46:39,ESCANER
19063,"Alta Verapaz",16,"Tactic",4,2923,400,0,68,45,68,80,8,6,9,2,6,10,2,304,18,7,329,8,337,--,407,70,304,329,337,Algún campo sin dato,1,94cf4bc80ebbc52d759322fd21ba7e193bda4e4dcc6cdf22261dd052b84d2372,26/06/2023 03:32:23,ESCANER
