TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
31,31,100.0000,31,100.0000,0,11534,9414,81.6195

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,PPN,UNE,CABAL,VALOR,VIVA,VAMOS,P A N,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19108,"Alta Verapaz",16,"Tamahú",5,2931,400,9,3,74,3,69,115,17,2,1,288,11,4,303,0,303,--,--,--,293,308,308,Sumas Asentadas sin cuadrar,1,4d39da13c13bf9a10a14546d76cd7cb55fc923d9412406bcb73c453848d7d698,25/06/2023 23:30:27,ESCANER
19109,"Alta Verapaz",16,"Tamahú",5,2931,400,4,4,91,1,85,126,11,2,0,324,6,6,336,0,336,--,400,64,324,336,336,Algún campo sin dato,1,d965b62e60cb8c49c4c7fa39e20c62c291b2c0267b4d39980d8e9c35d5d08872,25/06/2023 23:41:12,ESCANER
19110,"Alta Verapaz",16,"Tamahú",5,2931,400,5,3,113,2,64,116,7,1,1,312,5,7,324,7,331,--,400,69,312,324,331,Algún campo sin dato,1,61b192f9fab8f354521cc815a1b37999d77b114172afcd818164d704ca25c9d7,26/06/2023 00:02:16,ESCANER
19111,"Alta Verapaz",16,"Tamahú",5,2931,400,3,3,107,3,77,116,11,1,2,323,9,3,335,0,335,--,400,65,323,335,335,Algún campo sin dato,1,e627acc8a1ec96a80c2eac45ad620672cabf83c6e62fd6f062974d988da7f3c6,26/06/2023 00:33:10,ESCANER
19112,"Alta Verapaz",16,"Tamahú",5,2931,400,5,5,102,4,79,122,13,1,2,333,4,3,340,1,341,--,400,59,333,340,341,Algún campo sin dato,1,1459e33521c0e140aa6b62fce33110dabaef51ba8228ba3a01bff7f8b00947d2,26/06/2023 01:19:24,ESCANER
19113,"Alta Verapaz",16,"Tamahú",5,2931,400,2,2,91,0,80,124,14,1,2,316,5,6,327,0,327,--,400,73,316,327,327,Algún campo sin dato,1,dc6d0f986f69d148319aa7ea9185dc228bd513cc5d3026e628ec9f402e1265f3,26/06/2023 02:17:05,ESCANER
19114,"Alta Verapaz",16,"Tamahú",5,2931,400,4,3,69,1,70,123,3,1,1,275,4,0,279,0,279,--,400,121,275,279,279,Algún campo sin dato,1,49f11b923e30eb4540fcb4538a01b9f30672e590c22533ef74878c29e829a186,26/06/2023 00:39:22,ESCANER
19115,"Alta Verapaz",16,"Tamahú",5,2931,400,1,3,91,5,74,94,9,1,1,279,3,0,282,0,282,--,400,118,279,282,282,Algún campo sin dato,1,439106a2b25899abd3d4f10db9f5ac04cdaf87b26c995dae9c93aec7547709e8,26/06/2023 01:26:18,ESCANER
19116,"Alta Verapaz",16,"Tamahú",5,2931,400,3,2,91,4,75,112,5,1,3,296,2,1,299,0,296,--,400,101,296,299,299,Sumas Asentadas sin cuadrar,1,3fe560734b7249fa3d54dc3961777d2209cf1f79200267d332e5ebaa996087b7,26/06/2023 02:29:38,ESCANER
19117,"Alta Verapaz",16,"Tamahú",5,2931,371,3,2,95,0,74,92,9,0,0,275,2,1,278,0,278,1,371,93,275,278,278,,1,f538b4f848ddddd9a9f2756cf5a3872e8fafd446ec4a87585874ab0ef50c11ab,25/06/2023 23:52:39,ESCANER
19118,"Alta Verapaz",16,"Tamahú",5,2931,371,4,7,76,3,66,117,5,0,0,278,3,1,282,0,282,--,371,89,278,282,282,Algún campo sin dato,1,bcc4a057ceafaefe74941d407206e70af91c7a57e0e108c18e3db9c01fb0c47c,25/06/2023 23:13:38,ESCANER
