TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
66,66,100.0000,66,100.0000,0,23824,18077,75.8772

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,UNE,VAMOS,CAMBIO,PPN,VICTORIA,CABAL,WINAQ,VIVA,AZUL,VALOR,CREO,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19139,"Alta Verapaz",16,"Tucurú",6,2934,400,17,68,72,0,4,88,1,0,17,0,19,0,2,288,7,4,299,0,299,--,400,101,288,299,299,Algún campo sin dato,1,43df1c51b18ae5702e8d2264a151a3052aa8df52089ebc5e51c0cf8a274323a7,26/06/2023 03:52:40,ESCANER
19140,"Alta Verapaz",16,"Tucurú",6,2934,400,17,46,104,3,2,107,0,0,17,1,20,0,1,318,14,1,333,0,333,--,401,68,318,333,333,Algún campo sin dato,1,ef7cbd550c2d8045ccd942b112312fa42ed94d2dd5685cabcc1ef26eda580a9c,26/06/2023 04:18:25,ESCANER
19141,"Alta Verapaz",16,"Tucurú",6,2935,400,6,47,84,0,5,101,2,1,47,2,15,4,3,317,11,4,332,0,332,--,401,69,317,332,332,Algún campo sin dato,1,db0966aba78978a7cce9b40327e045d46c2dab53d25ca34e43f1c1e88db37be5,26/06/2023 03:53:27,ESCANER
19142,"Alta Verapaz",16,"Tucurú",6,2935,400,10,30,89,1,4,130,0,0,43,1,16,2,4,330,4,2,336,0,336,--,384,48,330,336,336,Algún campo sin dato,1,fdd5408efa3b3cfc39ab976d786418ffa06f3c1ba065c50216db9c9c7d7087d5,26/06/2023 04:23:49,ESCANER
19143,"Alta Verapaz",16,"Tucurú",6,2936,400,16,57,138,0,3,70,0,0,17,0,23,0,0,324,11,4,339,0,339,--,400,61,324,339,339,Algún campo sin dato,1,8ee1f54f2c0efcf12f83b186985f4779ae993501ba4784a77b360d78fc3ca960,26/06/2023 02:52:09,ESCANER
19144,"Alta Verapaz",16,"Tucurú",6,2936,400,15,62,84,0,12,104,0,0,11,1,21,1,2,313,14,1,328,0,328,--,400,72,313,328,328,Algún campo sin dato,1,df2e5b55c34be9af1899352446a1211fa4cbc96690d43dc981d573d8af834b13,26/06/2023 02:57:10,ESCANER
19145,"Alta Verapaz",16,"Tucurú",6,2937,400,7,47,62,1,7,154,3,0,10,0,19,3,4,317,15,4,336,0,336,--,400,64,317,336,336,Algún campo sin dato,1,888fb512625f89bccda25507560a464caa474e7f5080cfddd50125eab5b0c451,26/06/2023 04:47:26,ESCANER
19146,"Alta Verapaz",16,"Tucurú",6,2937,400,13,53,116,0,6,83,1,0,16,2,17,1,2,310,11,3,324,0,324,--,400,76,310,324,324,Algún campo sin dato,1,42567d94076e46e43323a79fc6acc08433b03401224bcfa63b0fdf2fc4e65725,26/06/2023 04:41:06,ESCANER
19147,"Alta Verapaz",16,"Tucurú",6,2937,400,6,11,77,1,3,173,1,2,29,0,17,1,1,322,3,2,327,0,327,1,400,72,322,327,327,,1,750c58ff524292e87ca73318e7da61cbc4012ca7d73a518a08f82501682af7ea,26/06/2023 04:35:40,ESCANER
19148,"Alta Verapaz",16,"Tucurú",6,2937,400,11,33,96,1,6,98,2,0,17,0,14,0,0,278,6,1,285,0,285,--,400,115,278,285,285,Algún campo sin dato,1,a598a0e10f23ba4fb3a26abdc1339b82240a6b987111828a5ba01f75ca11e1f2,26/06/2023 04:54:11,ESCANER
19149,"Alta Verapaz",16,"Tucurú",6,2937,400,14,42,84,0,9,72,2,0,17,1,34,1,0,276,7,0,283,0,283,--,400,117,276,283,283,Algún campo sin dato,1,e2afca9f7985a5a981e804a6adee4b3285e79fc78db02969405f4c8c94bb5096,26/06/2023 04:23:37,ESCANER
19150,"Alta Verapaz",16,"Tucurú",6,2937,400,12,52,79,0,12,69,1,2,12,0,34,0,1,274,9,1,284,0,284,--,400,116,274,284,284,Algún campo sin dato,1,f6f0f6f614bc0b278716616fb1a618d25986261c7b6de47b6d84c9b20fb45b30,26/06/2023 04:13:51,ESCANER
19151,"Alta Verapaz",16,"Tucurú",6,2937,400,24,45,75,0,7,77,1,4,13,0,29,2,2,279,10,2,291,0,291,--,400,109,279,291,291,Algún campo sin dato,1,f653588a4dab4b22e5e4162d9f9ae8c6dbb1d9c02a664df53932e0b2bd709504,26/06/2023 04:30:45,ESCANER
19152,"Alta Verapaz",16,"Tucurú",6,2937,400,20,43,79,--,12,61,4,3,16,--,37,--,1,276,6,2,284,--,284,--,400,116,276,284,284,Algún campo sin dato,1,a398992dee4afd35018c28edfa1245a89166a2672ef2e24d75c20ef6798c6aba,26/06/2023 04:03:58,ESCANER
19153,"Alta Verapaz",16,"Tucurú",6,2938,400,18,41,79,2,7,66,3,2,10,0,19,4,3,254,12,6,272,0,272,--,400,128,254,272,272,Algún campo sin dato,1,ea6c92fad954073af7293c16a94ee30e2179f601fd590471ec72426dde0d57ab,26/06/2023 01:37:18,ESCANER
19154,"Alta Verapaz",16,"Tucurú",6,2938,400,22,49,94,0,13,54,2,0,15,0,28,1,0,278,5,3,286,0,286,--,400,114,278,286,286,Algún campo sin dato,1,6a502641bd87f4fe4b08b97e5319bcdba96f439a3c4a3f2e6493d13102197c78,26/06/2023 01:46:10,ESCANER
19155,"Alta Verapaz",16,"Tucurú",6,2938,400,18,58,83,0,5,77,1,0,8,0,15,0,1,266,3,0,269,0,269,--,400,131,266,269,269,Algún campo sin dato,1,1b47df7f7f871d0e5b3ee2333640a904dee466fef8b6bd23285d033ecf142e33,26/06/2023 01:49:02,ESCANER
19156,"Alta Verapaz",16,"Tucurú",6,2938,400,15,42,70,0,7,105,1,1,20,0,21,1,1,284,3,0,287,0,287,--,400,113,284,287,287,Algún campo sin dato,1,2928dd935eb08472eeee6e1c0cff05dae337cb7e4c1866dc53c89e926d7216df,26/06/2023 01:56:33,ESCANER
19157,"Alta Verapaz",16,"Tucurú",6,2938,400,7,40,98,0,4,116,1,0,15,0,17,2,0,300,2,0,302,0,302,--,400,98,300,302,302,Algún campo sin dato,1,711fe144b3aff6fbac630d91b38516bf9398e8e75fd9392f5bc78d5a06b91318,26/06/2023 02:08:27,ESCANER
19158,"Alta Verapaz",16,"Tucurú",6,2938,400,8,21,87,1,6,142,2,0,24,0,12,0,1,304,1,0,305,0,305,--,400,95,304,305,305,Algún campo sin dato,1,026f8527f08ff104cc186f072191b5a32efd048ba96f141843a38d3b7b128c44,26/06/2023 02:16:56,ESCANER
19159,"Alta Verapaz",16,"Tucurú",6,2938,257,10,20,52,1,3,99,0,0,6,0,11,1,0,203,1,0,204,0,204,--,254,50,203,204,204,Algún campo sin dato,1,6775b676e3f42be7b6bbee416721f7c2b8b81a209b8f198c080db195c0d786bf,26/06/2023 02:21:51,ESCANER
19160,"Alta Verapaz",16,"Tucurú",6,2938,257,13,23,48,0,5,61,2,0,14,0,16,0,1,183,5,3,191,0,191,--,257,66,183,191,191,Algún campo sin dato,1,d9072d8cc75b8381588f3e6deb29aea33cc41a72b42c4feedd5dd6c0d469982f,26/06/2023 02:32:14,ESCANER
19161,"Alta Verapaz",16,"Tucurú",6,2939,400,73,54,109,0,14,23,2,0,2,1,52,0,0,330,11,3,344,0,344,--,399,56,330,344,344,Algún campo sin dato,1,da01659639b658ce6b1c28f47387d1cfcae9c6aa654d46459811b7210cab66d6,26/06/2023 04:41:47,ESCANER
19162,"Alta Verapaz",16,"Tucurú",6,2939,400,57,66,97,0,14,28,1,0,1,1,31,1,2,299,7,5,311,0,311,--,400,89,299,311,311,Algún campo sin dato,1,f0e14e507bfe4cc9585d553f2c52fb2761dedc6b01d3183b53c5ba61987dcad6,26/06/2023 03:49:20,ESCANER
19163,"Alta Verapaz",16,"Tucurú",6,2939,400,61,63,108,0,15,42,2,0,1,1,19,0,3,315,12,2,329,0,329,--,400,71,315,329,329,Algún campo sin dato,1,f3153ae2e1beee072e76d3e49cef1060e0b670f92bc6d9bd45b11b6ca6ae1d10,26/06/2023 03:59:39,ESCANER
19164,"Alta Verapaz",16,"Tucurú",6,2939,400,38,73,82,0,25,32,2,0,2,0,13,2,3,272,5,5,282,0,282,--,400,118,272,282,282,Algún campo sin dato,1,9cf272988ce41997551d33e5467756a8fd7f7960ab6862cccf388aa3eac7e112,26/06/2023 04:27:43,ESCANER
19165,"Alta Verapaz",16,"Tucurú",6,2939,400,56,63,96,0,14,26,2,0,2,0,17,0,0,276,8,1,285,0,285,--,400,115,276,285,285,Algún campo sin dato,1,ebc8c72df3e7198d9b3b34981d711efb9abc57f47c418d9399da0a471c4bf2b5,26/06/2023 04:19:33,ESCANER
19166,"Alta Verapaz",16,"Tucurú",6,2939,400,44,56,79,0,18,20,0,0,1,0,23,0,0,241,1,2,244,0,244,--,400,156,241,244,244,Algún campo sin dato,1,8478f3c11c5e7a094109ac550be88ca1b9ec93cfea4549ae4ef80973cf7b2bef,26/06/2023 03:38:32,ESCANER
19167,"Alta Verapaz",16,"Tucurú",6,2940,387,33,52,77,1,21,30,3,0,1,0,27,0,0,245,2,2,249,0,249,--,384,135,245,249,249,Algún campo sin dato,1,a0857a8f931b40f8f5dab61e6c6f516d0d480d10052ef69ec8198320534b3061,26/06/2023 00:13:40,ESCANER
19168,"Alta Verapaz",16,"Tucurú",6,2940,386,33,66,82,1,11,29,0,0,1,0,28,0,1,252,2,3,257,0,257,--,386,129,252,257,257,Algún campo sin dato,1,d48d3b841ddcf99883a8b9979a68aa05c82951e639abccf566aeb90aaf8a3345,26/06/2023 00:19:58,ESCANER
19169,"Alta Verapaz",16,"Tucurú",6,2941,380,94,54,88,0,11,21,3,3,2,0,11,2,1,290,20,4,314,0,314,--,380,66,290,314,314,Algún campo sin dato,1,af42454700499a5a1e577881b3ce15825f1f3977689512ea207960ca994d9f91,26/06/2023 05:32:43,ESCANER
19170,"Alta Verapaz",16,"Tucurú",6,2941,380,98,57,83,0,27,18,3,0,5,1,7,0,0,299,14,2,315,0,315,--,377,61,299,315,315,Algún campo sin dato,1,dafd0ca23b6c05cfa641426b1165642cfe605f1a00d2bbabfc56dd56970b6a4b,26/06/2023 06:45:51,ESCANER
19171,"Alta Verapaz",16,"Tucurú",6,2941,380,58,70,66,1,30,30,7,1,3,0,5,0,1,272,20,3,295,0,295,--,380,85,272,295,295,Algún campo sin dato,1,3819dcdb848863dc99aca932e789cc4f363d7fbda651ba114411938692844863,26/06/2023 06:02:31,ESCANER
19172,"Alta Verapaz",16,"Tucurú",6,2941,364,63,56,46,1,22,26,7,1,5,0,5,1,0,233,13,2,248,0,248,--,361,113,233,248,248,Algún campo sin dato,1,7f936528fb23c08c3a70b4ec58ccfd55c92eba5ff23cd429ae40b67c8212ae25,26/06/2023 05:08:16,ESCANER
19173,"Alta Verapaz",16,"Tucurú",6,2941,363,69,55,59,0,23,31,6,1,1,0,1,0,1,247,8,2,257,0,257,--,360,103,247,257,257,Algún campo sin dato,1,fd5d48f88dfc3bbd67f0693a4f2dd72dde03c9b2b8a06be9b55e710c060efa02,26/06/2023 06:43:51,ESCANER
19174,"Alta Verapaz",16,"Tucurú",6,2942,380,49,67,102,0,6,61,0,1,2,0,1,2,0,291,13,7,311,0,311,--,378,67,291,311,311,Algún campo sin dato,1,b36c7534dcf01f111ae6e2836addd722a92d9e9c210caa0bbabe108ce2adbdbc,26/06/2023 05:37:55,ESCANER
19175,"Alta Verapaz",16,"Tucurú",6,2942,380,42,27,117,0,4,100,1,1,1,1,3,1,0,298,13,7,318,0,318,--,380,62,298,318,318,Algún campo sin dato,1,156e81b493339a609c88d35eb505289af7c4849373a2e980e2086cc4c043dd4e,26/06/2023 04:30:47,ESCANER
19176,"Alta Verapaz",16,"Tucurú",6,2942,380,31,40,109,0,1,97,0,0,3,1,5,0,0,287,11,6,304,0,304,--,380,76,287,304,304,Algún campo sin dato,1,6f1754aa5dc09cac41e4aea43d2f540bcf1ea4766589cbd70b4406ff2af5318f,26/06/2023 04:35:23,ESCANER
