TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,36444,23519,64.5346

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,ELEFANTE,PHG,PODEMOS,VAMOS,CABAL,PPN,WINAQ,VALOR,MLP,AZUL,CAMBIO,UR,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19205,"Alta Verapaz",16,"Panzós",7,2949,400,30,23,175,0,15,1,1,1,0,0,0,0,1,0,247,28,3,278,0,278,--,--,--,247,278,278,Algún campo sin dato,1,4280972bca9ede924010696042f699c101e36eeb86cb8878d40dc3b4744fa829,26/06/2023 03:21:04,ESCANER
19206,"Alta Verapaz",16,"Panzós",7,2949,400,44,32,148,0,13,0,1,1,0,0,0,0,0,1,240,26,1,267,0,267,--,400,133,240,267,267,Algún campo sin dato,1,5e21551127850d5fea040c119bc6f40971d9031e236d33c93b28744d06510eae,26/06/2023 02:05:45,ESCANER
19207,"Alta Verapaz",16,"Panzós",7,2949,400,72,29,137,0,15,0,0,0,0,1,0,0,0,1,255,43,3,301,0,301,--,400,99,255,301,301,Algún campo sin dato,1,9ec9aa2e3655fa1dfbcbc277c53542809988df35717e49b0647b6cdf96abdd39,26/06/2023 02:47:10,ESCANER
19208,"Alta Verapaz",16,"Panzós",7,2949,400,42,58,150,0,14,1,0,1,1,0,0,0,1,0,268,45,2,315,0,315,--,398,83,268,315,315,Algún campo sin dato,1,8ce5aad4839060d049d44550d74040a3db6bb3fa3329751d251ebd43a591f503,26/06/2023 04:22:04,ESCANER
19209,"Alta Verapaz",16,"Panzós",7,2949,400,51,30,145,0,25,0,1,2,0,0,0,0,0,1,255,37,3,295,0,295,--,--,--,255,295,295,Algún campo sin dato,1,f4a81d9414f0272c80b744407eeacc82d0a773368eb04216066eff3854dab018,26/06/2023 02:16:13,ESCANER
19210,"Alta Verapaz",16,"Panzós",7,2949,400,47,31,142,0,14,1,0,0,0,1,0,0,2,0,301,56,7,301,0,301,--,400,99,238,301,301,Sumas Asentadas sin cuadrar,1,e1e18f7cbac26be4ea631cdbe9fa3b6be54ec5e114923bd79e178ce2963b1d84,26/06/2023 02:36:47,ESCANER
19211,"Alta Verapaz",16,"Panzós",7,2949,400,52,24,168,0,13,0,0,1,0,0,0,0,0,0,258,27,0,285,0,285,--,400,115,258,285,285,Algún campo sin dato,1,825f53cc766f06c1470afc859a3d357e40947c24a46fa90051b7bb8d657c28fd,26/06/2023 00:05:22,ESCANER
19212,"Alta Verapaz",16,"Panzós",7,2949,400,52,29,147,0,8,2,0,0,0,0,0,0,0,0,238,28,3,269,0,269,--,400,131,238,269,269,Algún campo sin dato,1,318f1bb4537e7bb2031d62c485f63b559a70e46922b6c1e01d32205a82f2bee9,26/06/2023 01:58:45,ESCANER
19213,"Alta Verapaz",16,"Panzós",7,2949,400,40,25,154,1,14,1,--,2,--,1,--,1,--,--,239,18,2,259,--,--,--,--,--,239,259,259,Algún campo sin dato,1,bf036daccc50caf74eddd323a5007e2302e35d152054a78865dc1d7c2252279e,26/06/2023 04:02:00,ESCANER
19214,"Alta Verapaz",16,"Panzós",7,2949,400,51,34,150,2,11,1,0,0,0,2,0,0,0,0,251,21,2,274,1,275,3,397,119,251,274,275,,1,fa7e0653bf103d6f13082723ca26d2ccd8c6feb00a2575e9da7d29fd2041bc8e,26/06/2023 02:28:54,ESCANER
19215,"Alta Verapaz",16,"Panzós",7,2949,400,47,40,110,0,9,3,0,1,0,1,0,0,1,0,212,42,13,267,0,267,1,400,132,212,267,267,,1,8ac2b6fb7f5c135d33eaf490f872f0a7648357e401b11a300c12994cf3f631ee,26/06/2023 03:20:24,ESCANER
19216,"Alta Verapaz",16,"Panzós",7,2949,400,62,26,130,0,6,1,0,1,3,0,2,0,0,1,232,2,4,238,30,268,1,400,131,232,238,268,,1,d6cbb7f10ebe03ea1d3fead588ff85d8577d203a2f1e9bc14d57a3bbde29f194,26/06/2023 03:27:26,ESCANER
