TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,47515,32039,67.4292

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,PHG,VALOR,AZUL,PPN,ELEFANTE,WINAQ,VIVA,FCN-NACION,VAMOS,CREO,VOS,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19302,"Alta Verapaz",16,"Senahú",8,2963,400,40,40,2,23,15,3,66,0,0,0,1,45,0,1,0,236,19,2,400,0,400,--,400,143,236,257,257,Sumas Asentadas sin cuadrar,1,117102c2b0805d47721d73ebf236b9d1cd62ba253be84b2e94358cd1da40eb30,26/06/2023 01:50:00,MOVIL
19303,"Alta Verapaz",16,"Senahú",8,2963,400,64,48,1,13,20,1,73,0,1,1,2,41,1,0,1,267,21,0,288,0,288,--,400,112,267,288,288,Algún campo sin dato,1,f095f00bb2af94bb9f86c95df4820d2e7de2851210235c7ec766ba56601fe875,26/06/2023 01:12:59,MOVIL
19304,"Alta Verapaz",16,"Senahú",8,2963,400,65,38,0,17,13,1,0,0,1,0,0,35,0,0,1,256,27,4,287,0,287,1,287,113,171,202,202,Sumas Asentadas sin cuadrar,1,3b13533019224444a48d9935eb041a1ef5fbf71bd8bcf04e5d16ed578ef553f4,26/06/2023 03:19:15,MOVIL
19305,"Alta Verapaz",16,"Senahú",8,2963,400,41,41,0,15,29,4,65,1,1,0,3,55,1,2,0,258,14,2,274,0,0,--,342,117,258,274,274,Algún campo sin dato,1,ff873366e276198a1451a9d733062b6c95ad27fdec42ae47c84f7c2b9ec1fdc8,26/06/2023 03:55:12,MOVIL
19306,"Alta Verapaz",16,"Senahú",8,2963,400,55,46,1,19,16,0,60,1,0,2,4,55,1,1,0,261,22,3,286,0,286,--,400,114,261,286,286,Algún campo sin dato,1,3ce3c78c954f1d536422b9e1402a963945b9ae005ab732266c181890009b0225,26/06/2023 01:39:09,MOVIL
19307,"Alta Verapaz",16,"Senahú",8,2964,400,55,33,1,18,15,3,86,0,0,1,3,69,1,0,0,285,13,2,300,0,300,--,400,100,285,300,300,Algún campo sin dato,1,f3b1d06af96c86db62e9e71b3ad0ede1434a4bfc499c84be3be589c3161b8a86,26/06/2023 04:19:42,ESCANER
19308,"Alta Verapaz",16,"Senahú",8,2964,400,45,54,1,27,18,3,98,0,1,0,3,67,0,2,1,342,19,3,342,0,342,--,400,55,320,342,342,Sumas Asentadas sin cuadrar,1,ba5c86728170882bf87f5eb63f7fa31fcf0161a14befb7703de24276c920ce54,26/06/2023 04:32:25,ESCANER
19309,"Alta Verapaz",16,"Senahú",8,2964,400,52,56,1,18,19,1,57,0,0,3,3,47,0,0,0,257,7,1,265,0,265,--,397,132,257,265,265,Algún campo sin dato,1,706df3c330d5bcdac56cf2cfa5be387885711d4c130b2f5f584443bdaca1614f,26/06/2023 05:37:10,ESCANER
19310,"Alta Verapaz",16,"Senahú",8,2964,400,54,36,3,16,15,0,64,1,0,0,1,34,0,0,1,225,17,0,242,0,242,--,396,151,225,242,242,Algún campo sin dato,1,ffbf337894f0c312ca82f36075a570839aecdbaa471a905db3d8daf8cb50e469,26/06/2023 04:09:40,ESCANER
19311,"Alta Verapaz",16,"Senahú",8,2965,400,52,68,1,18,13,4,47,0,1,2,1,43,1,0,0,251,6,0,257,0,257,--,400,143,251,257,257,Algún campo sin dato,1,009da3580bb27bf06f25f0966aea63ce98028240695b8a8b1983bee66d43a8b1,26/06/2023 01:06:40,ESCANER
