TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
308,308,100.0000,308,100.0000,0,113565,68807,60.5882

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,FCN-NACION,VAMOS,AZUL,MLP,UNE,VIVA,CABAL,TODOS,PODEMOS,WINAQ,ELEFANTE,CAMBIO,PPN,MI FAMILIA,VALOR,CREO,VOS,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19432,"Alta Verapaz",16,"San Pedro Carchá",9,2985,400,54,10,15,16,0,76,5,10,11,1,1,1,1,9,2,22,1,3,0,238,19,2,259,--,259,--,400,141,238,259,259,Algún campo sin dato,1,9b8a90588c6a28cde3329e742d8a55fe491b6ddd88efa39fe83802da1889fbd2,26/06/2023 00:52:53,ESCANER
19433,"Alta Verapaz",16,"San Pedro Carchá",9,2985,400,52,8,24,7,2,97,8,7,6,2,2,0,4,13,6,21,7,1,5,272,10,3,285,0,285,--,368,83,272,285,285,Algún campo sin dato,1,b5e26e9bd7f1857b56fe1c349b4dbe589213c4c673153eac278b364ea8bdb679,26/06/2023 01:03:28,ESCANER
19434,"Alta Verapaz",16,"San Pedro Carchá",9,2985,400,29,10,18,17,0,87,2,16,18,2,5,0,6,6,3,24,5,1,3,252,11,2,265,0,265,--,400,135,252,265,265,Algún campo sin dato,1,39ce304c473dc2b49ad474687e44ac51da7d9d7b6b4ce9f94f3a86325fb8df66,26/06/2023 01:16:34,ESCANER
19435,"Alta Verapaz",16,"San Pedro Carchá",9,2985,400,43,14,23,10,1,77,4,13,12,3,4,1,5,10,1,31,4,3,5,264,16,3,283,0,283,--,397,114,264,283,283,Algún campo sin dato,1,27dc824e8dbd721dc4fc80861a1fb4c34c6cdf84a17722b1d0cb3705b64a27f5,26/06/2023 00:35:48,ESCANER
19436,"Alta Verapaz",16,"San Pedro Carchá",9,2985,400,37,6,20,11,1,92,1,22,15,2,3,0,3,10,3,17,4,4,3,254,6,2,262,0,262,--,400,138,254,262,262,Algún campo sin dato,1,d5acf88b185f9412cc1cfa54391eef7ef24a684b302adf19c5bde5c1aa212f01,26/06/2023 03:56:55,ESCANER
19437,"Alta Verapaz",16,"San Pedro Carchá",9,2985,400,38,10,27,9,1,83,5,11,11,1,1,2,2,13,0,19,3,1,1,238,9,0,247,0,247,--,400,153,238,247,247,Algún campo sin dato,1,ad522f97926ca5f8ec571c5d277461699c740ce3248fa112b8856f79b6dd9f48,26/06/2023 00:06:35,ESCANER
19438,"Alta Verapaz",16,"San Pedro Carchá",9,2985,400,37,5,24,9,0,89,0,14,6,7,1,1,5,13,1,16,1,3,6,238,10,2,250,150,400,--,--,--,238,250,400,Algún campo sin dato,1,53c6d680f2a72dd5292b1800bd0eb129b5b6a5f9e052ec05284164e9cd1a93dd,26/06/2023 04:09:39,ESCANER
19439,"Alta Verapaz",16,"San Pedro Carchá",9,2985,400,37,7,21,8,1,97,2,4,15,2,1,0,3,13,2,20,5,0,4,242,15,7,264,0,264,--,397,133,242,264,264,Algún campo sin dato,1,97c5b4c8c686aad46a50456fb5883d93a42ee7f89e78fe8395c1af61b26675b2,26/06/2023 00:24:45,ESCANER
19440,"Alta Verapaz",16,"San Pedro Carchá",9,2985,400,33,16,14,13,2,102,3,15,13,0,7,2,6,11,4,19,8,2,2,272,10,1,283,0,283,--,400,117,272,283,283,Algún campo sin dato,1,55b4d1d74fcaf011a0f554d778164aee33254436457d8146dab50158973f7f40,26/06/2023 00:42:15,ESCANER
19441,"Alta Verapaz",16,"San Pedro Carchá",9,2985,400,40,18,21,7,0,91,4,21,14,1,1,0,2,10,1,19,6,3,4,263,13,1,277,0,277,--,400,123,263,277,277,Algún campo sin dato,1,b359057c85c4693d5f382954ff430896ae167f6e245a1182395f7c3e73232d25,26/06/2023 04:26:44,ESCANER
