TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
88,88,100.0000,87,98.8636,1,31971,25329,79.2249

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPN,AZUL,VAMOS,PHG,VIVA,CABAL,VICTORIA,UNE,CAMBIO,FCN-NACION,MLP,VALOR,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19740,"Alta Verapaz",16,"San Juan Chamelco",10,3014,400,133,1,96,3,6,4,19,14,0,2,2,4,1,285,18,3,306,2,308,--,400,92,285,306,308,Algún campo sin dato,1,a69c271184a58ed00c6f5a1872d0532d0b1c9a82ef0685b99355e4ec8d4a6f60,26/06/2023 02:34:37,ESCANER
19741,"Alta Verapaz",16,"San Juan Chamelco",10,3014,400,119,0,133,5,7,9,27,21,1,0,1,2,2,327,14,7,348,0,348,--,400,52,327,348,348,Algún campo sin dato,1,114f9d8e6673cb636605477b5dbe627026c055e8f795103aabdd9bc920e972fb,26/06/2023 00:16:54,ESCANER
19742,"Alta Verapaz",16,"San Juan Chamelco",10,3014,400,128,2,97,4,13,5,24,8,2,2,4,1,1,291,28,4,323,0,323,--,397,74,291,323,323,Algún campo sin dato,1,8a1a0e40c45490a1fe27f822801253f7fd2567889566ed7de43c4c4190868342,25/06/2023 23:26:23,ESCANER
19743,"Alta Verapaz",16,"San Juan Chamelco",10,3014,400,114,1,113,3,10,10,34,8,1,1,1,3,0,299,18,5,322,0,299,--,400,78,299,322,322,Sumas Asentadas sin cuadrar,1,898a91ebf2498ca20907029dee6d1c737c6705b01d09ca3caea5f1362a3548a3,26/06/2023 01:54:28,ESCANER
19744,"Alta Verapaz",16,"San Juan Chamelco",10,3014,400,127,2,124,4,8,11,25,11,2,1,3,2,1,321,11,2,334,0,334,--,400,66,321,334,334,Algún campo sin dato,1,82bc1617e8f722392247918ca7dfdf7c67bac8757d617ff8361170d5fe9e3fd9,26/06/2023 01:14:59,ESCANER
19745,"Alta Verapaz",16,"San Juan Chamelco",10,3014,400,134,3,125,2,9,15,31,10,0,1,3,4,1,338,16,2,356,0,356,0,400,44,338,356,356,,1,e69e8de207c9b3dad0c2a86f2508463a18977dd84527642d787f9f27748495d0,26/06/2023 02:28:33,ESCANER
19746,"Alta Verapaz",16,"San Juan Chamelco",10,3014,400,145,0,128,8,8,6,31,8,1,0,0,3,0,338,6,0,344,0,344,--,400,56,338,344,344,Algún campo sin dato,1,d7610a048fb9ef973aeb0e41258fd8fe9033f5d068bc0c6012b6b55bba24678c,25/06/2023 23:48:20,ESCANER
19747,"Alta Verapaz",16,"San Juan Chamelco",10,3014,400,116,6,130,4,14,17,27,13,0,0,3,2,1,333,10,1,344,0,344,--,400,56,333,344,344,Algún campo sin dato,1,d62546e1ef30dc59396906d5175efc848a2b66c3a5cb82beab71ecd2bf1c22ad,26/06/2023 00:24:04,ESCANER
19748,"Alta Verapaz",16,"San Juan Chamelco",10,3015,400,116,5,99,2,5,6,27,11,2,3,2,4,0,282,6,1,289,0,289,--,400,111,282,289,289,Algún campo sin dato,1,1d8e5bddd4028884d05bfd2cd92ed56e910ce9093eefece55229cb93f50bc9ef,26/06/2023 01:18:27,ESCANER
19749,"Alta Verapaz",16,"San Juan Chamelco",10,3016,400,119,1,106,4,2,7,25,9,1,1,1,2,2,280,12,1,293,0,293,--,400,107,280,293,293,Algún campo sin dato,1,c4ceb011409a53ded839794ca53ae46668d7fd008a765ad0e4ce23ccb41de615,26/06/2023 02:25:46,ESCANER
19750,"Alta Verapaz",16,"San Juan Chamelco",10,3016,400,109,2,102,6,10,9,22,12,3,0,5,4,2,286,18,4,308,0,308,--,397,89,286,308,308,Algún campo sin dato,1,aaa5c90fa58937e4e057e59181bdf8fc02983f7072bec2266c4eea796e3831f4,26/06/2023 00:41:08,ESCANER
19751,"Alta Verapaz",16,"San Juan Chamelco",10,3016,400,109,4,128,4,8,4,17,15,1,4,4,3,1,302,9,3,314,0,314,1,400,86,302,314,314,,1,c28af7002a7513add6542dbb83fdc04f8123d0e7d5ccab1a6d32b17a6d3e65e4,26/06/2023 02:29:53,ESCANER
19752,"Alta Verapaz",16,"San Juan Chamelco",10,3016,400,120,1,127,1,3,11,12,23,2,3,1,1,0,305,9,0,314,0,314,--,400,86,305,314,314,Algún campo sin dato,1,c404f99c686fa580da16a4d814f91028209043ea97ba7f24ae327b56cc1e84da,26/06/2023 00:49:43,ESCANER
19753,"Alta Verapaz",16,"San Juan Chamelco",10,3016,400,110,4,108,3,7,6,21,15,0,1,0,2,0,277,12,1,290,0,290,--,400,110,277,290,290,Algún campo sin dato,1,42fb9d67272ba2be46676bf1f814b11db86e70f5356bee1d28fbf3c9d313b6f2,25/06/2023 23:59:08,ESCANER
19754,"Alta Verapaz",16,"San Juan Chamelco",10,3016,400,124,1,116,2,7,7,18,11,3,5,2,0,0,296,7,2,305,0,305,--,400,95,296,305,305,Algún campo sin dato,1,b540acd570d2155a1c638f74982a2866ac92c8ed19b336087b950f21a8655cd4,25/06/2023 22:42:05,ESCANER
