TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,15072,11308,75.0265

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,MLP,PHG,UNE,VAMOS,CABAL,CAMBIO,AZUL,VALOR,TODOS,WINAQ,ELEFANTE,PPN,VIVA,P A N,CREO,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19828,"Alta Verapaz",16,"Lanquín",11,3038,400,10,1,76,59,28,38,16,6,8,6,16,0,12,5,11,5,2,299,13,9,321,0,321,1,400,79,299,321,321,,1,59a3cfa1cf65affab4dceb9da3451078f9c63169a3e05da6a9227c7f80609df2,26/06/2023 04:05:50,ESCANER
19829,"Alta Verapaz",16,"Lanquín",11,3038,400,5,0,66,58,33,61,15,5,12,7,11,1,8,0,20,4,2,308,9,4,321,0,321,0,400,79,308,321,321,,1,987b32e6b0766b7c18042a6b4f97aad900f133133195443f7543fd310e3c18cc,26/06/2023 01:49:26,ESCANER
19830,"Alta Verapaz",16,"Lanquín",11,3038,400,4,2,59,67,27,47,18,4,15,8,7,6,12,2,26,2,2,308,13,4,325,0,325,0,400,75,308,325,325,,1,db2cf2e5290e12deaac0b5fde247cf5583e77f6ef48c222d96e1b537bfa3a140,26/06/2023 04:40:54,ESCANER
19831,"Alta Verapaz",16,"Lanquín",11,3038,400,9,0,51,42,33,53,30,8,8,6,7,0,15,1,20,3,0,286,21,5,312,0,312,0,400,88,286,312,312,,1,3e52009d32fbbaa246b245e728ef2401cbd4a43d81d47e6b7c42804d3a8a4b79,26/06/2023 03:35:08,ESCANER
19832,"Alta Verapaz",16,"Lanquín",11,3038,400,8,4,60,51,39,49,13,3,9,10,5,1,11,4,18,6,0,291,10,4,305,0,305,0,400,95,291,305,305,,1,f753e1f2644280322d942b0c4cc5140bd6a756951fda0d439caece9b9f8d44c3,26/06/2023 02:48:07,ESCANER
19833,"Alta Verapaz",16,"Lanquín",11,3039,400,3,0,64,58,39,67,15,6,4,14,4,0,11,4,16,5,1,311,4,6,321,0,321,0,379,58,311,321,321,,1,31504525b60f6c91a977d058e53d556aa04c6f9fd5ceedcb4c4aa8cb0e22c498,26/06/2023 01:40:02,ESCANER
19834,"Alta Verapaz",16,"Lanquín",11,3039,400,5,2,73,53,47,36,14,4,10,9,8,2,9,1,18,9,2,302,14,4,320,0,320,0,400,80,302,320,320,,1,12043fad3948514f46b09a2a03ae3b0bd33056af402cdaf7d1bc772a61aeab45,26/06/2023 04:14:56,ESCANER
19835,"Alta Verapaz",16,"Lanquín",11,3040,400,5,2,48,45,27,44,23,9,15,7,6,2,14,2,13,6,3,271,10,3,284,0,0,0,400,116,271,284,284,,1,6fba9497c6d058bb28cd8e580ca2b238a5837583a4f5c3b6b16bbab65fd77673,26/06/2023 02:46:50,ESCANER
19836,"Alta Verapaz",16,"Lanquín",11,3040,400,8,3,53,61,28,46,11,7,8,8,3,0,11,3,16,5,2,273,3,0,276,0,276,0,400,124,273,276,276,,1,ca54f579d97eaabdde43752d40daa42cb102ab48c3abf646e25e5ca1fabece9c,26/06/2023 00:56:12,ESCANER
19837,"Alta Verapaz",16,"Lanquín",11,3041,400,3,0,66,48,32,49,21,1,14,6,3,1,6,0,20,5,3,278,7,3,288,0,288,0,400,112,278,288,288,,1,9ffd4a60c6b98cda9705c4fdfc1254bdce80d12dd8b7f1f160829850eb25e4dd,25/06/2023 23:30:53,ESCANER
