TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,112,99.1150,112,99.1150,0,41406,28682,69.2701

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,AZUL,PHG,CABAL,MLP,VIVA,VAMOS,ELEFANTE,U R N G - MAIZ,TODOS,UNE,SEMILLA,PPN,VOS,VALOR,CREO,P A N,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19869,"Alta Verapaz",16,"Cahabón",12,3048,400,4,4,79,5,0,12,86,0,2,3,29,1,5,0,47,0,2,0,279,13,7,299,1,300,--,401,101,279,299,300,Algún campo sin dato,1,21c031f0f7c04341492594f59298bd9014258f76bbb4bb7b093ff8b2a8e5ec8c,27/06/2023 14:08:49,MOVIL
19870,"Alta Verapaz",16,"Cahabón",12,3048,400,3,8,114,2,0,9,106,0,1,3,18,3,1,0,30,0,2,0,300,11,4,315,0,315,0,399,84,300,315,315,,1,47d4bccd650c11715593a593b0c3fbfd78b1aaea44583033436019b0547ff98c,27/06/2023 21:50:09,ESCANER
19871,"Alta Verapaz",16,"Cahabón",12,3048,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19872,"Alta Verapaz",16,"Cahabón",12,3049,400,5,14,90,6,1,18,96,0,0,1,42,2,4,0,24,0,1,1,305,12,11,328,0,328,0,400,72,305,328,328,,1,75b0cfacff593b0c171e1bec92e852c1d02fb787e85be9fe57029597c05dd73a,27/06/2023 21:51:39,ESCANER
19873,"Alta Verapaz",16,"Cahabón",12,3049,400,7,4,75,9,0,32,55,0,0,0,47,3,4,2,41,0,0,1,280,15,13,308,0,308,0,400,92,280,308,308,,1,e9b553a04c1a4523625cda9f325f45739bf40d7528d159d524f9d294bcc688a8,27/06/2023 21:54:12,ESCANER
19874,"Alta Verapaz",16,"Cahabón",12,3049,400,12,4,74,9,0,8,66,0,0,2,60,5,1,0,45,0,1,2,289,14,4,307,0,307,--,400,93,289,307,307,Algún campo sin dato,1,3dbaa2c5b82b88f8351d71fbd96002af50e4aceb9b12f6a57fdf36ed5f94f9d6,28/06/2023 11:38:16,ESCANER
19875,"Alta Verapaz",16,"Cahabón",12,3050,400,6,2,101,8,0,27,64,4,0,0,41,1,1,0,39,0,1,1,296,17,15,328,0,328,--,400,72,296,328,328,Algún campo sin dato,1,412f0962629a6cce82034865b54357748bfbfdb69ac8b066bee238aa4ad09280,26/06/2023 06:53:50,ESCANER
19876,"Alta Verapaz",16,"Cahabón",12,3051,400,3,4,88,10,2,13,78,0,2,0,35,5,3,2,33,0,1,1,280,20,10,310,0,310,--,400,90,280,310,310,Algún campo sin dato,1,c2694469fb61174bf108b47213b5b6cd8c4344cc7b40d90235ca2b95d8d8c4ff,26/06/2023 04:24:34,ESCANER
19877,"Alta Verapaz",16,"Cahabón",12,3051,400,2,5,104,5,0,16,78,0,1,0,33,9,4,0,31,0,3,2,293,15,5,314,0,--,1,400,86,293,313,313,Sumas Asentadas sin cuadrar,1,ba604dd3d8ca1940ed94d49b0ef68b1521d7b2d5d750c9fa0eefbd4cc2b54085,27/06/2023 22:06:51,ESCANER
19878,"Alta Verapaz",16,"Cahabón",12,3051,400,7,5,56,3,1,20,126,0,0,1,18,3,2,0,22,1,2,0,267,15,7,289,0,289,--,400,111,267,289,289,Algún campo sin dato,1,eeb0a59e575fe411880e8c265e2cf284b7dd21f9ece55890fa2fd0e795f626e2,26/06/2023 04:33:56,ESCANER
19879,"Alta Verapaz",16,"Cahabón",12,3051,400,3,3,77,6,0,22,68,0,0,0,38,1,2,1,42,0,0,0,263,5,3,271,0,271,0,400,129,263,271,271,,1,7c74879a7b17c1d9c1016a646cdb37e01747c9ac7c14e8eefc80a29ef0b9f858,26/06/2023 06:34:08,ESCANER
19880,"Alta Verapaz",16,"Cahabón",12,3051,400,3,5,86,8,0,17,73,0,0,6,33,1,4,1,22,0,0,0,259,10,5,274,0,274,--,400,126,259,274,274,Algún campo sin dato,1,9ef6c44036060352fc627864e70c1f9b5c22d82cbbc8a8c7852969818be68713,27/06/2023 22:15:16,ESCANER
19881,"Alta Verapaz",16,"Cahabón",12,3051,400,3,1,87,4,0,14,69,0,1,0,28,3,7,2,43,0,2,0,264,4,2,264,0,270,--,400,130,264,270,270,Sumas Asentadas sin cuadrar,1,c0bf0186937676e95a441f68c03a2b48a7d155a53b8382fdc30830c53f48a92e,27/06/2023 22:27:25,ESCANER
19882,"Alta Verapaz",16,"Cahabón",12,3052,400,3,4,88,7,1,16,47,0,0,2,39,1,8,0,58,0,0,1,275,10,4,289,0,289,0,399,110,275,289,289,,1,570c5874ce52ab64edd5027619cf1956df62066e02c2267d5bfb9a5a41aa46d8,27/06/2023 22:09:32,ESCANER
19883,"Alta Verapaz",16,"Cahabón",12,3052,400,4,3,78,7,0,10,91,0,2,1,21,2,5,0,51,0,0,0,275,1,1,277,8,285,--,400,115,275,277,285,Algún campo sin dato,1,987fd11046990f85616334f41b007eb5a59181e76be551738e8c3d81da386c30,27/06/2023 22:27:42,ESCANER
19884,"Alta Verapaz",16,"Cahabón",12,3053,400,4,2,78,5,0,10,67,0,0,1,33,3,4,0,38,0,2,1,248,9,6,263,0,263,--,400,137,248,263,263,Algún campo sin dato,1,06840f46861203eb35f15dab3c7f448fdc50bba9debf03ea0b6601a068e27f5d,26/06/2023 06:55:07,ESCANER
19885,"Alta Verapaz",16,"Cahabón",12,3054,400,7,4,82,2,0,6,60,0,0,1,31,1,3,0,34,0,0,0,231,8,3,242,0,242,--,400,158,231,242,242,Algún campo sin dato,1,1a437539eb471ef98571f21ab525d56f2f391033add12ebbb86fec446c1081d8,26/06/2023 03:12:42,ESCANER
