TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
117,117,100.0000,116,99.1452,1,43667,31646,72.4712

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,MLP,VALOR,UNE,CABAL,PODEMOS,WINAQ,UR,VAMOS,P A N,VOS,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19982,"Alta Verapaz",16,"Chisec",13,3093,400,71,5,137,8,1,82,0,0,2,0,0,0,306,16,1,323,0,323,--,400,77,306,323,323,Algún campo sin dato,1,ab47d65ec97e44bf9c599054fd6cfc2c1c58382b0fc5a3aa16f3a003f8e96a5e,25/06/2023 23:30:41,ESCANER
19983,"Alta Verapaz",16,"Chisec",13,3093,400,100,1,124,17,0,72,3,0,10,1,0,0,328,8,0,336,0,336,--,400,64,328,336,336,Algún campo sin dato,1,57f9af2364581812e6a994766d51990c2031c89b2daf410b1fc33d88928305b9,26/06/2023 00:53:42,ESCANER
19984,"Alta Verapaz",16,"Chisec",13,3093,400,95,1,103,10,1,92,2,0,3,4,1,0,312,9,7,328,0,328,--,400,72,312,328,328,Algún campo sin dato,1,b1f096f6827007a30cba5a5a864703b62762dbea14522d130e1729aa10bbe12b,26/06/2023 01:10:52,ESCANER
19985,"Alta Verapaz",16,"Chisec",13,3093,400,78,5,118,8,0,81,3,0,7,3,0,0,303,20,1,324,0,324,--,400,76,303,324,324,Algún campo sin dato,1,27676f5ceb3e003ed243cc5d2dcb50c5defb01d211c804e87741cecee54fabdc,26/06/2023 01:38:26,ESCANER
19986,"Alta Verapaz",16,"Chisec",13,3094,400,81,4,130,11,0,68,0,1,5,5,1,0,327,17,4,327,0,327,--,400,73,306,327,327,Sumas Asentadas sin cuadrar,1,7ee5ccdef7597ede455b79c27383365c76254fcc37cd650a35728a226b01b036,26/06/2023 04:09:23,ESCANER
19987,"Alta Verapaz",16,"Chisec",13,3094,400,83,0,128,15,0,75,1,0,8,0,1,0,311,10,6,327,0,327,--,400,73,311,327,327,Algún campo sin dato,1,de85022549b861811c606ceba56db185735959b065c82ae0d5bd5d01cdd78ea9,26/06/2023 03:56:46,ESCANER
19988,"Alta Verapaz",16,"Chisec",13,3094,400,90,1,120,19,1,77,1,0,16,4,1,0,330,14,5,349,0,349,0,400,50,330,349,349,,1,82b0c2e0d0a23781f904069d8812483ec07cf4688c364e1759b0348d30b96a79,26/06/2023 03:51:50,ESCANER
19989,"Alta Verapaz",16,"Chisec",13,3095,400,77,1,125,10,2,82,0,1,16,3,0,0,318,15,9,341,0,341,--,397,56,317,341,341,Sumas Asentadas sin cuadrar,1,7638d1926be70f4dc350c2ea4c567fe427ae7bb14d38a709767f0c647d3faba2,26/06/2023 04:52:12,ESCANER
19990,"Alta Verapaz",16,"Chisec",13,3095,400,82,0,111,3,0,78,0,0,4,0,0,0,278,9,2,289,0,289,--,400,111,278,289,289,Algún campo sin dato,1,3c0bfe54aa8599a909a9baa2b3dbedd749693585c7d8831d08bd70b18b606571,26/06/2023 02:15:56,ESCANER
19991,"Alta Verapaz",16,"Chisec",13,3095,400,79,3,113,7,0,73,1,0,0,1,0,1,288,15,1,304,0,304,--,400,96,278,294,294,Sumas Asentadas sin cuadrar,1,08243de97b0f5d01bac6bfaa82ae661bdaaf2bae63ece85e35fe18c7caaf511d,26/06/2023 05:48:34,ESCANER
19992,"Alta Verapaz",16,"Chisec",13,3095,400,80,7,105,10,0,87,0,0,4,1,0,0,294,13,4,311,0,311,--,400,89,294,311,311,Algún campo sin dato,1,cb0a85a8f0fea4d82ccc61118108aa065014425a7d89fbc61685847e5353abf5,26/06/2023 02:46:50,ESCANER
19993,"Alta Verapaz",16,"Chisec",13,3095,400,58,4,142,8,1,81,0,0,9,1,0,1,305,15,1,321,0,321,--,397,76,305,321,321,Algún campo sin dato,1,d6e7574a85cbc94df694a471c7f44f0030514334a61fa5f6d16f354c2f8dd5de,26/06/2023 02:08:52,ESCANER
19994,"Alta Verapaz",16,"Chisec",13,3096,400,85,--,112,4,--,76,--,--,6,3,--,--,286,12,4,302,16,302,--,400,98,286,302,318,Sumas Asentadas sin cuadrar,1,f266a972554a87146b96c0f2684ff85d61d398513ed7fb3a92fd0ba58314f491,26/06/2023 03:19:16,ESCANER
19995,"Alta Verapaz",16,"Chisec",13,3096,400,81,4,122,11,0,70,1,0,6,1,1,0,297,19,1,317,0,317,--,400,83,297,317,317,Algún campo sin dato,1,850bfe68a696bcb3bac6d74e9ad00ef1db7af5cf37a82f8aa4a5216361cee57d,26/06/2023 04:34:16,ESCANER
19996,"Alta Verapaz",16,"Chisec",13,3096,400,71,2,119,6,3,93,1,0,8,1,0,0,304,12,4,320,0,320,0,400,80,304,320,320,,1,d3edc359c52ffa8bf2d729c638f65629421633cf721bac53fd597c5e45492383,26/06/2023 03:49:03,ESCANER
19997,"Alta Verapaz",16,"Chisec",13,3096,400,74,1,115,7,--,102,--,1,10,--,--,--,310,--,5,315,9,324,--,400,76,310,315,324,Algún campo sin dato,1,9362b4f5aa1f6fb40ce65551467078428d54525bf502570275668f9b2202d4f1,26/06/2023 01:20:55,ESCANER
19998,"Alta Verapaz",16,"Chisec",13,3096,400,67,5,113,9,0,90,4,0,6,6,0,0,300,6,2,308,0,308,--,400,92,300,308,308,Algún campo sin dato,1,cb36c8d81d960c5414d6fded4a632220c9410728992665278f576bd5737a37ef,26/06/2023 04:10:04,ESCANER
19999,"Alta Verapaz",16,"Chisec",13,3096,400,81,1,109,9,0,86,0,0,2,1,0,0,289,16,5,310,0,310,--,400,90,289,310,310,Algún campo sin dato,1,5b76e29ec88cd6108dcad0dbb8f675f3fd43fbf0737968be1f87e2e5bada1e56,25/06/2023 23:03:55,ESCANER
20000,"Alta Verapaz",16,"Chisec",13,3096,400,72,3,119,6,0,84,0,0,3,1,0,1,289,7,5,301,0,301,--,400,99,289,301,301,Algún campo sin dato,1,43ee9ab5bf4b4a83a777f3fa0f04804db226c61e932b8a99b5991f6ffc53b5c9,26/06/2023 01:27:07,ESCANER
20001,"Alta Verapaz",16,"Chisec",13,3096,400,70,1,111,12,0,85,0,0,10,2,0,0,291,17,7,315,1,316,--,400,88,291,315,316,Algún campo sin dato,1,b2ff3c09343d113147712dad17dcb8f2547064cec000bb35cd608ad7d679cf88,26/06/2023 04:11:54,ESCANER
20002,"Alta Verapaz",16,"Chisec",13,3097,400,69,1,116,11,0,69,0,0,4,2,0,0,272,10,2,284,0,284,--,400,116,272,284,284,Algún campo sin dato,1,bc519776b5c7f8a2bf262f8fa5ae91e801f7fed62e609f37ba65aa8886d6f0a9,26/06/2023 01:09:42,ESCANER
20003,"Alta Verapaz",16,"Chisec",13,3097,400,83,1,118,13,0,80,0,0,8,1,0,0,304,4,2,310,0,620,--,400,90,304,310,310,Sumas Asentadas sin cuadrar,1,4e23213aa6e27183017228d4571cdd31580ce8bd71842e6a83cfc985a04a854a,26/06/2023 01:59:21,ESCANER
20004,"Alta Verapaz",16,"Chisec",13,3097,400,77,1,112,12,1,63,1,0,2,3,0,0,272,9,1,282,0,282,--,397,115,272,282,282,Algún campo sin dato,1,861a665ca289478e4ee326881d9b6c35879c025e6f553a2a9b409365b78b44ea,26/06/2023 03:48:00,ESCANER
20005,"Alta Verapaz",16,"Chisec",13,3097,400,85,0,118,11,1,67,0,0,2,1,0,0,285,3,0,288,0,288,--,400,112,285,288,288,Algún campo sin dato,1,7e1063dfb2461841c4fb7af866d84e8f040193d498638ac884679376731c4f83,26/06/2023 00:27:12,ESCANER
20006,"Alta Verapaz",16,"Chisec",13,3097,400,80,1,133,12,0,78,0,0,3,4,0,0,311,0,1,312,0,311,0,400,88,311,312,312,Sumas Asentadas sin cuadrar,1,5f8b2850b2c5b4acc07325bf34d7f9d0fc8128865984b8b1e5cfddac45c503a1,26/06/2023 03:50:44,ESCANER
20007,"Alta Verapaz",16,"Chisec",13,3097,400,78,1,123,9,0,100,0,0,4,0,0,0,315,1,0,316,0,316,--,400,84,315,316,316,Algún campo sin dato,1,b57c46f662004f7c4f372f660762307b68cca47bd4a04aec4081b996b771ae88,26/06/2023 00:56:39,ESCANER
