TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,14478,9620,66.4456

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,PHG,VAMOS,PPN,CAMBIO,ELEFANTE,AZUL,VOS,VALOR,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20099,"Alta Verapaz",16,"Chahal",14,3120,400,44,17,94,17,13,7,0,42,0,2,7,243,14,6,263,0,263,--,400,137,243,263,263,Algún campo sin dato,1,2de5deea25fb6dc37ba96a29562b7151107b86eaa42402ca329da81816c5444c,26/06/2023 03:49:43,ESCANER
20100,"Alta Verapaz",16,"Chahal",14,3120,400,38,12,88,27,10,8,--,34,--,--,4,221,20,5,246,--,246,--,400,154,221,246,246,Algún campo sin dato,1,40c1bc882eef672307c6b974964f20e81ec934b89921f91f2c393ebe0b8f8f31,26/06/2023 05:48:03,ESCANER
20101,"Alta Verapaz",16,"Chahal",14,3120,400,37,12,71,35,19,5,0,71,2,1,1,254,25,9,288,0,288,--,400,112,254,288,288,Algún campo sin dato,1,7dbbf358d569bc05e64219e35cf6adc2a47b9d9f569f912c9b6aecdeb31f0b8c,26/06/2023 04:19:51,ESCANER
20102,"Alta Verapaz",16,"Chahal",14,3120,400,34,11,60,36,20,5,1,82,1,1,2,253,21,6,280,0,280,--,400,120,253,280,280,Algún campo sin dato,1,8affc6b93de2a418b940cbe8a001d8a240f5fba8a9e288ea00220769da6722ed,26/06/2023 04:42:40,ESCANER
20103,"Alta Verapaz",16,"Chahal",14,3120,400,36,11,59,41,12,6,0,97,0,1,2,265,21,7,293,0,293,--,400,104,265,293,293,Algún campo sin dato,1,dfda9f5435e79a53e982424f7850367e01918a00d7f0349ac682a0c93fda6ba7,26/06/2023 04:52:23,ESCANER
20104,"Alta Verapaz",16,"Chahal",14,3120,400,33,11,95,31,16,8,0,37,0,1,3,235,19,8,262,0,262,--,397,135,235,262,262,Algún campo sin dato,1,4d4754622bf5041137c5a2462030ff868772aff1b2f9922e497355dc80e0d756,26/06/2023 04:53:40,ESCANER
20105,"Alta Verapaz",16,"Chahal",14,3121,400,42,19,91,26,11,13,1,49,1,6,3,262,14,6,282,0,282,--,397,115,262,282,282,Algún campo sin dato,1,1a826ffa45b8963545c6c7e5f6952286efe40be0294ee0137c46ce4d16b0c4b8,26/06/2023 04:24:39,ESCANER
20106,"Alta Verapaz",16,"Chahal",14,3121,400,35,13,86,15,13,9,1,59,0,2,2,235,17,4,256,0,256,--,400,144,235,256,256,Algún campo sin dato,1,b0cdf84324ce5bf952796879e937d244dd5bb4a5b48ff52e4b62ec983c62eafc,26/06/2023 04:21:06,ESCANER
20107,"Alta Verapaz",16,"Chahal",14,3121,400,47,5,89,21,12,7,1,35,0,1,1,219,22,6,247,0,247,--,400,153,219,247,247,Algún campo sin dato,1,ed7945082a3fd33fa06edc03cbed6c21a5bd559e1e615163aab69bad099961eb,26/06/2023 04:25:23,ESCANER
20108,"Alta Verapaz",16,"Chahal",14,3121,400,43,7,67,29,14,6,0,43,0,2,1,212,8,3,223,1,224,--,400,176,212,223,224,Algún campo sin dato,1,45e49c377a55927e7dc418de5288c1b940b4473aaef08a642c1fb9c92bd7c7a2,26/06/2023 04:29:36,ESCANER
20109,"Alta Verapaz",16,"Chahal",14,3121,400,39,7,74,13,11,10,3,56,0,2,5,220,7,2,229,0,229,--,400,171,220,229,229,Algún campo sin dato,1,baccb394bf34a2541c39a7b516a4fd50d9f424812f7531305ceaa11fd8f62b03,26/06/2023 04:24:29,ESCANER
20110,"Alta Verapaz",16,"Chahal",14,3121,400,49,7,72,14,11,1,1,47,0,2,3,207,8,2,217,0,217,--,400,183,207,217,217,Algún campo sin dato,1,e2de70a34e06f9e529cb53b486da022621cb8b354d2b48ac7b4b6e983573f1aa,26/06/2023 04:27:56,ESCANER
20111,"Alta Verapaz",16,"Chahal",14,3122,311,36,4,42,16,9,5,0,44,0,2,5,163,4,3,170,0,170,--,308,138,163,170,170,Algún campo sin dato,1,e63a5d1c87f372d413f80b25e3b527184a23fd197da700e6e8d6d1dde5af40b2,26/06/2023 00:35:38,ESCANER
20112,"Alta Verapaz",16,"Chahal",14,3122,311,36,3,73,19,9,4,0,29,0,3,1,177,5,1,183,0,183,--,307,124,177,183,183,Algún campo sin dato,1,5ff8035b74a76067cc9b6f24e02acbc976341ee1e62119e1637beb40dc4062cc,26/06/2023 00:40:35,ESCANER
20113,"Alta Verapaz",16,"Chahal",14,3123,380,49,15,32,44,4,2,1,67,1,3,3,221,16,9,246,2,248,--,382,134,221,246,248,Algún campo sin dato,1,b0c831d61cc5e7058f7f1f616f23a0fb0d9e9679521752055006b98329b9e427,26/06/2023 00:29:23,ESCANER
20114,"Alta Verapaz",16,"Chahal",14,3124,380,35,25,59,36,2,2,0,71,0,3,0,233,31,8,272,0,272,--,380,108,233,272,272,Algún campo sin dato,1,85a167ea154b230f32e68a61e36acd48c2ac38f7965e7ce55cfb5f2e77e4a84a,26/06/2023 03:50:49,ESCANER
20115,"Alta Verapaz",16,"Chahal",14,3124,380,41,18,32,50,6,5,0,85,0,2,2,241,29,14,284,0,284,--,382,98,241,284,284,Algún campo sin dato,1,74561c3c5d9c159b2d6822b9050e537a3809d98399b2f263dc31e68619b98e79,26/06/2023 03:57:59,ESCANER
20116,"Alta Verapaz",16,"Chahal",14,3124,380,56,22,38,26,21,1,--,71,--,0,7,242,17,7,268,0,268,2,378,110,242,266,266,Sumas Asentadas sin cuadrar,1,9e7419e35f9df63455c52f34c54b43e3158216e6e30ed8be13e0024d313034f0,26/06/2023 04:08:52,ESCANER
20117,"Alta Verapaz",16,"Chahal",14,3124,380,42,26,58,48,4,10,0,48,0,0,4,240,5,15,278,18,278,--,380,99,240,260,278,Sumas Asentadas sin cuadrar,1,213e83c23de024b9f214b748188cc4bd2d53942c1380115823132d69e507b8a4,26/06/2023 04:26:01,ESCANER
20118,"Alta Verapaz",16,"Chahal",14,3124,380,43,17,50,37,5,5,0,60,1,0,2,220,13,4,237,0,237,--,379,142,220,237,237,Algún campo sin dato,1,495e773e91e8f3600ec1d6d561bddf86cafdf854367e17696490f50c58b74aaf,26/06/2023 04:29:43,ESCANER
20119,"Alta Verapaz",16,"Chahal",14,3124,380,53,16,43,38,6,6,0,50,0,0,1,213,11,6,230,0,230,--,380,150,213,230,230,Algún campo sin dato,1,171dc045e64be6bd8ee7bc797f8848bc310a4c96ed1dbce4067962f27ee75950,26/06/2023 04:35:34,ESCANER
20120,"Alta Verapaz",16,"Chahal",14,3124,380,41,19,50,37,7,2,0,68,0,1,1,226,5,2,233,0,233,--,380,147,226,233,233,Algún campo sin dato,1,ecef596c28a92cd1f4f73a1d52786d14186f426efb505f3260054e70a32534fe,26/06/2023 04:38:32,ESCANER
20121,"Alta Verapaz",16,"Chahal",14,3125,203,30,11,25,17,1,0,0,38,0,0,1,123,4,3,130,0,130,--,200,70,123,130,130,Algún campo sin dato,1,57ec15862704c93b937f88a8c565f43cc690fa685823bd3fb3af1152c8ff769d,26/06/2023 00:50:07,ESCANER
