TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,32145,16909,52.6022

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,PHG,UNE,VIVA,CAMBIO,VALOR,VAMOS,PODEMOS,CABAL,PPN,AZUL,WINAQ,U R N G - MAIZ,LI INUP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20140,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,3,70,29,17,2,6,9,11,1,42,0,3,2,4,199,25,11,235,0,235,--,400,165,199,235,235,Algún campo sin dato,1,dc718178a483bd18138906f5de9ecec18eb588231838edaa0ca442bbf3b8beb8,26/06/2023 04:35:23,ESCANER
20141,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,3,59,47,29,1,13,14,7,0,50,0,0,6,4,233,32,6,271,0,271,--,400,129,233,271,271,Algún campo sin dato,1,58dabbe5711c8220ae4fe237bde7e86aeaffc80dce5082bef6fe0bd31c0cbf3e,26/06/2023 04:29:36,ESCANER
20142,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,14,57,29,24,1,7,5,19,2,39,0,2,4,4,207,28,5,240,0,240,--,400,160,207,240,240,Algún campo sin dato,1,9881c7babdfb83f61ed0337f6164dc0ee826b254aa8a2704b71f833f23ad26ce,26/06/2023 02:51:45,ESCANER
20143,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,4,66,29,15,1,7,8,9,1,46,1,3,3,2,195,25,5,225,0,225,--,400,175,195,225,225,Algún campo sin dato,1,5f1b1417fb743f23cdbbf941787775747ff97becd37cc340188dc3b3a332025c,26/06/2023 02:17:17,ESCANER
20144,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,1,70,25,18,2,9,6,8,4,41,3,1,10,2,200,34,5,239,0,239,--,400,161,200,239,239,Algún campo sin dato,1,c8479c905229eacf46730f7512dffbaf9007971005060bdd47009d8ffc921c98,25/06/2023 21:07:19,ESCANER
20145,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,2,61,40,10,1,9,9,8,3,42,2,3,4,2,196,25,5,226,0,226,--,400,174,196,226,226,Algún campo sin dato,1,1681af605c98ecc5b8dbe2fac094b53ab97320a31a5a6181eeac28e00c461e98,26/06/2023 04:00:48,ESCANER
20146,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,1,76,30,28,3,5,12,5,4,32,1,1,6,3,207,19,7,233,0,233,--,400,167,207,233,233,Algún campo sin dato,1,45e17638daafa42977ab15b56882b640967831094dfb9246a5079ef32225a090,26/06/2023 03:54:26,ESCANER
20147,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,1,88,34,14,1,2,11,10,3,39,0,1,3,10,217,19,6,242,0,242,--,400,158,217,242,242,Algún campo sin dato,1,c492bf1165acd3071925d7fbc8d51a2e6a7c741d5bc01ff7fefca7d44747e5ba,26/06/2023 04:08:32,ESCANER
20148,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,1,64,27,12,4,2,26,19,4,33,1,0,9,4,206,30,5,241,0,241,--,400,159,206,241,241,Algún campo sin dato,1,faa75f2bb19dca0ab2edb5d5f785821eb073a0bfd9c6df673f776486e0e69e30,26/06/2023 02:35:09,ESCANER
20149,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,0,90,10,12,1,7,11,30,8,50,1,5,2,5,232,17,2,251,0,251,--,400,149,232,251,251,Algún campo sin dato,1,57d9c89cef64235f66c692df309416467c61fd86c755d0e6c57c4f1284c81452,26/06/2023 04:24:32,ESCANER
20150,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,1,80,22,11,3,9,13,10,4,41,1,3,5,4,207,7,1,215,0,215,--,400,185,207,215,215,Algún campo sin dato,1,5f7f2e49083ef4ade54056653ad8964fb568829a947aee1722f96facec62d019,26/06/2023 04:07:44,ESCANER
20151,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,2,75,19,17,1,6,8,11,1,42,0,2,3,0,187,12,2,201,0,201,--,400,199,187,201,201,Algún campo sin dato,1,1e808eaf22da2491cfb6262302f0cd6b135c27964079c0fb319b0fc0de51df35,25/06/2023 23:24:04,ESCANER
20152,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,4,63,31,9,0,13,11,8,3,29,2,3,6,6,188,9,2,199,0,199,--,400,201,188,199,199,Algún campo sin dato,1,4a94cd6b8a10d1fa9e0a31a3fa514841dde280a64f91dae9ed2f957fe02cc88f,26/06/2023 02:53:00,ESCANER
20153,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,3,83,17,29,2,3,6,7,5,31,1,1,4,0,192,7,1,200,0,200,--,400,200,192,200,200,Algún campo sin dato,1,9e0039baadb40ac7987e5ad3c4d84898b64fef5ce8e73c405dcbd09e3f6d83c0,26/06/2023 03:58:56,ESCANER
20154,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,3,67,22,18,5,5,5,9,3,32,0,1,4,6,180,12,4,196,0,196,--,399,203,180,196,196,Algún campo sin dato,1,48e792893c47842b7d979d4b415792255e99b25cf77f6afb77e4e8def13395fd,26/06/2023 04:22:33,ESCANER
20155,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,4,68,29,24,3,5,10,13,4,36,1,2,9,6,214,13,1,228,0,228,--,397,169,214,228,228,Algún campo sin dato,1,812bfdfea4cda1a665aaabb961c84e5fc4e302c93bdf4fd814024c4d3123a683,26/06/2023 04:03:24,ESCANER
20156,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3130,400,1,68,27,10,7,3,4,6,2,44,0,0,4,5,181,19,3,203,--,--,--,400,197,181,203,203,Algún campo sin dato,1,cfed621d2f5c6fed98d56ddadfbcdc13f051df591ed09c05dc4144937f183127,26/06/2023 04:00:56,ESCANER
20157,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3131,400,1,71,19,16,3,7,6,11,2,35,0,3,5,2,181,21,3,205,--,205,--,397,192,181,205,205,Algún campo sin dato,1,fd93c29cf167fc2176b7a1964d0fb844d7a009a22b364e2ef7f6a11c133151ad,26/06/2023 00:47:02,ESCANER
20158,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3131,400,0,79,14,13,3,4,5,13,4,61,0,0,2,8,206,8,0,214,0,214,--,400,186,206,214,214,Algún campo sin dato,1,efa6d6415d040de77029b04963c048461d3adc294e3ec1435e1c27cc6cccf3cb,26/06/2023 00:44:16,ESCANER
20159,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3131,400,1,76,23,18,3,1,9,12,4,40,0,0,4,3,194,2,1,197,0,197,--,400,203,194,197,197,Algún campo sin dato,1,4374d0e0bd6f9f5a9a64ba89cd217e634eea793cb74c3c523eadf383bb84c5da,26/06/2023 04:23:49,ESCANER
20160,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3131,400,0,52,27,13,3,2,7,8,0,20,0,1,3,5,141,13,1,155,0,155,--,400,245,141,155,155,Algún campo sin dato,1,b6d910e0a3b44749185c1df7dcd843908587081c0ca078480de0f9f56a8b6ad0,26/06/2023 01:39:41,ESCANER
20161,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3131,400,0,75,18,15,0,4,10,6,2,31,1,2,5,1,170,2,0,172,0,172,--,397,225,170,172,172,Algún campo sin dato,1,d8f1f3df91a9744bde43d63014631dc3baaa3faab224183a712ee25906b8966a,26/06/2023 02:15:18,ESCANER
20162,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3132,400,1,55,31,20,2,15,12,11,2,36,0,0,2,1,188,11,0,199,0,199,--,397,198,188,199,199,Algún campo sin dato,1,38f0dc960af648f3ac61377cd2e256cdfa27f9243d62d909984bb43ed6cc32f5,25/06/2023 21:41:48,ESCANER
20163,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3132,400,1,77,15,12,5,0,6,8,2,29,0,1,4,0,160,3,3,166,0,166,--,400,234,160,166,166,Algún campo sin dato,1,ad77309db93ba98ea7db2eee02cef394637563b1d9ababcbec45fe9056b68c33,26/06/2023 00:50:21,ESCANER
20164,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3132,279,0,40,21,10,4,2,6,6,4,20,0,1,2,1,117,2,2,121,0,121,--,279,158,117,121,121,Algún campo sin dato,1,77b5dcb8e7b8182ad46a8e8fe5df93a569883cb0d420a71df23f4f0d2568a899,26/06/2023 04:01:51,ESCANER
20165,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3132,279,2,40,15,13,4,0,2,8,4,18,0,1,1,1,109,6,4,119,0,119,--,278,159,109,119,119,Algún campo sin dato,1,8dd572f440e004e62e90fecc2bf058a4d9e616af39b5f078960065d48feb74ae,26/06/2023 01:16:49,ESCANER
20166,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3133,212,5,46,18,14,2,4,1,5,0,10,0,3,2,0,110,21,4,135,0,135,--,211,76,110,135,135,Algún campo sin dato,1,3f1f55fcc28ad3e2262d2e0ca437a128f662b6a0e0d262da61067401c5458f81,26/06/2023 00:02:51,ESCANER
20167,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3133,211,1,33,15,11,3,3,3,2,2,16,0,1,1,1,92,8,3,103,0,103,--,211,108,92,103,103,Algún campo sin dato,1,769f22f6881a48e1c19f4fda5d1d1b6a93667b5ef766b7d5cde7bbd1b242821e,25/06/2023 23:58:12,ESCANER
20168,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3134,400,1,58,26,31,1,19,24,7,0,25,0,3,9,0,204,24,6,234,0,234,--,400,166,204,234,234,Algún campo sin dato,1,9d5d43a4e755062666e6836148ff292040bbe38f55d9bef2afe25e5b96acdd8e,26/06/2023 02:59:54,ESCANER
20169,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3134,378,2,54,27,16,1,7,27,8,3,29,1,1,2,5,183,24,5,212,0,212,--,381,169,183,212,212,Algún campo sin dato,1,3a14bd59fffeefbe957f12bb7a486acf4ec0463fffe2fd3aa18145139cb33f8e,26/06/2023 01:13:21,ESCANER
20170,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3134,377,0,46,19,18,2,12,11,2,1,15,0,0,3,0,129,16,1,146,0,146,--,374,228,129,146,146,Algún campo sin dato,1,980acc169bc0aa43cb30f56e9b1fb01db18353cae8bcb602da58e001a0171d68,26/06/2023 02:23:11,ESCANER
