TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
62,62,100.0000,61,98.3870,1,22948,16369,71.3308

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,FCN-NACION,VAMOS,VIVA,CABAL,ELEFANTE,SEMILLA,PPN,P A N,TODOS,VALOR,PHG,VICTORIA,BIEN,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20229,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3145,400,74,0,70,11,6,5,4,53,4,0,0,22,3,0,3,255,16,4,275,0,275,--,400,125,255,275,275,Algún campo sin dato,1,e4fb511286062f30baf8892da6772f914f3f117b6d2e84ff062dc55db51d43de,26/06/2023 04:48:34,ESCANER
20230,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3145,400,79,1,94,2,5,0,2,59,6,1,1,20,0,0,1,271,17,0,288,1,289,--,400,111,271,288,289,Algún campo sin dato,1,b0c29531c3a2742a88aea85f5a23a05e5a2fd4f8d3144c9f136fbd67cca32060,26/06/2023 05:00:22,ESCANER
20231,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3145,400,65,1,87,6,2,1,3,61,7,0,3,23,3,2,1,265,19,0,284,0,284,--,400,115,265,284,284,Algún campo sin dato,1,601d9e5d50e09382b6e9bb5a77a4de44aefdfb4de0a9f29869be008579facb50,26/06/2023 01:57:32,ESCANER
20232,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3145,400,87,5,69,3,6,0,3,70,9,0,1,21,1,0,2,277,23,6,306,0,306,--,397,91,277,306,306,Algún campo sin dato,1,5c19a6c6f64ead7fea89d733c3cd6c3ba434bc6682b69f313b7d67a1882eb827,26/06/2023 04:39:58,ESCANER
20233,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3145,400,81,5,85,9,6,1,2,68,7,1,0,24,0,0,1,290,12,2,304,0,304,--,397,93,290,304,304,Algún campo sin dato,1,f05d504f51fd1aa703b41f24e9e504b9daa082c663bea6083bc0f079a7d7b586,26/06/2023 04:26:17,ESCANER
20234,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3145,400,64,2,63,9,5,0,2,66,5,0,2,30,0,0,0,248,27,1,276,0,276,--,397,121,248,276,276,Algún campo sin dato,1,ecb16d2a50a25ab5304b5f770c6d598c30d9968d718c11a7e957b46731223ac0,25/06/2023 23:42:15,ESCANER
20235,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3145,400,56,1,68,5,3,4,1,66,7,1,0,18,0,0,2,232,18,1,251,0,251,--,400,149,232,251,251,Algún campo sin dato,1,0f3c39b76aece0ca8786be29af2bf291f455b48b356eb1539e2508541fdfc6ea,26/06/2023 03:48:54,ESCANER
20236,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3146,400,64,4,70,6,1,0,2,52,4,0,1,16,1,0,1,222,18,4,244,0,244,--,400,156,222,244,244,Algún campo sin dato,1,9f9f34329e190cce7ab93f3ab602c4f4505f3c20c17c523a286a2144b06db946,25/06/2023 23:31:04,ESCANER
20237,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3146,400,61,4,84,2,9,0,3,50,6,0,0,29,3,0,2,253,13,10,281,6,259,--,400,119,253,276,282,Sumas Asentadas sin cuadrar,1,f335e0e31d92434fef46c947727629f551503065c59a0242ced330682c0fbf5a,26/06/2023 04:04:06,ESCANER
20238,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3146,400,58,2,85,8,5,0,0,72,9,1,2,21,1,2,1,267,23,1,291,1,292,--,400,108,267,291,292,Algún campo sin dato,1,a43898890bb7267806ae355c292825932363762c62f5f8b2039e49cb2f3ccd3e,26/06/2023 03:37:23,ESCANER
