TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,18126,10667,58.8491

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,PPN,TODOS,UNE,AZUL,VAMOS,VICTORIA,ELEFANTE,WINAQ,CABAL,VALOR,VIVA,P A N,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20291,"Alta Verapaz",16,"Raxruhá",17,3154,400,0,18,1,63,17,14,74,1,9,2,6,0,0,1,206,18,9,233,0,233,1,400,167,206,233,233,,1,5ec77aba443a7b22e9774a995897eeb9b9e0c080f4b8c97c0bf632f0515c5117,26/06/2023 01:02:29,ESCANER
20292,"Alta Verapaz",16,"Raxruhá",17,3154,400,0,16,1,73,33,16,82,1,8,1,9,2,0,0,242,25,6,273,0,273,--,400,127,242,273,273,Algún campo sin dato,1,b6e6c67981da47af59a30add528678363c47575ad887fdf140734bdd0392cc8b,26/06/2023 00:19:47,ESCANER
20293,"Alta Verapaz",16,"Raxruhá",17,3154,400,3,24,2,71,32,11,73,1,9,2,5,2,0,1,236,18,7,261,0,261,--,400,139,236,261,261,Algún campo sin dato,1,e6497700c9b1c5d50115ec10133d12ff2e4a4292ac85c0e13016cb0101eed412,26/06/2023 02:29:50,ESCANER
20294,"Alta Verapaz",16,"Raxruhá",17,3154,400,0,33,0,72,25,4,65,1,5,0,9,1,0,0,215,14,5,234,0,234,--,400,--,215,234,234,Algún campo sin dato,1,79f8e1a35d6c8ab7aeafab8254dcefdaeab78a07109777135b93b6ebbff7fabb,26/06/2023 01:21:45,ESCANER
20295,"Alta Verapaz",16,"Raxruhá",17,3154,400,0,23,2,68,28,7,66,1,19,1,3,0,1,0,206,19,6,0,19,231,--,399,168,219,244,263,Sumas Asentadas sin cuadrar,1,e38526f0947a757824323d0da79472ac97a0d940f07ae54a0bdbf221e56c1624,26/06/2023 05:56:12,ESCANER
20296,"Alta Verapaz",16,"Raxruhá",17,3155,400,0,24,2,90,20,13,56,0,4,0,4,0,0,0,213,23,9,245,0,245,11,400,155,213,245,245,,1,d72153a7bb269483bdd603c568299019e3e4a8bcb7a12b05f594be908dd82875,26/06/2023 06:04:47,ESCANER
20297,"Alta Verapaz",16,"Raxruhá",17,3155,400,1,26,1,96,22,16,58,1,2,1,1,0,0,0,225,20,7,252,1,253,--,397,147,225,252,253,Algún campo sin dato,1,cbad00e05137a0b38fc0684fb73765a3ae60da86d34123af26edb32bcfe68f7c,26/06/2023 06:04:24,ESCANER
20298,"Alta Verapaz",16,"Raxruhá",17,3156,400,1,21,1,81,12,6,54,3,12,0,3,1,0,0,195,25,7,227,0,227,--,400,173,195,227,227,Algún campo sin dato,1,b5aaa5a884f20033e0470334fe629f1cbd806d54aec450d0d8e646c10c4a4a7d,26/06/2023 00:41:24,ESCANER
20299,"Alta Verapaz",16,"Raxruhá",17,3156,400,0,12,1,32,16,10,41,5,6,0,3,6,2,3,151,38,13,202,0,202,--,400,198,137,188,188,Sumas Asentadas sin cuadrar,1,b5cc3cf6ebdd4254ccdcbb7566dc6438b8f1c779afc674fc1ab0c0cd1a472035,26/06/2023 00:53:12,ESCANER
20300,"Alta Verapaz",16,"Raxruhá",17,3156,400,0,24,1,67,22,8,71,1,3,0,3,2,0,0,202,5,1,208,0,208,--,400,189,202,208,208,Algún campo sin dato,1,df04663a8d951d322e0b7a8c78ac2e0ffb559a1cf187116b3eb593a6bee63357,26/06/2023 00:17:10,ESCANER
