TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
68,68,100.0000,68,100.0000,0,25029,13946,55.7193

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,CABAL,CAMBIO,UNE,MLP,VALOR UNIONISTA,AZUL,VAMOS,PPN,TODOS,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20339,"Petén",17,"Flores",1,3166,400,7,12,15,165,0,4,1,41,2,5,6,258,12,1,271,0,271,--,400,129,258,271,271,Algún campo sin dato,1,ebcf97e2c5060048a91daf6041e9e58d18d67957aaea3afd4868ce63516d1e36,26/06/2023 00:35:58,ESCANER
20340,"Petén",17,"Flores",1,3166,327,6,15,17,95,0,7,1,51,0,4,5,201,5,0,206,0,206,--,--,--,201,206,206,Algún campo sin dato,1,e305d588615b4c191eb2eb574f853c7ce462085f7837f5074b3f3a97a1a65b03,25/06/2023 22:47:22,ESCANER
20341,"Petén",17,"Flores",1,3166,326,3,14,18,93,4,5,0,35,0,4,12,188,12,0,200,0,200,--,326,126,188,200,200,Algún campo sin dato,1,9ab88ae67429038b6a37f355f4e1b79ffbaa31ab7aa4724e729abd4b69c091a6,25/06/2023 22:06:47,ESCANER
20342,"Petén",17,"Flores",1,3167,341,5,27,39,113,0,6,0,34,1,0,7,232,11,1,244,0,244,--,341,97,232,244,244,Algún campo sin dato,1,006f3196e1d98482643893e2f6f56449ca47bff1b448818f7a73ab3f7d759c7a,26/06/2023 01:14:48,ESCANER
20343,"Petén",17,"Flores",1,3167,340,3,48,40,88,0,6,1,27,1,2,10,226,8,1,235,0,235,--,340,105,226,235,235,Algún campo sin dato,1,d010dbdfbd1424149e455f6ce273084fa7cae60d8019b242b99814048ada7186,26/06/2023 00:56:02,ESCANER
20344,"Petén",17,"Flores",1,3168,380,3,30,48,57,1,21,2,30,1,3,10,223,16,1,223,0,223,--,377,154,206,223,223,Sumas Asentadas sin cuadrar,1,957a8df298c18388605ce83287265cecbc193b739213a670275b1edf291c279a,26/06/2023 03:33:25,ESCANER
20345,"Petén",17,"Flores",1,3168,380,9,26,45,63,2,25,0,33,0,1,14,218,18,1,237,0,237,--,380,143,218,237,237,Algún campo sin dato,1,c61c3b823714ffd13226534b3a59d16c1baea906fa076669c8f898dca9f12cf7,25/06/2023 22:59:22,ESCANER
20346,"Petén",17,"Flores",1,3168,380,8,41,48,43,1,19,1,35,0,0,12,208,24,2,234,0,234,--,369,145,208,234,234,Algún campo sin dato,1,7a7277f0714e648e2babd1aff70562973a3ce1224d6d407acad3dac01c7875a9,25/06/2023 23:38:26,ESCANER
20347,"Petén",17,"Flores",1,3168,380,12,33,46,65,1,19,3,26,1,3,9,218,22,3,243,0,243,--,377,134,218,243,243,Algún campo sin dato,1,66fdd4ffc83b62d0696fc9db9c9b13cd05e531d11e7d7db89ac36fa5bd01c202,26/06/2023 01:33:08,ESCANER
20348,"Petén",17,"Flores",1,3168,380,3,45,29,64,2,29,3,37,0,2,11,225,14,4,243,--,243,--,--,--,225,243,243,Algún campo sin dato,1,5a1b88b1f0ca4ab9181bff920d99c1b8c1e6364ba89cdab94b9ee317a69f9231,26/06/2023 01:34:15,ESCANER
