TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
87,87,100.0000,87,100.0000,0,32804,19741,60.1786

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,VAMOS,AZUL,BIEN,TODOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20421,"Petén",17,"San Benito",3,3184,400,87,11,9,120,4,2,0,3,4,240,17,2,259,0,259,--,400,141,240,259,259,Algún campo sin dato,1,54db0d5f9d65c41fab84ef34c44eb4c05c692e39860ed252a7025e989a425b44,26/06/2023 00:21:24,ESCANER
20422,"Petén",17,"San Benito",3,3184,400,124,10,5,98,10,3,2,1,4,257,22,2,285,1,286,--,400,114,257,281,282,Sumas Asentadas sin cuadrar,1,e4d1f721e0befc944c61ffe07357bcdfce7c04901f96ee31f997a9a4262138ed,26/06/2023 04:37:59,ESCANER
20423,"Petén",17,"San Benito",3,3184,400,112,5,4,124,5,0,0,4,0,262,10,0,272,0,272,--,399,127,254,264,264,Sumas Asentadas sin cuadrar,1,b002782206e232bc208ec54b12482ee977b0184a398fb966bc5f1ac1085c8274,26/06/2023 03:29:40,ESCANER
20424,"Petén",17,"San Benito",3,3184,400,96,3,5,104,2,3,0,3,3,216,20,1,238,0,238,--,400,162,219,240,240,Sumas Asentadas sin cuadrar,1,7ca4ae310fe3f95ed0e4296669a59f35afd360e5e93309a695c3510cb0d41b8b,26/06/2023 04:46:29,ESCANER
20425,"Petén",17,"San Benito",3,3184,400,85,11,6,112,6,4,2,1,9,236,8,1,245,0,245,0,400,155,236,245,245,,1,69dff8742c1528ecf541cc513fea51e6c35ca170243552cbc66f50af2381f4ee,26/06/2023 03:10:11,ESCANER
20426,"Petén",17,"San Benito",3,3184,400,91,5,5,103,3,0,1,2,2,212,10,4,226,0,226,0,404,178,212,226,226,,1,136ee1c785f858b6f7d59850238ff6d6b166b3cb6e42dd2df5346db90096fb2a,25/06/2023 23:19:40,ESCANER
20427,"Petén",17,"San Benito",3,3184,360,96,6,8,99,5,4,1,6,2,227,2,0,229,1,230,1,360,128,227,229,230,,1,4f8e731dcabbc48606d9bc9ca79de5df17da13f35df460a40a0975b622e516f5,26/06/2023 02:13:38,ESCANER
20428,"Petén",17,"San Benito",3,3184,360,72,11,6,59,3,4,1,1,1,158,9,4,171,0,171,--,362,191,158,171,171,Algún campo sin dato,1,01630e4df8542b7dff97f45c4047b615401a65d1dced4023b30c30485eba5757,25/06/2023 22:08:47,ESCANER
20429,"Petén",17,"San Benito",3,3185,400,100,6,7,100,3,1,0,1,7,225,17,7,249,1,250,--,400,150,225,249,250,Algún campo sin dato,1,7e645d471345d27244ea921f00a71c5789d8592a579e115936739a432d84a7ed,26/06/2023 03:03:41,ESCANER
20430,"Petén",17,"San Benito",3,3185,400,90,14,5,114,8,3,1,3,2,240,23,3,266,0,266,1,397,130,240,266,266,,1,92a55107fc49e8cc637c9198d8f5bc9f18a3ec69ef177fa811210a8710162d85,26/06/2023 00:09:25,ESCANER
