TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,47,97.9166,1,17338,9284,53.5471

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,VAMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20508,"Petén",17,"San Andrés",4,3194,400,29,106,3,91,10,239,13,2,254,0,254,--,401,147,239,254,254,Algún campo sin dato,1,686fbee7a49a06e6531f6c563c419bfd1d78c3d4ea4e9ca8ac1107c354816d43,26/06/2023 01:47:55,ESCANER
20509,"Petén",17,"San Andrés",4,3194,400,33,105,1,98,4,241,15,5,261,0,261,--,400,139,241,261,261,Algún campo sin dato,1,30a08e20534c72bc9bef6373f3201640d21b28385f6442af9fa816d56f0b7799,26/06/2023 01:24:10,ESCANER
20510,"Petén",17,"San Andrés",4,3194,400,26,147,0,84,13,270,13,1,284,0,284,--,400,116,270,284,284,Algún campo sin dato,1,ec2f16e4e39ef7ff4a63aa2143201c7f5815f58ce94605fa58ca757f182fe0f5,25/06/2023 23:34:17,ESCANER
20511,"Petén",17,"San Andrés",4,3194,400,22,146,2,77,15,262,6,9,277,0,277,--,396,119,262,277,277,Algún campo sin dato,1,b9c8ffe5c25ff52962cbaa2eb354e9922dde3cb1cc955e2c1d653ec6e922168f,26/06/2023 00:29:22,ESCANER
20512,"Petén",17,"San Andrés",4,3194,400,20,130,1,107,15,273,10,7,290,1,291,--,400,109,273,290,291,Algún campo sin dato,1,7847a9b6c0e5059cb1452dd493aabda114d516aeea173db3610a0fddde613f24,26/06/2023 02:23:22,ESCANER
20513,"Petén",17,"San Andrés",4,3194,400,28,109,1,68,9,215,8,6,229,0,229,--,400,171,215,229,229,Algún campo sin dato,1,244c1519b4ec6264b489d1192a938d74f161e4d416795b75fd4becccf75d9c68,25/06/2023 23:51:41,ESCANER
20514,"Petén",17,"San Andrés",4,3194,400,25,106,3,86,24,244,13,3,260,0,260,--,400,140,244,260,260,Algún campo sin dato,1,097e2f5497fc9419715bc00fba28b1c3a7a9743b2fd307de3dd81569e9e5fc9f,26/06/2023 00:57:57,ESCANER
20515,"Petén",17,"San Andrés",4,3194,400,39,97,5,89,7,237,11,3,251,0,251,0,400,149,237,251,251,,1,d4e6f3e970708762752dd056ef23256fa471c31147cb5ae7b44b76b249159e7c,26/06/2023 00:15:54,ESCANER
20516,"Petén",17,"San Andrés",4,3195,400,20,125,3,69,8,225,11,6,242,0,242,0,400,158,225,242,242,,1,f1f53e6e1742376cd9fdc197cdfc03a233c9bf2b291a5cbf38efd352c5c437bd,26/06/2023 00:25:52,ESCANER
20517,"Petén",17,"San Andrés",4,3195,400,18,110,2,85,7,222,9,2,233,0,233,--,400,167,222,233,233,Algún campo sin dato,1,89e4f0910e878248b6f0005a1894da99546d9d2413b0b7ce722d5c0ea05490b4,26/06/2023 03:15:59,ESCANER
20518,"Petén",17,"San Andrés",4,3195,400,24,127,0,89,7,247,2,0,249,0,249,--,400,151,247,249,249,Algún campo sin dato,1,82a87bcf7ede111ef77f1c6b3e133354e2e5158d8e849448b1553a3d5c902158,25/06/2023 23:35:08,ESCANER
20519,"Petén",17,"San Andrés",4,3195,400,23,128,1,100,11,263,2,1,266,0,266,--,400,134,263,266,266,Algún campo sin dato,1,e70bb546e42a204c70c03b698fbea9ac535635b01a53a2360f00cf5edf6d7cbe,25/06/2023 22:40:28,ESCANER
20520,"Petén",17,"San Andrés",4,3195,223,21,60,0,40,11,132,3,0,135,0,135,--,228,93,132,135,135,Algún campo sin dato,1,4d4ea05e30915fb0fa466134c644706e45c21b5b65b492b6ab0322d780b4beb6,25/06/2023 22:00:00,ESCANER
20521,"Petén",17,"San Andrés",4,3195,223,22,38,0,42,6,108,8,2,118,0,118,--,223,105,108,118,118,Algún campo sin dato,1,909af8b845a02c27810340ddc69c69696c990b8a864a15ac10544fe6464dc638,25/06/2023 22:29:33,ESCANER
20522,"Petén",17,"San Andrés",4,3196,380,151,24,4,34,4,217,15,8,240,0,240,0,380,140,217,240,240,,1,7a823b3645c80f870409d24cc83abda695d2d26fd6def0d5ef48132748f9146f,25/06/2023 23:59:06,ESCANER
20523,"Petén",17,"San Andrés",4,3196,380,175,37,5,26,2,245,5,4,254,4,258,4,376,118,245,254,258,,1,cf12d4eeb84aab2fb33d0b4c70a756f91caec4b61b0af5e6f94b67a405106031,26/06/2023 04:12:16,ESCANER
20524,"Petén",17,"San Andrés",4,3196,380,145,22,5,37,3,212,8,3,223,0,223,--,380,157,212,223,223,Algún campo sin dato,1,2125f6e8dc2a52b2db684488854f057b23d21cd5e672fd40a1767a590f23965f,26/06/2023 01:57:20,ESCANER
20525,"Petén",17,"San Andrés",4,3196,380,168,27,2,19,3,219,15,2,236,0,236,--,380,144,219,236,236,Algún campo sin dato,1,81151665139b2fcae98390fea23ea955fb3da6b212fbe8b102c7855b60fa33cd,26/06/2023 02:24:11,ESCANER
20526,"Petén",17,"San Andrés",4,3196,380,135,24,5,37,3,204,13,6,223,0,223,0,378,155,204,223,223,,1,f85f949b72d25328d11de6366607713cd28b9c2bed47b9f83b221d8e93b9b2f6,26/06/2023 01:16:24,ESCANER
20527,"Petén",17,"San Andrés",4,3196,380,163,20,3,18,1,205,7,3,215,0,215,0,380,165,205,215,215,,1,2f8512935408680581a305b873693e228e2691fc3a212287bb1ffeeb586ff62b,26/06/2023 00:39:12,ESCANER
20528,"Petén",17,"San Andrés",4,3196,360,158,42,2,17,1,220,5,0,225,0,225,0,357,132,220,225,225,,1,86b1e7a627cba5d032d66573b20e89de72d020357efcaec97d264ca0a856b0b9,26/06/2023 01:23:25,ESCANER
20529,"Petén",17,"San Andrés",4,3196,359,134,20,0,16,2,172,6,4,182,0,182,--,356,174,172,182,182,Algún campo sin dato,1,01a7a2d8e6ac733dc0d4ad2a26299aa29264f2494f908582854c5f19ce67d4a6,26/06/2023 00:19:44,ESCANER
20530,"Petén",17,"San Andrés",4,3197,380,21,42,2,28,66,159,17,2,178,0,178,0,380,202,159,178,178,,1,2f67e5bb66c22f760bea7d8b3bd3fe9573cff56e7dbe1843afb6e6ebd438fd15,26/06/2023 02:58:48,ESCANER
20531,"Petén",17,"San Andrés",4,3197,380,25,18,2,17,62,124,12,9,145,0,145,0,380,235,124,145,145,,1,cd4c3680c409f5d24df21ec641fae1e3a06b1b2f6cbeb414099612630a9e2f3c,26/06/2023 05:18:36,ESCANER
20532,"Petén",17,"San Andrés",4,3197,380,21,25,1,17,58,122,18,5,145,0,145,0,380,235,122,145,145,,1,39ddce272a50a60847b907406ba1ba187654e22833eb0f9552118a10282c9a47,26/06/2023 03:01:20,ESCANER
20533,"Petén",17,"San Andrés",4,3197,380,16,29,0,11,58,114,10,9,133,0,133,0,380,247,114,133,133,,1,1dcc459ce15b28f3e0db58f0524c65d04544d25e50ac701602893469239abd57,26/06/2023 03:00:28,ESCANER
