TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
111,111,100.0000,111,100.0000,0,41651,18627,44.7216

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,MLP,VAMOS,CAMBIO,CABAL,AZUL,PODEMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20556,"Petén",17,"La Libertad",5,3202,400,39,6,44,93,12,5,0,0,199,13,4,216,0,216,--,400,184,199,216,216,Algún campo sin dato,1,b8df66ab3e931db825aa237b22a35246b325e7fc365981df27c4430405b7f1fc,26/06/2023 01:19:50,ESCANER
20557,"Petén",17,"La Libertad",5,3202,400,42,6,36,95,17,2,0,5,203,19,6,228,0,228,--,400,172,203,228,228,Algún campo sin dato,1,9902039c1c176301172039a79811177826f8e7eec6d54935519644e86f970d2f,26/06/2023 03:20:40,ESCANER
20558,"Petén",17,"La Libertad",5,3202,400,36,4,35,109,19,3,1,4,211,20,5,236,1,237,--,400,163,211,236,237,Algún campo sin dato,1,3df6aa9148ef9703d849284fd7d4e6bdf5da46b1409b8bd93594ee6f389049cf,26/06/2023 02:50:41,ESCANER
20559,"Petén",17,"La Libertad",5,3202,400,31,12,34,123,11,3,1,4,219,19,7,245,0,245,0,401,156,219,245,245,,1,d22b0f50641f6b43518713b16bb3302dc55382a51f69a65a351d5b3df0782266,26/06/2023 03:07:17,ESCANER
20560,"Petén",17,"La Libertad",5,3202,400,42,8,34,124,15,3,1,3,230,16,2,248,1,249,--,400,151,230,248,249,Algún campo sin dato,1,3d7eb1cce5259088646918bced6d9d30f54f5fb9f41c7a7b907b08bd070967f5,26/06/2023 00:21:52,ESCANER
20561,"Petén",17,"La Libertad",5,3202,400,41,7,33,120,17,7,0,1,226,18,9,253,0,253,--,400,147,226,253,253,Algún campo sin dato,1,daece42c42022d7e7ec274ac56cb4a3023f8615e2c271eb212dd01143632d062,26/06/2023 01:30:11,ESCANER
20562,"Petén",17,"La Libertad",5,3202,400,37,5,35,141,13,4,0,1,236,8,5,249,0,249,--,400,151,236,249,249,Algún campo sin dato,1,68a8dd5de5814168d935f56ee3eb51e4551f631097e5d8017ca73a7e89003fa2,26/06/2023 01:45:17,ESCANER
20563,"Petén",17,"La Libertad",5,3202,400,36,5,42,129,17,2,0,4,235,11,3,249,0,249,--,400,151,235,249,249,Algún campo sin dato,1,32648e91f7513474f4544492e6620570e0dae454b713f77cad1752917f642438,26/06/2023 01:51:22,ESCANER
20564,"Petén",17,"La Libertad",5,3202,400,42,7,39,118,19,6,1,2,234,19,6,259,0,259,--,400,141,234,259,259,Algún campo sin dato,1,08ed0df52203bdc2035426620c2f96b3fd93d01f8c6fd69268a675b4c03e67fc,26/06/2023 02:49:32,ESCANER
20565,"Petén",17,"La Libertad",5,3202,400,45,5,37,100,19,0,0,1,207,11,2,220,0,220,--,400,180,207,220,220,Algún campo sin dato,1,550b842a5db6b33996dc05f52e0f8b8bb45321d73c5b9255944676f82a8a0289,26/06/2023 02:29:26,ESCANER
