TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
32,32,100.0000,32,100.0000,0,11640,7330,62.9725

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VIVA,AZUL,MLP,VAMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20667,"Petén",17,"San Francisco",6,3211,400,68,5,3,5,174,1,256,19,2,277,0,277,--,400,123,256,277,277,Algún campo sin dato,1,ecb7527287011a58207f438cbc35ae24b1c8ea8b26ab296d6863906d41aab1d2,26/06/2023 01:30:09,ESCANER
20668,"Petén",17,"San Francisco",6,3211,400,64,6,0,6,170,2,248,12,0,263,0,263,--,400,137,248,260,260,Sumas Asentadas sin cuadrar,1,bf106e9c864190165fae909455fa9d47e12e8aba9db64d78b7c3b388ae4ca707,26/06/2023 00:24:59,ESCANER
20669,"Petén",17,"San Francisco",6,3211,400,80,8,4,6,160,2,260,20,7,287,0,287,--,400,113,260,287,287,Algún campo sin dato,1,b8e0a782bd1d004356df2e0419761a3f5307458f9cedbe0a505fee19db35be87,26/06/2023 00:35:27,ESCANER
20670,"Petén",17,"San Francisco",6,3211,400,77,12,1,8,181,5,284,9,2,295,0,295,0,397,102,284,295,295,,1,578413f650d981d242fd9ab2a45dda368600e823a9b4d4f2ad43763e17d4ffe2,26/06/2023 01:05:39,ESCANER
20671,"Petén",17,"San Francisco",6,3211,400,73,6,3,9,183,1,275,10,5,290,0,290,--,400,110,275,290,290,Algún campo sin dato,1,9d15a948f4f58a636ae68c42310ecce8e490a43981fa5c24dbb839f9e1aeacf8,26/06/2023 00:03:38,ESCANER
20672,"Petén",17,"San Francisco",6,3212,400,83,4,0,0,133,1,221,12,0,233,0,233,--,397,164,221,233,233,Algún campo sin dato,1,0724a1346b489c4703631fb52c0cad9f5a5bb5f93895cdcff2acb1b0ba24adf5,25/06/2023 22:45:55,ESCANER
20673,"Petén",17,"San Francisco",6,3212,400,59,6,3,3,151,3,225,12,5,242,0,225,--,400,158,225,242,242,Sumas Asentadas sin cuadrar,1,658d7ed27ade5671aa9e81488107b433536c5a03d8b9365b2ac2b6a7aa285e75,25/06/2023 23:38:58,ESCANER
20674,"Petén",17,"San Francisco",6,3212,400,64,4,3,5,142,3,221,18,2,241,0,241,0,400,159,221,241,241,,1,e3e0eba25184b3740503a71e39ea643b6f439607bdc8e837ab830c4b645bb539,25/06/2023 23:44:45,ESCANER
20675,"Petén",17,"San Francisco",6,3213,400,47,4,3,4,154,1,213,10,2,225,0,225,0,400,175,213,225,225,,1,107a539588f38655918e588b0b324165f5ad055d5118e903d12d2192b3bbdd1c,25/06/2023 23:48:35,ESCANER
20676,"Petén",17,"San Francisco",6,3213,400,69,2,2,1,133,1,208,7,0,215,0,215,--,400,185,208,215,215,Algún campo sin dato,1,880e0a60220eaf9760d554195d572ffdc70215a5ea1ea985bca27b2d72b59c29,25/06/2023 22:58:55,ESCANER
20677,"Petén",17,"San Francisco",6,3213,400,59,5,1,2,160,2,229,4,0,233,0,233,--,400,167,229,233,233,Algún campo sin dato,1,b925e7133512082de882cf6d927d80188ae14a14594d28e6f9386d6f3048b8ae,26/06/2023 00:18:38,ESCANER
20678,"Petén",17,"San Francisco",6,3214,400,68,4,1,1,132,2,208,7,3,218,0,218,--,400,182,208,218,218,Algún campo sin dato,1,b22a77645d58791da8c256078d440f2cc52556077b05c426cec5f4a320bc6060,25/06/2023 23:08:03,ESCANER
20679,"Petén",17,"San Francisco",6,3214,400,66,6,0,2,167,2,243,1,3,247,0,247,0,400,153,243,247,247,,1,c4197b339502942be6dbc38cd053dca7f701b0455008e601bc89deec6c03823f,25/06/2023 23:43:13,ESCANER
20680,"Petén",17,"San Francisco",6,3214,251,28,1,0,0,101,2,132,2,1,135,0,135,0,251,116,132,135,135,,1,375ddd4ddd2a308d7fdd338605e0ca884ba0793dc17c475ab660fd71450f64d0,25/06/2023 22:28:09,ESCANER
20681,"Petén",17,"San Francisco",6,3214,251,27,2,0,2,71,0,102,6,1,109,0,109,0,251,142,102,109,109,,1,da0bdc587e9e8bb7547e2873f3b7c3685a7edaa5b3d156762a71b79245d412a5,25/06/2023 22:26:54,ESCANER
20682,"Petén",17,"San Francisco",6,3215,380,50,5,1,1,143,3,203,27,2,232,0,232,0,400,168,203,232,232,,1,caacdc7be55676a8dd3d2789c56ee230bf4329eee3e461bc6114fd43c500e387,26/06/2023 00:35:23,ESCANER
20683,"Petén",17,"San Francisco",6,3215,380,56,2,0,0,128,5,191,15,3,209,0,209,--,380,171,191,209,209,Algún campo sin dato,1,6f3df9058f262c3a1e2104261cae48bd9aa9705bff8fa29ebe4ebe90d627406d,25/06/2023 22:44:10,ESCANER
20684,"Petén",17,"San Francisco",6,3215,380,42,1,1,1,160,4,209,14,6,229,0,229,--,380,151,209,229,229,Algún campo sin dato,1,1e0fa8cce86ea1e19d25fccdeee339b34c2098ab9cbb5e7dcc7cfeb47c6c7963,26/06/2023 00:06:34,ESCANER
