TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
46,46,100.0000,46,100.0000,0,17724,10452,58.9708

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VIVA,MLP,CABAL,UNE,VAMOS,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20699,"Petén",17,"Santa Ana",7,3218,400,9,38,7,92,10,68,0,1,225,23,6,254,0,254,--,400,146,225,254,254,Algún campo sin dato,1,00b8b14ced6bf4b8962d8e8741d52c9a5b5e815115c854593ee9daba53ca329a,26/06/2023 01:16:27,ESCANER
20700,"Petén",17,"Santa Ana",7,3218,400,5,41,7,92,3,78,0,2,228,18,3,249,0,249,--,400,151,228,249,249,Algún campo sin dato,1,e84db03b459a9ee46332dd216f0ac53fb060bba2f0a42d20da866907f036a1ed,26/06/2023 02:18:56,ESCANER
20701,"Petén",17,"Santa Ana",7,3218,400,7,40,8,85,10,100,0,2,252,22,4,278,0,278,--,400,122,252,278,278,Algún campo sin dato,1,e291e962f87d3771286c794c201a88150a2074694ab8ed20f38bc42f5d0d39ba,26/06/2023 02:35:39,ESCANER
20702,"Petén",17,"Santa Ana",7,3218,400,7,37,9,107,8,70,1,1,240,16,1,257,0,257,--,400,143,240,257,257,Algún campo sin dato,1,e65eb63653afd8da4f6226c31bb0e8e99dc4fb2ea65b13a52343f61724cacaf0,26/06/2023 01:45:34,ESCANER
20703,"Petén",17,"Santa Ana",7,3218,400,7,40,4,90,9,86,1,2,239,19,4,262,138,400,--,400,138,239,262,400,Algún campo sin dato,1,50fe543fa3da218e9d996779706cb67e2a5dedce1c6fb88dbf2ebe8877a7a44a,26/06/2023 02:09:08,ESCANER
20704,"Petén",17,"Santa Ana",7,3218,400,8,51,0,81,8,106,0,0,254,16,2,272,0,272,1,400,128,254,272,272,,1,24f7c8a8f743e102a50d0ae8d92160eb32f8851c105f271d807e5922a0f4037e,26/06/2023 01:26:01,ESCANER
20705,"Petén",17,"Santa Ana",7,3219,400,2,51,7,80,4,76,0,0,220,12,5,237,0,237,--,400,163,220,237,237,Algún campo sin dato,1,8f7a8ac9f6429b99879e068dde4ce2abe62d97b0cbc6c8e701e3041db34c8033,25/06/2023 23:34:30,ESCANER
20706,"Petén",17,"Santa Ana",7,3219,400,10,43,4,76,5,70,2,0,210,14,0,224,0,224,--,--,--,210,224,224,Algún campo sin dato,1,e7f58e9ffab21ee2a0e18ce5f7ca6cca04f6dbb50dfb4a472f04e05cb40c32cc,26/06/2023 00:47:19,ESCANER
20707,"Petén",17,"Santa Ana",7,3219,400,10,38,4,74,5,85,0,2,218,15,1,234,0,234,--,400,166,218,234,234,Algún campo sin dato,1,5fbdc513df750f78d2d346cab2e5490621f4a8912167bb361b08025c8633eaa4,26/06/2023 01:31:20,ESCANER
20708,"Petén",17,"Santa Ana",7,3219,400,8,46,6,90,1,76,0,1,228,13,3,244,0,244,--,400,156,228,244,244,Algún campo sin dato,1,b8b6d486dab4ea2f86379aabb3c259fd0734947e9414d7a4c226107a364a22b1,26/06/2023 00:27:22,ESCANER
