TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
44,44,100.0000,44,100.0000,0,16718,9318,55.7363

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,VAMOS,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20745,"Petén",17,"Dolores",8,3228,400,4,68,1,154,227,20,7,254,0,254,--,400,146,227,254,254,Algún campo sin dato,1,83395f51921815dfa7d90a9da44a3409f393d5279020ce1ffdf20b19d3534ce1,26/06/2023 01:29:02,ESCANER
20746,"Petén",17,"Dolores",8,3228,400,4,74,0,151,229,25,4,258,0,258,--,400,142,229,258,258,Algún campo sin dato,1,ce1bed9b23bc6c9e3ac443000d605992511b170dee55425cc409aa17ee355d69,25/06/2023 23:22:14,ESCANER
20747,"Petén",17,"Dolores",8,3228,400,8,86,3,159,256,14,7,277,--,--,--,400,123,256,277,277,Algún campo sin dato,1,0a43d7ab6d74174b4177538eb4ff2cfbf20de94a7352f4e81926f810731df659,26/06/2023 01:08:19,ESCANER
20748,"Petén",17,"Dolores",8,3228,400,9,86,2,162,259,20,7,286,0,286,--,400,114,259,286,286,Algún campo sin dato,1,b460017456284a9b3e2dc7ba1612146bf9f243a8e25cd8e8ea6666a2944653f2,26/06/2023 03:23:47,ESCANER
20749,"Petén",17,"Dolores",8,3228,400,7,80,2,164,253,16,4,273,0,273,--,400,127,253,273,273,Algún campo sin dato,1,9298828d959e67c6d3351c4e4b291b4e093751263c6cfdfe07d4a84c0f0af527,26/06/2023 01:50:16,ESCANER
20750,"Petén",17,"Dolores",8,3228,400,3,113,4,156,276,8,1,285,0,285,--,400,115,276,285,285,Algún campo sin dato,1,a9d0d9e60ee44fea03dc28979db9b1cd52d4f21b573146b7d340d02b576ded6d,26/06/2023 00:17:42,ESCANER
20751,"Petén",17,"Dolores",8,3228,400,4,117,8,154,283,22,2,307,0,307,--,400,93,283,307,307,Algún campo sin dato,1,e5b81d813404a095169964cfac494200c206cbd550cba01c8ae73152d3c0c8df,26/06/2023 03:00:31,ESCANER
20752,"Petén",17,"Dolores",8,3228,400,5,79,4,130,218,5,1,224,0,224,--,400,176,218,224,224,Algún campo sin dato,1,1628f46e5261bc9a41c6d2fcceac4baffa0a30b7eb3706ccdd525c32d274b0b9,26/06/2023 00:46:39,ESCANER
20753,"Petén",17,"Dolores",8,3228,400,3,71,0,159,233,11,1,245,0,245,--,399,154,233,245,245,Algún campo sin dato,1,67eb990f73dfa1aceb3ee32baa2c98d4e9b808afd11ae5d94a00ffef7a8a0608,26/06/2023 00:44:50,ESCANER
20754,"Petén",17,"Dolores",8,3228,400,3,68,2,139,212,16,2,230,0,230,--,400,170,212,230,230,Algún campo sin dato,1,6ccdbd4b0d8b9cde7021fa6ec67555e43b29fa41cbdba89418a3e93c27e66257,26/06/2023 01:42:29,ESCANER
20755,"Petén",17,"Dolores",8,3228,400,5,78,6,147,236,16,1,253,0,253,--,400,147,236,253,253,Algún campo sin dato,1,3e478ee81bfee0bdcfeb458072a8e22e1fea03680cae3514cf27779c55824d10,26/06/2023 02:38:43,ESCANER
20756,"Petén",17,"Dolores",8,3228,400,2,46,3,154,205,12,0,217,0,217,--,400,183,205,217,217,Algún campo sin dato,1,5b1fd7b9675b6631df08a23dfb53f42afa52be4b030b078fa1d42d46a31a5b7d,26/06/2023 02:35:26,ESCANER
20757,"Petén",17,"Dolores",8,3228,400,5,73,1,142,221,9,3,233,0,233,--,400,167,221,233,233,Algún campo sin dato,1,59e0370b9de90c87b86c76ea254f7dcadbbfe34658351224a62eab471e7ae945,26/06/2023 01:09:49,ESCANER
20758,"Petén",17,"Dolores",8,3228,400,3,88,0,150,241,8,2,251,0,251,--,400,149,241,251,251,Algún campo sin dato,1,daff74ec5d0db759efcf48852dfd40dfe80d81d49b3335c57a170fd0be48a186,26/06/2023 02:19:22,ESCANER
20759,"Petén",17,"Dolores",8,3228,400,2,87,1,170,260,0,0,262,0,262,--,400,138,260,260,260,Sumas Asentadas sin cuadrar,1,b905ac46c8b6f5182a404d833401440e5bcf81f0fe5f22d90a2c194edef97abf,26/06/2023 03:22:28,ESCANER
20760,"Petén",17,"Dolores",8,3228,400,4,82,0,178,264,6,0,270,0,270,--,400,129,264,270,270,Algún campo sin dato,1,80a327961098c4a74e8850ee11f3c51b3d2f81ac0691733282f84de81cedea69,25/06/2023 23:49:16,ESCANER
20761,"Petén",17,"Dolores",8,3228,308,2,61,3,101,167,3,1,171,0,171,--,308,137,167,171,171,Algún campo sin dato,1,d6712ab9aa22e89cb52529e93758f1bbe950971bf3c0a632cc979f9ab8e64301,26/06/2023 01:39:22,ESCANER
20762,"Petén",17,"Dolores",8,3228,308,4,32,1,108,145,6,3,157,0,157,--,308,154,145,154,154,Sumas Asentadas sin cuadrar,1,0a9444c45640c2ae6eb4c163ddaf1314b8d4f11a0be7db9ab508a5ea968945cb,26/06/2023 00:11:47,ESCANER
20763,"Petén",17,"Dolores",8,3229,400,6,72,7,146,231,0,5,236,33,269,--,400,131,231,236,269,Algún campo sin dato,1,73c6f6a143cde5a52fbd37829828c82978aaaa3e6e32fefa7ab1464efb228e84,26/06/2023 01:09:02,ESCANER
20764,"Petén",17,"Dolores",8,3229,400,4,89,8,141,242,21,7,270,0,270,--,400,130,242,270,270,Algún campo sin dato,1,72879a305671f7d45be8efb1a52aa4f699142f72ee54a24a7af27afa698b26ce,26/06/2023 02:24:08,ESCANER
20765,"Petén",17,"Dolores",8,3229,400,5,75,11,155,246,22,1,269,0,269,--,400,131,246,269,269,Algún campo sin dato,1,3aead46357a89cfe622132d163fc1b2244aada78a3b89a350794ef922f40d04d,26/06/2023 02:27:40,ESCANER
20766,"Petén",17,"Dolores",8,3229,400,7,58,5,136,206,11,1,218,0,218,--,400,182,206,218,218,Algún campo sin dato,1,4c6050ea9cb8dff86f8136bdde748c9e6889a3188cd868c0ec00cf47a41c0e7e,25/06/2023 23:51:52,ESCANER
20767,"Petén",17,"Dolores",8,3229,400,3,66,7,136,212,17,9,238,0,238,--,400,162,212,238,238,Algún campo sin dato,1,ca222383085f2c99f3fc56dd0db7ea6676bf3f184cf18fa9825f9293ade45c16,26/06/2023 01:54:35,ESCANER
20768,"Petén",17,"Dolores",8,3229,400,11,73,4,139,227,19,9,255,0,255,--,400,145,227,255,255,Algún campo sin dato,1,0c8c5873405b0cab98f60bc5127a40693b8192425ebc2d655ca291a544f23e2b,26/06/2023 01:17:08,ESCANER
20769,"Petén",17,"Dolores",8,3229,400,6,64,5,127,202,17,7,226,0,226,--,400,174,202,226,226,Algún campo sin dato,1,1d9c736d49d28247530033b74e6a9f57fce25a7b344f3d8d47db34a917d2d6d6,26/06/2023 00:58:36,ESCANER
20770,"Petén",17,"Dolores",8,3229,400,7,53,4,163,227,10,2,239,0,239,--,400,161,227,239,239,Algún campo sin dato,1,0af58d53672a9605be4f6e6c6ca4fb84eeb3a2abe74eb995425c91da71a5098d,26/06/2023 01:34:48,ESCANER
20771,"Petén",17,"Dolores",8,3229,400,4,82,2,145,233,5,2,240,0,240,--,400,160,233,240,240,Algún campo sin dato,1,6ef68c56233fafbdabcdc1e426ef8ea466e7de0abe0f6fbe6ed6a882891d5a3d,25/06/2023 22:29:04,ESCANER
20772,"Petén",17,"Dolores",8,3229,264,1,50,1,101,153,1,2,156,0,156,--,264,108,153,156,156,Algún campo sin dato,1,4c360bb54e31e3d9721fd5b3afe9c4f3bed5490790aa65e641581d6b5d7499c8,26/06/2023 00:13:29,ESCANER
20773,"Petén",17,"Dolores",8,3229,263,4,38,1,93,136,15,2,153,0,153,--,263,110,136,153,153,Algún campo sin dato,1,b60542e6d1e5df6805c6d77304448d9204a949e8de411a10635184cfa1c65c07,25/06/2023 23:10:26,ESCANER
20774,"Petén",17,"Dolores",8,3230,380,35,55,4,104,198,15,3,216,0,216,--,380,164,198,216,216,Algún campo sin dato,1,5c78fe9452b8781ca8d98a3c6877efd2ff2c5b82685b07ec56529dfa15db9b52,26/06/2023 04:17:37,ESCANER
