TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
101,101,100.0000,101,100.0000,0,37418,18298,48.9015

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VIVA,VAMOS,MLP,CAMBIO,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20789,"Petén",17,"San Luis",9,3233,400,74,45,67,4,15,12,7,224,9,8,241,0,241,--,400,159,224,241,241,Algún campo sin dato,1,940f2f9d97db1d544f6ae8bc59cebd26e536b9fdd31169c33ac227be213e4aac,25/06/2023 22:56:16,ESCANER
20790,"Petén",17,"San Luis",9,3233,400,94,37,61,7,21,8,4,232,18,10,260,0,260,--,400,140,232,260,260,Algún campo sin dato,1,4d4774d4251d79c8dd7a2b84441e056acda1736fcc89e63cabf8b46a6ce1a405,25/06/2023 23:39:48,ESCANER
20791,"Petén",17,"San Luis",9,3233,400,73,56,65,6,16,6,5,227,18,6,251,0,251,--,400,149,227,251,251,Algún campo sin dato,1,7b5d684be1d8f633513b5a32f79124838c51bedacd689bf1bcc3aa68ea6695c5,26/06/2023 00:25:43,ESCANER
20792,"Petén",17,"San Luis",9,3233,400,100,48,48,6,18,3,7,230,24,4,258,0,258,--,400,142,230,258,258,Algún campo sin dato,1,1ecdfe00b30f77948bd4e6fcc72e281bcd8234d89dfbec3fcbadaf2e21624581,25/06/2023 23:57:56,ESCANER
20793,"Petén",17,"San Luis",9,3233,400,83,52,71,6,24,6,12,254,14,5,273,0,273,--,400,127,254,273,273,Algún campo sin dato,1,a81173fa348abb5a01fff276a7e09f83519bb71fcf6736fbf840f260bb7317f9,26/06/2023 00:43:07,ESCANER
20794,"Petén",17,"San Luis",9,3233,400,76,41,58,5,28,8,12,228,13,3,244,0,244,--,400,156,228,244,244,Algún campo sin dato,1,08b9fedb847bf1f66576210a2ea927a929107f958c0273d87a85c38c8f055b56,26/06/2023 00:08:33,ESCANER
20795,"Petén",17,"San Luis",9,3233,400,66,36,68,6,18,5,6,205,11,6,222,0,222,--,400,178,205,222,222,Algún campo sin dato,1,5b9f7f19cf71fbb19e36e39686fcdeb3fdb4d04156a7b57c79fe729bd3e02205,26/06/2023 01:29:36,ESCANER
20796,"Petén",17,"San Luis",9,3233,400,69,35,47,9,19,11,10,200,8,2,210,0,210,--,400,190,200,210,210,Algún campo sin dato,1,1ed16d4030e81510f843e834c56988b221e3d821233f4b4722c1c911efad1b39,26/06/2023 00:13:47,ESCANER
20797,"Petén",17,"San Luis",9,3233,400,65,31,64,3,17,14,10,204,19,3,226,0,226,--,400,174,204,226,226,Algún campo sin dato,1,3f376093b9a8e9d416a04c7f67c70df55beeebfcf69d6609b6fc9b69a7c6c8ea,26/06/2023 00:30:15,ESCANER
20798,"Petén",17,"San Luis",9,3234,400,69,45,59,1,17,5,11,207,6,3,216,8,224,--,400,176,207,216,224,Algún campo sin dato,1,836ed1c032704616b79483bcce5167272c709ccda0a159d20567be1d81438ee7,26/06/2023 00:14:53,ESCANER
