TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
112,112,100.0000,112,100.0000,0,40118,21953,54.7210

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,UNE,CABRA,MLP,VAMOS,CABAL,TODOS,PPN,PHG,PODEMOS,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20890,"Petén",17,"Sayaxché",10,3249,400,14,39,48,3,35,1,23,6,14,3,0,0,186,20,5,211,0,211,0,397,186,186,211,211,,1,f2952933a19cf28dffd1251f60a1432000aec1195b70db62acb53ad895790b77,26/06/2023 01:48:41,ESCANER
20891,"Petén",17,"Sayaxché",10,3249,400,20,48,65,3,42,3,16,3,9,2,0,2,213,7,0,220,0,220,--,400,180,213,220,220,Algún campo sin dato,1,cd9d3c930952eccbc77fc9d5b8b2d675be7f8f84bfb51d8d930f8c587fd80288,26/06/2023 02:58:08,ESCANER
20892,"Petén",17,"Sayaxché",10,3249,400,26,35,60,3,47,3,33,4,8,1,4,0,224,8,1,233,0,233,--,400,167,224,233,233,Algún campo sin dato,1,64087eef16a49921f629c91f281b20c351498f7de9991bf7e5ee604c41dc3718,25/06/2023 21:48:02,ESCANER
20893,"Petén",17,"Sayaxché",10,3249,400,27,50,60,0,43,4,15,10,9,2,2,0,222,17,4,243,0,243,--,400,157,222,243,243,Algún campo sin dato,1,98fe4def8c7756f9381d7b31c00398c9ec48ff1cbd4cc3c4fefa273fac7e4e07,25/06/2023 22:39:14,ESCANER
20894,"Petén",17,"Sayaxché",10,3249,400,23,37,63,1,38,1,23,2,11,2,0,0,201,17,1,219,0,219,--,400,181,201,219,219,Algún campo sin dato,1,2c9890af0bbe0534902a836a9e0b1ac874e19640c45dc3ef80a88625870ade06,26/06/2023 02:08:32,ESCANER
20895,"Petén",17,"Sayaxché",10,3249,400,13,33,72,2,41,2,21,6,16,3,1,4,214,11,5,230,0,230,--,400,170,214,230,230,Algún campo sin dato,1,fa2ff497676f33ddb3d8e87169046732bc2d4f333376586dd6541a2661140b4a,26/06/2023 01:36:12,ESCANER
20896,"Petén",17,"Sayaxché",10,3249,400,16,55,71,2,38,2,24,6,16,--,1,4,235,14,4,253,0,253,--,400,147,235,253,253,Algún campo sin dato,1,9f9fce6c266ac1582e266d2fede0fcc6be57b321d51b9bf4e8b8917f5db2e0fd,26/06/2023 00:23:25,ESCANER
20897,"Petén",17,"Sayaxché",10,3249,400,11,44,56,--,32,2,28,9,10,2,2,1,197,4,1,202,0,202,--,400,198,197,202,202,Algún campo sin dato,1,30e8a87be7330eded33d7c0d9151a7c156f1b273eb8c1f6e00ca154390ae3095,25/06/2023 21:55:42,ESCANER
20898,"Petén",17,"Sayaxché",10,3249,400,15,27,50,1,37,1,15,4,13,1,0,0,164,9,2,175,0,175,--,397,222,164,175,175,Algún campo sin dato,1,9888b27c287b55279a6bd51c076e5233198ece78412c00490694321fb9e4be08,25/06/2023 23:13:40,ESCANER
20899,"Petén",17,"Sayaxché",10,3249,400,15,42,56,2,43,2,16,1,13,1,0,1,192,11,1,204,0,204,--,400,196,192,204,204,Algún campo sin dato,1,30fd2aac62b373dfb07207ee40f4234655fe6492003e423e98f7f67f0ecd7c79,25/06/2023 23:45:05,ESCANER
20900,"Petén",17,"Sayaxché",10,3249,400,17,41,71,2,41,0,13,7,13,2,1,0,208,12,3,223,0,223,--,400,177,208,223,223,Algún campo sin dato,1,582d4c85038de2e18150899e8964a7cd3a1cce7ea894dd1da6e892b319d72568,26/06/2023 00:54:39,ESCANER
20901,"Petén",17,"Sayaxché",10,3249,400,23,31,56,2,49,4,13,3,13,1,0,0,195,10,0,205,1,206,--,400,194,195,205,206,Algún campo sin dato,1,e9021bc8762a5fbd258ed91134ea74f6dc9a8a57902c66f6c0552370dd7cc811,26/06/2023 00:59:45,ESCANER
20902,"Petén",17,"Sayaxché",10,3249,400,19,51,47,1,44,2,17,2,20,2,0,1,206,12,1,219,0,219,--,400,181,206,219,219,Algún campo sin dato,1,b8459cd8b96cd38bd1fc43d68a5cbba104e92db80fdf4249c0dfc7a57f8aa5f7,25/06/2023 22:56:18,ESCANER
20903,"Petén",17,"Sayaxché",10,3249,400,7,37,55,1,29,3,14,6,17,1,0,0,170,18,1,189,0,189,--,400,211,170,189,189,Algún campo sin dato,1,e1ece1283c05f2e860b53e32b1b0b71437783a4369d68fa87da3f12d140171c9,26/06/2023 01:33:27,ESCANER
20904,"Petén",17,"Sayaxché",10,3249,400,14,33,56,2,39,2,12,1,8,1,2,0,170,16,1,187,0,187,--,400,213,170,187,187,Algún campo sin dato,1,769b14b7f68ebd6d6355a0c22ae95b7796f3dcd164a6a6cc5ec138109052b9fd,25/06/2023 22:38:25,ESCANER
20905,"Petén",17,"Sayaxché",10,3249,400,19,29,59,1,48,0,17,8,7,1,0,0,189,1,0,190,4,194,0,400,206,189,190,194,,1,b9ad5965a26918e127474fbfc535b64b5a9f5cf747d9300b3b3383295febc5cc,26/06/2023 02:12:02,ESCANER
20906,"Petén",17,"Sayaxché",10,3249,400,24,40,68,1,38,0,14,4,15,4,2,0,210,7,1,218,0,218,--,401,183,210,218,218,Algún campo sin dato,1,86849b5c4d9eac4c893ad7cbc98e1f1fd56a3a09f72db8521e5fa21634fa46f3,25/06/2023 22:15:45,ESCANER
20907,"Petén",17,"Sayaxché",10,3249,400,25,40,66,4,36,1,15,4,17,1,1,0,210,4,0,214,0,214,0,400,186,210,214,214,,1,dac5d56dfee2ee7fd5187047af6a1055badfc45e2b44ad6a7d3876b5ec3d10b9,25/06/2023 22:44:06,ESCANER
20908,"Petén",17,"Sayaxché",10,3249,271,7,30,38,1,27,2,5,5,4,3,1,0,123,3,1,127,0,127,--,271,144,123,127,127,Algún campo sin dato,1,a17f6d8c2b34901151ba9d68bcfc7bef8afac906ccc2c46a84a9fe788397655e,25/06/2023 20:45:32,ESCANER
20909,"Petén",17,"Sayaxché",10,3249,270,12,24,28,1,26,1,12,1,11,1,0,0,117,9,1,127,0,127,--,270,143,117,127,127,Algún campo sin dato,1,fb3098dbf35765ad2455b824710246c4e37febe3b24ac0d18470b5c11a59db06,25/06/2023 21:39:50,ESCANER
20910,"Petén",17,"Sayaxché",10,3250,291,6,48,18,0,3,0,19,0,12,0,0,1,107,17,2,126,0,126,--,291,165,107,126,126,Algún campo sin dato,1,1a2d36b1df922617e21a2cbdb46c4f1654c9991e181c1813b1fc57af4ddbbf02,26/06/2023 01:02:03,ESCANER
20911,"Petén",17,"Sayaxché",10,3251,288,6,22,16,0,37,3,5,3,10,1,0,1,104,3,1,108,0,108,--,285,177,104,108,108,Algún campo sin dato,1,70613c9a4ae18eb7b3b630dfc83109fc78543c15a3b33c053ff566e33fb1acf0,25/06/2023 23:59:08,ESCANER
20912,"Petén",17,"Sayaxché",10,3252,330,10,40,33,0,26,2,11,1,18,1,0,0,142,17,6,165,0,165,--,330,165,142,165,165,Algún campo sin dato,1,55936250f94b6049a401174ca32e0e577cbf95f7b36b869d704cd5f2c2168ceb,25/06/2023 22:45:59,ESCANER
20913,"Petén",17,"Sayaxché",10,3252,329,8,22,36,0,26,3,7,1,14,1,0,0,118,10,4,132,0,132,--,328,196,118,132,132,Algún campo sin dato,1,836172c0992db55f51886a29fa338523e0c787451ba63a7f9eef66c515466402,26/06/2023 00:48:09,ESCANER
