TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
50,50,100.0000,50,100.0000,0,18934,10336,54.5896

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,UNE,VAMOS,CABAL,CAMBIO,PODEMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21002,"Petén",17,"Melchor De Mencos",11,3268,400,135,18,60,6,3,1,6,229,12,2,243,0,243,--,400,157,229,243,243,Algún campo sin dato,1,b0a75c7f184f22607fcff73f2ab8917c9398c5fc7c723ceb90ad8075ac9e0bed,26/06/2023 00:59:30,ESCANER
21003,"Petén",17,"Melchor De Mencos",11,3268,400,150,17,57,3,0,1,6,234,20,1,255,0,255,--,400,145,234,255,255,Algún campo sin dato,1,23bf5af223cc4e05d3b341754784a3ed7ffce8485d0eba2a1c0553333141a5e9,26/06/2023 02:18:20,ESCANER
21004,"Petén",17,"Melchor De Mencos",11,3268,400,147,25,57,6,1,0,2,238,22,5,265,0,265,--,400,135,238,265,265,Algún campo sin dato,1,cbbfce1c14c1df5a2881a663823909f3e0045dcb6db7e7b034cbbb6a54964e6a,26/06/2023 01:17:36,ESCANER
21005,"Petén",17,"Melchor De Mencos",11,3268,400,157,13,52,3,3,0,2,230,24,6,260,0,260,--,400,140,230,260,260,Algún campo sin dato,1,c4ca3da38704b844cc13853a2618e4180ff650f967cb81664819ad63be0313ca,26/06/2023 01:20:03,ESCANER
21006,"Petén",17,"Melchor De Mencos",11,3268,400,133,28,69,0,1,0,6,237,14,7,258,0,258,--,400,142,237,258,258,Algún campo sin dato,1,8646c97a132755ed50bcd2f25a9d6df55896d28b116959e3694957fd2cb30a95,25/06/2023 22:27:59,ESCANER
21007,"Petén",17,"Melchor De Mencos",11,3268,400,142,24,52,2,1,1,6,228,13,2,243,0,243,--,400,157,228,243,243,Algún campo sin dato,1,73cb63862a2845419739974898f05496ccdf09107fc6ab5e14473464c525af53,25/06/2023 23:08:18,ESCANER
21008,"Petén",17,"Melchor De Mencos",11,3269,400,148,27,50,1,0,0,0,226,15,2,243,0,243,--,400,157,226,243,243,Algún campo sin dato,1,0b113d46a5242f0861330393b57d623ecaa34d4443184844361d136822c9ffec,26/06/2023 02:26:01,ESCANER
21009,"Petén",17,"Melchor De Mencos",11,3269,400,154,29,47,2,0,1,1,234,13,1,248,0,248,--,400,152,234,248,248,Algún campo sin dato,1,c379a8abf42806b97c514abf05676cf923911673c8e7f0190315a308e8a16525,26/06/2023 02:37:57,ESCANER
21010,"Petén",17,"Melchor De Mencos",11,3269,400,151,35,49,0,2,0,1,238,19,2,259,0,259,--,400,141,238,259,259,Algún campo sin dato,1,925f17d6e60f39b6bf012406f1919b09f0bc138c23bfd1af3d50bd7a8cded673,26/06/2023 02:01:13,ESCANER
21011,"Petén",17,"Melchor De Mencos",11,3269,400,151,17,64,3,0,0,5,240,8,4,252,0,252,--,400,148,240,252,252,Algún campo sin dato,1,a3244354a303224a244576136a2e0a1d175b34ea7dc1bf1b1cb637af809d04fa,26/06/2023 02:37:08,ESCANER
21012,"Petén",17,"Melchor De Mencos",11,3269,400,128,41,68,1,2,1,2,243,15,3,261,0,261,--,400,139,243,261,261,Algún campo sin dato,1,59bfd0ffb2e14af12dbc9c02c0da9837cb84f618e07e2e71cdb985f9415c119b,26/06/2023 02:48:41,ESCANER
21013,"Petén",17,"Melchor De Mencos",11,3269,400,158,13,52,2,0,0,0,226,1,0,226,0,226,--,400,174,225,226,226,Sumas Asentadas sin cuadrar,1,7d5cc160ebc78e89d443943238a8685902a9c7f274bde4657309b8501a146fae,26/06/2023 02:13:42,ESCANER
21014,"Petén",17,"Melchor De Mencos",11,3270,400,128,22,60,2,0,0,5,217,7,0,224,0,224,--,400,176,217,224,224,Algún campo sin dato,1,a1ccd130e528ee6f55c921d0d61ddb32985a049d6e5845035cac68d9b87d65c9,26/06/2023 01:21:13,ESCANER
21015,"Petén",17,"Melchor De Mencos",11,3270,400,127,19,58,3,1,1,1,210,13,0,223,0,223,--,397,187,210,223,223,Algún campo sin dato,1,819126bf952c2a4fdf32c240c9bcde297ee840605db3b340c8e098e78bfe12c5,26/06/2023 02:04:36,ESCANER
21016,"Petén",17,"Melchor De Mencos",11,3270,400,128,12,50,6,0,1,1,198,10,0,208,0,208,--,400,192,198,208,208,Algún campo sin dato,1,790276e101bbc84685e467a6950499b7a521d26151abf777d962d9bc5af2be11,25/06/2023 23:20:19,ESCANER
21017,"Petén",17,"Melchor De Mencos",11,3270,400,4,19,60,4,1,0,4,236,9,3,248,0,236,--,399,148,92,104,104,Sumas Asentadas sin cuadrar,1,d314dd731f58d3bce94014799a2e77f620e44f860f7f5cb5d2cffee6fce5f791,26/06/2023 02:02:25,ESCANER
21018,"Petén",17,"Melchor De Mencos",11,3270,400,168,21,48,5,0,0,4,246,10,3,259,0,259,--,399,140,246,259,259,Algún campo sin dato,1,4fc5427a32c5b3e13b89dce867ebb7642a66c6f12534f83a3a0596817a6c51cc,26/06/2023 00:37:09,ESCANER
21019,"Petén",17,"Melchor De Mencos",11,3271,400,129,21,59,4,0,1,4,218,16,3,237,0,237,--,400,163,218,237,237,Algún campo sin dato,1,0b08abe0407aeaf26cc6e3562e779dc46f6d1b91e29e2a4ce8c238bf1adf3a3c,26/06/2023 02:39:50,ESCANER
21020,"Petén",17,"Melchor De Mencos",11,3271,400,143,17,66,1,1,0,9,237,10,2,249,0,249,--,400,151,237,249,249,Algún campo sin dato,1,1b7ef963db22bb89b5b3e7c2d908258326dbc24136d7426e7cf15acf1f3e7555,25/06/2023 22:13:01,ESCANER
21021,"Petén",17,"Melchor De Mencos",11,3271,400,134,23,56,4,0,1,5,223,6,2,231,0,231,--,400,169,223,231,231,Algún campo sin dato,1,67c34ef2264dcb9add2000a0e845003ad911465046cf7b0146c6717090bedc13,25/06/2023 23:09:21,ESCANER
21022,"Petén",17,"Melchor De Mencos",11,3271,400,131,12,50,3,0,1,3,200,0,1,201,9,210,--,400,190,200,201,210,Algún campo sin dato,1,d1a29b1d8d8f6c73d834a91f6c8a9564a535efd1538c2f543b968e56e3a1a315,26/06/2023 02:15:19,ESCANER
21023,"Petén",17,"Melchor De Mencos",11,3271,400,143,14,31,4,1,1,6,200,11,1,212,0,212,--,400,188,200,212,212,Algún campo sin dato,1,18e8144e18f2a2e60bacb90a7774a72be7a664b3392788e4df5349011e45e5d5,25/06/2023 23:32:31,ESCANER
21024,"Petén",17,"Melchor De Mencos",11,3271,400,171,14,50,3,0,1,2,241,5,0,246,0,246,--,400,154,241,246,246,Algún campo sin dato,1,d7b9b072430a644e3910a767264409b28ad649bfd36fe87679cc57a1a7031195,26/06/2023 01:06:18,ESCANER
21025,"Petén",17,"Melchor De Mencos",11,3271,400,147,13,58,0,0,1,6,225,4,3,232,0,232,--,400,168,225,232,232,Algún campo sin dato,1,3e9c496d7ac39f6a884641b3eece7f762f9c47d39d89ecfefa399ae794413531,26/06/2023 01:03:39,ESCANER
21026,"Petén",17,"Melchor De Mencos",11,3271,400,158,8,39,2,0,0,3,210,1,0,211,0,211,--,400,189,210,211,211,Algún campo sin dato,1,37422981fb91601b8d8d65e673c2d278e310de624e909060e9dd71e63002246c,26/06/2023 00:44:33,ESCANER
21027,"Petén",17,"Melchor De Mencos",11,3271,400,188,12,69,0,0,1,7,277,3,0,280,0,280,--,400,120,277,280,280,Algún campo sin dato,1,d1d73f1b5e0cffb32e8bb49b62a16a9f44bd0e3bf945e8676ff2f4fd37638a2b,26/06/2023 00:26:25,ESCANER
21028,"Petén",17,"Melchor De Mencos",11,3271,400,154,16,77,3,1,0,2,253,3,0,256,0,256,--,400,144,253,256,256,Algún campo sin dato,1,ade1b4f6c88390055d88b2a18eab8d1846841641b1b00023aecde60e3b1fb82a,26/06/2023 01:26:36,ESCANER
21029,"Petén",17,"Melchor De Mencos",11,3271,400,153,18,72,2,0,0,5,250,7,0,257,0,257,--,400,143,250,257,257,Algún campo sin dato,1,25d80c9364bb5183e11703059844bc581bbee55717e391cf084b18e4d223f4bc,26/06/2023 00:12:10,ESCANER
21030,"Petén",17,"Melchor De Mencos",11,3271,400,144,13,59,0,0,0,1,217,3,2,222,0,222,--,400,178,217,222,222,Algún campo sin dato,1,2937faeff0b90e25aa3c661e1376076940ab51c1ef0cc7d8bfda63d91cec1798,25/06/2023 23:27:10,ESCANER
21031,"Petén",17,"Melchor De Mencos",11,3272,354,86,9,39,1,0,0,1,136,13,4,153,0,153,--,354,201,136,153,153,Algún campo sin dato,1,c85d711bb177fb416b2cc3a1d467e0bb6ee12124e6850315aeeabe60aa36b7a2,26/06/2023 00:15:02,ESCANER
21032,"Petén",17,"Melchor De Mencos",11,3272,354,49,13,35,0,0,0,2,99,10,2,111,0,111,--,351,240,99,111,111,Algún campo sin dato,1,fa56fb5a80091fc6590ed37e518d39a05aa954af457b57f8b6aef02d29693fda,25/06/2023 23:14:37,ESCANER
21033,"Petén",17,"Melchor De Mencos",11,3273,380,137,11,79,1,0,1,1,230,15,2,247,0,247,--,380,133,230,247,247,Algún campo sin dato,1,b12789d75b77def593bbcf31d7e379b11244fc91a8a36ebc7df71ae7a7f03150,25/06/2023 23:11:29,ESCANER
21034,"Petén",17,"Melchor De Mencos",11,3273,380,141,14,61,2,0,1,0,219,13,2,234,0,234,--,380,146,219,234,234,Algún campo sin dato,1,2ca4eb0bc5cdf7a40d1469dcc3b120924b4b6bf53f7a7308d4c7a48a7cd625c5,25/06/2023 22:52:48,ESCANER
21035,"Petén",17,"Melchor De Mencos",11,3273,380,114,9,69,1,0,2,2,197,10,4,211,0,211,--,380,169,197,211,211,Algún campo sin dato,1,47429794f55e31137e1dd23d9969e706f7ba0075924a308473f45be1e52b5568,26/06/2023 01:22:49,ESCANER
21036,"Petén",17,"Melchor De Mencos",11,3273,342,124,8,51,0,1,0,1,185,5,5,195,0,195,--,342,147,185,195,195,Algún campo sin dato,1,295075c1bccdebc3a555f7653c2c91df8ac2514532270eb4d24ce576ce5ec24b,25/06/2023 22:48:09,ESCANER
21037,"Petén",17,"Melchor De Mencos",11,3273,341,114,8,56,1,0,0,2,181,10,1,192,0,192,--,341,149,181,192,192,Algún campo sin dato,1,5c7257984a7b62e1267bd198046634c38586f14fd9faad975c1b5e3b95f6856b,25/06/2023 23:24:14,ESCANER
21038,"Petén",17,"Melchor De Mencos",11,3274,380,114,41,66,0,0,1,2,224,18,1,243,0,243,--,380,137,224,243,243,Algún campo sin dato,1,46db76a79341b976a6b2a78687b7d7d972d25176ad884559fbf113410009e171,26/06/2023 01:19:28,ESCANER
21039,"Petén",17,"Melchor De Mencos",11,3274,258,72,26,36,1,1,0,0,136,9,2,147,0,147,--,258,111,136,147,147,Algún campo sin dato,1,70e1a4a3ba0b141f44f52ee73a11dd6c5a978b064f6e92801394015248c6780a,25/06/2023 23:12:39,ESCANER
21040,"Petén",17,"Melchor De Mencos",11,3274,258,99,30,30,0,0,0,1,160,4,2,166,0,166,--,258,92,160,166,166,Algún campo sin dato,1,f64684dea014e05bfe8068226946d3bfd15ebccbf8578d666eaef0c5b825a438,26/06/2023 00:12:14,ESCANER
21041,"Petén",17,"Melchor De Mencos",11,3275,380,107,8,66,1,0,0,4,186,25,3,214,0,214,--,380,166,186,214,214,Algún campo sin dato,1,fa3cddaaf43fb28432bfb43f583d9e2279f6a9f4671d81fb0a53e41045fd2ba2,26/06/2023 00:46:12,ESCANER
21042,"Petén",17,"Melchor De Mencos",11,3275,312,91,14,41,0,0,0,10,156,20,5,181,0,181,--,312,131,156,181,181,Algún campo sin dato,1,c498f6d727d600883d8cb8d11de6fdf4738a4b8aa7b6be36e59881db21d9f1ae,26/06/2023 00:01:43,ESCANER
21043,"Petén",17,"Melchor De Mencos",11,3275,312,79,7,63,0,0,0,4,153,14,6,173,0,173,--,312,139,153,173,173,Algún campo sin dato,1,16c03ec32c84068102f941ff8ecaad523bb09647626f8feeee4b1a0426f0728a,25/06/2023 23:21:25,ESCANER
21044,"Petén",17,"Melchor De Mencos",11,3276,380,106,30,35,0,0,0,4,175,22,1,198,0,198,--,380,182,175,198,198,Algún campo sin dato,1,fff51a92c8d644480f84249281c13a0114c71bd1d4e30878110fbc144fcfc52a,26/06/2023 02:43:47,ESCANER
21045,"Petén",17,"Melchor De Mencos",11,3276,286,71,18,35,0,0,0,1,124,14,3,142,0,142,--,286,144,125,142,142,Sumas Asentadas sin cuadrar,1,44436c4e5d0cedce34ddd93b6f21703030e20fe0fe0348d09213d8ab35cbb76d,26/06/2023 00:13:14,ESCANER
21046,"Petén",17,"Melchor De Mencos",11,3276,285,67,26,43,1,0,0,1,138,10,4,152,0,152,--,285,133,138,152,152,Algún campo sin dato,1,4a627f89d6cd949c2d5ed7c24485f65fcedde1cc455d8f89c2db54bea58c3496,25/06/2023 23:29:26,ESCANER
21047,"Petén",17,"Melchor De Mencos",11,3277,211,58,13,58,1,0,1,1,132,12,1,145,0,145,--,211,66,132,145,145,Algún campo sin dato,1,e0072061cf7250f899a45152d46558dddaa72529e7f2aad7b5cb37258523c32f,25/06/2023 22:46:13,ESCANER
21048,"Petén",17,"Melchor De Mencos",11,3277,211,61,2,43,3,0,0,2,111,9,1,121,0,121,--,211,90,111,121,121,Algún campo sin dato,1,945ae449afd85992dd8c2d6bcea2305d3633529d6422a0971e29a5faa95263db,25/06/2023 22:18:56,ESCANER
21049,"Petén",17,"Melchor De Mencos",11,3278,600,72,13,30,1,0,0,3,119,8,1,128,0,128,--,600,472,119,128,128,Algún campo sin dato,1,14fe8d2576a6f397b9ea385bf6a518e4b0373ad0e30c1d30e3d63e8f57255a5d,26/06/2023 01:31:24,ESCANER
