TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,34018,18159,53.3805

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CAMBIO,UNE,VIVA,CABAL,MLP,VAMOS,PODEMOS,WINAQ,BIEN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21052,"Petén",17,"Poptún",12,3279,400,5,115,13,18,3,53,1,2,3,20,233,10,2,245,0,245,--,400,155,233,245,245,Algún campo sin dato,1,5405a6a54f6641daca8b60ffff6ca5d3218795be99927e3dc9dd7f5adfa5b88f,26/06/2023 00:06:09,ESCANER
21053,"Petén",17,"Poptún",12,3279,400,11,114,19,17,1,51,1,2,5,23,244,12,2,258,0,258,--,400,142,244,258,258,Algún campo sin dato,1,b53569de301621d3fd04f93355af6fbac1ca9fad4dbb487df21e6603bef06b52,25/06/2023 23:39:31,ESCANER
21054,"Petén",17,"Poptún",12,3279,400,15,93,13,13,2,54,1,2,4,30,227,16,4,247,0,247,--,400,153,227,247,247,Algún campo sin dato,1,b35e5d6a20bea16f65c934ac13ebf4d10462149315ff3ba743eb69a6648541bf,26/06/2023 03:17:44,ESCANER
21055,"Petén",17,"Poptún",12,3279,400,8,119,6,22,0,64,1,3,2,24,249,15,4,268,0,268,--,399,131,249,268,268,Algún campo sin dato,1,3eb320cd940d6acc13b14c23342b00ea2800a0cdfd5479033c6e7385266aa971,26/06/2023 03:27:01,ESCANER
21056,"Petén",17,"Poptún",12,3279,400,12,108,8,20,2,58,1,5,6,19,239,16,3,258,0,258,--,400,142,239,258,258,Algún campo sin dato,1,3bbe3c9116d209c400a0a579c8afcceb2e6d9967d8c04a4707dd7b1b901f3d76,25/06/2023 23:51:06,ESCANER
21057,"Petén",17,"Poptún",12,3279,400,7,105,17,23,0,66,0,3,6,29,256,12,2,270,0,270,--,400,130,256,270,270,Algún campo sin dato,1,17769f39e21829a0d2a895e3a344cb6760161003f9ce8c659b6e87938ed49a99,26/06/2023 01:37:59,ESCANER
21058,"Petén",17,"Poptún",12,3279,400,13,119,12,22,0,72,2,4,7,19,270,7,1,278,0,278,--,400,122,270,278,278,Algún campo sin dato,1,202f5a53dc3f733771a50feb517c97bebd05cdbc8dc06714c98b66c911f73a43,26/06/2023 01:51:34,ESCANER
21059,"Petén",17,"Poptún",12,3279,400,14,111,13,14,2,56,0,2,6,28,246,11,2,259,0,259,--,400,141,246,259,259,Algún campo sin dato,1,de4dcdd453db361d4d9502f760326e5d73f0d1d9528f4ecba21d2eeed8cfea52,25/06/2023 22:33:45,ESCANER
21060,"Petén",17,"Poptún",12,3279,400,14,110,13,21,0,55,0,2,5,21,241,11,6,258,0,258,--,400,142,241,258,258,Algún campo sin dato,1,5c55494e83e029ac69914eb1a136a4d2efee085aab9cab3e20daf288f8e0a591,25/06/2023 22:53:37,ESCANER
21061,"Petén",17,"Poptún",12,3279,400,17,99,8,16,2,58,0,3,7,17,227,3,2,232,0,232,--,400,168,227,232,232,Algún campo sin dato,1,0f83a3d70e068de6fe8f7babe6f39df1a6be652a144429c08c0d0fbb3b22ecd0,26/06/2023 03:11:24,ESCANER
