TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
51,51,100.0000,51,100.0000,0,18245,9399,51.5154

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,MLP,TODOS,CABAL,AZUL,SEMILLA,CAMBIO,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21141,"Petén",17,"Las Cruces",13,3289,400,116,44,4,74,3,1,2,2,5,0,251,12,2,265,0,265,--,400,135,251,265,265,Algún campo sin dato,1,9e48b5c2fa88c059016930d9949f5f3f980e8b7d19d8409ebc2ada1ba5611a9f,26/06/2023 03:04:19,ESCANER
21142,"Petén",17,"Las Cruces",13,3289,400,104,54,1,88,2,1,5,0,4,2,261,8,5,274,0,274,--,396,122,261,274,274,Algún campo sin dato,1,bc7fb12a9fb6290f71dec0a6fdc2c954b527f90f0f7b950499c0c118f09991e1,25/06/2023 23:00:45,ESCANER
21143,"Petén",17,"Las Cruces",13,3289,400,129,46,1,83,1,3,3,0,8,2,276,7,3,286,0,286,--,400,114,276,286,286,Algún campo sin dato,1,1505b6eb21c9dd79668010195c5e79f6f472e6dc9742edb7540c1016c9648691,25/06/2023 23:35:51,ESCANER
21144,"Petén",17,"Las Cruces",13,3289,400,100,42,1,69,0,1,1,0,9,5,228,8,2,238,0,238,--,400,162,228,238,238,Algún campo sin dato,1,197931c2da62a4b35649bdf126087282c1113ac352cbbea9d8e93ffe3ffc5713,26/06/2023 00:35:55,ESCANER
21145,"Petén",17,"Las Cruces",13,3289,400,98,48,2,66,4,2,2,2,3,3,230,10,3,243,0,243,--,400,157,230,243,243,Algún campo sin dato,1,5d5eccd249dc641b27328f82ae57408dda17b982ee44599f911ca329d31c1d06,26/06/2023 00:44:35,ESCANER
21146,"Petén",17,"Las Cruces",13,3289,400,107,45,2,76,1,4,5,2,4,2,248,15,1,264,0,264,--,400,136,248,264,264,Algún campo sin dato,1,3bd814907b11d8afe4264abad139fbc46396f027db5500d1787f0d513d2ac058,26/06/2023 01:43:33,ESCANER
21147,"Petén",17,"Las Cruces",13,3289,400,117,47,2,61,3,0,2,5,4,1,242,11,2,255,0,255,--,400,145,242,255,255,Algún campo sin dato,1,a1f30499be1a435459175868657831f4c69b889f463477813ce859291717418a,26/06/2023 02:55:36,ESCANER
21148,"Petén",17,"Las Cruces",13,3289,400,103,47,1,58,5,1,1,1,6,4,227,9,3,239,0,239,--,400,161,227,239,239,Algún campo sin dato,1,045328cfca367020d78f93ab6d4ab148180b436af9b0abdb265ced8fc99d3bba,26/06/2023 00:29:59,ESCANER
21149,"Petén",17,"Las Cruces",13,3289,400,118,49,3,63,1,1,2,0,4,1,242,9,3,254,0,254,--,400,143,242,254,254,Algún campo sin dato,1,7f3d6a2fd45c31956fb6ab0edb244d295ed0ab7a5e3bdd1efe35b08c23ced642,26/06/2023 01:51:23,ESCANER
21150,"Petén",17,"Las Cruces",13,3289,400,106,47,1,48,1,4,2,2,6,2,219,7,3,229,0,229,--,400,117,219,229,229,Algún campo sin dato,1,926c0f3a4889d994bf6a1ca5250730ddc07af2574043c18867d7235d206eb892,25/06/2023 23:40:10,ESCANER
