TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
24,24,100.0000,24,100.0000,0,8142,4382,53.8197

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CAMBIO,UNE,VAMOS,WINAQ,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21192,"Petén",17,"El Chal",14,3297,400,96,20,85,16,2,18,237,17,3,257,0,257,--,400,143,237,257,257,Algún campo sin dato,1,209e031f12f658dff6aedcc3161a2e33a4544b50b3349b599294d2ec1739eac5,26/06/2023 00:03:51,ESCANER
21193,"Petén",17,"El Chal",14,3297,400,84,29,81,19,1,14,228,6,5,239,0,239,--,400,161,228,239,239,Algún campo sin dato,1,3c8cdbda872b03003f9a46559983abfdef4856e76b267fbb8c2fbfb9f34e9d7d,25/06/2023 23:43:36,ESCANER
21194,"Petén",17,"El Chal",14,3297,400,82,24,92,20,2,12,232,12,8,252,0,252,--,400,148,232,252,252,Algún campo sin dato,1,2152ca00bfd9cb6fb717e54c25c14d59d0762b9673139fceb2e6b31ab1dcd45e,25/06/2023 23:12:34,ESCANER
21195,"Petén",17,"El Chal",14,3297,400,80,24,77,14,3,5,203,14,8,225,0,225,--,400,175,203,225,225,Algún campo sin dato,1,4483d98e714aee098b670c00b3a7cf584be0991b7136a04b9d1ec29f67876ac5,25/06/2023 23:44:05,ESCANER
21196,"Petén",17,"El Chal",14,3298,400,90,27,69,21,3,3,213,5,2,220,0,220,--,397,177,213,220,220,Algún campo sin dato,1,b71fdba69ac47f0c86952d2c49f57ba1cd85dc774b76f9f03af1267331d9b0f6,25/06/2023 23:21:45,ESCANER
21197,"Petén",17,"El Chal",14,3298,206,42,14,32,9,2,5,104,1,0,105,2,107,--,208,98,104,105,107,Algún campo sin dato,1,37197c5dbd3664dcfe14e4a4d8f9fd42ed05e3e4a4bd3f440a46560091191acc,25/06/2023 22:35:57,ESCANER
21198,"Petén",17,"El Chal",14,3298,205,30,7,31,8,1,6,83,11,3,97,0,97,--,205,108,83,97,97,Algún campo sin dato,1,70dbac4235d9f024449993a1258397737c28650149d176e7088235ba6f3b020e,25/06/2023 22:28:59,ESCANER
21199,"Petén",17,"El Chal",14,3299,400,79,31,71,7,7,6,201,26,2,229,0,229,--,400,171,201,229,229,Algún campo sin dato,1,9f18916537e69435b068dc72d5b8d3befe60c190ada2fb8fced9ce7e825d04f7,26/06/2023 00:04:55,ESCANER
21200,"Petén",17,"El Chal",14,3299,400,70,26,68,6,7,8,185,12,3,200,0,200,1,400,200,185,200,200,,1,b748aeaaecd4243fcacdab009927510474efa1b35829eb2db3c4d16e8a5f7176,26/06/2023 00:34:12,ESCANER
21201,"Petén",17,"El Chal",14,3299,400,87,19,51,3,11,5,176,13,2,191,0,191,--,400,209,176,191,191,Algún campo sin dato,1,a77aeae9ee287f287ac565917f2637047a971120074fe4fc863bf375a7f7b476,25/06/2023 23:45:41,ESCANER
