TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
181,181,100.0000,180,99.4475,1,67663,36396,53.7901

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,VALOR,TODOS,AZUL,UNE,MLP,VICTORIA,PPN,VIVA,UR,CAMBIO,PODEMOS,VOS,SEMILLA,BIEN,PPG,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21216,"Izabal",18,"Puerto Barrios",1,3304,400,4,35,21,5,1,6,0,0,0,2,1,0,3,2,2,1,0,0,83,7,4,94,0,94,--,403,309,83,94,94,Algún campo sin dato,1,7a314adf0f17b84a81b16888c165cffde36aee3f9d971ef51d2ee6a2626e8be0,26/06/2023 00:04:46,ESCANER
21217,"Izabal",18,"Puerto Barrios",1,3304,400,5,26,17,7,1,--,--,2,4,1,--,--,2,--,2,--,1,--,68,9,2,79,--,79,--,400,321,68,79,79,Algún campo sin dato,1,4ac77295ed39e4f57529cbfa7b7794b21d6eceee3cb3f087929ef40c062be175,25/06/2023 22:29:41,ESCANER
21218,"Izabal",18,"Puerto Barrios",1,3304,400,5,31,13,5,4,0,0,3,0,1,1,0,1,1,0,0,1,1,67,10,0,77,0,77,--,400,323,67,77,77,Algún campo sin dato,1,4695356f6f4820c5eefb063e966c2c8c8dd770c3c429e9b8cbf04086c43441d5,26/06/2023 00:43:52,ESCANER
21219,"Izabal",18,"Puerto Barrios",1,3304,400,9,45,15,13,1,4,2,5,3,2,1,0,3,2,2,1,0,3,111,13,0,124,0,124,0,396,272,111,124,124,,1,00df29520f43d205f45e5e0026f322faca5d5ec94780377674b8f5d267964f89,26/06/2023 00:25:13,ESCANER
21220,"Izabal",18,"Puerto Barrios",1,3304,400,4,32,5,6,1,3,1,4,3,2,1,0,0,0,1,1,0,3,67,10,1,78,0,78,--,400,322,67,78,78,Algún campo sin dato,1,2409219ccb75473e6cbfd1394ab301ccc4c27c35d3c74b9684bf6851fa1a1e77,26/06/2023 01:14:30,ESCANER
21221,"Izabal",18,"Puerto Barrios",1,3304,400,3,35,17,10,3,2,0,2,2,1,1,0,0,2,3,0,0,0,81,8,0,89,0,89,--,400,311,81,89,89,Algún campo sin dato,1,cf5427cec5195e8b96dd90ef9fa4ef76aafef44e0f0b73d47309d4ad3991af2a,26/06/2023 03:01:19,ESCANER
21222,"Izabal",18,"Puerto Barrios",1,3304,400,5,53,20,7,2,3,0,2,0,2,1,2,2,0,0,1,0,0,100,3,1,104,0,104,--,395,241,100,104,104,Algún campo sin dato,1,f1e992eab9280a21875b511449444da1e7c5cfc100540d44858e778c20dec3d8,26/06/2023 02:21:16,ESCANER
21223,"Izabal",18,"Puerto Barrios",1,3304,400,3,49,15,7,3,3,0,3,1,2,1,1,2,1,2,0,1,1,95,7,2,104,0,104,--,400,296,95,104,104,Algún campo sin dato,1,15c562a0d501b7eea623ee0bac77d4856631219b61a85f87133caf9f08912be9,26/06/2023 01:32:19,ESCANER
21224,"Izabal",18,"Puerto Barrios",1,3304,400,3,29,10,9,2,2,0,2,0,2,0,0,1,0,2,2,2,2,68,10,0,78,0,78,--,400,322,68,78,78,Algún campo sin dato,1,e9ab446245769eba4f1e81b50ca4f1b05e6401fb26b5b918cb222bca46ab9980,26/06/2023 00:37:14,ESCANER
21225,"Izabal",18,"Puerto Barrios",1,3304,400,2,19,12,8,6,3,0,2,0,1,1,1,1,0,1,2,0,3,62,6,2,70,0,70,--,400,330,62,70,70,Algún campo sin dato,1,23b0dd9315bb5753ee74addb708c64d2b53a8fcdf692bc6b3e4904720b1c51ef,25/06/2023 23:41:41,ESCANER
21226,"Izabal",18,"Puerto Barrios",1,3304,400,1,13,7,1,1,0,0,1,0,0,1,0,1,0,3,0,0,0,29,3,1,33,0,33,--,400,367,29,33,33,Algún campo sin dato,1,e61cc0d156f357bcfe6e235974a0657283367ce0af647af993e01c0ad737f6c5,25/06/2023 21:57:27,ESCANER
21227,"Izabal",18,"Puerto Barrios",1,3304,400,2,1,1,1,0,2,0,1,0,1,0,0,0,1,1,1,0,0,12,9,1,22,0,22,--,397,375,12,22,22,Algún campo sin dato,1,2750ad228c2d66141080078bd2598b7594c215ea7519186bd1aa6eded24d9054,25/06/2023 23:33:28,ESCANER
21228,"Izabal",18,"Puerto Barrios",1,3304,400,3,10,4,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,24,1,1,26,0,26,--,400,374,24,26,26,Algún campo sin dato,1,4e86091ce79acbde263ad32f8e1de9cbf62a579e9402ed2a93e6f80bc766ffdc,25/06/2023 21:38:46,ESCANER
21229,"Izabal",18,"Puerto Barrios",1,3304,284,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,11,0,11,--,281,270,9,11,11,Algún campo sin dato,1,d5e0e3bde49dd374b42a0fc44a29517ae3f365284bc1581814008fe7b62df626,25/06/2023 21:46:50,ESCANER
21230,"Izabal",18,"Puerto Barrios",1,3305,283,1,8,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,16,0,0,16,0,16,--,283,267,16,16,16,Algún campo sin dato,1,4e814ae1fa55b8f962401c6dfba7be8f252813d9705f3e9c926d445e69544e08,26/06/2023 00:05:57,ESCANER
21231,"Izabal",18,"Puerto Barrios",1,3306,400,3,103,37,23,15,6,1,14,2,4,0,2,0,4,2,0,0,4,220,21,2,243,0,243,--,400,157,220,243,243,Algún campo sin dato,1,ca60ebb47e04bc5ed5d894387b09db1a3eea327e0b558b6ce1209d427a52bb73,26/06/2023 00:36:20,ESCANER
21232,"Izabal",18,"Puerto Barrios",1,3306,400,10,93,38,22,12,8,1,9,3,1,1,5,2,1,1,3,0,6,216,18,2,236,0,236,--,400,164,216,236,236,Algún campo sin dato,1,cde0277c756ecd220249f1868eebf364e9e510864bd945d19215634f9a3f4556,26/06/2023 03:22:45,ESCANER
21233,"Izabal",18,"Puerto Barrios",1,3306,400,7,79,42,24,15,4,0,16,6,1,2,3,1,2,0,4,1,3,210,27,1,238,0,238,--,400,162,210,238,238,Algún campo sin dato,1,9225ccefb9c8e463783c2f6b1dabc501c9eb8d3cd4655b0d2ba1d3e95354e791,26/06/2023 01:30:58,ESCANER
21234,"Izabal",18,"Puerto Barrios",1,3306,400,6,95,43,12,11,7,1,13,3,4,6,4,0,4,3,2,5,3,222,17,7,247,0,247,--,399,152,222,246,246,Sumas Asentadas sin cuadrar,1,8f0492ad3ec97804dbd81f59e98e776d13ac0b7636ab7cd62a686c77ac0b74e8,26/06/2023 03:12:14,ESCANER
21235,"Izabal",18,"Puerto Barrios",1,3306,400,6,107,46,13,8,9,0,11,6,2,2,2,5,3,3,0,2,8,233,21,2,256,0,256,--,400,144,233,256,256,Algún campo sin dato,1,2ec7e046b8410886ca1465105e9713d4311fee55f573cded32dd4cdf11bb094c,26/06/2023 01:08:09,ESCANER
21236,"Izabal",18,"Puerto Barrios",1,3306,400,5,98,46,31,11,13,1,8,2,4,3,3,4,2,1,1,1,3,237,15,5,257,--,257,--,400,143,237,257,257,Algún campo sin dato,1,c2d793ea2a6361a95fca38e531ca8935448865a60e2536603f6cfdfd95778ebe,26/06/2023 02:47:53,ESCANER
21237,"Izabal",18,"Puerto Barrios",1,3306,400,6,96,36,19,9,11,0,9,4,4,4,1,4,2,4,2,0,5,216,19,1,236,0,236,--,399,163,216,236,236,Algún campo sin dato,1,2b4cdb82b8d6709e5d9b9ade3d9c5325b3327cece08a6d328ead8b67bca728ec,26/06/2023 02:55:40,ESCANER
21238,"Izabal",18,"Puerto Barrios",1,3306,400,8,118,42,22,8,11,--,5,3,1,4,4,2,2,2,--,1,4,237,20,0,257,0,257,--,400,143,237,257,257,Algún campo sin dato,1,24511a0470be392f9774298cb5734a005289a5ca7ed977b6a25e4ea8855ecb32,26/06/2023 01:15:06,ESCANER
21239,"Izabal",18,"Puerto Barrios",1,3306,400,14,102,48,16,13,5,1,10,3,4,1,5,2,1,6,0,1,5,237,12,3,252,0,252,--,400,148,237,252,252,Algún campo sin dato,1,33e6a0cf39f3cb6e7151104d78d31ee15e9315fc60254b53964c0f017bd1541f,26/06/2023 00:15:50,ESCANER
21240,"Izabal",18,"Puerto Barrios",1,3306,400,6,120,42,20,10,6,2,8,1,3,--,2,6,1,6,2,3,4,242,26,3,268,--,268,--,400,129,242,271,271,Sumas Asentadas sin cuadrar,1,94cb13ea28b6af9836caf90260188a3b8bdc09a1450c377670d653e54d945133,26/06/2023 04:12:53,ESCANER
21241,"Izabal",18,"Puerto Barrios",1,3306,400,2,97,40,22,18,3,0,8,1,3,4,0,5,2,2,3,2,5,217,19,2,238,0,238,--,397,159,217,238,238,Algún campo sin dato,1,33b3e77ea355ec09361be6995850f9e5ec539b26441f97af7389d4b55c9ba861,26/06/2023 01:27:45,ESCANER
21242,"Izabal",18,"Puerto Barrios",1,3306,400,13,111,52,16,10,2,0,12,2,3,1,2,2,2,1,0,1,3,233,20,3,256,0,256,--,396,140,233,256,256,Algún campo sin dato,1,ad84f0dcb6bb5b82a53116a83a7101b072ce4f8c139f13f6a5a9f06e401498cf,26/06/2023 04:52:54,ESCANER
21243,"Izabal",18,"Puerto Barrios",1,3306,400,7,103,43,27,12,4,0,11,2,2,3,4,2,2,4,4,1,3,234,24,0,258,0,258,--,400,142,234,258,258,Algún campo sin dato,1,1e07c5fc6826d2a5cfd9ad56bad6feeeee7c740129d92912eb6cc860b3ee4103,25/06/2023 23:38:19,ESCANER
21244,"Izabal",18,"Puerto Barrios",1,3306,400,8,91,34,29,10,8,0,7,2,7,5,3,5,4,4,0,2,5,224,28,4,256,0,256,--,400,144,224,256,256,Algún campo sin dato,1,187bc6579787e9bd47d0b9f2fffdfe451fd284ba3ddaa3f6f18cecaa22f93ea4,26/06/2023 02:47:55,ESCANER
21245,"Izabal",18,"Puerto Barrios",1,3306,400,6,84,41,18,8,12,1,13,4,5,1,3,5,5,1,0,3,4,214,21,1,236,0,236,--,400,164,214,236,236,Algún campo sin dato,1,64e93c8a62dba777106d0de0b4b81e337a4c7bc57bad1f4b057b499033eaa66d,25/06/2023 23:58:19,ESCANER
21246,"Izabal",18,"Puerto Barrios",1,3306,400,11,82,40,19,24,3,0,5,0,3,2,1,4,0,4,2,2,4,206,10,0,216,0,216,0,400,184,206,216,216,,1,ee450ad794d23a82846b6e08b8dd01c35f32db7f4f64329c8205ef0cf23d591f,25/06/2023 23:08:53,ESCANER
21247,"Izabal",18,"Puerto Barrios",1,3306,400,11,93,42,21,25,4,0,6,5,2,2,1,1,2,2,0,2,6,225,9,0,234,0,234,--,400,166,225,234,234,Algún campo sin dato,1,36c1983f083b655d199bd4d606de25f973f1d9bc2b0d5cbf8305a7c1ec0d084a,25/06/2023 23:50:23,ESCANER
21248,"Izabal",18,"Puerto Barrios",1,3306,400,10,85,35,26,18,0,0,7,2,1,1,1,2,1,2,3,4,3,201,15,0,216,0,216,--,400,184,201,216,216,Algún campo sin dato,1,8ac9f7cca6d0a71743af5662f3d7828ce17c1f6b859174adb3a5693b7750af96,26/06/2023 00:34:39,ESCANER
21249,"Izabal",18,"Puerto Barrios",1,3306,400,7,97,30,22,9,6,0,8,1,5,2,2,4,0,2,3,3,4,205,20,0,225,0,225,--,400,175,205,225,225,Algún campo sin dato,1,b302e71136742caf02d7463bab3b05e2e18d83608b3140be7b5004d3c3c0ac2d,26/06/2023 00:09:05,ESCANER
21250,"Izabal",18,"Puerto Barrios",1,3306,400,3,100,36,17,20,6,0,7,1,2,4,3,3,2,1,3,2,3,213,20,3,236,0,236,--,400,164,213,236,236,Algún campo sin dato,1,df34b03bcd23569b5286588270cdcad3103ba8f862a3ad79c6911d83b6466dee,26/06/2023 01:24:19,ESCANER
21251,"Izabal",18,"Puerto Barrios",1,3306,400,7,93,33,20,13,12,0,9,2,6,3,1,2,2,2,2,2,3,212,16,3,231,0,231,0,400,169,212,231,231,,1,191e46bfc5fc3fd68468d6ae897c92637952341013e8e40f44b04ca175387d19,26/06/2023 01:06:19,ESCANER
21252,"Izabal",18,"Puerto Barrios",1,3306,400,6,90,48,21,10,7,0,5,2,3,3,5,4,0,2,2,1,3,212,11,1,224,0,224,--,400,176,212,224,224,Algún campo sin dato,1,73789deb70a07df261d28edec177b98e7240d358b750c581983ee8b16f48635a,26/06/2023 02:38:44,ESCANER
21253,"Izabal",18,"Puerto Barrios",1,3306,400,13,93,31,25,13,3,0,7,1,3,0,6,1,2,5,4,2,3,212,17,0,229,0,229,--,400,171,212,229,229,Algún campo sin dato,1,e97acb9b466003165a41ddb4579cade5fbbbc85d72247254a634b3a110d735f0,26/06/2023 00:43:34,ESCANER
21254,"Izabal",18,"Puerto Barrios",1,3306,400,7,77,43,26,13,4,1,9,0,5,1,2,5,2,4,0,3,5,207,13,1,221,0,221,--,400,179,207,221,221,Algún campo sin dato,1,cac64c03f863019b43d8383431f98897cb691763c1dabadc3bfbb0914c33046b,25/06/2023 23:18:10,ESCANER
21255,"Izabal",18,"Puerto Barrios",1,3306,400,13,88,49,17,13,5,0,5,2,2,5,1,1,2,3,3,1,3,213,10,1,214,0,224,--,400,176,213,224,224,Sumas Asentadas sin cuadrar,1,f19f2495f5b3b584732a9a2e2e67fe4226dad02b518118a41ca0d56f6a0b406e,25/06/2023 23:50:37,ESCANER
21256,"Izabal",18,"Puerto Barrios",1,3306,400,6,112,40,31,5,6,0,7,1,1,0,3,8,4,2,2,4,1,233,14,1,248,0,248,--,400,152,233,248,248,Algún campo sin dato,1,1f356207e3150b480bcf8b58c82f2fe13054d16514c2ecbff318290abe29da81,25/06/2023 23:58:50,ESCANER
21257,"Izabal",18,"Puerto Barrios",1,3306,400,7,94,36,27,7,8,0,6,3,2,1,6,6,6,4,1,3,4,221,13,1,235,0,235,--,400,165,221,235,235,Algún campo sin dato,1,7f08e0ff7d84be8270cc58d459fbf599fcc9dbbd63c66e6b1922a81afcb9e4fa,26/06/2023 02:46:51,ESCANER
21258,"Izabal",18,"Puerto Barrios",1,3306,400,8,101,31,25,9,6,2,6,0,1,7,0,8,2,2,0,2,2,212,26,4,242,0,242,--,400,158,212,242,242,Algún campo sin dato,1,c88afa1be58eb5f7b7e0239d096f529026353b1bb7db26bddc35e9796e810e51,26/06/2023 02:29:22,ESCANER
21259,"Izabal",18,"Puerto Barrios",1,3306,400,5,95,33,22,12,6,0,9,3,1,5,1,4,3,3,3,3,1,209,24,0,233,0,233,1,398,165,209,233,233,,1,dbff97b7c32a933df211f2a173ef8ec9822b28b826751b1da9e8545ac75653c4,26/06/2023 01:15:37,ESCANER
21260,"Izabal",18,"Puerto Barrios",1,3306,400,11,99,41,25,8,5,0,8,4,7,1,4,2,4,3,2,2,4,230,18,0,248,0,248,--,400,152,230,248,248,Algún campo sin dato,1,842bc3f7822ade1f7335829799abc8ad46b9dac0efbf5a48dca33b1cd00f2b40,26/06/2023 01:55:36,ESCANER
