TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
106,106,100.0000,105,99.0566,1,39107,26983,68.9978

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,UNE,VALOR,CABAL,VIVA,UR,ELEFANTE,VOS,MLP,VICTORIA,PODEMOS,PPN,CAMBIO,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21525,"Izabal",18,"El Estor",3,3343,400,54,10,67,4,87,6,1,0,1,6,0,0,2,4,0,242,29,0,271,0,271,0,400,129,242,271,271,,1,300846627e72380b6b9d1555b845303555e329c60e6f297fd4a6efdd34621f97,26/06/2023 00:41:39,ESCANER
21526,"Izabal",18,"El Estor",3,3343,400,49,9,59,2,95,5,0,1,3,5,1,0,9,4,0,242,13,4,259,0,259,--,400,141,242,259,259,Algún campo sin dato,1,d6ee4ecd7f0a46b140821598ea81293f7141f7800217e204e34bad13fc984710,25/06/2023 21:51:44,ESCANER
21527,"Izabal",18,"El Estor",3,3343,400,54,8,68,8,82,8,0,2,2,4,0,0,0,4,1,241,14,2,257,0,257,--,400,143,241,257,257,Algún campo sin dato,1,f90ac8cccbb539f3120d2b7f5d5e390b1f52bc04694412d8cc6e0bce92a34d9b,25/06/2023 23:43:31,ESCANER
21528,"Izabal",18,"El Estor",3,3343,400,54,9,65,5,102,6,0,0,3,5,1,0,2,4,2,258,17,3,278,0,278,2,400,120,258,278,278,,1,40800ced3f7cf2b17e7d9a9db7dd3486228b326044e4b97ec7063bfe0443b37e,26/06/2023 00:25:23,ESCANER
21529,"Izabal",18,"El Estor",3,3343,400,65,2,70,2,99,6,2,1,1,5,0,2,1,2,1,259,16,1,276,0,276,--,400,124,259,276,276,Algún campo sin dato,1,8970c0a41e8187ea93ea0ce23830c249fc463ea03ea2cf6f77517284c15830cc,25/06/2023 22:43:10,ESCANER
21530,"Izabal",18,"El Estor",3,3343,400,76,3,79,6,91,2,0,0,1,6,2,1,1,5,0,273,19,3,295,0,295,--,400,105,273,295,295,Algún campo sin dato,1,3208bd0e2f55aa280f45e41f45e8f9d5828963d65f1bf8d4a67e40e608da2b25,25/06/2023 21:31:54,ESCANER
21531,"Izabal",18,"El Estor",3,3343,400,80,8,78,1,101,2,0,0,1,5,1,0,1,2,2,282,13,2,297,0,297,--,400,103,282,297,297,Algún campo sin dato,1,5732caa690a0ce6b56aac8cb12bc6404666e30eb0199f5796a2ac5c046819b29,25/06/2023 23:58:00,ESCANER
21532,"Izabal",18,"El Estor",3,3343,400,59,8,58,7,90,8,0,1,1,4,0,3,1,0,1,241,11,2,254,0,254,--,400,146,241,254,254,Algún campo sin dato,1,fbd76835430802d79119f5c5a8569cab6cb8a7fd986b0a7142737b06c75aca5a,26/06/2023 00:04:22,ESCANER
21533,"Izabal",18,"El Estor",3,3343,400,60,5,61,4,90,2,0,0,1,0,0,0,0,5,1,229,9,0,238,0,238,--,400,162,229,238,238,Algún campo sin dato,1,1fbb9c0dfb4bdfc00228441b26ac2e2bb462fa518420172eb29f9cb58e94b682,26/06/2023 01:17:47,ESCANER
21534,"Izabal",18,"El Estor",3,3343,400,62,6,55,1,95,5,0,0,1,4,0,0,1,6,1,237,13,5,255,0,255,--,400,145,237,255,255,Algún campo sin dato,1,5ff55cb8be6ae9fdc053d01df63cd91f101a5eca43080f777101d5942987bf95,26/06/2023 00:51:18,ESCANER
21535,"Izabal",18,"El Estor",3,3344,400,69,9,55,13,82,0,1,0,1,3,0,2,1,3,1,240,20,1,261,0,261,--,397,136,240,261,261,Algún campo sin dato,1,17f85438cc4913737a007538b775b6a5d261a401ca39409b85d754787008c66c,26/06/2023 00:27:25,ESCANER
21536,"Izabal",18,"El Estor",3,3344,400,44,1,51,10,102,3,0,0,1,2,0,1,2,4,1,222,16,1,239,0,239,1,397,157,222,239,239,,1,20a7f0a9bed6ebe18c4906866f004c6e38cb4d7975dcb331bd081c3cb7198eaa,26/06/2023 00:23:40,ESCANER
21537,"Izabal",18,"El Estor",3,3344,400,48,9,49,8,103,4,0,0,1,1,0,1,2,6,2,234,16,0,250,0,250,--,400,150,234,250,250,Algún campo sin dato,1,cda259b0ebf78f83507c5d3c35d9e89505e4bea2a29fceeb04ff492eda17baac,26/06/2023 00:35:51,ESCANER
