TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,36452,19514,53.5334

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,VALOR,MLP,VIVA,ELEFANTE,CAMBIO,UNE,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21793,"Izabal",18,"Los Amates",5,3376,400,64,116,2,1,6,1,0,67,1,258,7,0,265,0,265,--,400,135,258,265,265,Algún campo sin dato,1,8111bc25e906dd64ed8921b154f1ace4117089bce4d8939907b9640e17e5ff97,26/06/2023 03:18:28,ESCANER
21794,"Izabal",18,"Los Amates",5,3376,400,74,113,1,2,10,1,2,62,0,265,14,1,280,0,280,--,400,120,265,280,280,Algún campo sin dato,1,44519943a53989c5ebfa245738b60f3e68f9239682f118fe2fc24091eca6fa5e,26/06/2023 02:07:52,ESCANER
21795,"Izabal",18,"Los Amates",5,3376,400,65,123,0,0,7,0,5,65,0,265,9,1,275,0,275,--,400,125,265,275,275,Algún campo sin dato,1,002ba093d62843a9777f200d6c02603ac3a5cc094d033106f6cb91a8e09cdff9,26/06/2023 03:46:36,ESCANER
21796,"Izabal",18,"Los Amates",5,3376,400,56,112,0,3,3,3,0,49,0,226,8,2,236,0,236,--,397,161,226,236,236,Algún campo sin dato,1,8cbacd07aac98fa50509fafceaba58da5575b93259aad593731d196db7e209ce,26/06/2023 01:49:59,ESCANER
21797,"Izabal",18,"Los Amates",5,3376,400,57,128,3,1,5,1,2,41,1,239,5,6,250,0,250,--,400,150,239,250,250,Algún campo sin dato,1,b033970c6a75192f41227bdb4b99022f6714c03332498bcc8665dd789ae6a16f,26/06/2023 00:58:32,ESCANER
21798,"Izabal",18,"Los Amates",5,3376,400,70,119,1,1,5,2,2,45,0,245,8,0,253,0,253,--,400,147,245,253,253,Algún campo sin dato,1,77fb056c131ea15a67c24c02ba8c4596e1b399b571c5c344506ef716f2528909,25/06/2023 23:19:52,ESCANER
21799,"Izabal",18,"Los Amates",5,3376,400,62,100,0,0,2,0,3,46,0,213,8,3,224,0,224,--,400,176,213,224,224,Algún campo sin dato,1,b2e62a436a79a211f10096264bc937677b95f81b58561642fe97d76e61f242ce,26/06/2023 00:46:27,ESCANER
21800,"Izabal",18,"Los Amates",5,3376,400,62,105,2,0,8,1,2,42,2,224,3,0,227,173,400,--,400,173,224,227,400,Algún campo sin dato,1,80d2acde60fbd8f46ad246f2bc293d773bb2576aefbc1be49e3a9c0eba75f1a9,26/06/2023 02:22:05,ESCANER
21801,"Izabal",18,"Los Amates",5,3376,400,68,144,1,0,1,1,1,43,1,260,1,0,261,0,261,--,400,136,260,261,261,Algún campo sin dato,1,2c7517fe79f8864c07add5d0d1d86579b570422947cb4240d34c3783f6ef311f,26/06/2023 02:31:41,ESCANER
21802,"Izabal",18,"Los Amates",5,3377,287,53,86,1,2,4,0,1,29,0,176,2,0,178,0,178,--,287,109,176,178,178,Algún campo sin dato,1,13004d3469089a3eccb64bce5317d0d9ec6415f00943958a939ab5613f5628bc,25/06/2023 22:42:29,ESCANER
21803,"Izabal",18,"Los Amates",5,3377,286,31,74,0,1,1,0,1,22,0,130,4,2,136,0,136,--,286,150,130,136,136,Algún campo sin dato,1,57a86481f98e1c9906ee2a7c017e63fe1e4cc5eab8f34a120c4b76f0bca789ab,25/06/2023 22:59:23,ESCANER
21804,"Izabal",18,"Los Amates",5,3378,228,35,53,0,0,3,0,0,30,0,121,12,1,134,0,134,--,228,94,121,134,134,Algún campo sin dato,1,f5eae916cce4a7c3e2e514e1177150c132ce083ebc3288cfd8b65977e5f63af9,25/06/2023 22:10:06,ESCANER
