TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
108,108,100.0000,108,100.0000,0,40974,22564,55.0690

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,CCER-19PAZ,VALOR UNIONISTA,VIVA,CAMBIO,UNE,BIEN,SEMILLA,CABAL,P A N,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21890,"Zacapa",19,"Zacapa",1,3393,400,6,114,8,10,4,9,3,15,51,1,221,16,1,238,0,238,0,400,162,221,238,238,,1,1dc0c4b65ac2460d1437cac53d587a797e93242ed75eeeb36130bc80103ecc9f,26/06/2023 02:22:14,ESCANER
21891,"Zacapa",19,"Zacapa",1,3393,400,15,109,11,21,2,8,5,17,62,1,251,15,1,267,0,267,0,400,133,251,267,267,,1,af70431a705b38beb2ee96fd2e340eb4c3b299caad97a536ef024c9c7099568e,26/06/2023 02:46:33,ESCANER
21892,"Zacapa",19,"Zacapa",1,3393,400,5,127,16,14,3,14,2,13,50,0,244,19,3,266,0,266,0,400,134,244,266,266,,1,1612863a95675979fd090a3507b7d8db8ebb6e6989ee915a0e6a07e3ade57584,26/06/2023 02:58:25,ESCANER
21893,"Zacapa",19,"Zacapa",1,3393,400,9,92,20,15,2,5,3,13,55,1,215,18,3,236,0,236,0,400,164,215,236,236,,1,6244bd95cb297ff3b9145692995aa46b0b93d425d567cf176fb38693f96dade9,26/06/2023 02:46:12,ESCANER
21894,"Zacapa",19,"Zacapa",1,3393,400,2,126,13,11,3,5,2,10,51,1,224,15,0,239,0,239,0,398,159,224,239,239,,1,f4cdaeff8d57eda05097f6882c50b01b0ac72e7c725609bcdee48703ce82a975,26/06/2023 01:57:25,ESCANER
21895,"Zacapa",19,"Zacapa",1,3393,400,11,90,13,15,4,7,2,11,56,3,212,19,0,231,0,231,3,400,169,212,231,231,,1,d5c6484c1ac3631d63c02fa053c6fd9b91c327112d1da393c68f1e020340e100,26/06/2023 05:16:22,ESCANER
21896,"Zacapa",19,"Zacapa",1,3393,400,9,100,14,17,3,7,2,12,65,0,229,15,3,247,1,248,1,401,153,229,247,248,,1,88920bfecfc4912d84bd04f29328b9de8c3dd1e1e17cc95cd16f943d163b80e0,26/06/2023 02:14:33,ESCANER
21897,"Zacapa",19,"Zacapa",1,3393,400,9,90,9,9,1,7,1,9,49,0,184,7,1,192,0,192,0,400,208,184,192,192,,1,4717bc434d6e409dfeb95ef0902bbf54a12e936d6819065d42a85f19610b91e0,26/06/2023 02:35:56,ESCANER
21898,"Zacapa",19,"Zacapa",1,3393,400,11,104,7,9,1,5,2,13,54,0,206,5,0,211,0,211,0,400,186,206,211,211,,1,753b2d4bcd01a22e6e141f9729c289479d64468d260ea033585f4b6472e4d9de,26/06/2023 02:02:07,ESCANER
21899,"Zacapa",19,"Zacapa",1,3393,333,10,102,7,9,1,2,1,16,55,0,203,3,0,206,0,206,0,333,127,203,206,206,,1,85c5a3dc2e536a33c09d6d971cf825a5a53724733ebefb6988fe6866965a1c58,26/06/2023 02:10:31,ESCANER
