TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
25,25,100.0000,25,100.0000,0,9643,6494,67.3441

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VAMOS,TODOS,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21998,"Zacapa",19,"Estanzuela",2,3408,400,18,3,76,45,0,129,271,16,2,289,0,289,0,400,111,271,289,289,,1,fc36bec573fcb69d1a9cba2a799703d6f8cb9bc92fd4e00c92e74025e8efe1e7,26/06/2023 02:57:01,ESCANER
21999,"Zacapa",19,"Estanzuela",2,3408,400,18,6,72,46,2,115,259,11,1,271,0,271,0,397,126,259,271,271,,1,dbf5a91cf586c52cf2bed919790749d88eca5f0de90f520098f8d8641addec0c,26/06/2023 02:31:34,ESCANER
22000,"Zacapa",19,"Estanzuela",2,3408,400,16,3,90,54,0,121,284,13,4,301,0,301,0,400,99,284,301,301,,1,3058693be66e9fe98a06074a85776965db940f2e3a4b1c29866796b066c24023,26/06/2023 02:12:17,ESCANER
22001,"Zacapa",19,"Estanzuela",2,3408,400,10,5,87,58,3,125,288,19,5,312,0,312,0,400,88,288,312,312,,1,c0e179892b7b3e7e2dafb60b4d71c6fb90e31f74f22a130715d18608eadb2fa0,26/06/2023 02:46:35,ESCANER
22002,"Zacapa",19,"Estanzuela",2,3408,400,17,6,75,75,1,106,280,18,2,300,0,300,0,400,100,280,300,300,,1,918fdde894025e25fe5eb6ee4d87da7f029498f06738f6beda0ba1ba5c66d50c,26/06/2023 02:53:25,ESCANER
22003,"Zacapa",19,"Estanzuela",2,3408,400,10,4,73,59,3,120,269,20,1,290,0,290,0,400,110,269,290,290,,1,2af54e567824d72e9b3c59f4e60772c234b393a51718a114363d8a902338e38f,26/06/2023 02:19:00,ESCANER
22004,"Zacapa",19,"Estanzuela",2,3408,400,13,2,101,52,4,133,305,9,4,318,0,318,0,400,82,305,318,318,,1,acdf283173e32c621f3fb83972debc973e8b99d35a5422210368e25e22a00883,26/06/2023 02:00:08,ESCANER
22005,"Zacapa",19,"Estanzuela",2,3408,400,9,3,105,45,4,130,296,18,3,317,0,317,5,400,83,296,317,317,,1,c8d28ebbf7bd131e03c217438cacd98bae2f6ef3ff0802b81de30d47bcfbf0a0,26/06/2023 02:36:40,ESCANER
22006,"Zacapa",19,"Estanzuela",2,3408,400,18,3,75,54,2,140,292,9,6,307,0,307,0,400,93,292,307,307,,1,0fecd887b96c42b2743af828ac0978429fbe264e6830b03eb43fdb192b50b82d,26/06/2023 01:33:33,ESCANER
22007,"Zacapa",19,"Estanzuela",2,3408,400,18,7,78,67,4,111,285,13,3,301,0,301,0,400,99,285,301,301,,1,f3f39dc2ebb83ed4f509f5bf9970b0806a1c68f1cfc9b56cfbab50d1e3cff326,26/06/2023 02:26:05,ESCANER
22008,"Zacapa",19,"Estanzuela",2,3408,400,12,5,82,67,1,100,267,5,1,273,0,273,0,400,127,267,273,273,,1,979aed3fe1b78f458b49969022288c3717c82961e781d3cc6bc023cc0bcc3c5c,26/06/2023 03:02:30,ESCANER
