TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,43,100.0000,0,15893,10186,64.0911

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,VALOR UNIONISTA,MLP,CABAL,EL TUNO,VIVA,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22023,"Zacapa",19,"Río Hondo",3,3412,400,2,91,0,15,116,10,4,238,16,3,257,0,257,0,400,143,238,257,257,,1,e317461b386cde41176455e8f921216a24aa590b0bf4399467ff28320c5f4004,25/06/2023 23:50:52,ESCANER
22024,"Zacapa",19,"Río Hondo",3,3412,400,7,108,2,16,102,12,5,252,8,2,262,0,262,0,400,138,252,262,262,,1,1dd11b6431c9474874f919969656e29e954d677efe048a82f096599e19e8ebdc,26/06/2023 00:46:39,ESCANER
22025,"Zacapa",19,"Río Hondo",3,3413,400,0,94,0,15,100,13,1,223,19,2,244,0,244,0,400,156,223,244,244,,1,b7125a15fe3574ce1192ac0dc959b8556a3eb5ea34ab469c6ee3187e8c965edb,26/06/2023 01:31:59,ESCANER
22026,"Zacapa",19,"Río Hondo",3,3414,400,6,97,2,14,109,14,5,247,25,3,275,0,275,0,400,125,247,275,275,,1,852136fb756e662cd19c9fa3621d528deb2aa74532e3093e956b2961512782f6,25/06/2023 23:30:39,ESCANER
22027,"Zacapa",19,"Río Hondo",3,3414,400,3,103,0,14,119,12,2,253,25,2,280,0,280,0,400,120,253,280,280,,1,5a63e110d11d62f43080b2c71f977c15299699cf9807932cbc26343150f2e68a,25/06/2023 23:57:37,ESCANER
22028,"Zacapa",19,"Río Hondo",3,3414,400,2,101,0,21,105,11,4,244,20,4,268,0,268,0,400,132,244,268,268,,1,86a522dca1317c519838f73a6aab0f118b16b15eb944a98c1a958a0206bcc94e,26/06/2023 00:47:32,ESCANER
22029,"Zacapa",19,"Río Hondo",3,3414,400,7,91,0,17,130,11,2,258,14,0,272,0,272,0,400,128,258,272,272,,1,42c334fe50bd1c2cfed2887565fd7d79765b5e772facdc14bb7381c96851e360,25/06/2023 23:48:53,ESCANER
22030,"Zacapa",19,"Río Hondo",3,3415,400,0,102,0,16,105,6,2,231,6,0,237,0,237,0,400,163,231,237,237,,1,0520bb2878f9de3e9e9c6ca1a91fd5f601ac3fbc1e3625dfeb0cf82d46ff0c91,25/06/2023 22:55:04,ESCANER
22031,"Zacapa",19,"Río Hondo",3,3416,400,4,93,0,18,111,10,1,237,12,0,249,0,249,0,400,151,237,249,249,,1,a684d6505ec3dd9fa780d9c6a751e43717c8c118262ed6a8b86f0b2ca18df06d,25/06/2023 22:26:18,ESCANER
22032,"Zacapa",19,"Río Hondo",3,3416,400,1,91,1,22,113,15,4,247,11,0,258,0,258,0,400,142,247,258,258,,1,1c12acc12e87de1230ad6eb20566796b748f4cf7e39baa019f4ea476210921b5,26/06/2023 00:12:35,ESCANER
22033,"Zacapa",19,"Río Hondo",3,3417,400,4,76,1,24,106,9,2,222,18,3,243,0,243,0,400,157,222,243,243,,1,7c9ea0778cfb22056141e1d86c6218f1892d0b8e0dcdf4cfbf2c5e5fdf894c97,25/06/2023 23:06:34,ESCANER
22034,"Zacapa",19,"Río Hondo",3,3417,400,0,96,1,19,100,9,3,228,12,3,243,0,243,0,399,156,228,243,243,,1,f9679df23b8627773fb9a8e9714c49a474a1602d94ff8011cab9cad94ff58828,25/06/2023 22:52:49,ESCANER
22035,"Zacapa",19,"Río Hondo",3,3417,400,1,111,0,23,101,11,1,248,6,1,255,0,255,0,400,145,248,255,255,,1,0299b8f7e78ca9d64841aac54f32d8614e3d95465442553224f7fda2de1c6c1b,25/06/2023 22:45:07,ESCANER
22036,"Zacapa",19,"Río Hondo",3,3417,367,3,95,1,25,113,10,1,248,6,0,254,0,254,0,364,110,248,254,254,,1,05bed5b4c79d2a8edcc6a963e228bd9c4259c11ea227d0a6d94eb53f43e5df9d,25/06/2023 23:25:07,ESCANER
22037,"Zacapa",19,"Río Hondo",3,3417,367,1,92,0,15,86,3,1,198,6,2,206,1,207,0,367,160,198,206,207,,1,649e74663bca55d5dc8a2c30b67517a1061729c58ddda254a1e9ef48282b84f5,25/06/2023 21:53:42,ESCANER
22038,"Zacapa",19,"Río Hondo",3,3418,380,1,75,0,9,155,2,2,244,23,1,268,0,268,0,380,112,244,268,268,,1,91a41f667a4a4676a0c2de5268080f05392db1f0e4123e9ae984e4fd11ced5e4,25/06/2023 23:42:18,ESCANER
22039,"Zacapa",19,"Río Hondo",3,3418,380,1,75,0,8,138,4,6,232,8,1,241,0,241,0,380,241,232,241,241,,1,8a8a0497c418a7083e1e4ee5b9be42fe7f8a85322d8bfa248724e3b246326b7f,25/06/2023 23:05:02,ESCANER
22040,"Zacapa",19,"Río Hondo",3,3418,380,2,78,1,5,137,8,5,236,22,2,260,0,260,0,380,120,236,260,260,,1,0baf306dff8fb455d316f6261fd72638702d9f07c79495815a9677104df574dc,25/06/2023 22:35:35,ESCANER
22041,"Zacapa",19,"Río Hondo",3,3418,191,2,42,0,3,69,0,1,117,6,0,123,0,123,0,191,68,117,123,123,,1,6583a8f7fade017c15a68e8c9217857853f96a07c0a04480ddadf80842dcaeaf,25/06/2023 21:59:56,ESCANER
22042,"Zacapa",19,"Río Hondo",3,3418,190,0,40,0,2,56,3,0,101,6,1,108,0,108,0,0,0,101,108,108,,1,80ce1256d4d86f88cb06d67eb949aa93a6a3a6f31cef78c0443e04f2043dce6b,25/06/2023 21:51:19,ESCANER
22043,"Zacapa",19,"Río Hondo",3,3419,380,1,59,3,30,125,47,6,271,20,1,292,0,292,0,380,88,271,292,292,,1,0958b5dafa2b38dfcc6fab0cc4c09b813bbdab8b7679dda8c9e1c994b40ea5d1,25/06/2023 23:41:43,ESCANER
22044,"Zacapa",19,"Río Hondo",3,3419,380,5,68,2,35,103,59,3,275,19,5,299,0,299,0,380,81,275,299,299,,1,76c41d6dd2639944df24106dc2ce05116e98d4fbadbad0d5890fab207c64c3c5,26/06/2023 00:42:37,ESCANER
22045,"Zacapa",19,"Río Hondo",3,3419,380,6,65,2,42,113,48,4,280,17,0,297,0,297,0,380,83,280,297,297,,1,42c351c5123d4c9ca3c512813e5f337f567c2975fd0b802fd41ac942ae45a04a,26/06/2023 01:39:15,ESCANER
22046,"Zacapa",19,"Río Hondo",3,3419,380,4,74,0,26,130,49,3,286,13,0,299,0,299,0,380,81,286,299,299,,1,fc8c2134fc2d07a11be224d1f55ec11261381abcd9e1c6795e3d84d75ad32d89,25/06/2023 23:57:04,ESCANER
22047,"Zacapa",19,"Río Hondo",3,3419,380,1,76,5,37,113,51,3,286,12,1,299,0,299,0,380,81,286,299,299,,1,50e525fe995ef2ebfa5726643f4721dcf0598cdf340288c9f80b2559a21d8754,26/06/2023 01:30:36,ESCANER
22048,"Zacapa",19,"Río Hondo",3,3419,380,1,69,2,36,141,39,2,290,18,1,310,0,310,0,380,70,290,309,309,Sumas Asentadas sin cuadrar,1,5d350f3355bdb93a4ebfd937f5a5ffd59404d5126773a5ac709902e2a40bf632,26/06/2023 01:49:48,ESCANER
22049,"Zacapa",19,"Río Hondo",3,3420,380,1,71,2,29,110,58,2,273,13,0,286,0,286,1,380,94,273,286,286,,1,6fe8ceda02b3d5dbecaa9d9b58ebded2f219315e99a69403937eecfd191edff5,26/06/2023 00:52:54,ESCANER
22050,"Zacapa",19,"Río Hondo",3,3420,380,4,57,1,39,105,58,3,267,11,2,280,0,280,0,376,96,267,280,280,,1,f2189360ffc22eb94768125117d67aa8c1b9488fb9544adeffeeed16b146be13,25/06/2023 23:16:23,ESCANER
22051,"Zacapa",19,"Río Hondo",3,3420,380,3,63,3,32,124,57,2,284,16,1,301,0,301,0,380,79,284,301,301,,1,d009ab52f688fb32007ade1f92e01459ac8d1ca227ce2f754263c2cacc67f24f,25/06/2023 23:51:46,ESCANER
22052,"Zacapa",19,"Río Hondo",3,3421,380,3,57,2,15,138,49,3,267,14,1,282,0,282,0,380,98,267,282,282,,1,4ab71be382d0550f6ae9d04eb9510556b4b2af24dcee71868c5d81294856ca49,26/06/2023 00:07:13,ESCANER
22053,"Zacapa",19,"Río Hondo",3,3421,380,2,67,2,28,127,41,2,269,16,3,288,0,288,0,380,92,269,288,288,,1,2b39df8d4d0c3d279ad18badb5ed6bc4c2d79cd62390cde4777feb1afc4dcd67,25/06/2023 23:19:10,ESCANER
22054,"Zacapa",19,"Río Hondo",3,3421,380,1,70,2,19,130,36,2,260,11,0,271,0,271,0,379,108,260,271,271,,1,5299f007f6c609644b80373cbe467f95674bfb94c957c6d7805caef4add4e75c,26/06/2023 01:03:56,ESCANER
22055,"Zacapa",19,"Río Hondo",3,3421,380,0,59,3,32,117,33,4,248,7,1,256,0,256,0,380,124,248,256,256,,1,f11454f2ebbf55ceeae628a617560aad1ef1ab3bbcbfab4fd07c41231f3467cf,26/06/2023 00:56:06,ESCANER
22056,"Zacapa",19,"Río Hondo",3,3421,380,1,90,2,34,111,49,1,288,3,0,291,0,291,0,0,89,288,291,291,,1,47b840452ae61fcdd73559127d122464c6dc235609fcbc71519fb0ce6fd1e2cd,26/06/2023 01:18:26,ESCANER
22057,"Zacapa",19,"Río Hondo",3,3421,252,0,49,1,25,58,43,1,177,3,0,180,0,180,0,252,72,177,180,180,,1,2aff2f1561dfd0ea9a9749ab8ec84794275a7c2a8870b197a6063f7a8c3a8ab1,25/06/2023 22:32:08,ESCANER
22058,"Zacapa",19,"Río Hondo",3,3421,252,2,31,1,15,75,29,0,153,6,0,159,0,159,0,252,93,153,159,159,,1,085d29a4b31577279db0d4e92a3110bc46ac05130a53b6eef6eb76ae8a07c868,25/06/2023 22:02:37,ESCANER
22059,"Zacapa",19,"Río Hondo",3,3422,380,3,44,1,27,82,21,4,182,20,3,205,0,205,0,380,175,182,205,205,,1,ec4033f5a53755fddc716b3d0698826f18987e2fd99c473a828e59782fa5604e,25/06/2023 22:02:08,ESCANER
22060,"Zacapa",19,"Río Hondo",3,3422,380,3,55,1,23,89,17,2,190,19,5,214,0,214,0,376,162,190,214,214,,1,64f3f7deef021ddb51df6d658e4fdfe1b7ff48c335389e4709cc6776dad618a9,25/06/2023 23:17:58,ESCANER
22061,"Zacapa",19,"Río Hondo",3,3422,222,2,39,0,18,33,8,2,102,9,1,112,0,112,0,222,110,102,112,112,,1,39f4184bec8bbd1835585f27ee35b8264f9330cb75bca1097f413ea50e202859,25/06/2023 22:14:26,ESCANER
22062,"Zacapa",19,"Río Hondo",3,3422,222,0,32,0,20,40,13,2,107,9,1,117,0,117,0,222,105,107,117,117,,1,c1ddb10ff03b66031b476f00df5179c4bdefb83d79e72da7393c7f4217671348,25/06/2023 21:54:58,ESCANER
22063,"Zacapa",19,"Río Hondo",3,3423,600,3,53,2,13,78,11,5,165,23,3,191,0,191,0,600,409,165,191,191,,1,b54dddc4836f69c95ec6822466ce5a1cf33862559bbc81a9908b49a4c8b14baa,25/06/2023 23:08:59,ESCANER
22064,"Zacapa",19,"Río Hondo",3,3423,405,2,39,0,9,50,11,2,113,2,3,118,8,126,0,408,282,113,118,126,,1,d00df756e0e20c6a261583b2db2145847049143db69236b9744621336c59a285,25/06/2023 22:51:11,ESCANER
22065,"Zacapa",19,"Río Hondo",3,3423,405,1,12,0,3,10,3,2,31,5,1,37,0,37,0,405,368,31,37,37,,1,60c934644058a39d1a6adc88874fc5e20888a1a7f473ed2fa04a2a2767005b31,25/06/2023 21:52:00,ESCANER
