TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,32696,18680,57.1323

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,VIVA,VAMOS,CABAL,MLP,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22066,"Zacapa",19,"Gualán",4,3424,400,6,4,86,39,4,50,26,215,20,2,237,0,237,0,400,163,215,237,237,,1,904d7b72f08ac1ad7046be2072c049873cc9a34d6c57b1a234ef341e02807b25,25/06/2023 23:42:52,ESCANER
22067,"Zacapa",19,"Gualán",4,3424,400,11,2,74,36,3,71,22,219,11,0,230,0,230,0,400,170,219,230,230,,1,641d9e2bae993d18c26c78665dfc2ec8874bce216bcea722ae8a4b643cc17234,25/06/2023 22:41:40,ESCANER
22068,"Zacapa",19,"Gualán",4,3424,400,7,6,84,32,6,63,13,211,7,1,219,0,219,0,400,181,211,219,219,,1,037d0ceb20736131c4626eef446117e9564b31bef408d035be23307b04a40940,25/06/2023 23:26:53,ESCANER
22069,"Zacapa",19,"Gualán",4,3424,400,7,5,86,31,5,65,17,216,7,3,226,0,226,0,400,174,216,226,226,,1,b772eb4425a4a1588501f787a3863aa01bf14725c6eddbf67030d84ac6071f56,25/06/2023 21:45:37,ESCANER
22070,"Zacapa",19,"Gualán",4,3424,287,5,6,54,31,1,45,18,160,4,0,164,0,164,0,287,123,160,164,164,,1,8d6039381869d4d0b45aa15f5050c1f321c7917628d1250cd4ca92e3f4adffa2,25/06/2023 22:44:55,ESCANER
22071,"Zacapa",19,"Gualán",4,3424,287,2,1,50,24,3,44,6,130,5,1,136,0,136,0,287,151,130,136,136,,1,df14fc52650a24a8ecff6a134d562db8568ed53710ad19f9b190a8b0ad2404c3,25/06/2023 22:56:03,ESCANER
22072,"Zacapa",19,"Gualán",4,3425,400,12,7,78,43,7,74,18,239,17,1,257,0,257,0,400,143,239,257,257,,1,2812cfc87e3977340a5d0c00a70cbd3f0b0fbf37ee6299c8fa5856ccd264faaf,26/06/2023 01:53:49,ESCANER
22073,"Zacapa",19,"Gualán",4,3425,331,5,8,81,37,3,63,11,208,15,4,227,0,227,0,328,101,208,227,227,,1,6ed52a718470cfc48980b66cf988fa421d92788dd5436d90087de84b30ffabdb,26/06/2023 00:49:32,MOVIL
22074,"Zacapa",19,"Gualán",4,3425,331,4,2,72,42,2,58,12,192,6,2,200,0,200,1,331,131,192,200,200,,1,24d91b84adf7de9ca0c1c88f4ac28b250565527ef54170d12f2c18c6d0ba84c8,26/06/2023 00:34:23,MOVIL
22075,"Zacapa",19,"Gualán",4,3426,400,6,5,109,35,3,96,9,286,21,2,286,0,286,0,400,114,263,286,286,Sumas Asentadas sin cuadrar,1,fbbfd84272241bd1779725a78a6a80dea5c71d8272d374ff79808352545222eb,25/06/2023 23:55:00,MOVIL
